LGA_CODE_2016,C16_75_99_CF_CU15_NDS,C16_75_99_CF_NCU15_DS,C16_75_99_CF_NDCO,C16_75_99_CF_T,C16_100_149_CF_NC,C16_100_149_CF_Cu15DS_,C16_100_149_CF_CU15_NDS,C16_100_149_CF_NCU15_DS,C16_100_149_CF_NDCO,C16_100_149_CF_T,C16_150_199_CF_NC,C16_150_199_CF_Cu15DS_,C16_150_199_CF_CU15_NDS,C16_150_199_CF_NCU15_DS,C16_150_199_CF_NDCO,C16_150_199_CF_T,C16_200_224_CF_NC,C16_200_224_CF_Cu15DS_,C16_200_224_CF_CU15_NDS,C16_200_224_CF_NCU15_DS,C16_200_224_CF_NDCO,C16_200_224_CF_T,C16_225_274_CF_NC,C16_225_274_CF_Cu15DS_,C16_225_274_CF_CU15_NDS,C16_225_274_CF_NCU15_DS,C16_225_274_CF_NDCO,C16_225_274_CF_T,C16_275_349_CF_NC,C16_275_349_CF_Cu15DS_,C16_275_349_CF_CU15_NDS,C16_275_349_CF_NCU15_DS,C16_275_349_CF_NDCO,C16_275_349_CF_T,C16_350_449_CF_NC,C16_350_449_CF_Cu15DS_,C16_350_449_CF_CU15_NDS,C16_350_449_CF_NCU15_DS,C16_350_449_CF_NDCO,C16_350_449_CF_T,C16_450_549_CF_NC,C16_450_549_CF_Cu15DS_,C16_450_549_CF_CU15_NDS,C16_450_549_CF_NCU15_DS,C16_450_549_CF_NDCO,C16_450_549_CF_T,C16_550_649_CF_NC,C16_550_649_CF_Cu15DS_,C16_550_649_CF_CU15_NDS,C16_550_649_CF_NCU15_DS,C16_550_649_CF_NDCO,C16_550_649_CF_T,C16_650_749_CF_NC,C16_650_749_CF_Cu15DS_,C16_650_749_CF_CU15_NDS,C16_650_749_CF_NCU15_DS,C16_650_749_CF_NDCO,C16_650_749_CF_T,C16_750_849_CF_NC,C16_750_849_CF_Cu15DS_,C16_750_849_CF_CU15_NDS,C16_750_849_CF_NCU15_DS,C16_750_849_CF_NDCO,C16_750_849_CF_T,C16_850_949_CF_NC,C16_850_949_CF_Cu15DS_,C16_850_949_CF_CU15_NDS,C16_850_949_CF_NCU15_DS,C16_850_949_CF_NDCO,C16_850_949_CF_T,C16_950over_CF_NC,C16_950ov_CF_Cu15DS_,C16_950ov_CF_CU15_NDS,C16_950ov_CF_NCU15_DS,C16_950ov_CF_NDCO,C16_950ov_CF_T,C16_Rns_CF_NC,C16_Rns_CF_Cu15DS_,C16_Rns_CF_CU15_NDS,C16_Rns_CF_NCU15_DS,C16_Rns_CF_NDCO,C16_Rns_CF_T,C16_Tot_CF_NC,C16_Tot_CF_Cu15DS_,C16_Tot_CF_CU15_NDS,C16_Tot_CF_NCU15_DS,C16_Tot_CF_NDCO,C16_Tot_CF_Tot
LGA10050,3,0,0,15,39,0,25,3,0,71,161,5,110,10,7,285,128,4,67,6,8,214,225,24,177,6,10,451,275,37,245,18,26,609,114,36,186,21,16,375,23,3,31,4,3,69,0,3,5,0,0,9,3,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,14,0,13,4,3,32,1024,115,884,77,82,2175
LGA10130,3,0,0,6,18,0,17,0,0,40,69,4,27,0,8,117,65,4,61,3,4,139,112,8,83,7,9,213,153,10,153,8,18,342,109,35,161,8,11,331,16,5,29,3,3,56,3,0,7,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,3,8,5,0,38,620,83,601,47,66,1408
LGA10250,3,0,0,3,36,0,9,0,0,50,50,0,5,3,0,59,32,0,4,3,0,39,55,6,25,6,4,95,160,8,108,12,15,305,262,26,291,22,28,632,136,31,188,25,20,399,46,8,60,18,5,139,11,8,26,4,3,51,0,3,6,0,0,10,0,0,0,0,0,3,0,0,3,0,0,5,23,3,11,0,0,38,849,103,762,95,84,1894
LGA10300,0,0,0,3,4,0,3,0,3,10,20,3,5,0,0,29,5,0,5,0,0,17,0,0,7,0,0,8,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,13,54,10,42,0,6,113
LGA10470,0,0,0,10,15,0,11,3,0,30,56,0,26,5,4,86,50,8,24,3,8,92,120,4,85,8,10,226,212,23,221,11,20,491,143,48,240,18,19,474,9,7,23,9,3,55,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,9,3,3,37,663,102,677,63,67,1572
LGA10550,0,0,0,10,22,4,8,5,3,39,38,4,16,0,7,67,52,3,25,3,4,90,85,5,53,4,7,156,132,19,148,8,13,318,98,28,123,6,16,273,10,0,7,0,0,21,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,17,0,13,0,4,31,492,71,443,30,56,1101
LGA10600,0,0,0,0,3,0,8,0,0,10,13,0,7,0,0,22,11,0,4,0,0,15,31,0,25,0,3,60,56,5,47,3,10,119,40,9,90,7,8,155,7,3,16,0,0,28,4,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,17,179,23,227,18,27,473
LGA10650,3,0,0,9,18,0,6,0,0,27,33,6,18,0,0,60,27,4,17,0,0,50,20,5,36,0,3,63,12,3,16,3,0,39,3,0,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,6,0,9,0,0,10,140,20,141,9,13,323
LGA10750,6,0,8,46,115,3,47,4,11,188,423,22,119,19,68,651,157,28,97,10,41,333,233,45,199,30,78,579,731,163,978,130,254,2252,2079,536,3484,369,469,6928,946,338,1716,233,279,3508,419,177,803,132,169,1709,142,90,297,63,76,677,21,25,38,6,14,100,10,0,14,3,0,23,13,5,19,0,0,33,162,40,178,41,63,484,5592,1496,8102,1055,1558,17804
LGA10800,3,0,0,3,4,0,3,0,0,11,7,0,16,0,0,24,8,3,8,0,0,19,17,3,21,0,0,43,5,0,11,0,0,17,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,12,69,9,99,7,6,195
