LGA_CODE_2016,C11_Aus_Mo_O_B_OS,C11_Aus_BP_B_Aus,C11_Aus_Bplace_NS,C11_Aus_Tot_resp,C11_Aus_Ab_BP_B_OS,C11_Aus_Ab_Fa_O_B_OS,C11_Aus_Ab_Mo_O_B_OS,C11_Aus_Ab_BP_B_Aus,C11_Aus_Abor_Bplace_NS,C11_Aus_Abor_Tot_respons,C11_Chi_BP_B_OS,C11_Chi_Fa_O_B_OS,C11_Chi_Mo_O_B_OS,C11_Chi_BP_B_Aus,C11_Chi_Bplace_NS,C11_Chi_Tot_resp,C11_Cro_BP_B_OS,C11_Cro_Fa_O_B_OS,C11_Cro_Mo_O_B_OS,C11_Cro_BP_B_Aus,C11_Cro_Bplace_NS,C11_Cro_Tot_resp,C11_Dut_BP_B_OS,C11_Dut_Fa_O_B_OS,C11_Dut_Mo_O_B_OS,C11_Dut_BP_B_Aus,C11_Dut_Bplace_NS,C11_Dut_Tot_resp,C11_Eng_BP_B_OS,C11_Eng_Fa_O_B_OS,C11_Eng_Mo_O_B_OS,C11_Eng_BP_B_Aus,C11_Eng_Bplace_NS,C11_Eng_Tot_resp,C11_Fil_BP_B_OS,C11_Fil_Fa_O_B_OS,C11_Fil_Mo_O_B_OS,C11_Fil_BP_B_Aus,C11_Fil_Bplace_NS,C11_Fil_Tot_resp,C11_Fre_BP_B_OS,C11_Fre_Fa_O_B_OS,C11_Fre_Mo_O_B_OS,C11_Fre_BP_B_Aus,C11_Fre_Bplace_NS,C11_Fre_Tot_resp,C11_Ger_BP_B_OS,C11_Ger_Fa_O_B_OS,C11_Ger_Mo_O_B_OS,C11_Ger_BP_B_Aus,C11_Ger_Bplace_NS,C11_Ger_Tot_resp,C11_Gre_BP_B_OS,C11_Gre_Fa_O_B_OS,C11_Gre_Mo_O_B_OS,C11_Gre_BP_B_Aus,C11_Gre_Bplace_NS,C11_Gre_Tot_resp,C11_Hun_BP_B_OS,C11_Hun_Fa_O_B_OS,C11_Hun_Mo_O_B_OS,C11_Hun_BP_B_Aus,C11_Hun_Bplace_NS,C11_Hun_Tot_resp,C11_Ind_BP_B_OS,C11_Ind_Fa_O_B_OS,C11_Ind_Mo_O_B_OS,C11_Ind_BP_B_Aus,C11_Ind_Bplace_NS,C11_Ind_Tot_resp,C11_Iri_BP_B_OS,C11_Iri_Fa_O_B_OS,C11_Iri_Mo_O_B_OS,C11_Iri_BP_B_Aus,C11_Iri_Bplace_NS,C11_Iri_Tot_resp,C11_Ita_BP_B_OS,C11_Ita_Fa_O_B_OS,C11_Ita_Mo_O_B_OS,C11_Ita_BP_B_Aus,C11_Ita_Bplace_NS,C11_Ita_Tot_resp,C11_Kor_BP_B_OS,C11_Kor_Fa_O_B_OS,C11_Kor_Mo_O_B_OS,C11_Kor_BP_B_Aus,C11_Kor_Bplace_NS,C11_Kor_Tot_resp,C11_Leb_BP_B_OS,C11_Leb_Fa_O_B_OS,C11_Leb_Mo_O_B_OS,C11_Leb_BP_B_Aus,C11_Leb_Bplace_NS,C11_Leb_Tot_resp,C11_Mac_BP_B_OS,C11_Mac_Fa_O_B_OS,C11_Mac_Mo_O_B_OS,C11_Mac_BP_B_Aus,C11_Mac_Bplace_NS,C11_Mac_Tot_resp,C11_Mal_BP_B_OS,C11_Mal_Fa_O_B_OS,C11_Mal_Mo_O_B_OS,C11_Mal_BP_B_Aus,C11_Mal_Bplace_NS,C11_Mal_Tot_resp,C11_Mao_BP_B_OS,C11_Mao_Fa_O_B_OS,C11_Mao_Mo_O_B_OS,C11_Mao_BP_B_Aus,C11_Mao_Bplace_NS,C11_Mao_Tot_resp,C11_NZ_BP_B_OS,C11_NZ_Fa_O_B_OS,C11_NZ_Mo_O_B_OS,C11_NZ_BP_B_Aus,C11_NZ_Bplace_NS,C11_NZ_Tot_resp,C11_Pol_BP_B_OS,C11_Pol_Fa_O_B_OS,C11_Pol_Mo_O_B_OS,C11_Pol_BP_B_Aus,C11_Pol_Bplace_NS,C11_Pol_Tot_resp,C11_Rus_BP_B_OS,C11_Rus_Fa_O_B_OS,C11_Rus_Mo_O_B_OS,C11_Rus_BP_B_Aus,C11_Rus_Birthplac_ns,C11_Rus_Tot_resp,C11_Sco_BP_B_OS,C11_Sco_Fa_O_B_OS,C11_Sco_Mo_O_B_OS,C11_Sco_BP_B_Aus,C11_Sco_Birthplac_ns,C11_Sco_Tot_resp,C11_Ser_BP_B_OS,C11_Ser_Fa_O_B_OS,C11_Ser_Mo_O_B_OS,C11_Ser_BP_B_Aus,C11_Ser_Bplace_NS,C11_Ser_Tot_resp,C11_SAf_BP_B_OS,C11_SAf_Fa_O_B_OS,C11_SAf_Mo_O_B_OS,C11_SAf_BP_B_Aus,C11_SAf_Bplace_NS,C11_SAf_Tot_resp,C11_Span_BP_B_OS,C11_Span_Fa_O_B_OS,C11_Span_Mo_O_B_OS,C11_Span_BP_B_Aus,C11_Span_Bplace_NS,C11_Span_Tot_resp,C11_SriL_BP_B_OS,C11_SriL_Fa_O_B_OS,C11_SriL_Mo_O_B_OS,C11_SriL_BP_B_Aus,C11_SriL_Bplace_NS,C11_SriL_Tot_resp,C11_Turk_BP_B_OS,C11_Turk_Fa_O_B_OS,C11_Turk_Mo_O_B_OS,C11_Turk_BP_B_Aus,C11_Turk_Bplace_NS,C11_Turk_Tot_resp,C11_Viet_BP_B_OS,C11_Viet_Fa_O_B_OS,C11_Viet_Mo_O_B_OS,C11_Viet_BP_B_Aus,C11_Viet_Bplace_NS,C11_Viet_Tot_resp,C11_Wel_BP_B_OS,C11_Wel_Fa_O_B_OS,C11_Wel_Mo_O_B_OS,C11_Wel_BP_B_Aus,C11_Wel_Bplace_NS,C11_Wel_Tot_resp,C11_Oth_BP_B_OS,C11_Oth_Fa_O_B_OS,C11_Oth_Mo_O_B_OS,C11_Oth_BP_B_Aus,C11_Oth_Bplace_NS,C11_Oth_Tot_resp,C11_Anc_ns_BP_B_OS,C11_Anc_ns_Fa_O_B_OS,C11_Anc_ns_Mo_O_B_OS,C11_Anc_ns_BP_B_Aus,C11_Anc_ns_Bplace_NS,C11_Anc_NS_T_resp,C11_T_P_BP_B_OS,C11_T_P_Fa_only_bor_os,C11_T_P_Mo_O_B_OS,C11_T_P_BP_B_Aus,C11_T_P_Bplace_NS,C11_T_P_Tot_resp,C16_Aus_BP_B_OS,C16_Aus_Fa_O_B_OS,C16_Aus_Mo_O_B_OS,C16_Aus_BP_B_Aus
LGA15560,54,1614,45,1780,0,0,0,29,4,34,8,0,0,3,0,16,0,0,0,0,0,4,20,4,3,10,0,41,87,67,42,1179,40,1427,19,0,0,0,0,20,3,0,0,16,0,17,10,6,5,109,3,135,5,4,0,3,0,13,3,0,0,0,0,3,23,0,0,0,0,23,7,12,6,445,9,480,35,23,4,77,8,140,4,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,4,0,0,3,0,12,3,0,0,0,4,3,12,0,3,6,0,17,3,0,0,4,0,5,0,0,0,0,0,5,37,7,20,333,7,400,0,0,0,0,0,0,9,0,0,0,0,11,3,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,11,24,5,12,19,3,66,5,3,3,95,176,286,281,140,95,2965,270,3753,14,63,66,1599
LGA15650,285,6606,141,7424,0,0,0,51,3,56,57,9,3,18,0,89,5,3,0,0,0,7,68,29,22,55,0,171,476,343,212,5035,180,6237,51,0,19,3,0,68,13,3,0,21,0,40,63,31,18,474,5,598,16,5,0,22,0,48,12,6,0,4,0,21,25,0,0,3,0,36,134,74,32,1383,35,1662,39,23,11,111,9,194,3,0,0,0,0,3,9,8,0,10,0,29,0,0,0,0,0,3,22,6,9,22,0,57,38,4,6,20,0,71,58,19,22,9,3,116,19,9,3,27,0,60,0,0,0,9,0,7,120,79,57,1079,21,1349,7,5,0,4,0,12,35,0,0,0,0,35,9,3,0,17,0,29,10,0,0,0,0,12,4,0,0,0,0,4,0,0,0,0,0,0,17,8,6,38,0,71,239,49,56,87,16,441,33,9,13,381,1141,1583,1316,670,468,11857,1483,15793,45,362,276,6813
LGA15700,402,7054,187,8225,0,3,15,306,16,347,34,3,15,34,3,86,14,5,0,4,0,21,120,35,22,50,3,229,1141,530,384,5792,194,8039,25,0,15,0,0,46,30,12,4,51,0,91,137,46,35,513,6,737,21,14,0,28,0,62,18,7,7,7,0,43,20,5,11,13,3,50,158,97,59,1770,58,2137,73,38,8,147,0,272,0,0,0,0,0,0,9,10,0,10,0,30,7,0,0,0,0,7,22,14,3,24,0,62,22,14,8,25,0,63,43,25,22,5,0,106,37,14,0,19,0,68,6,6,3,6,0,22,228,131,117,1426,45,1952,3,0,0,0,0,3,11,6,3,8,0,32,16,0,3,17,0,38,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,31,4,5,48,0,88,291,77,55,162,13,604,37,20,19,428,693,1204,2178,1008,760,13579,1116,18643,76,608,380,7321
LGA15750,190,6166,169,6759,0,0,6,64,3,74,31,3,5,30,0,73,0,0,0,0,0,0,36,16,9,36,0,95,191,189,172,4138,157,4849,36,5,3,0,0,43,3,0,0,20,0,30,45,28,12,395,9,477,4,6,0,16,0,28,0,0,0,3,0,6,10,0,0,4,0,12,45,35,29,1158,32,1292,16,4,0,40,0,61,3,0,0,0,0,3,5,0,0,8,0,14,0,0,0,0,0,0,3,3,0,17,0,25,9,3,0,3,0,17,19,13,8,0,0,46,5,3,3,9,0,16,0,0,0,6,0,11,68,46,25,932,22,1095,3,5,0,0,0,4,17,0,0,0,0,19,7,0,3,16,0,24,4,0,0,0,0,4,3,0,0,0,0,3,0,4,0,0,0,3,8,7,3,19,4,40,114,32,13,74,8,245,16,9,0,349,678,1058,616,381,304,10605,1021,12926,21,226,147,6152
LGA15800,58,2586,87,2852,0,0,0,44,7,49,15,0,3,22,0,42,3,0,0,8,0,10,23,6,0,13,0,38,115,99,58,1886,63,2221,14,0,3,0,0,14,3,0,0,9,0,20,24,17,7,233,8,283,10,3,0,11,0,23,4,0,0,0,0,4,8,0,0,0,0,7,19,20,11,665,23,740,33,17,3,109,6,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,8,0,0,0,20,4,3,0,0,0,10,11,0,0,3,0,20,3,0,0,0,0,5,33,29,16,456,12,545,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,9,0,3,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,0,20,59,29,11,32,3,131,12,3,3,145,338,494,359,222,106,4711,505,5900,9,102,61,2501
LGA15850,77,3097,46,3364,0,0,0,92,3,98,18,0,0,12,0,26,0,0,0,3,0,3,22,4,3,4,0,30,118,120,83,2209,71,2602,0,0,0,0,0,4,0,0,0,18,0,20,26,7,12,179,4,232,0,0,0,7,0,12,0,0,0,0,0,3,5,0,0,3,0,8,26,14,8,644,12,716,10,4,0,42,0,56,0,0,0,0,0,0,0,0,3,8,0,11,0,0,0,0,0,0,6,0,0,10,0,16,6,9,6,8,0,29,9,11,0,4,0,21,5,0,0,3,0,5,3,0,3,0,0,6,36,18,13,473,21,569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,16,0,29,53,13,9,41,11,132,10,5,0,181,291,479,313,220,142,5479,433,6584,11,128,92,3099
LGA15900,3424,50304,1337,60387,0,25,15,439,18,489,1723,101,107,285,32,2257,386,73,19,92,17,588,579,303,199,585,33,1701,5464,4406,2958,43933,1267,58025,656,16,204,11,12,899,168,68,37,320,17,611,1005,480,292,3942,104,5819,813,197,71,524,35,1642,145,56,16,50,3,274,844,38,28,38,13,958,1201,943,610,14675,308,17736,1476,463,154,1536,85,3710,415,13,13,25,12,473,88,30,15,103,3,238,1206,161,40,257,43,1711,94,60,29,120,4,313,261,86,65,48,16,466,368,231,218,103,30,949,780,162,118,418,34,1518,198,38,42,89,8,372,1711,1264,882,11794,255,15901,255,23,16,37,4,333,230,58,34,11,6,329,238,36,22,110,4,416,130,13,11,10,3,167,50,6,0,3,0,59,219,16,11,3,11,259,273,182,100,878,22,1456,5197,1006,635,1459,184,8479,430,155,118,2354,6865,9920,23385,9489,6378,99343,9941,148534,617,5094,3832,49801
LGA15950,1796,10105,240,14849,0,3,0,18,0,23,4121,149,197,158,75,4704,193,31,12,44,3,285,450,154,65,139,14,819,7101,2056,1525,10074,296,21045,523,15,37,12,8,589,519,68,56,139,8,786,985,211,146,955,16,2316,343,104,48,175,6,682,261,48,31,46,8,386,1265,44,22,13,19,1361,1732,581,405,5006,100,7826,785,263,102,480,16,1653,539,11,10,11,10,580,141,29,14,61,4,246,85,4,0,3,0,92,92,42,23,38,0,192,121,9,8,10,0,140,665,86,85,28,10,865,436,59,37,93,13,638,387,38,39,44,3,508,1640,532,424,3541,76,6212,110,12,4,9,0,138,524,33,23,0,10,594,307,15,23,36,7,382,206,8,12,3,7,234,67,12,3,0,3,84,188,6,9,0,3,206,223,54,31,183,0,497,6410,526,509,521,81,8050,228,42,30,235,5119,5650,26322,4485,3357,22209,5915,62290,414,2494,2008,10094
LGA15990,8742,55388,1491,78820,0,9,4,73,4,87,5120,250,361,477,114,6331,1217,196,87,314,43,1850,2588,728,444,786,64,4601,30744,9845,7090,45184,1653,94519,1510,35,193,16,47,1803,1388,254,170,593,48,2445,3767,814,549,3544,148,8814,1222,335,143,722,28,2449,589,139,51,122,10,919,1618,96,60,65,43,1883,5748,2228,1587,17589,426,27585,5502,1330,540,2997,231,10604,931,11,31,17,33,1017,363,113,55,171,14,722,151,16,13,20,3,208,354,126,83,167,5,738,739,131,53,33,38,997,2130,585,479,196,53,3439,999,177,113,224,27,1538,636,86,71,152,14,957,6145,2291,1714,12946,300,23397,1219,95,43,86,32,1477,1958,221,131,43,30,2388,897,74,74,156,17,1222,161,45,20,15,4,248,179,19,8,3,7,219,385,11,35,7,11,445,1095,228,163,564,38,2086,15714,2377,2018,1998,393,22499,1097,227,220,1700,9575,12817,81800,20733,15174,106213,13721,237640,2201,12429,9875,53534
LGA16100,112,1993,41,2292,0,0,0,20,0,20,9,0,0,4,0,15,7,0,0,0,0,7,27,20,6,23,0,71,226,126,99,1458,42,1962,12,0,0,0,0,12,0,0,0,6,0,13,32,8,5,79,4,128,8,3,0,6,0,24,4,0,0,4,0,15,3,0,0,3,0,7,30,37,14,660,19,753,32,8,5,50,3,95,0,0,0,0,0,0,3,0,0,3,0,10,0,0,0,0,0,0,7,0,0,9,0,18,58,3,7,3,3,77,15,9,6,0,0,37,16,3,0,3,0,22,10,0,3,0,0,14,54,32,11,346,11,453,7,3,0,7,0,15,12,3,4,0,0,18,5,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,5,3,7,8,0,26,107,27,12,40,3,187,16,3,3,109,278,407,590,256,176,3635,382,5041,12,143,86,1906
LGA16150,677,14737,414,16917,0,3,3,161,12,176,191,16,11,99,5,328,59,31,3,22,0,120,198,69,40,167,6,477,1074,917,644,12120,383,15142,132,3,20,8,0,169,31,13,4,106,0,152,213,99,62,1014,32,1413,90,25,10,41,0,159,43,8,8,16,0,70,154,9,3,9,0,177,252,181,108,4262,122,4931,239,87,31,436,27,818,36,10,0,0,0,40,30,17,3,36,0,84,15,7,3,3,0,24,22,12,3,37,3,75,76,37,5,18,12,150,87,46,53,30,15,235,112,19,18,66,0,216,97,13,6,37,0,151,297,225,163,2702,74,3459,23,3,0,6,0,33,73,5,5,7,3,89,41,3,9,25,0,75,28,4,0,0,0,33,27,0,0,0,0,28,12,0,0,3,4,25,44,10,11,119,3,189,995,165,75,306,40,1578,106,43,16,798,1866,2828,4138,1887,1196,28057,2781,38056,96,1007,651,15284
LGA16200,231,6197,176,6927,0,6,0,88,20,114,39,4,0,25,0,67,9,3,0,3,0,14,61,18,8,48,0,136,291,271,195,5026,164,5944,51,0,8,3,0,61,5,3,0,36,0,45,43,27,12,441,12,537,0,0,0,12,3,17,7,0,0,3,0,18,16,0,0,3,0,20,76,48,30,1553,41,1750,23,19,12,82,7,143,3,0,3,0,0,7,14,3,0,18,0,41,0,0,0,0,0,0,5,6,3,17,0,37,4,0,0,3,0,13,28,10,11,6,4,63,25,5,3,19,0,51,9,0,0,4,0,13,77,69,49,999,24,1223,0,0,0,0,0,3,15,0,0,0,0,19,5,3,0,18,0,22,6,0,3,0,0,9,0,4,0,0,0,4,0,0,0,0,0,0,11,7,5,34,0,55,155,30,21,95,19,320,16,16,13,369,844,1259,884,524,383,11589,1211,14592,33,293,239,6281
LGA16260,3474,27411,1000,38379,0,22,7,146,10,189,31127,296,459,358,550,32790,799,102,45,123,14,1087,710,214,130,273,18,1347,8928,3634,2536,21362,774,37236,3114,47,226,35,69,3489,384,71,41,200,9,703,1241,308,216,1770,55,3593,1454,214,120,572,50,2408,379,69,24,54,7,534,16807,108,84,46,258,17300,1866,967,662,8665,215,12380,2544,806,351,1613,112,5417,8007,10,71,31,160,8271,5090,865,426,1097,186,7664,134,14,10,22,6,187,774,183,94,326,32,1411,666,64,52,28,24,836,726,226,154,63,22,1197,981,91,64,123,21,1281,668,57,36,98,7,857,1896,904,646,6120,136,9708,535,32,17,33,17,632,527,44,41,6,10,626,868,56,48,93,10,1082,1753,40,14,20,43,1871,828,69,30,46,13,980,1033,17,39,10,22,1121,206,90,43,290,11,639,21271,1200,986,1049,535,25049,1765,138,105,830,10510,13345,110183,9767,6946,52843,14278,194019,2939,4737,3682,24416
LGA16350,4698,52557,1542,67400,0,45,40,508,32,623,1765,102,103,258,46,2277,1333,193,68,279,41,1917,1343,441,305,837,57,2979,11544,5871,4053,35542,1473,58479,3822,112,260,52,102,4351,281,87,41,325,10,740,1726,543,346,2814,96,5529,1138,252,108,575,71,2153,568,74,30,93,25,783,3067,118,64,59,73,3379,2613,1231,807,10727,305,15685,2557,926,339,2368,127,6317,172,7,16,0,0,199,1160,235,102,199,64,1760,205,38,8,43,8,306,3269,863,452,2200,102,6890,1012,173,98,94,61,1433,692,307,212,120,26,1347,1023,193,122,374,18,1726,266,59,41,110,7,479,2819,1218,937,7079,234,12295,452,69,29,50,19,628,521,93,61,35,12,729,784,84,56,138,20,1082,589,17,27,11,17,661,549,57,31,44,21,697,282,21,20,5,8,331,354,119,50,367,11,911,11991,1481,825,1296,451,16043,1308,246,159,2058,7538,11321,53039,13813,8902,91102,11605,178465,1942,7900,5228,53948
LGA16380,1724,26594,806,31657,0,7,0,230,12,258,179,21,31,117,8,358,79,23,5,19,3,130,529,150,92,262,20,1050,4853,2242,1643,22745,762,32246,158,8,58,3,14,236,103,39,20,228,9,399,526,194,109,1846,64,2737,80,28,7,119,3,244,93,26,9,43,5,174,138,6,12,17,7,182,778,512,328,7373,192,9186,276,150,45,565,20,1057,15,0,4,3,0,24,27,23,4,61,0,115,16,3,5,10,0,32,149,49,32,92,4,323,74,29,29,30,5,172,259,118,92,46,7,518,131,33,15,78,3,261,63,14,12,45,0,127,1111,486,425,5307,126,7453,20,0,3,7,0,31,154,21,20,8,3,202,61,23,13,88,9,192,17,8,0,3,0,25,13,7,0,0,0,14,45,0,0,0,5,45,146,57,22,169,9,405,1073,347,201,584,66,2274,128,66,55,1250,2807,4304,9651,4305,3065,51171,4503,72698,266,2589,1882,28507
LGA16400,1661,23869,577,28497,0,3,3,256,11,273,180,33,14,89,3,316,158,39,3,55,3,258,458,130,93,237,11,939,3980,2059,1483,19598,679,27797,194,11,67,14,3,292,113,17,14,177,12,328,490,207,135,1770,37,2641,128,38,4,119,0,292,79,14,6,30,0,131,80,11,5,11,0,107,593,378,210,5516,126,6825,313,154,45,504,20,1036,33,0,0,0,0,31,17,19,8,27,0,69,36,5,3,5,3,54,139,44,26,98,6,319,133,46,12,14,0,203,202,109,94,44,8,464,211,40,33,96,0,378,76,18,10,42,0,139,921,508,363,4501,101,6395,29,7,0,0,0,37,132,12,22,5,0,172,64,17,8,48,6,143,17,12,4,4,0,38,19,3,3,4,0,21,28,3,0,0,0,31,213,69,28,200,7,519,1152,340,215,575,48,2325,140,60,43,1112,3095,4457,8788,4038,2828,44734,4423,64808,256,2346,1763,25397
LGA16490,1442,16707,360,20787,3,6,3,140,0,162,416,23,34,130,7,617,381,76,23,99,26,612,375,123,106,244,11,864,3041,1617,1230,11981,369,18235,338,13,55,4,11,417,72,34,16,120,0,242,599,210,131,1314,29,2281,305,55,16,146,12,538,142,35,10,41,11,241,497,23,8,14,11,555,567,392,275,4897,91,6225,996,285,94,747,51,2169,42,4,3,0,0,52,42,17,3,40,0,103,913,121,42,138,17,1232,181,41,28,102,6,365,169,46,32,18,4,268,202,94,65,25,9,395,302,49,36,103,6,512,89,22,18,27,10,162,827,433,330,3194,64,4852,282,36,11,32,6,373,98,13,15,3,0,126,116,19,11,56,7,205,64,7,9,7,0,78,26,0,0,0,0,24,87,7,3,3,3,102,110,40,30,164,0,344,2311,366,294,484,56,3509,247,44,33,612,2467,3399,12042,3770,2629,30506,3394,52340,382,1995,1523,16975
LGA16550,3196,19731,648,28694,0,27,3,328,3,369,14378,251,321,305,265,15514,454,62,28,85,19,646,572,192,115,198,17,1092,9484,3031,2142,15085,717,30460,1062,26,149,6,38,1281,1111,97,70,217,28,1538,1527,326,213,1458,65,3599,4233,678,315,1652,160,7036,772,91,65,108,5,1034,1579,55,41,31,34,1743,4089,1051,726,8868,311,15047,2600,572,243,1297,83,4796,660,8,27,3,9,703,727,140,98,327,31,1331,68,20,0,14,0,104,677,145,75,240,13,1155,544,92,43,23,13,718,817,180,146,47,21,1208,1087,131,92,171,19,1498,1421,83,61,100,25,1694,2210,755,561,4463,132,8115,305,19,24,16,10,371,1151,112,59,14,16,1347,946,59,52,77,29,1173,291,17,14,7,0,338,286,27,8,7,3,333,619,14,33,5,15,684,346,69,53,224,21,711,14203,1347,939,1009,350,17848,875,125,81,682,9856,11619,61657,8470,6025,40514,12316,128987,1154,4361,3612,18878
LGA16610,306,9103,315,10255,0,13,0,217,12,244,26,3,3,24,3,71,8,3,0,0,0,10,103,36,17,65,5,224,662,505,333,7281,263,9037,74,0,24,3,6,111,19,3,0,46,0,66,96,59,14,717,20,905,20,13,0,43,0,83,17,5,0,10,0,35,8,9,3,12,0,33,131,107,104,2352,58,2752,84,52,14,380,13,543,3,0,0,0,0,3,5,15,0,25,0,47,0,0,0,3,0,3,21,11,4,15,0,44,17,14,9,27,0,70,41,19,17,11,4,88,15,3,4,13,0,33,8,3,0,4,0,13,158,100,73,1556,29,1915,3,3,0,0,0,9,16,3,0,0,0,18,16,0,0,24,0,43,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,10,11,46,0,85,177,89,51,154,11,488,21,23,16,560,954,1576,1484,985,626,17401,1537,22038,60,517,346,9722
LGA16650,1295,9193,450,14287,0,13,6,81,3,100,10871,115,164,148,187,11490,663,59,13,86,11,838,239,73,57,67,7,441,3848,1263,945,7505,394,13957,1687,22,126,16,67,1918,194,34,24,87,0,335,544,133,84,574,30,1365,7059,819,368,2127,241,10613,250,28,9,25,9,320,1971,40,27,18,28,2078,913,397,206,3303,111,4932,2667,521,196,942,103,4429,312,0,8,10,6,333,5373,692,220,449,312,7040,4483,306,137,340,114,5381,615,109,81,178,28,997,796,78,42,12,37,969,385,97,58,16,5,568,351,45,26,37,7,468,503,14,23,24,12,566,793,345,221,1811,78,3253,716,54,17,42,16,846,190,20,16,4,3,230,920,42,33,57,43,1086,114,5,0,8,3,135,423,31,14,20,16,501,809,13,15,9,23,867,85,40,19,102,3,251,14107,794,468,562,371,16302,1363,122,83,504,5442,7513,59806,5556,3271,20955,7748,97339,1798,2061,1552,8866
LGA16700,2130,15250,400,21646,0,4,5,38,0,51,18837,252,394,297,266,20041,589,56,33,107,12,793,401,163,52,163,14,796,5075,2294,1565,12161,399,21499,1701,25,104,16,54,1900,239,45,34,140,9,471,755,211,136,977,35,2124,1155,166,76,582,36,2006,277,48,19,34,6,381,3235,64,53,45,52,3453,1255,624,410,5566,141,8000,3693,881,327,1869,152,6921,4078,6,30,7,86,4205,1212,181,101,318,29,1845,178,19,12,25,8,242,286,74,60,114,14,539,193,25,17,9,4,249,464,157,95,63,8,780,521,64,52,74,12,726,362,32,27,41,6,472,1181,595,399,3647,73,5892,338,24,9,20,8,408,326,54,27,10,5,419,452,20,35,43,6,551,729,17,9,5,9,773,207,14,7,12,0,240,559,16,16,3,14,614,181,54,40,159,3,439,10627,793,599,659,212,12898,735,74,80,501,4277,5668,55871,6193,4259,30693,6030,103040,1052,2906,2395,13906
LGA16900,1841,19654,629,25068,0,6,9,233,8,255,220,15,28,84,3,346,425,80,28,105,9,640,524,167,108,333,16,1148,5152,2344,1873,14009,565,23942,279,22,64,7,9,384,78,15,14,105,0,209,1049,289,196,1179,35,2747,329,66,55,224,12,691,218,39,18,60,4,338,108,12,8,13,3,143,712,349,271,4037,109,5482,1068,319,105,813,41,2344,25,0,4,3,3,37,83,26,9,25,3,139,1518,179,56,269,54,2074,569,170,67,298,30,1135,180,51,26,37,6,301,156,90,50,39,7,341,283,57,31,97,3,471,41,5,3,27,0,83,1201,557,415,2863,74,5112,319,26,12,38,6,403,80,10,17,3,7,112,776,125,60,187,31,1184,28,3,6,3,0,45,264,48,30,15,18,374,92,10,0,0,8,108,345,92,71,180,8,693,2215,438,288,517,88,3546,361,123,82,960,1790,3313,16655,5174,3620,34899,3258,63604,431,2802,2126,21185
LGA16950,2453,32835,1007,39998,0,17,8,550,21,599,293,27,39,142,12,514,216,35,6,54,8,325,703,188,115,327,16,1345,6661,3288,2330,26146,1049,39475,241,12,73,5,12,352,151,47,32,204,3,436,957,228,125,2105,61,3476,274,51,21,185,18,547,164,33,12,49,3,257,141,23,5,17,3,182,997,572,393,8328,236,10526,665,252,78,894,48,1933,27,5,5,7,4,40,33,19,9,49,3,114,40,3,8,6,0,58,378,84,23,175,11,676,120,50,43,32,3,247,278,141,123,48,13,599,268,58,20,90,10,444,107,22,10,44,4,188,1430,805,557,6029,160,8980,81,10,4,18,0,115,107,31,14,21,3,182,120,15,17,75,9,231,19,3,10,0,0,32,21,10,4,4,4,43,45,7,3,8,0,63,280,69,62,226,3,641,1617,514,300,815,79,3322,231,105,86,1483,4935,6847,14410,6164,4275,60793,7164,92812,443,3655,2558,35460
LGA17000,540,9626,222,11023,0,0,0,52,0,53,63,3,13,23,3,103,12,0,0,3,0,15,118,56,31,96,4,303,952,500,469,7301,208,9435,84,0,14,6,7,107,28,12,14,62,4,120,114,58,46,836,10,1064,17,6,0,18,0,46,10,4,3,18,0,30,45,0,0,9,0,50,206,84,80,1918,48,2329,42,34,12,164,9,254,8,0,0,0,0,13,5,0,3,9,0,17,0,3,0,0,0,7,49,18,7,50,0,124,83,24,10,10,3,134,120,45,28,10,0,206,42,10,15,27,0,93,17,3,3,6,0,26,249,154,132,1591,52,2179,9,0,0,0,0,8,76,4,10,0,3,93,17,3,3,14,0,36,11,0,0,0,0,8,4,0,0,0,0,4,19,3,0,0,0,21,34,11,7,64,3,120,282,84,50,151,11,583,35,17,10,416,824,1305,2281,1045,929,17163,1282,22695,66,612,527,9521
