LGA_CODE_2016,C11_DS_ns_NPUR_5,C11_DS_ns_NPUR_6more,C11_Dwg_st_NS_T,C11_Tot_NPUR_1,C11_Tot_NPUR_2,C11_Tot_NPUR_3,C11_Tot_NPUR_4,C11_Tot_NPUR_5,C11_Tot_NPUR_6more,C11_T_T,C16_Se_h_NPUR_1,C16_Se_h_NPUR_2,C16_Se_h_NPUR_3,C16_Se_h_NPUR_4,C16_Se_h_NPUR_5,C16_Se_h_NPUR_6more,C16_Se_h_Tot,C16_S_r_t_h_t_1_s_NPUR_1,C16_S_r_t_h_t_1_s_NPUR_2,C16_S_r_t_h_t_1_s_NPUR_3,C16_S_r_t_h_t_1_s_NPUR_4,C16_S_r_t_h_t_1_s_NPUR_5,C16_S_r_t_h_t_1_s_NPUR_6mo,C16_SDRTHTS_To,C16_S_r_t_h_t_2mor_s_NPUR_1,C16_S_r_t_h_t_2mor_s_NPUR_2,C16_S_r_t_h_t_2mor_s_NPUR_3,C16_S_r_t_h_t_2mor_s_NPUR_4,C16_S_r_t_h_t_2mor_s_NPUR_5,C16_SDRTHT2S_NPUR_6mo,C16_SDRTHT2S_To,C16_Sd_r_t_h_t_To_NPUR_1,C16_Sd_r_t_h_t_To_NPUR_2,C16_Sd_r_t_h_t_To_NPUR_3,C16_Sd_r_t_h_t_To_NPUR_4,C16_Sd_r_t_h_t_To_NPUR_5,C16_SDRTHT_NPUR_6mor,C16_Sd_r_t_h_t_To_Tot,C16_Fl_u_a_1_2SB_NPUR_1,C16_Fl_u_a_1_2SB_NPUR_2,C16_Fl_u_a_1_2SB_NPUR_3,C16_Fl_u_a_1_2SB_NPUR_4,C16_Fl_u_a_1_2SB_NPUR_5,C16_F_u_a_1_2SB_NPUR_6mor,C16_FUA_1_2SB_Tot,C16_F_u_a_I_a_3SB_NPUR_1,C16_F_u_a_I_a_3SB_NPUR_2,C16_F_u_a_I_a_3SB_NPUR_3,C16_F_u_a_I_a_3SB_NPUR_4,C16_F_u_a_I_a_3SB_NPUR_5,C16_F_u_a_I_a_3SB_NPUR_6m,C16_FUA_In_a_3_st_b_To,C16_F_u_a_4mor_s_b_NPUR_1,C16_F_u_a_4mor_s_b_NPUR_2,C16_F_u_a_4mor_s_b_NPUR_3,C16_F_u_a_4mor_s_b_NPUR_4,C16_F_u_a_4mor_s_b_NPUR_5,C16_F_u_a_4m_s_b_NPUR_6mor,C16_FUA_4mor_st_bl_Tot,C16_FUA_AH_NPUR_1,C16_FUA_AH_NPUR_2,C16_FUA_AH_NPUR_3,C16_FUA_AH_NPUR_4,C16_FUA_AH_NPUR_5,C16_FUA_AH_NPUR_6mo,C16_FUA_AH_Tot,C16_FUA_To_NPUR_1,C16_FUA_To_NPUR_2,C16_FUA_To_NPUR_3,C16_FUA_To_NPUR_4,C16_FUA_To_NPUR_5,C16_FUA_To_NPUR_6mo,C16_FUA_To_To,C16_OD_CCH_NPUR_1,C16_OD_CCH_NPUR_2,C16_OD_CCH_NPUR_3,C16_OD_CCH_NPUR_4,C16_OD_CCH_NPUR_5,C16_OD_CCH_NPUR_6mo,C16_OD_CCH_Tot,C16_OD_IHTSO_NPUR_1,C16_OD_IHTSO_NPUR_2,C16_OD_IHTSO_NPUR_3,C16_OD_IHTSO_NPUR_4,C16_OD_IHTSO_NPUR_5,C16_OD_IHTSO_NPUR_6mo,C16_OD_IHTSO_Tot,C16_OD_H_f_a_s_o_NPUR_1,C16_OD_H_f_a_s_o_NPUR_2,C16_OD_H_f_a_s_o_NPUR_3,C16_OD_H_f_a_s_o_NPUR_4,C16_OD_H_f_a_s_o_NPUR_5,C16_OD_H_f_a_s_o_NPUR_6mor,C16_OD_H_f_a_s_o_TO,C16_OD_Tot_NPUR_1,C16_OD_Tot_NPUR_2,C16_OD_Tot_NPUR_3,C16_OD_Tot_NPUR_4,C16_OD_Tot_NPUR_5,C16_OD_Tot_NPUR_6mor,C16_OD_T_T,C16_DS_ns_NPUR_1,C16_DS_ns_NPUR_2,C16_DS_ns_NPUR_3,C16_DS_ns_NPUR_4,C16_DS_ns_NPUR_5,C16_DS_ns_NPUR_6more,C16_Dwg_st_NS_T,C16_Tot_NPUR_1,C16_Tot_NPUR_2,C16_Tot_NPUR_3,C16_Tot_NPUR_4,C16_Tot_NPUR_5,C16_Tot_NPUR_6more,C16_T_T
LGA10850,0,0,3,679,908,338,334,197,102,2550,612,926,356,334,190,87,2507,16,7,4,0,0,0,30,0,0,0,0,0,0,4,14,13,5,0,0,0,34,44,9,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,7,0,0,0,0,58,3,0,0,0,0,0,3,0,3,0,0,0,0,4,3,11,3,0,3,0,16,11,16,3,0,5,0,27,29,0,0,0,0,0,29,709,961,368,335,190,93,2656
LGA10900,0,0,20,7183,9618,4350,4258,1815,812,28031,6092,9448,4164,4159,1849,772,26482,495,225,52,25,14,3,811,324,189,48,20,4,8,590,822,408,104,41,20,10,1404,289,98,21,14,5,0,428,97,36,8,0,0,0,140,7,0,0,0,0,0,10,11,3,0,0,0,0,10,397,134,24,14,4,0,582,7,4,0,0,0,0,11,0,3,0,3,0,0,7,13,11,5,3,0,0,32,25,15,5,4,0,0,53,51,35,11,8,6,0,109,7386,10043,4311,4234,1874,788,28630
LGA10950,0,0,0,315,337,138,139,77,38,1049,242,321,112,109,58,33,883,18,8,0,0,0,0,26,0,3,0,0,0,0,4,18,12,4,0,0,0,33,19,3,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,0,28,7,0,0,0,0,0,6,0,0,0,0,0,0,0,3,5,0,0,0,0,8,7,3,0,0,0,0,14,4,3,0,0,0,3,9,296,346,122,110,58,40,967
LGA11100,0,0,32,3466,4181,2639,2457,941,432,14121,862,1400,979,1307,605,333,5483,285,313,156,224,58,28,1065,236,251,234,259,90,36,1105,523,566,398,478,145,64,2175,546,412,301,214,77,31,1580,867,933,580,405,135,33,2949,923,1604,796,495,148,77,4042,4,4,0,0,0,0,8,2338,2945,1681,1114,358,134,8571,0,0,0,0,0,0,0,3,0,0,0,0,0,5,28,41,17,20,3,7,114,36,41,15,21,3,8,118,29,11,13,8,9,0,76,3783,4961,3087,2929,1121,542,16421
LGA11150,0,0,0,284,302,100,115,72,52,940,213,225,114,88,58,46,746,13,4,0,0,0,0,16,0,0,0,0,0,0,0,13,4,0,0,0,0,16,23,3,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,34,10,7,0,0,0,0,11,3,0,0,0,0,0,4,4,8,0,0,0,0,6,16,10,0,0,0,0,25,3,10,0,0,0,0,14,268,260,116,89,57,46,831
LGA11200,0,0,8,169,169,90,67,30,53,573,131,166,73,54,41,33,503,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,5,4,0,0,0,0,10,12,7,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,3,0,0,0,36,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,8,4,0,0,0,0,0,4,159,181,80,55,39,33,553
LGA11250,0,0,6,2509,2657,988,785,340,163,7436,2257,2460,927,717,295,141,6792,101,31,6,4,5,0,152,0,5,7,0,0,0,16,106,34,17,4,5,0,164,150,24,7,3,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,19,7,3,0,0,184,5,4,0,0,0,0,13,0,0,0,0,0,0,3,4,0,0,0,0,0,3,8,7,0,0,0,0,18,13,10,5,0,0,0,23,2532,2528,952,729,303,142,7184
LGA11300,0,0,13,2210,3034,2068,2053,881,474,10727,715,1220,878,1029,490,386,4711,181,185,135,135,39,21,700,206,296,222,305,148,101,1276,385,485,359,440,187,122,1978,307,244,159,93,37,15,857,400,525,433,305,110,44,1812,544,780,557,356,133,53,2428,8,9,7,0,0,3,27,1256,1565,1153,760,286,111,5123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,8,11,4,3,3,50,23,10,7,4,3,3,50,26,29,12,11,3,4,84,2397,3303,2414,2243,966,629,11957
LGA11350,0,0,25,3090,4024,1782,1499,564,241,11196,2128,3387,1579,1414,557,198,9266,169,161,71,44,0,0,449,104,134,84,39,4,4,365,276,297,155,86,7,4,819,363,173,54,25,3,3,627,42,21,13,4,0,0,82,0,0,0,0,0,0,0,13,6,0,0,0,0,22,416,204,67,29,3,3,727,199,82,15,10,10,3,309,13,6,0,0,0,0,23,29,19,4,4,0,0,61,245,100,24,15,10,5,389,79,52,22,6,4,0,171,3132,4047,1845,1554,586,209,11368
LGA11400,0,0,3,1106,1774,622,629,383,195,4704,1026,1621,623,672,404,163,4510,25,4,0,0,0,0,25,0,0,0,0,0,0,0,25,3,0,0,0,0,30,57,14,4,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,14,4,0,0,0,75,15,0,0,0,0,0,18,0,0,0,0,0,0,4,16,3,7,0,0,0,23,33,5,7,0,5,0,44,7,12,0,6,0,0,26,1144,1660,633,678,413,164,4686
