LGA_CODE_2016,C11_CF_LFns_N,C11_CF_LFns_1_149,C11_CF_LFns_150_299,C11_CF_LFns_300_399,C11_CF_LFns_400_499,C11_CF_LFns_500_649,C11_CF_LFns_650_799,C11_CF_LFns_800_999,C11_CF_LFns_1000_1499,C11_CF_LFns_1500_1999,C11_CF_LFns_2000_2499,C11_CF_LFns_2500_2999,C11_CF_LFns_3000_3999,C11_CF_LFns_4000_more,C11_CF_LFns_Ns,C11_CF_LFns_Tot,C11_C_f_c_T_Fi_N,C11_C_f_c_T_Fi_1_149,C11_C_f_c_T_Fi_150_299,C11_C_f_c_T_Fi_300_399,C11_C_f_c_T_Fi_400_499,C11_C_f_c_T_Fi_500_649,C11_CF_c_T_Fi_650_799,C11_CF_c_T_Fi_800_999,C11_CF_c_T_Fi_1000_1499,C11_CF_c_T_Fi_1500_1999,C11_CF_c_T_Fi_2000_2499,C11_CF_c_T_Fi_2500_2999,C11_CF_c_T_Fi_3000_3999,C11_CF_c_T_Fi_4000_more,C11_C_f_with_c_TFI_Ns,C11_C_f_with_c_T_T,C11_1PF_F_N,C11_1PF_F_1_149,C11_1PF_F_150_299,C11_1PF_F_300_399,C11_1PF_F_400_499,C11_1PF_F_500_649,C11_1PF_F_650_799,C11_1PF_F_800_999,C11_1PF_F_1000_1499,C11_1PF_F_1500_1999,C11_1PF_F_2000_2499,C11_1PF_F_2500_2999,C11_1PF_F_3000_3999,C11_1PF_F_4000_more,C11_1PF_F_Ns,C11_1PF_F_Tot,C11_1PF_P_N,C11_1PF_P_1_149,C11_1PF_P_150_299,C11_1PF_P_300_399,C11_1PF_P_400_499,C11_1PF_P_500_649,C11_1PF_P_650_799,C11_1PF_P_800_999,C11_1PF_P_1000_1499,C11_1PF_P_1500_1999,C11_1PF_P_2000_2499,C11_1PF_P_2500_2999,C11_1PF_P_3000_3999,C11_1PF_P_4000_more,C11_1PF_P_Ns,C11_1PF_P_Tot,C11_1PF_A_N,C11_1PF_A_1_149,C11_1PF_A_150_299,C11_1PF_A_300_399,C11_1PF_A_400_499,C11_1PF_A_500_649,C11_1PF_A_650_799,C11_1PF_A_800_999,C11_1PF_A_1000_1499,C11_1PF_A_1500_1999,C11_1PF_A_2000_2499,C11_1PF_A_2500_2999,C11_1PF_A_3000_3999,C11_1PF_A_4000_more,C11_1PF_A_Ns,C11_1PF_A_Tot,C11_1PF_U_N,C11_1PF_U_1_149,C11_1PF_U_150_299,C11_1PF_U_300_399,C11_1PF_U_400_499,C11_1PF_U_500_649,C11_1PF_U_650_799,C11_1PF_U_800_999,C11_1PF_U_1000_1499,C11_1PF_U_1500_1999,C11_1PF_U_2000_2499,C11_1PF_U_2500_2999,C11_1PF_U_3000_3999,C11_1PF_U_4000_more,C11_1PF_U_Ns,C11_1PF_U_To,C11_1PF_N_lf_Fi_N,C11_1PF_N_lf_Fi_1_149,C11_1PF_N_lf_Fi_150_299,C11_1PF_N_lf_Fi_300_399,C11_1PF_N_lf_Fi_400_499,C11_1PF_N_lf_Fi_500_649,C11_1PF_N_lf_Fi_650_799,C11_1PF_N_lf_Fi_800_999,C11_1PF_N_lf_Fi_1000_1499,C11_1PF_N_lf_Fi_1500_1999,C11_1PF_N_lf_Fi_2000_2499,C11_1PF_N_lf_Fi_2500_2999,C11_1PF_N_lf_Fi_3000_3999,C11_1PF_N_lf_Fi_4000_more,C11_1PF_N_lf_Fi_Ns,C11_1PF_N_the_lf_Tot,C11_1PF_LFns_N,C11_1PF_LFns_1_149,C11_1PF_LFns_150_299,C11_1PF_LFns_300_399,C11_1PF_LFns_400_499,C11_1PF_LFns_500_649,C11_1PF_lf_ns_Fi_650_799,C11_1PF_LFns_800_999,C11_1PF_LFns_1000_1499,C11_1PF_LFns_1500_1999,C11_1PF_LFns_2000_2499,C11_1PF_LFns_2500_2999,C11_1PF_lf_ns_Fi_3000_3999,C11_1PF_LFns_4000mo,C11_1PF_LFns_Ns,C11_1PF_LF_NS_T,C11_1PF_TFI_N,C11_1PF_TFI_1_149,C11_1PF_TFI_150_299,C11_1PF_TFI_300_399,C11_1PF_TFI_400_499,C11_1PF_TFI_500_649,C11_1PF_T_Fi_650_799,C11_1PF_T_Fi_800_999,C11_1PF_T_Fi_1000_1499,C11_1PF_T_Fi_1500_1999,C11_1PF_T_Fi_2000_2499,C11_1PF_T_Fi_2500_2999,C11_1PF_T_Fi_3000_3999,C11_1PF_TFI_4000_mr,C11_One_par_f_TFI_Ns,C11_One_parent_f_T_T,C11_TFI_N,C11_TFI_1_149,C11_TFI_150_299,C11_TFI_300_399,C11_TFI_400_499,C11_TFI_500_649,C11_TFI_650_799,C11_TFI_800_999,C11_TFI_1000_1499,C11_TFI_1500_1999,C11_TFI_2000_2499,C11_TFI_2500_2999,C11_TFI_3000_3999,C11_TFI_4000_more,C11_TFI_Ns,C11_T_T,C16_CFNC_BF_N,C16_CFNC_BF_1_149,C16_CFNC_BF_150_299,C16_CFNC_BF_300_399,C16_CFNC_BF_400_499,C16_CFNC_BF_500_649,C16_CFNC_BF_650_799,C16_CFNC_BF_800_999,C16_CFNC_BF_1000_1499,C16_CFNC_BF_1500_1999,C16_CFNC_BF_2000_2499,C16_CFNC_BF_2500_2999,C16_CFNC_BF_3000_3999,C16_CFNC_BF_4000_mr,C16_CFNC_BF_Ns,C16_CFNC_BF_Tot,C16_CFNC_BPT_N,C16_CFNC_BPT_1_149,C16_CFNC_BPT_150_299,C16_CFNC_BPT_300_399,C16_CFNC_BPT_400_499,C16_CFNC_BPT_500_649,C16_CFNC_BPT_650_799,C16_CFNC_BPT_800_999,C16_CFNC_BPT_1000_1499,C16_CFNC_BPT_1500_1999,C16_CFNC_BPT_2000_2499,C16_CFNC_BPT_2500_2999,C16_CFNC_BPT_3000_3999,C16_CFNC_BPT_4000mo,C16_CFNC_BPT_Ns,C16_CFNC_BPT_T,C16_CFNC_1F1P_N,C16_CFNC_1F1P_1_149,C16_CFNC_1F1P_150_299,C16_CFNC_1F1P_300_399,C16_CFNC_1F1P_400_499,C16_CFNC_1F1P_500_649,C16_CFNC_1F1P_650_799,C16_CFNC_1F1P_800_999
LGA10050,0,0,0,0,0,0,3,0,3,3,0,0,3,0,303,313,17,6,24,12,29,92,164,249,907,925,797,472,457,174,675,4995,0,0,3,0,10,6,73,80,165,98,27,35,4,0,63,576,3,8,8,32,127,31,114,73,64,25,4,7,3,0,45,545,0,3,4,3,5,3,6,7,13,3,7,0,0,0,9,68,4,0,17,25,43,11,9,5,5,3,0,0,0,0,6,127,19,17,64,120,167,51,126,91,94,27,6,8,5,0,73,853,0,0,0,3,3,0,0,0,3,0,0,0,0,0,36,45,24,28,96,185,352,103,332,261,336,157,50,48,11,0,227,2208,78,42,196,242,435,881,928,1046,2092,1743,1393,745,710,261,1357,12144,0,0,0,0,0,0,8,8,116,168,290,170,157,68,18,1005,0,0,4,0,4,5,19,24,84,43,20,20,10,12,4,251,0,0,0,0,3,7,10,25
LGA10130,0,0,0,0,0,0,0,0,8,0,0,0,0,0,208,218,7,7,11,23,13,84,119,185,558,445,328,226,233,78,442,2763,0,3,3,6,12,3,56,39,77,52,19,21,4,0,34,316,0,0,6,22,46,10,55,39,49,13,3,0,0,0,18,272,0,0,3,3,6,3,8,0,3,3,0,0,0,0,3,32,3,0,10,10,14,9,7,0,3,0,0,0,0,0,5,65,11,14,34,57,106,36,78,41,49,16,12,3,0,0,48,506,0,0,0,3,0,0,0,0,3,0,0,0,0,0,22,27,18,17,50,98,193,56,199,126,188,86,29,27,5,0,128,1226,53,30,123,150,240,543,586,653,1220,865,625,380,377,129,829,6811,10,0,0,0,3,0,12,19,76,96,133,81,83,58,17,589,0,0,0,0,11,6,15,24,64,19,19,6,5,0,4,177,0,0,3,0,0,3,6,29
LGA10250,0,0,0,0,0,0,0,3,4,0,0,3,0,0,238,255,18,4,10,10,32,118,154,274,844,678,488,301,305,117,627,3979,0,3,3,6,28,4,53,66,128,86,16,19,9,0,63,483,3,7,13,31,101,29,116,81,71,14,10,4,3,0,54,537,0,0,0,3,4,0,3,6,9,0,0,0,0,0,11,43,0,3,11,19,22,14,10,10,3,0,3,0,0,0,12,102,9,3,43,74,131,64,107,97,105,23,5,0,3,0,81,736,0,0,0,0,0,0,0,3,0,0,0,0,0,0,20,30,12,20,74,139,288,107,296,248,314,119,35,24,12,0,242,1937,90,30,155,189,366,1033,1029,1240,1993,1316,902,509,537,193,1256,10828,0,0,0,0,0,4,9,12,107,110,193,92,102,68,14,705,0,0,0,3,5,15,26,24,91,49,40,23,21,16,3,311,0,0,0,0,0,3,8,22
LGA10300,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,16,0,3,5,3,0,12,19,18,59,46,34,9,10,10,44,259,0,0,0,0,3,0,3,6,4,3,0,0,0,0,0,24,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,4,4,0,5,3,0,0,0,0,0,0,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,13,0,17,11,8,3,0,0,0,0,16,72,11,4,9,13,20,51,58,59,118,75,46,17,12,15,80,583,0,0,0,0,0,0,0,5,12,8,7,4,0,4,0,53,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,15,0,0,0,0,0,0,5,3
LGA10470,0,0,0,0,0,0,0,3,3,0,0,0,0,0,256,273,8,6,20,13,18,81,120,218,685,693,632,442,455,155,574,4129,0,3,3,3,16,3,50,55,130,88,30,16,3,0,48,464,0,3,3,18,89,23,63,56,43,22,6,0,0,0,30,365,0,0,0,4,6,3,5,8,7,3,0,0,0,0,12,62,3,0,10,9,21,3,7,4,9,0,0,0,0,0,12,74,8,13,57,69,123,53,99,46,62,17,13,3,0,0,62,636,0,0,0,0,0,0,4,0,0,3,0,0,0,0,18,23,18,18,75,115,256,86,236,170,258,140,46,26,4,6,181,1629,60,28,145,159,312,707,693,782,1521,1318,1115,710,692,232,1079,9550,0,4,4,0,0,0,8,17,78,129,206,160,159,78,11,852,0,0,4,0,0,5,9,17,43,22,16,7,8,4,0,142,3,0,4,0,3,3,16,23
LGA10550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,220,8,4,21,18,25,121,167,259,696,493,368,171,155,42,490,3049,0,0,5,3,19,14,49,32,76,25,20,13,3,0,36,300,0,7,12,32,84,29,85,36,39,7,0,0,0,0,48,385,0,0,0,0,4,3,3,3,3,4,0,0,0,0,6,37,0,0,8,12,22,0,0,5,3,0,0,0,0,0,6,64,3,15,40,72,115,27,68,57,42,11,3,0,0,0,60,520,0,0,0,0,0,0,3,0,0,0,0,0,0,0,20,33,10,27,67,123,249,75,216,139,155,47,27,16,4,0,184,1337,60,44,200,198,349,1004,913,1090,1657,1012,653,311,272,74,1072,8908,7,0,0,0,6,8,3,10,97,98,133,77,59,21,10,544,0,0,0,0,12,11,19,35,104,28,23,10,10,7,5,268,3,3,3,0,10,3,17,29
LGA10600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,107,7,3,9,4,22,61,84,137,259,163,132,58,48,16,218,1221,0,0,3,0,7,0,19,14,39,15,5,3,3,0,12,119,0,0,13,19,41,7,38,25,25,12,0,0,0,0,19,194,0,0,0,0,4,0,3,0,3,4,0,0,0,0,3,20,0,3,4,12,22,3,3,0,0,0,0,0,0,0,6,59,10,12,22,44,51,19,47,25,32,3,0,0,0,0,33,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,10,16,40,71,122,42,111,66,96,27,3,6,3,0,76,696,28,22,84,98,176,425,391,431,609,341,216,103,100,29,453,3500,0,0,0,0,3,5,5,9,18,30,24,26,17,11,7,163,0,0,0,0,4,8,15,14,37,22,15,5,5,3,3,129,0,0,0,0,5,0,4,12
LGA10650,0,0,0,0,0,0,0,0,3,0,0,0,0,0,68,68,3,0,10,9,5,26,46,67,169,99,82,41,33,13,134,743,0,0,0,0,0,6,8,6,13,5,3,0,3,0,8,56,0,0,3,11,15,10,8,8,5,0,0,0,0,0,12,69,0,0,0,0,9,0,4,0,4,0,0,0,0,0,3,15,0,0,0,3,6,0,3,0,3,0,0,0,0,0,0,18,4,3,5,13,15,5,14,6,12,0,0,0,0,0,9,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,4,3,10,32,52,17,41,27,31,10,3,0,4,0,34,274,29,5,56,52,64,320,207,244,370,229,141,69,54,24,290,2161,3,0,0,0,0,0,6,3,25,25,25,20,19,6,3,129,0,0,0,0,0,4,5,0,19,8,3,0,3,0,0,51,0,0,0,0,0,0,6,10
LGA10750,3,0,12,7,12,15,29,22,34,20,21,6,7,4,1871,2058,260,128,358,275,422,1007,1519,2329,7148,7218,6393,4727,4596,1778,4940,43089,11,12,12,17,118,57,377,512,1122,731,385,287,158,26,422,4251,8,27,72,156,387,118,428,334,402,165,84,35,16,3,235,2486,7,5,10,17,40,14,62,38,94,37,22,13,11,3,68,449,29,27,110,149,191,72,111,56,76,28,9,3,3,3,99,980,172,122,472,815,1188,514,909,552,930,372,168,90,51,21,716,7087,10,3,13,12,4,5,19,10,24,3,5,0,0,0,303,415,233,198,697,1164,1934,785,1900,1502,2649,1343,669,429,245,56,1851,15662,965,379,1553,1669,2650,4883,4971,5591,12822,11092,9557,6445,6108,2201,8339,79217,5,4,0,0,3,0,6,24,341,861,1640,1213,1161,544,101,5914,3,3,3,0,15,26,42,72,229,99,75,28,16,12,8,637,0,3,0,0,3,11,25,61
LGA10800,0,0,0,0,0,0,0,0,3,0,0,0,0,0,30,34,8,3,4,5,8,23,32,55,141,97,66,54,27,12,107,653,0,0,0,0,3,4,7,8,14,3,0,6,0,0,7,59,0,0,0,4,7,3,3,5,3,4,0,0,0,0,0,28,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,3,4,0,0,0,0,0,0,0,0,0,0,15,0,0,8,0,18,5,16,5,8,4,0,3,0,0,11,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,7,7,9,34,14,30,26,24,8,0,6,0,0,20,186,28,12,34,28,58,162,126,188,272,167,114,83,57,29,209,1568,0,0,0,0,0,0,10,4,19,31,24,21,21,12,3,149,0,0,0,0,0,5,4,0,8,3,0,0,0,0,0,30,4,0,0,0,0,4,3,5
