LGA_CODE_2016,C16_1500_1999_R100_149,C16_1500_1999_R150_199,C16_1500_1999_R200_224,C16_1500_1999_R225_274,C16_1500_1999_R275_349,C16_1500_1999_R350_449,C16_1500_1999_R450_549,C16_1500_1999_R550_649,C16_1500_1999_R650m,C16_1500_1999_R_NS,C16_1500_1999_R_Tot,C16_2000_2499_R0_74,C16_2000_2499_R75_99,C16_2000_2499_R100_149,C16_2000_2499_R150_199,C16_2000_2499_R200_224,C16_2000_2499_R225_274,C16_2000_2499_R275_349,C16_2000_2499_R350_449,C16_2000_2499_R450_549,C16_2000_2499_R550_649,C16_2000_2499_R650m,C16_2000_2499_R_NS,C16_2000_2499_R_Tot,C16_2500_2999_R0_74,C16_2500_2999_R75_99,C16_2500_2999_R100_149,C16_2500_2999_R150_199,C16_2500_2999_R200_224,C16_2500_2999_R225_274,C16_2500_2999_R275_349,C16_2500_2999_R350_449,C16_2500_2999_R450_549,C16_2500_2999_R550_649,C16_2500_2999_R650m,C16_2500_2999_R_NS,C16_2500_2999_R_Tot,C16_3000_3999_R0_74,C16_3000_3999_R75_99,C16_3000_3999_R100_149,C16_3000_3999_R150_199,C16_3000_3999_R200_224,C16_3000_3999_R225_274,C16_3000_3999_R275_349,C16_3000_3999_R350_449,C16_3000_3999_R450_549,C16_3000_3999_R550_649,C16_3000_3999_R650m,C16_3000_3999_R_NS,C16_3000_3999_R_Tot,C16_4000m_R0_74,C16_4000m_R75_99,C16_4000m_R100_149,C16_4000m_R150_199,C16_4000m_R200_224,C16_4000m_R225_274,C16_4000m_R275_349,C16_4000m_R350_449,C16_4000m_R450_549,C16_4000m_R550_649,C16_4000m_R650m,C16_4000m_R_NS,C16_4000m_R_Tot,C16_PI_S_R0_74,C16_PI_S_R75_99,C16_PI_S_R100_149,C16_PI_S_R150_199,C16_PI_S_R200_224,C16_PI_S_R225_274,C16_PI_S_R275_349,C16_PI_S_R350_449,C16_PI_S_R450_549,C16_PI_S_R550_649,C16_PI_S_R650m,C16_PI_S_R_NS,C16_PI_S_R_Tot,C16_AI_NS_R0_74,C16_AI_NS_R75_99,C16_AI_NS_R100_149,C16_AI_NS_R150_199,C16_AI_NS_R200_224,C16_AI_NS_R225_274,C16_AI_NS_R275_349,C16_AI_NS_R350_449,C16_AI_NS_R450_549,C16_AI_NS_R550_649,C16_AI_NS_R650m,C16_AI_NS_R_NS,C16_AI_NS_R_Tot,C16_Tot_R0_74,C16_Tot_R75_99,C16_Tot_R100_149,C16_Tot_R150_199,C16_Tot_R200_224,C16_Tot_R225_274,C16_Tot_R275_349,C16_Tot_R350_449,C16_Tot_R450_549,C16_Tot_R550_649,C16_Tot_R650m,C16_Tot_R_NS,C16_Tot_R_Tot
LGA10050,22,53,49,126,225,119,18,0,5,6,632,10,3,11,38,42,68,127,113,17,4,3,7,446,5,0,5,11,8,18,54,51,13,3,0,3,171,7,0,3,4,0,21,23,60,14,3,4,6,142,0,0,0,4,0,7,7,23,10,3,0,3,64,5,4,21,27,31,61,80,77,14,3,0,14,336,4,9,34,42,13,23,14,4,0,0,0,42,179,165,100,736,1257,727,1321,1296,716,111,17,25,202,6670
LGA10130,9,22,34,70,116,107,21,3,0,11,417,20,3,4,12,13,31,71,58,8,0,0,10,238,9,0,0,6,3,10,21,37,12,0,3,0,105,7,0,0,7,8,12,13,40,12,0,0,0,98,5,0,3,4,0,0,0,16,7,4,0,0,43,14,3,10,24,20,34,66,58,9,3,3,6,251,0,0,12,31,9,15,7,3,0,3,0,21,108,241,61,287,511,414,645,786,589,107,20,17,109,3786
LGA10250,10,9,12,27,111,190,113,41,12,5,541,8,0,9,7,0,13,49,138,68,33,11,3,339,5,0,0,3,3,0,12,49,52,15,10,3,149,3,0,3,3,4,4,15,38,32,26,22,3,153,0,0,0,0,0,0,3,7,29,12,14,7,71,5,0,12,3,7,13,48,102,59,26,14,9,305,3,0,29,10,5,9,21,13,9,0,0,25,128,155,30,389,225,208,398,918,1216,613,221,121,142,4633
LGA10300,4,9,3,3,0,0,0,0,0,3,33,9,0,0,6,0,3,0,0,0,0,0,0,18,0,0,0,3,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,3,5,0,0,0,0,0,0,5,18,0,0,0,6,3,0,0,0,0,0,0,0,9,61,7,39,67,37,16,5,3,0,0,0,27,262
LGA10470,3,22,34,75,181,141,8,0,3,8,496,11,0,9,5,10,36,107,126,22,0,0,3,328,3,0,0,5,4,13,41,86,12,3,0,7,164,3,0,0,0,0,13,29,60,11,0,0,5,125,0,0,0,0,0,0,14,15,7,0,0,0,38,9,0,9,18,22,31,75,83,8,0,0,14,278,7,3,18,7,9,6,17,6,3,0,0,23,98,183,45,326,436,370,735,1213,890,97,11,10,146,4453
LGA10550,6,15,21,36,76,92,9,0,7,7,272,16,0,3,7,11,21,50,38,7,0,3,8,156,5,0,0,0,0,0,17,22,0,0,0,6,58,3,0,0,0,4,0,14,25,4,0,0,7,58,0,0,4,0,0,0,3,7,0,0,3,0,21,16,4,9,16,14,29,58,41,5,0,0,6,204,4,3,9,16,8,10,5,0,0,0,3,13,76,219,40,278,348,340,532,712,436,46,8,23,113,3104
LGA10600,0,0,9,9,25,50,6,3,0,0,113,5,0,0,3,0,3,18,28,6,0,0,0,67,0,0,0,0,0,6,6,11,4,0,0,0,22,3,0,0,0,3,0,9,9,3,0,0,0,29,0,0,0,0,0,0,0,0,3,0,0,3,9,3,0,6,0,3,6,21,28,4,0,0,5,81,3,0,3,7,3,3,4,3,0,0,0,10,36,90,12,99,108,83,187,299,258,47,12,12,40,1253
LGA10650,11,13,6,20,8,0,0,0,0,5,83,7,0,9,7,4,10,3,4,0,0,0,3,45,3,0,0,0,0,3,3,3,0,0,0,0,17,0,0,3,0,6,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,0,0,0,5,4,3,5,9,15,7,6,0,0,0,0,4,50,0,3,10,5,3,0,0,3,0,0,0,3,25,95,45,135,204,107,113,63,17,0,0,6,43,820
LGA10750,33,56,54,130,612,1980,832,286,104,83,4235,41,0,25,34,23,95,383,1513,865,382,123,61,3546,26,0,12,12,17,31,153,691,519,260,112,38,1864,22,4,19,16,21,30,111,507,526,328,176,29,1800,14,3,5,9,9,11,45,200,213,229,188,22,952,46,11,82,102,76,120,283,694,391,195,109,152,2253,31,23,133,70,35,29,69,114,37,16,8,202,754,899,341,2364,1787,1016,1479,4522,11011,4978,2149,1027,1133,32697
LGA10800,4,8,6,12,3,4,0,0,0,12,61,13,0,3,4,0,4,4,0,0,0,0,3,35,3,0,0,0,0,4,0,0,0,0,0,0,9,4,0,0,3,0,11,6,3,3,0,0,0,28,3,0,0,0,0,7,3,0,0,0,0,0,13,7,3,3,4,3,6,3,0,0,0,0,0,33,4,0,0,4,0,4,0,0,0,0,0,3,19,135,15,66,103,42,77,27,8,5,3,0,35,513
