LGA_CODE_2016,C16_450_549_1PF_CU15_DS,C16_450_549_1PF_CU15_NDS,C16_450_549_1PFnoCU15_DS,C16_450_549_1PF_NDCO,C16_450_549_T,C16_550_649_1PF_CU15_DS,C16_550_649_1PF_CU15_NDS,C16_550_649_1PFnoCU15_DS,C16_550_649_1PF_NDCO,C16_550_649_T,C16_650_749_1PF_CU15_DS,C16_650_749_1PF_CU15_NDS,C16_650_749_1PFnoCU15_DS,C16_650_749_1PF_NDCO,C16_650_749_T,C16_750_849_1PF_CU15_DS,C16_750_849_1PF_CU15_NDS,C16_750_849_1PFnoCU15_DS,C16_750_849_1PF_NDCO,C16_750_849_T,C16_850_949_1PF_CU15_DS,C16_850_949_1PF_CU15_NDS,C16_850_949_1PFnoCU15_DS,C16_850_949_1PF_NDCO,C16_850_949_T,C16_950_and_over_1PF_CU15_DS,C16_950_and_over_1PF_CU15_NDS,C16_950_and_over_1PFnoCU15_DS,C16_950_and_over_1PF_NDCO,C16_950_and_over_T,C16_Rns_1PF_CU15_DS,C16_Rns_1PF_CU15_NDS,C16_Rns_1PFnoCU15_DS,C16_Rns_1PF_NDCO,C16_Rns_T,C16_Tot_1PF_CU15_DS,C16_Tot_1PF_CU15_NDS,C16_Tot_1PFnoCU15_DS,C16_Tot_1_pa_f_NDCO,C16_Tot_T
LGA10050,4,8,0,3,16,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,27,3,8,40,119,765,135,271,1291
LGA10130,3,4,0,5,12,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,11,61,393,74,141,670
LGA10250,9,65,18,16,112,5,26,9,10,49,0,4,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,14,0,3,19,78,498,144,217,943
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,23,3,7,34
LGA10470,5,11,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,6,25,98,602,106,177,979
LGA10550,0,4,4,0,6,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,3,13,76,338,77,124,609
LGA10600,0,7,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,177,27,51,294
LGA10650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,86,13,23,137
LGA10750,145,525,174,238,1084,59,187,68,97,420,18,61,23,35,146,9,11,0,5,26,0,3,0,3,8,0,5,0,0,5,29,135,32,90,288,932,4215,1003,2241,8394
LGA10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,9,63,7,18,93
LGA10850,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,9,89,17,23,140
LGA10900,25,86,30,17,161,10,15,3,3,27,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,4,9,32,121,602,159,230,1112
LGA10950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,3,35,4,12,51
LGA11100,11,57,23,47,143,3,38,15,27,84,6,36,14,27,85,3,14,7,8,28,0,7,7,8,19,3,5,4,0,13,0,19,10,11,41,69,361,148,291,874
LGA11150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,3,50,0,15,71
LGA11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,7,67,5,21,106
LGA11250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,9,32,260,22,64,388
LGA11300,13,50,21,53,135,7,24,24,21,77,3,25,13,10,58,0,8,6,5,16,0,4,6,0,9,0,3,8,3,14,0,6,6,3,12,31,179,125,162,497
LGA11350,19,82,23,27,143,3,46,21,9,79,3,25,0,6,27,0,11,3,0,18,0,4,0,0,4,0,5,5,0,7,0,13,0,3,13,64,410,126,121,722
LGA11400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,6,15,107,13,25,162
LGA11450,64,229,60,123,478,26,93,27,44,181,5,15,0,9,23,0,5,0,0,3,0,0,0,0,0,0,3,0,0,4,5,20,3,8,38,151,597,161,307,1223
LGA11500,48,244,41,106,440,20,45,8,26,108,3,6,0,7,19,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,14,83,13,53,167,500,2543,468,1356,4864
LGA11520,15,126,46,66,253,10,91,41,68,216,18,103,40,50,206,4,29,17,15,72,3,12,4,8,27,3,11,14,12,45,0,15,8,15,32,66,499,213,334,1117
LGA11570,181,612,193,348,1334,82,302,100,162,648,49,120,47,53,268,7,23,6,15,53,3,13,0,5,29,8,9,0,8,26,27,102,45,99,272,758,3008,1116,2195,7074
LGA11600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,25,3,3,34
LGA11650,133,563,157,246,1095,43,127,37,46,256,12,33,4,11,61,3,11,0,10,23,0,7,0,0,7,0,3,0,0,4,8,82,16,56,157,765,4315,981,2032,8097
LGA11700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,9,42,3,27,77
LGA11720,3,15,3,4,23,3,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,24,0,19,45,114,1017,122,310,1566
LGA11730,3,8,0,3,13,3,0,0,0,5,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,3,22,116,730,127,248,1219
LGA11750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,61,4,26,100
LGA11800,30,81,11,32,154,3,11,3,3,20,0,6,0,0,6,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,28,3,23,51,226,1056,206,468,1955
LGA12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,4,8,48
