LGA_CODE_2016,C16_P_35_39_Tot_LF,C16_P_35_39_Notin_LF,C16_P_35_39_LF_NS,C16_P_35_39_Tot,C16_P_40_44_Em_FT,C16_P_40_44_Em_PT,C16_P_40_44_Em_AFW,C16_P_40_44_Em_Hrs_NS,C16_P_40_44_Em_Tot,C16_P_40_44_Unem_Look_FT,C16_P_40_44_Unem_Look_PT,C16_P_40_44_Unem_Tot,C16_P_40_44_Tot_LF,C16_P_40_44_Notin_LF,C16_P_40_44_LF_NS,C16_P_40_44_Tot,C16_P_45_49_Em_FT,C16_P_45_49_Em_PT,C16_P_45_49_Em_AFW,C16_P_45_49_Em_Hrs_NS,C16_P_45_49_Em_Tot,C16_P_45_49_Unem_Look_FT,C16_P_45_49_Unem_Look_PT,C16_P_45_49_Unem_Tot,C16_P_45_49_Tot_LF,C16_P_45_49_Notin_LF,C16_P_45_49_LF_NS,C16_P_45_49_Tot,C16_P_50_54_Em_FT,C16_P_50_54_Em_PT,C16_P_50_54_Em_AFW,C16_P_50_54_Em_Hrs_NS,C16_P_50_54_Em_Tot,C16_P_50_54_Unem_Look_FT,C16_P_50_54_Unem_Look_PT,C16_P_50_54_Unem_Tot,C16_P_50_54_Tot_LF,C16_P_50_54_Notin_LF,C16_P_50_54_LF_NS,C16_P_50_54_Tot,C16_P_55_59_Em_FT,C16_P_55_59_Em_PT,C16_P_55_59_Em_AFW,C16_P_55_59_Em_Hrs_NS,C16_P_55_59_Em_Tot,C16_P_55_59_Unem_Look_FT,C16_P_55_59_Unem_Look_PT,C16_P_55_59_Unem_Tot,C16_P_55_59_Tot_LF,C16_P_55_59_Notin_LF,C16_P_55_59_LF_NS,C16_P_55_59_Tot,C16_P_60_64_Em_FT,C16_P_60_64_Em_PT,C16_P_60_64_Em_AFW,C16_P_60_64_Em_Hrs_NS,C16_P_60_64_Em_Tot,C16_P_60_64_Unem_Look_FT,C16_P_60_64_Unem_Look_PT,C16_P_60_64_Unem_Tot,C16_P_60_64_Tot_LF,C16_P_60_64_Notin_LF,C16_P_60_64_LF_NS,C16_P_60_64_Tot,C16_P_65_69_Em_FT,C16_P_65_69_Em_PT,C16_P_65_69_Em_AFW,C16_P_65_69_Em_Hrs_NS,C16_P_65_69_Em_Tot,C16_P_65_69_Unem_Look_FT,C16_P_65_69_Unem_Look_PT,C16_P_65_69_Unem_Tot,C16_P_65_69_Tot_LF,C16_P_65_69_Notin_LF,C16_P_65_69_LF_NS,C16_P_65_69_Tot,C16_P_70_74_Em_FT,C16_P_70_74_Em_PT,C16_P_70_74_Em_AFW,C16_P_70_74_Em_Hrs_NS,C16_P_70_74_Em_Tot,C16_P_70_74_Unem_Look_FT,C16_P_70_74_Unem_Look_PT,C16_P_70_74_Unem_Tot,C16_P_70_74_Tot_LF,C16_P_70_74_Notin_LF,C16_P_70_74_LF_NS,C16_P_70_74_Tot,C16_P_75over_Emp_Wor_ft,C16_P_75ov_Em_Work_pt,C16_P_75ov_Em_Aw_fr_w,C16_P_75ov_Emp_Hou_w_ns,C16_P_75andOver_Em_Tot,C16_P_75over_Unem_Lo_ft_w,C16_P_75over_Unem_Lo_pt_w,C16_P_75over_Unemp_Tot,C16_P_75over_Tot_lab_for,C16_P_75over_N_lab_forc,C16_P_75over_LF_NS,C16_P_75over_Tot,C16_P_Tot_Em_FT,C16_P_Tot_Em_PT,C16_P_Tot_Em_AFW,C16_P_Tot_Em_Hrs_NS,C16_P_Tot_Em_Tot,C16_P_Tot_Unem_Look_FT,C16_P_Tot_Unem_Look_PT,C16_P_Tot_Unem_Tot,C16_P_T_T_labo_for,C16_P_Tot_Notin_LF,C16_P_Tot_LF_NS,C16_P_T_T
LGA10050,2406,469,194,3071,1516,732,60,33,2339,79,49,130,2471,460,202,3136,1649,716,70,40,2477,110,42,151,2624,480,221,3328,1569,674,74,31,2346,86,33,119,2460,527,184,3172,1453,724,88,32,2292,68,39,101,2396,722,205,3324,800,644,77,13,1537,36,60,92,1632,1194,220,3049,271,361,40,15,687,7,15,23,706,1863,161,2731,58,119,11,5,196,0,3,10,201,1794,185,2172,15,65,5,11,93,0,0,0,97,3626,518,4236,13599,8084,838,388,22907,1004,681,1684,24587,13853,3033,41468
LGA10130,1083,284,99,1471,768,370,19,20,1173,40,17,55,1230,294,108,1636,862,370,26,16,1280,46,20,70,1347,252,119,1720,959,407,32,23,1423,36,16,54,1474,307,162,1942,832,408,59,14,1311,34,23,57,1371,403,155,1927,527,309,38,12,896,20,23,41,940,582,108,1623,223,194,28,7,452,0,4,4,455,956,114,1523,98,106,3,7,219,0,0,0,221,897,104,1222,62,64,12,9,143,3,0,4,147,1850,246,2242,7126,4459,501,240,12327,503,528,1032,13359,8834,1927,24115
LGA10250,1657,302,136,2089,1183,714,51,44,1987,58,39,92,2084,329,157,2574,1324,723,43,29,2121,50,45,94,2214,398,180,2793,1343,761,51,28,2185,79,40,122,2310,463,202,2972,1218,823,86,44,2163,49,50,102,2269,726,221,3210,752,709,68,23,1550,36,39,71,1628,1345,249,3226,253,419,38,17,724,10,13,16,743,2191,206,3139,77,150,15,21,267,0,3,3,266,1924,166,2361,57,76,8,17,155,4,3,8,162,4113,688,4963,9382,7140,595,342,17463,584,500,1086,18550,13639,2668,34860
LGA10300,96,23,17,129,70,33,0,3,102,0,0,4,103,25,18,143,70,29,3,3,103,3,0,3,107,17,9,128,75,36,3,3,115,3,0,3,126,17,21,157,93,31,3,4,131,4,3,7,139,30,16,190,64,31,3,3,102,0,0,0,105,62,26,194,16,17,6,0,40,0,0,0,40,76,18,132,6,7,0,0,11,0,0,0,11,51,8,70,0,9,0,0,6,0,0,0,6,130,29,164,614,302,29,31,982,39,22,55,1041,552,212,1801
LGA10470,1761,429,117,2308,1345,538,44,27,1957,60,22,83,2040,385,144,2573,1419,494,60,31,2004,62,34,89,2094,412,168,2675,1319,484,51,29,1884,58,23,83,1970,438,164,2565,1182,502,64,24,1777,32,36,69,1842,589,180,2617,735,426,78,24,1265,34,14,47,1312,903,162,2380,278,239,33,10,550,3,7,14,567,1449,179,2195,74,128,20,8,224,0,3,5,224,1310,132,1667,50,79,8,12,150,3,0,0,149,2369,388,2915,11165,5923,730,354,18165,631,530,1162,19332,11424,2433,33181
LGA10550,1082,243,86,1414,762,445,36,20,1260,38,29,63,1327,256,118,1705,957,544,57,19,1582,36,22,57,1640,348,156,2147,1037,638,65,24,1762,47,29,75,1837,458,208,2507,955,793,112,29,1897,55,33,89,1983,854,211,3054,599,604,90,26,1320,40,49,85,1407,1481,216,3109,218,312,34,18,582,0,10,12,593,2132,216,2941,81,122,18,11,226,0,0,0,225,1744,152,2121,44,57,9,12,125,3,0,4,126,3010,406,3538,6957,5298,628,271,13153,430,317,750,13905,11948,2145,27994
LGA10600,405,121,37,568,299,225,19,4,542,18,9,29,573,139,44,755,328,247,15,10,606,16,8,24,631,147,68,848,378,263,28,7,671,34,20,48,723,202,57,977,346,325,27,11,713,28,24,51,763,300,75,1139,221,250,31,13,520,16,12,22,545,496,68,1103,89,122,12,0,222,4,4,5,224,682,62,976,30,52,10,0,90,0,3,3,93,588,64,748,24,34,3,12,74,0,0,3,74,1108,110,1288,2386,2210,201,101,4890,225,154,378,5273,4489,703,10465
LGA10650,294,66,24,382,218,98,9,4,331,14,7,21,351,60,53,463,227,89,18,3,338,15,5,18,351,49,51,453,199,111,18,13,340,13,3,13,351,90,42,485,236,153,21,6,407,9,9,16,424,135,50,611,190,121,27,7,346,10,8,16,367,259,68,693,83,85,7,12,189,0,0,3,191,529,67,782,31,39,7,9,86,0,0,0,86,443,61,590,17,31,3,0,56,0,0,0,56,862,136,1054,1895,1132,173,89,3282,119,49,165,3450,2864,709,7018
LGA10750,21356,4546,1249,27150,13362,4111,334,370,18178,618,360,977,19152,4002,1098,24254,11810,3528,289,357,15988,599,293,896,16886,3891,1012,21791,10723,3087,344,279,14437,504,241,751,15180,4116,978,20274,8419,2659,313,193,11582,434,279,709,12290,5016,889,18193,4813,2148,256,149,7364,339,232,570,7935,6770,802,15507,1588,1033,99,51,2782,47,48,94,2871,9354,737,12964,269,351,25,25,668,15,14,32,701,7274,606,8572,74,116,18,25,232,7,4,14,241,11853,1132,13227,102402,41295,4142,3625,151468,6676,5233,11907,163377,83745,13180,260306
LGA10800,241,50,26,318,190,72,5,7,270,8,3,10,281,50,30,361,183,59,0,4,246,6,0,6,249,37,36,325,182,80,11,11,280,10,0,8,289,53,41,385,202,88,12,0,303,0,4,4,307,100,64,468,128,76,10,4,218,4,4,11,228,130,36,393,71,41,6,8,129,0,0,0,126,202,38,363,27,22,4,5,55,0,0,0,55,176,36,264,32,32,3,9,72,0,0,0,72,452,130,654,1609,764,87,79,2541,64,27,95,2635,1526,560,4725
