LGA_CODE_2016,C16_85o_Seprtd_M,C16_85o_Seprtd_F,C16_85o_Divorce_M,C16_85o_Divorce_F,C16_85o_Wid_M,C16_85o_Wid_F,C16_85o_Nvr_mard_M,C16_85o_Nvr_mard_F,C16_85o_T_M,C16_85o_T_F,C16_85o_T_P,C16_T_Married_M,C16_T_Married_F,C16_Tot_Sep_M,C16_Tot_Sep_F,C16_Tot_Div_M,C16_Tot_Div_F,C16_Tot_Wid_M,C16_Tot_Wid_F,C16_Tot_nver_marrie_M,C16_Tot_nver_marrie_F,C16_Tot_T_M,C16_Tot_T_F,C16_Tot_T_P
LGA26670,0,0,6,4,30,83,0,3,68,120,197,1397,1381,66,71,264,215,104,268,737,521,2572,2453,5023
LGA26700,3,0,5,16,141,504,16,25,361,646,1008,5760,5805,385,440,937,1217,420,1439,3540,3259,11041,12165,23209
LGA26730,5,4,13,15,100,468,20,40,342,630,969,6342,6344,403,558,914,1434,356,1482,5004,4713,13017,14531,27546
LGA26810,8,0,20,33,153,478,19,20,394,636,1033,8943,8657,654,660,1586,1778,554,1769,6032,4713,17769,17585,35358
LGA26890,0,0,3,0,20,66,8,3,54,80,132,874,867,56,51,136,114,55,222,499,350,1625,1604,3234
LGA26980,20,8,74,150,604,2236,69,148,1830,3136,4959,34345,35028,1219,1561,3150,5753,1492,6125,23961,22193,64170,70660,134835
LGA27070,8,5,30,43,363,1088,20,24,955,1401,2354,41628,41759,2186,2980,4075,6418,1411,5390,26474,22986,75780,79530,155311
LGA27170,3,3,13,12,90,344,9,13,271,472,745,7259,7265,540,647,1244,1785,342,1285,5805,5066,15197,16050,31242
LGA27260,5,3,23,34,192,730,15,14,515,935,1451,45410,45185,2315,3059,4308,6278,1002,4012,27917,23828,80948,82364,163311
LGA27350,7,11,28,40,120,422,56,62,436,639,1075,10876,10948,815,968,2464,3491,458,1844,22596,22529,37204,39777,76983
LGA27450,19,3,56,71,347,1174,37,42,983,1555,2533,30373,30443,1725,2168,4493,6464,1256,4301,21330,18521,59178,61903,121080
LGA27630,0,3,6,5,32,161,10,4,121,213,332,1462,1471,108,83,243,225,140,395,846,649,2799,2815,5618
LGA29399,0,0,0,0,0,0,0,0,0,0,0,124,101,20,12,45,22,6,15,220,193,406,339,746
LGA29499,0,0,0,3,4,17,3,3,9,28,38,653,623,351,196,422,328,46,91,2462,1647,3942,2883,6825
LGA29799,0,0,0,0,0,0,0,0,0,0,0,16,0,3,0,0,0,0,0,9,0,27,4,25
LGA30250,0,0,0,0,0,0,0,0,3,0,0,72,68,7,3,13,5,9,16,347,363,449,459,901
LGA30300,0,0,0,0,4,35,3,4,16,46,64,901,880,65,49,135,105,39,149,605,515,1748,1692,3437
LGA30370,4,0,3,4,27,103,5,4,87,131,211,3132,3037,204,184,400,341,128,444,1910,1379,5769,5383,11152
LGA30410,0,0,0,0,9,18,3,0,18,28,51,602,594,46,36,78,80,46,103,375,331,1141,1143,2279
LGA30450,0,0,0,0,0,3,0,0,0,3,3,55,50,0,3,9,13,4,8,50,31,129,104,232
LGA30760,0,0,0,0,7,21,3,3,14,25,42,439,424,32,32,53,73,28,85,232,173,778,788,1572
LGA30900,0,0,0,0,0,0,0,0,0,0,0,66,51,5,8,12,12,3,5,100,80,189,156,351
LGA31000,108,75,341,725,2350,10211,373,769,7071,13833,20904,210869,211721,11548,13437,29664,43195,7585,30929,194482,178459,454147,477739,931879
LGA31750,0,0,0,0,0,0,0,0,3,0,7,82,57,4,7,13,7,8,11,56,51,160,128,289
LGA31820,13,6,45,67,288,1041,44,38,941,1408,2348,18907,18918,1503,1750,3704,4292,1203,4109,11908,10187,37236,39255,76488
LGA31900,3,0,11,11,58,241,12,3,173,293,463,3606,3614,263,213,591,544,232,793,2383,1802,7079,6960,14039
LGA31950,0,0,0,0,0,0,0,0,0,0,0,60,47,4,0,10,17,5,0,74,59,149,120,274
LGA32080,24,12,55,62,242,984,39,50,698,1284,1981,26162,26508,2184,2618,5800,7288,1133,4155,25611,23330,60893,63897,124795
LGA32250,0,0,0,0,3,0,3,0,9,0,10,296,271,28,24,89,61,21,33,363,356,803,743,1548
LGA32260,4,0,16,23,79,303,20,11,256,392,647,5565,5526,454,395,1224,1071,335,1110,4415,3359,11994,11469,23462
LGA32270,0,0,9,3,13,45,7,0,65,67,133,5608,5362,444,337,899,771,156,392,4087,3025,11196,9878,21073
LGA32310,0,0,10,0,29,99,4,11,76,133,211,2158,2186,145,198,415,466,133,449,1710,1470,4562,4761,9327
LGA32330,0,0,0,0,0,5,0,0,0,5,5,34,30,3,0,5,6,8,17,328,374,374,433,807
