LGA_CODE_2016,C16_85o_Seprtd_M,C16_85o_Seprtd_F,C16_85o_Divorce_M,C16_85o_Divorce_F,C16_85o_Wid_M,C16_85o_Wid_F,C16_85o_Nvr_mard_M,C16_85o_Nvr_mard_F,C16_85o_T_M,C16_85o_T_F,C16_85o_T_P,C16_T_Married_M,C16_T_Married_F,C16_Tot_Sep_M,C16_Tot_Sep_F,C16_Tot_Div_M,C16_Tot_Div_F,C16_Tot_Wid_M,C16_Tot_Wid_F,C16_Tot_nver_marrie_M,C16_Tot_nver_marrie_F,C16_Tot_T_M,C16_Tot_T_F,C16_Tot_T_P
LGA15900,10,13,71,129,527,2105,62,103,1372,2771,4148,26250,26282,1928,2121,5137,7185,1649,6030,28088,24543,63053,66161,129212
LGA15950,6,3,33,64,108,493,41,100,384,769,1146,12406,12395,711,735,2199,3524,371,1684,11921,13176,27605,31513,59115
LGA15990,37,18,133,322,808,3193,76,180,2456,4489,6945,53353,53587,2162,2589,6627,10268,2123,8444,33584,30289,97849,105173,203023
LGA16100,0,0,0,3,19,52,4,0,44,65,112,1082,1069,85,72,196,204,71,216,846,541,2278,2101,4375
LGA16150,3,8,11,31,121,467,7,19,311,605,921,7377,7355,498,643,1186,1744,412,1572,5674,5347,15142,16661,31801
LGA16200,0,0,5,8,43,211,10,11,154,283,438,2766,2756,204,213,485,518,174,733,2048,1754,5680,5981,11662
LGA16260,22,4,60,127,483,1823,44,90,1453,2453,3898,51444,50734,2000,2360,4873,7311,1521,6238,32001,26069,91838,92711,184550
LGA16350,17,7,37,80,311,1201,27,54,793,1529,2316,36628,36590,2563,3204,5358,7834,1488,5257,29666,26189,75700,79074,154775
LGA16380,12,10,41,91,354,1337,29,48,1145,1830,2981,16484,16570,1157,1386,3254,4254,1153,4144,8943,8100,30994,34451,65441
LGA16400,12,7,32,52,228,772,9,13,651,1026,1676,14495,14471,987,1095,2680,3381,925,2821,8842,7333,27935,29111,57039
LGA16490,7,4,19,23,79,336,15,5,247,434,680,11366,11284,690,685,1821,2199,437,1373,8125,7082,22443,22624,45061
LGA16550,21,18,55,145,339,1390,113,191,1129,2053,3181,23253,22787,1236,1457,3273,4893,934,4040,29804,28019,58503,61199,119698
LGA16610,4,6,9,20,84,302,14,16,239,394,634,4134,4107,357,382,990,1064,308,1088,3301,2703,9100,9347,18441
LGA16650,25,12,51,95,350,1249,69,84,1117,1702,2817,22806,22603,1255,1480,2836,4208,965,3942,17254,14633,45121,46861,91982
LGA16700,12,3,41,99,379,1357,48,143,1079,1895,2972,24743,24896,903,1078,2317,3800,911,3761,17844,17080,46719,50619,97335
LGA16900,12,6,17,39,175,608,10,11,538,839,1377,13678,13714,852,1086,2005,2948,718,2399,9211,8239,26461,28388,54854
LGA16950,20,4,65,103,474,1291,41,43,1301,1861,3160,20696,20518,1550,1618,4060,4949,1655,4679,12932,10667,40891,42438,83332
LGA17000,0,0,6,12,54,160,7,17,114,226,343,4594,4579,299,302,701,748,210,631,3455,2626,9250,8877,18127
LGA17040,10,0,9,17,66,238,18,3,174,285,460,4008,3896,339,255,780,818,246,744,3262,2403,8637,8118,16754
LGA17080,0,0,6,6,50,220,10,7,159,276,430,2948,2930,199,208,539,506,224,665,2048,1515,5962,5830,11789
LGA17100,5,3,3,19,89,366,19,19,280,474,752,8730,8634,332,409,656,1066,224,1138,7286,5618,17225,16861,34086
LGA17150,23,18,67,217,729,2813,81,112,2126,3827,5947,47397,47624,2002,2540,5342,8441,2002,7648,28517,25292,85265,91552,176814
LGA17200,22,10,48,104,187,741,125,115,709,1075,1790,25361,24566,2051,1844,6292,7431,804,3099,66278,56604,100789,93549,194336
LGA17310,3,3,25,42,163,708,18,37,493,942,1437,11289,11343,851,1037,1907,2463,642,2542,8155,7320,22837,24711,47550
LGA17350,3,0,3,4,26,102,4,12,76,135,210,1290,1293,86,85,207,203,77,332,744,609,2408,2527,4934
LGA17400,3,0,0,4,23,90,4,8,55,116,176,1338,1338,119,121,350,361,103,349,831,683,2739,2845,5591
LGA17420,6,5,16,55,219,932,15,30,748,1247,2000,37814,38331,1005,1353,2343,4075,888,3670,18137,16002,60193,63430,123621
LGA17550,26,18,104,137,513,1532,41,58,1453,2132,3581,17669,17703,1299,1567,3923,5329,1437,4672,11912,10534,36237,39810,76052
LGA17620,0,0,8,7,43,169,12,12,135,216,352,2837,2794,201,189,454,519,171,578,1856,1614,5515,5691,11207
LGA17640,4,0,3,0,32,72,8,3,82,97,184,1730,1729,122,97,295,290,132,316,927,709,3206,3138,6346
LGA17650,3,0,0,0,18,55,0,3,44,76,118,1305,1292,88,76,234,250,59,238,671,671,2363,2530,4888
LGA17750,11,9,22,37,178,675,15,41,488,887,1372,11666,11475,766,938,1656,2297,553,2181,9357,8800,23997,25689,49690
LGA17850,0,0,4,3,13,47,0,0,33,61,96,723,707,41,30,99,85,45,172,371,283,1284,1276,2556
LGA17900,0,0,0,7,10,30,6,3,34,43,77,866,845,129,91,311,223,88,211,1215,910,2608,2275,4885
LGA17950,0,0,0,3,10,30,0,5,24,41,60,548,543,48,33,64,72,42,114,381,307,1084,1069,2153
LGA18020,0,0,6,3,45,139,0,11,126,183,305,1911,1889,149,167,407,376,172,454,1199,972,3844,3856,7699
LGA18050,10,6,27,75,158,673,83,61,566,941,1513,10674,10770,559,612,1706,2482,390,1834,13628,13449,26955,29153,56111
LGA18100,0,0,4,0,20,68,3,0,59,82,148,830,819,64,63,152,119,71,197,404,338,1519,1530,3051
LGA18200,0,0,3,0,23,62,3,0,52,88,135,1437,1436,117,85,268,197,84,228,930,740,2831,2683,5519
LGA18230,3,7,17,32,145,500,13,28,412,666,1081,9193,9064,668,824,1503,1907,542,1919,7327,6767,19222,20481,39702
LGA18250,12,5,29,60,194,752,32,69,647,1078,1731,16106,16579,490,673,1361,2394,487,2021,9804,9978,28247,31651,59899
LGA18350,8,5,22,47,154,639,14,39,536,894,1428,10509,10522,546,683,1521,2475,548,2119,5488,5056,18615,20861,39473
LGA18400,3,0,11,12,89,305,9,9,247,404,652,10289,10368,531,590,1231,1572,375,1204,6232,5449,18662,19180,37840
LGA18450,29,19,74,144,670,2537,58,70,1942,3313,5253,38927,39036,2340,2764,6067,8479,2218,8193,32256,26799,81811,85266,167073
LGA18500,9,4,36,75,150,691,35,73,588,1014,1599,9999,10199,396,503,1380,2476,387,1878,8836,9712,21001,24768,45764
LGA18710,0,0,3,4,38,152,5,4,107,183,296,3543,3534,191,177,483,560,149,516,1816,1783,6181,6564,12744
LGA19399,0,0,0,0,3,8,0,0,5,10,22,238,232,15,9,38,14,12,30,168,120,466,400,869
LGA19499,6,0,9,9,8,26,7,3,32,48,78,1157,1181,635,257,980,569,143,185,4049,2395,6958,4590,11545
LGA19799,0,0,0,0,3,3,0,0,3,7,10,102,119,3,8,10,29,7,21,26,35,157,220,374
LGA20110,0,3,9,4,48,173,6,8,153,237,383,2711,2695,194,167,463,534,155,592,1557,1317,5074,5307,10384
LGA20260,0,0,3,7,55,169,8,13,127,225,359,2437,2209,207,183,427,403,196,545,1954,1234,5232,4572,9798
LGA20570,15,12,35,73,286,1193,34,74,806,1601,2409,18076,18176,1280,1722,2960,4651,1038,3987,15536,14796,38889,43329,82219
LGA20660,23,9,40,102,396,1533,30,52,1188,2066,3253,25245,25384,1196,1511,2845,4710,1180,4352,17463,15966,47926,51928,99850
LGA20740,3,0,25,35,155,499,16,18,446,695,1143,6857,6836,542,585,1392,1777,511,1569,3858,3531,13158,14301,27459
LGA20830,10,3,14,25,122,528,14,22,403,706,1112,10110,10147,605,740,1496,2023,515,1831,6110,5602,18841,20347,39188
