LGA_CODE_2016,C16_SH_Tot_NPFH_6_mor,C16_SH_T_T,C16_SDRTHT_0b_NPFH_2,C16_SDRTHT_0b_NPFH_3,C16_SDRTHT_0b_NPFH_4,C16_SDRTHT_0b_NPFH_5,C16_SDRTHT_0b_NPFH_6_mor,C16_SDRTHT_0bTotal,C16_SDRTHT_1b_NPFH_2,C16_SDRTHT_1b_NPFH_3,C16_SDRTHT_1b_NPFH_4,C16_SDRTHT_1b_NPFH_5,C16_SDRTHT_1b_NPFH_6_mor,C16_SDRTHT_1b_Tot,C16_SDRTHT_2b_NPFH_2,C16_SDRTHT_2b_NPFH_3,C16_SDRTHT_2b_NPFH_4,C16_SDRTHT_2b_NPFH_5,C16_SDRTHT_2b_NPFH_6_mor,C16_SDRTHT_2b_Tot,C16_SDRTHT_3b_NPFH_2,C16_SDRTHT_3b_NPFH_3,C16_SDRTHT_3b_NPFH_4,C16_SDRTHT_3b_NPFH_5,C16_SDRTHT_3b_NPFH_6_mor,C16_SDRTHT_3b_Tot,C16_SDRTHT_4mb_NPFH_2,C16_SDRTHT_4mb_NPFH_3,C16_SDRTHT_4mb_NPFH_4,C16_SDRTHT_4mb_NPFH_5,C16_SDRTHT_4mb_NPFH_6_mor,C16_SDRTHT_4mb_Tot,C16_SDRTHT_NB_NS_NPFH_2,C16_SDRTHT_NB_NS_NPFH_3,C16_SDRTHT_NB_NS_NPFH_4,C16_SDRTHT_NB_NS_NPFH_5,C16_SDRTHT_NB_NS_NPFH_6_mor,C16_SDRTHT_NB_NS_T,C16_SDRTHT_Tot_NPFH_2,C16_SDRTHT_Tot_NPFH_3,C16_SDRTHT_Tot_NPFH_4,C16_SDRTHT_Tot_NPFH_5,C16_SDRTHT_Tot_NPFH_6_mor,C16_SDRTHT_T_T,C16_FUA_0b_NPFH_2,C16_FUA_0b_NPFH_3,C16_FUA_0b_NPFH_4,C16_FUA_0b_NPFH_5,C16_FUA_0b_NPFH_6_mor,C16_FUA_0bTotal,C16_FUA_1b_NPFH_2,C16_FUA_1b_NPFH_3,C16_FUA_1b_NPFH_4,C16_FUA_1b_NPFH_5,C16_FUA_1b_NPFH_6_mor,C16_FUA_1b_Tot,C16_FUA_2b_NPFH_2,C16_FUA_2b_NPFH_3,C16_FUA_2b_NPFH_4,C16_FUA_2b_NPFH_5,C16_FUA_2b_NPFH_6_mor,C16_FUA_2b_Tot,C16_FUA_3b_NPFH_2,C16_FUA_3b_NPFH_3,C16_FUA_3b_NPFH_4,C16_FUA_3b_NPFH_5,C16_FUA_3b_NPFH_6_mor,C16_FUA_3b_Tot,C16_FUA_4mb_NPFH_2,C16_FUA_4mb_NPFH_3,C16_FUA_4mb_NPFH_4,C16_FUA_4mb_NPFH_5,C16_FUA_4mb_NPFH_6_mor,C16_FUA_4mb_Tot,C16_FUA_NB_NS_NPFH_2,C16_FUA_NB_NS_NPFH_3,C16_FUA_NB_NS_NPFH_4,C16_FUA_NB_NS_NPFH_5,C16_FUA_NB_NS_NPFH_6_mor,C16_FUA_NB_NS_T,C16_FUA_Tot_NPFH_2,C16_FUA_Tot_NPFH_3,C16_FUA_Tot_NPFH_4,C16_FUA_Tot_NPFH_5,C16_FUA_Tot_NPFH_6_mor,C16_FUA_T_T,C16_OD_0b_NPFH_2,C16_OD_0b_NPFH_3,C16_OD_0b_NPFH_4,C16_OD_0b_NPFH_5,C16_OD_0b_NPFH_6_mor,C16_OD_0bTotal,C16_OD_1b_NPFH_2,C16_OD_1b_NPFH_3,C16_OD_1b_NPFH_4,C16_OD_1b_NPFH_5,C16_OD_1b_NPFH_6_mor,C16_OD_1b_Tot,C16_OD_2b_NPFH_2,C16_OD_2b_NPFH_3,C16_OD_2b_NPFH_4,C16_OD_2b_NPFH_5,C16_OD_2b_NPFH_6_mor,C16_OD_2b_Tot,C16_OD_3b_NPFH_2,C16_OD_3b_NPFH_3,C16_OD_3b_NPFH_4,C16_OD_3b_NPFH_5,C16_OD_3b_NPFH_6_mor,C16_OD_3b_Tot,C16_OD_4mb_NPFH_2,C16_OD_4mb_NPFH_3,C16_OD_4mb_NPFH_4,C16_OD_4mb_NPFH_5,C16_OD_4mb_NPFH_6_mor,C16_OD_4mb_Tot,C16_OD_NB_NS_NPFH_2,C16_OD_NB_NS_NPFH_3,C16_OD_NB_NS_NPFH_4,C16_OD_NB_NS_NPFH_5,C16_OD_NB_NS_NPFH_6_mor,C16_OD_NB_NS_T,C16_OD_Tot_NPFH_2,C16_OD_Tot_NPFH_3,C16_OD_Tot_NPFH_4,C16_OD_Tot_NPFH_5,C16_OD_Tot_NPFH_6_mor,C16_OD_T_T,C16_DS_NS_NPFH_2,C16_DS_NS_NPFH_3,C16_DS_NS_NPFH_4,C16_DS_NS_NPFH_5,C16_DS_NS_NPFH_6_mor,C16_DS_NS_T,C16_Tot_NPFH_2,C16_Tot_NPFH_3,C16_Tot_NPFH_4,C16_Tot_NPFH_5,C16_Tot_NPFH_6_mor,C16_T_T
LGA10050,400,11394,0,0,0,0,0,0,40,7,0,0,0,45,491,138,55,11,6,699,162,74,45,10,7,301,11,14,13,3,4,38,16,3,0,0,0,22,718,238,110,29,12,1098,0,0,0,0,0,0,4,0,0,0,0,3,45,20,5,0,0,74,9,8,0,0,0,17,0,0,0,0,0,3,3,0,0,0,0,6,60,30,10,0,0,106,0,0,0,0,0,0,3,0,0,0,0,3,12,3,0,0,0,12,6,6,0,0,0,14,0,3,0,0,0,3,0,0,0,0,0,0,28,12,0,0,0,45,19,4,0,3,3,26,6126,2615,2493,1033,415,12674
LGA10130,271,6231,0,0,0,0,0,0,12,0,0,0,0,16,133,34,36,7,0,208,38,29,22,6,0,97,3,3,4,0,3,17,3,0,0,0,0,4,192,68,54,15,4,338,0,0,0,0,0,0,11,3,0,0,0,14,66,16,17,5,4,101,15,5,0,3,3,31,3,0,0,0,0,10,0,0,0,0,0,4,96,33,16,9,9,156,0,0,0,0,0,5,3,0,0,0,0,3,4,0,0,0,0,3,9,0,0,0,0,12,0,3,0,0,0,4,0,0,0,0,0,0,16,6,0,0,3,28,27,10,3,6,0,48,3346,1343,1242,591,290,6803
LGA10250,312,8704,0,0,0,0,0,0,9,0,0,3,0,17,452,109,43,7,0,609,570,230,147,44,5,999,45,41,23,23,5,139,17,6,0,0,0,30,1093,385,216,80,17,1788,0,0,0,0,0,0,4,0,0,0,0,7,160,31,12,0,0,196,87,42,18,3,3,147,3,0,6,0,0,13,3,0,0,0,0,3,254,70,31,3,5,366,7,0,0,0,0,5,18,0,0,0,0,21,85,13,0,0,0,93,20,5,0,0,0,28,0,0,3,0,0,6,3,0,3,0,0,5,135,14,12,0,0,158,25,13,6,10,0,54,5786,2167,1964,822,332,11067
LGA10300,38,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,5,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,3,0,0,0,0,5,270,112,79,73,38,563
LGA10470,439,9133,3,0,0,0,0,3,20,3,0,0,0,19,199,41,15,0,0,253,132,56,50,10,3,245,11,12,9,3,3,40,3,0,0,0,0,8,373,114,70,17,7,573,0,0,0,0,0,0,15,0,0,0,0,13,81,19,14,0,0,111,23,11,4,0,0,36,4,0,3,0,0,7,3,0,0,0,0,4,117,29,17,4,3,176,0,0,0,0,0,0,3,0,0,0,0,3,10,0,0,3,0,9,3,0,0,0,0,3,0,0,0,4,0,7,0,0,0,0,0,0,18,3,0,3,0,26,16,4,3,0,0,29,4458,2037,2053,937,452,9934
LGA10550,283,7962,0,0,0,0,0,0,9,0,0,0,0,13,229,38,5,0,0,269,143,46,17,10,0,216,20,8,3,4,0,34,12,3,0,0,0,10,411,91,30,10,0,546,0,0,0,0,0,0,12,0,0,0,0,12,60,14,3,0,0,80,46,16,6,3,0,76,3,3,3,0,0,11,8,0,0,0,0,10,127,36,14,4,0,186,3,0,0,0,0,3,20,0,0,0,0,24,22,8,3,0,0,29,23,8,3,0,0,28,5,3,0,0,0,5,5,0,0,0,0,3,76,13,8,0,0,101,61,10,5,3,3,84,5167,1574,1293,557,284,8873
LGA10600,115,3155,0,0,0,0,0,0,0,0,0,0,0,0,17,4,7,0,0,27,24,13,12,3,0,57,8,6,7,0,0,28,3,0,0,0,0,3,58,23,27,3,0,110,0,0,0,0,0,0,3,0,0,0,0,3,18,3,0,0,0,27,6,0,3,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,30,6,4,0,0,41,0,0,0,0,0,0,6,0,0,0,0,6,7,0,0,0,0,8,3,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,23,0,3,0,0,29,21,5,3,0,3,28,1777,659,583,231,114,3370
LGA10650,80,1988,0,0,0,0,0,0,3,0,0,0,0,3,14,0,0,0,0,14,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,15,3,3,0,0,0,6,0,3,0,0,0,3,3,0,0,0,0,3,26,6,0,0,0,29,3,0,0,0,0,3,5,0,0,0,0,7,9,0,4,0,0,15,9,3,3,0,0,16,8,3,3,3,0,11,3,0,0,0,0,3,37,6,10,3,0,54,0,0,0,0,0,4,1219,321,321,162,82,2103
LGA10750,6623,66400,8,3,6,6,7,24,113,16,6,3,3,143,561,331,221,53,23,1189,1805,1934,1883,727,356,6706,886,1032,1715,770,519,4923,76,38,35,20,23,189,3451,3349,3867,1575,930,13176,0,4,3,3,0,17,107,22,6,0,0,140,1031,756,481,122,53,2448,125,170,177,72,32,577,17,18,29,17,13,89,34,26,16,3,0,76,1315,991,709,216,99,3336,3,0,0,0,0,3,13,0,0,0,0,16,59,23,12,3,3,94,25,20,21,12,4,90,15,9,7,5,4,42,0,0,0,0,0,3,113,53,40,19,18,248,67,70,40,24,18,218,22954,19689,22397,10651,7684,83375
LGA10800,81,1449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,10,9,4,4,4,0,20,789,248,209,159,81,1486
