LGA_CODE_2016,C06_CF_BPT_1000_1499,C06_CF_BPT_1500_1999,C06_CF_BPT_2000_2499,C06_CF_BPT_2500_2999,C06_CF_BPT_3000_3999,C06_CF_BPT_4000m,C06_CF_BPT_Ns,C06_CF_BPT_T,C06_CF_1F1P_N,C06_CF_1F1P_1_149,C06_CF_1F1P_150_299,C06_CF_1F1P_300_399,C06_CF_1F1P_400_499,C06_CF_1F1P_500_649,C06_CF_1F1P_650_799,C06_CF_1F1P_800_999,C06_CF_1F1P_1000_1499,C06_CF_1F1P_1500_1999,C06_CF_1F1P_2000_2499,C06_CF_1F1P_2500_2999,C06_CF_1F1P_3000_3999,C06_CF_1F1P_4000m,C06_CF_1F1P_Ns,C06_CF_1F1P_T,C06_CF_1E1A_N,C06_CF_1E1A_1_149,C06_CF_1E1A_150_299,C06_CF_1E1A_300_399,C06_CF_1E1A_400_499,C06_CF_1E1A_500_649,C06_CF_1E1A_650_799,C06_CF_1E1A_800_999,C06_CF_1E1A_1000_1499,C06_CF_1E1A_1500_1999,C06_CF_1E1A_2000_2499,C06_CF_1E1A_2500_2999,C06_CF_1E1A_3000_3999,C06_CF_1E1A_4000_mr,C06_CF_1E1A_Ns,C06_CF_1E1A_T,C06_CF_1F1NW_N,C06_CF_1F1NW_1_149,C06_CF_1F1NW_150_299,C06_CF_1F1NW_300_399,C06_CF_1F1NW_400_499,C06_CF_1F1NW_500_649,C06_CF_1F1NW_650_799,C06_CF_1F1NW_800_999,C06_CF_1F1NW_1000_1499,C06_CF_1F1NW_1500_1999,C06_CF_1F1NW_2000_2499,C06_CF_1F1NW_2500_2999,C06_CF_1F1NW_3000_3999,C06_CF_1F1NW_4000mo,C06_CF_1F1NW_Ns,C06_CF_1F1NW_Tot,C06_CF_1P1NW_N,C06_CF_1P1NW_1_149,C06_CF_1P1NW_150_299,C06_CF_1P1NW_300_399,C06_CF_1P1NW_400_499,C06_CF_1P1NW_500_649,C06_CF_1P1NW_650_799,C06_CF_1P1NW_800_999,C06_CF_1P1NW_1000_1499,C06_CF_1P1NW_1500_1999,C06_CF_1P1NW_2000_2499,C06_CF_1P1NW_2500_2999,C06_CF_1P1NW_3000_3999,C06_CF_1P1NW_4000_mr,C06_CF_1P1NW_Ns,C06_CF_1P1NW_T,C06_CF_1A1NW_N,C06_CF_1A1NW_1_149,C06_CF_1A1NW_150_299,C06_CF_1A1NW_300_399,C06_CF_1A1NW_400_499,C06_CF_1A1NW_500_649,C06_CF_1A1NW_650_799,C06_CF_1A1NW_800_999,C06_CF_1A1NW_1000_1499,C06_CF_1A1NW_1500_1999,C06_CF_1A1NW_2000_2499,C06_CF_1A1NW_2500_2999,C06_CF_1A1NW_3000_3999,C06_CF_1A1NW_4000m,C06_CF_1A1NW_Ns,C06_CF_1A1NW_T,C06_CF_BA_N,C06_CF_BA_1_149,C06_CF_BA_150_299,C06_CF_BA_300_399,C06_CF_BA_400_499,C06_CF_BA_500_649,C06_CF_BA_650_799,C06_CF_BA_800_999,C06_CF_BA_1000_1499,C06_CF_BA_1500_1999,C06_CF_BA_2000_2499,C06_CF_BA_2500_2999,C06_CF_BA_3000_3999,C06_CF_BA_4000_more,C06_CF_BA_Ns,C06_fc_BA_Tot,C06_CF_BNW_N,C06_CF_BNW_1_149,C06_CF_BNW_150_299,C06_CF_BNW_300_399,C06_CF_BNW_400_499,C06_CF_BNW_500_649,C06_CF_BNW_650_799,C06_CF_BNW_800_999,C06_CF_BNW_1000_1499,C06_CF_BNW_1500_1999,C06_CF_BNW_2000_2499,C06_CF_BNW_2500_2999,C06_CF_BNW_3000_3999,C06_CF_BNW_4000_more,C06_CF_BNW_Ns,C06_CF_BNW_Tot,C06_CF_LFns_N,C06_CF_LFns_1_149,C06_CF_LFns_150_299,C06_CF_LFns_300_399,C06_CF_LFns_400_499,C06_CF_LFns_500_649,C06_CF_LFns_650_799,C06_CF_LFns_800_999,C06_CF_LFns_1000_1499,C06_CF_LFns_1500_1999,C06_CF_LFns_2000_2499,C06_CF_LFns_2500_2999,C06_CF_LFns_3000_3999,C06_CF_LFns_4000_more,C06_CF_LFns_Ns,C06_CF_LFns_Tot,C06_CF_Tot_N,C06_CF_Tot_1_149,C06_CF_Tot_150_299,C06_CF_Tot_300_399,C06_CF_Tot_400_499,C06_CF_Tot_500_649,C06_CF_Tot_650_799,C06_CF_Tot_800_999,C06_CF_Tot_1000_1499,C06_CF_Tot_1500_1999,C06_CF_Tot_2000_2499,C06_CF_Tot_2500_2999,C06_CF_Tot_3000_3999,C06_CF_Tot_4000_more,C06_CF_TFI_Ns,C06_CF_T_T,C06_1PF_F_N,C06_1PF_F_1_149,C06_1PF_F_150_299,C06_1PF_F_300_399,C06_1PF_F_400_499,C06_1PF_F_500_649,C06_1PF_F_650_799,C06_1PF_F_800_999,C06_1PF_F_1000_1499,C06_1PF_F_1500_1999,C06_1PF_F_2000_2499,C06_1PF_F_2500_2999,C06_1PF_F_3000_3999,C06_1PF_F_4000_more,C06_1PF_F_Ns,C06_1PF_F_T,C06_1PF_P_N,C06_1PF_P_1_149,C06_1PF_P_150_299,C06_1PF_P_300_399,C06_1PF_P_400_499,C06_1PF_P_500_649,C06_1PF_P_650_799,C06_1PF_P_800_999,C06_1PF_P_1000_1499,C06_1PF_P_1500_1999,C06_1PF_P_2000_2499,C06_1PF_P_2500_2999,C06_1PF_P_3000_3999,C06_1PF_P_4000_more,C06_1PF_P_Ns,C06_1PF_P_T,C06_1PF_A_N,C06_1PF_A_1_149,C06_1PF_A_150_299,C06_1PF_A_300_399,C06_1PF_A_400_499,C06_1PF_A_500_649,C06_1PF_A_650_799,C06_1PF_A_800_999,C06_1PF_A_1000_1499,C06_1PF_A_1500_1999,C06_1PF_A_2000_2499,C06_1PF_A_2500_2999,C06_1PF_A_3000_3999,C06_1PF_A_4000_more,C06_1PF_A_Ns,C06_1PF_A_T
LGA10050,44,29,16,5,7,0,15,161,0,4,0,3,0,14,29,77,583,432,211,101,80,25,130,1691,0,0,0,0,0,0,6,7,64,47,32,11,14,5,28,216,5,0,0,0,3,46,91,121,345,132,33,61,21,4,71,943,0,3,0,4,8,25,16,35,35,15,8,7,0,0,19,185,0,0,3,0,0,8,4,15,23,10,8,8,0,0,9,85,0,0,0,0,0,0,3,4,10,18,4,3,3,0,15,61,4,5,9,7,35,61,30,35,47,20,6,0,5,3,38,304,0,0,0,0,0,3,3,0,3,10,3,4,0,0,264,287,11,13,18,13,57,173,202,319,1362,965,525,361,206,79,702,5005,3,4,0,0,0,52,95,83,172,53,14,8,3,0,58,551,0,0,23,79,4,136,75,41,60,8,0,0,0,0,50,486,0,4,3,5,0,7,7,7,11,0,0,0,0,0,4,57
LGA10130,33,10,7,3,3,0,16,109,0,0,0,0,0,13,24,50,275,196,78,55,28,4,62,797,0,0,0,0,0,3,3,7,26,20,17,8,3,3,9,102,0,4,0,0,0,27,67,49,163,49,13,29,5,4,32,451,0,0,3,10,9,42,25,21,25,9,0,0,4,0,10,160,0,0,0,0,6,6,7,4,16,4,3,0,0,0,0,48,0,0,0,0,0,0,0,3,14,3,4,3,0,3,4,36,8,3,9,11,28,58,16,32,34,5,3,3,0,0,33,237,0,0,0,0,0,0,0,4,0,5,0,0,0,0,189,198,13,17,17,23,53,171,161,197,757,445,244,178,114,26,439,2841,0,0,0,7,0,30,50,36,80,19,6,6,0,0,43,279,0,10,16,30,0,82,35,16,40,9,0,0,0,0,18,258,0,0,0,0,0,7,9,3,5,0,0,0,0,0,6,23
LGA10250,84,28,16,5,3,0,27,240,3,0,0,0,3,23,40,67,421,247,129,58,61,11,146,1214,0,0,3,0,0,9,3,10,52,31,24,11,3,0,17,161,3,3,0,0,3,31,73,96,216,77,23,42,13,5,49,638,0,0,0,5,15,52,32,41,59,17,11,8,5,4,24,275,0,0,0,0,0,3,11,14,9,6,0,9,0,0,12,63,0,0,0,0,0,3,0,0,12,8,3,0,0,3,16,48,4,3,9,3,38,83,38,53,63,25,9,0,0,0,51,380,0,0,0,0,0,5,0,0,3,3,0,0,0,0,193,217,12,8,17,21,67,263,226,338,1073,605,332,218,151,54,616,3999,0,3,4,9,0,47,66,58,111,32,4,5,4,0,59,407,3,8,25,87,8,170,83,38,48,6,0,3,0,0,43,532,0,0,0,7,0,15,3,0,5,0,0,0,0,0,11,54
LGA10300,0,0,0,0,0,0,0,4,0,0,0,0,0,9,5,9,29,13,0,3,0,0,12,81,0,0,0,0,0,0,0,0,9,3,0,0,0,0,4,13,0,0,0,0,0,4,8,6,17,3,0,0,0,0,8,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,3,3,3,0,0,0,0,0,0,0,3,20,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,21,3,0,4,6,10,24,18,17,75,30,16,9,0,3,65,273,0,0,0,0,0,0,3,3,9,0,0,0,0,0,3,17,0,0,0,5,0,6,5,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10470,33,21,4,5,0,0,14,111,3,3,0,0,0,15,41,68,365,330,176,87,71,16,90,1266,0,0,0,0,0,7,3,7,60,47,30,26,15,0,18,204,0,3,4,4,0,27,57,93,263,78,24,47,11,6,55,687,0,0,0,7,3,23,12,19,30,11,6,3,0,0,17,137,0,0,0,0,0,7,10,10,25,3,0,0,3,0,10,62,0,0,0,0,0,0,0,0,12,14,8,0,0,0,9,48,4,4,3,7,26,54,24,30,38,12,4,3,0,0,30,233,0,0,0,0,0,3,4,6,3,0,3,0,0,0,231,253,13,10,9,21,41,157,160,251,1000,753,436,329,184,55,562,3973,4,0,7,6,3,37,52,44,124,40,3,4,0,0,55,386,0,6,8,40,8,101,57,33,31,11,0,0,0,0,23,308,0,0,0,4,0,3,9,3,7,3,0,0,0,0,4,39
LGA10550,63,16,4,4,0,0,26,219,3,0,0,3,12,25,37,75,357,207,75,46,25,3,93,958,0,3,0,0,0,11,5,10,43,20,10,0,0,0,22,135,0,0,11,3,0,47,60,108,192,50,8,18,4,0,47,548,0,0,11,8,14,49,33,26,51,9,5,5,0,0,22,228,0,0,3,3,0,5,15,13,21,0,3,3,0,0,8,74,0,0,0,0,0,3,0,5,13,11,0,0,0,0,4,38,3,9,10,12,50,74,32,30,48,10,3,0,0,0,37,327,0,0,0,0,3,0,0,4,6,0,0,0,0,0,205,219,13,17,38,32,102,275,220,321,948,433,188,114,54,10,521,3285,0,3,0,6,0,37,35,31,53,17,3,4,0,0,21,219,0,3,12,89,8,134,36,28,26,0,0,0,0,0,40,386,0,0,3,3,0,8,4,3,3,0,0,0,0,0,5,33
LGA10600,28,13,0,0,0,0,15,107,0,0,0,3,4,14,16,22,114,57,24,8,5,0,32,282,0,0,0,0,0,3,0,5,15,12,7,0,0,0,4,46,0,0,4,0,0,15,27,42,73,14,5,7,3,0,26,212,0,0,4,3,9,26,16,13,24,6,0,0,0,0,13,121,0,0,0,0,0,0,0,5,10,0,0,0,0,0,3,24,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,14,0,0,4,5,27,42,21,18,32,4,0,0,0,0,23,178,3,0,0,0,0,3,3,0,0,0,0,0,0,0,97,103,3,4,18,11,49,130,95,134,347,155,70,25,12,3,217,1277,0,0,0,6,0,24,10,8,26,3,0,0,0,0,30,105,0,3,10,32,0,69,23,8,12,3,0,0,0,0,26,185,0,0,0,4,0,8,3,0,0,0,0,0,0,0,3,15
LGA10650,7,3,0,0,0,0,3,28,3,0,4,0,0,11,7,22,119,46,21,4,5,0,27,263,0,0,0,0,0,8,0,4,17,3,4,0,0,0,3,42,0,0,5,0,0,12,22,26,48,12,3,3,0,0,7,139,0,0,0,3,3,8,3,0,8,0,0,0,0,0,0,34,0,0,0,0,0,3,0,0,6,0,0,0,0,0,3,16,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,18,0,3,0,0,10,4,4,4,5,5,0,0,0,0,11,43,0,0,0,0,0,3,0,0,3,0,0,0,0,0,57,62,4,10,7,3,15,70,43,73,255,107,60,18,14,8,148,831,0,0,0,4,0,11,12,15,16,3,3,0,0,0,9,68,0,0,4,11,0,21,6,3,0,0,0,0,0,0,8,66,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,9
LGA10750,267,166,85,44,28,9,88,882,14,17,5,9,10,94,110,324,2463,2052,1160,612,435,104,602,8004,9,5,0,5,3,15,21,45,397,364,290,167,113,36,187,1666,21,19,20,74,46,437,810,1169,3110,1221,387,626,164,39,754,8901,5,18,48,69,71,297,190,212,376,136,68,30,17,4,184,1723,10,4,9,18,16,61,87,105,208,90,30,25,9,6,161,843,8,3,0,3,0,11,4,23,97,93,63,38,38,6,103,495,88,118,119,89,464,610,301,417,723,343,141,48,34,18,599,4111,4,6,6,4,16,31,35,35,66,41,14,15,12,0,1802,2079,194,211,218,271,653,1665,1636,2465,9439,6675,4402,2894,1776,501,5341,38341,8,5,26,52,9,254,471,448,1035,454,205,100,41,7,412,3535,4,29,86,272,24,618,306,185,311,98,35,16,6,0,185,2178,6,0,5,31,5,53,39,35,59,36,13,5,3,0,70,370
LGA10800,3,3,0,0,0,0,0,11,0,0,0,0,5,13,15,11,73,23,9,11,6,0,24,206,0,0,0,0,0,0,0,0,9,3,5,0,0,0,3,31,0,4,3,0,3,12,14,18,51,15,3,5,0,0,23,151,0,0,0,3,0,4,3,3,3,0,0,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,3,0,0,0,0,0,7,13,0,4,3,3,9,14,4,4,11,3,0,0,0,0,8,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,41,8,12,7,10,25,65,40,51,200,90,40,29,15,3,127,718,0,3,0,6,0,3,10,5,11,3,0,0,0,0,3,49,0,0,3,14,0,12,3,9,3,0,0,0,0,0,3,44,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,10
