LGA_NAME16	Year	Sex	labourForceParticipation
Albury (C)	2006	F	56.3
Albury (C)	2006	M	68.9
Albury (C)	2011	F	57.1
Albury (C)	2011	M	67
Albury (C)	2016	F	55.6
Albury (C)	2016	M	63.3
Armidale Regional (A)	2006	F	52.6
Armidale Regional (A)	2006	M	62.3
Armidale Regional (A)	2011	F	53
Armidale Regional (A)	2011	M	62.1
Armidale Regional (A)	2016	F	52.1
Armidale Regional (A)	2016	M	59
Ballina (A)	2006	F	51.3
Ballina (A)	2006	M	61.1
Ballina (A)	2011	F	51.2
Ballina (A)	2011	M	59.2
Ballina (A)	2016	F	49.9
Ballina (A)	2016	M	56.9
Balranald (A)	2006	F	55.7
Balranald (A)	2006	M	68.8
Balranald (A)	2011	F	51.7
Balranald (A)	2011	M	66.6
Balranald (A)	2016	F	51.9
Balranald (A)	2016	M	62.6
Bathurst Regional (A)	2006	F	57.1
Bathurst Regional (A)	2006	M	63.9
Bathurst Regional (A)	2011	F	57.3
Bathurst Regional (A)	2011	M	64
Bathurst Regional (A)	2016	F	56.5
Bathurst Regional (A)	2016	M	60
Bega Valley (A)	2006	F	48.4
Bega Valley (A)	2006	M	59.1
Bega Valley (A)	2011	F	49
Bega Valley (A)	2011	M	56.4
Bega Valley (A)	2016	F	47.1
Bega Valley (A)	2016	M	52.4
Bellingen (A)	2006	F	47
Bellingen (A)	2006	M	54.6
Bellingen (A)	2011	F	48.5
Bellingen (A)	2011	M	54.9
Bellingen (A)	2016	F	47.4
Bellingen (A)	2016	M	53.6
Berrigan (A)	2006	F	51.2
Berrigan (A)	2006	M	64.6
Berrigan (A)	2011	F	48.6
Berrigan (A)	2011	M	58.6
Berrigan (A)	2016	F	46.2
Berrigan (A)	2016	M	52.1
Blacktown (C)	2006	F	54.3
Blacktown (C)	2006	M	69.6
Blacktown (C)	2011	F	55.9
Blacktown (C)	2011	M	69.8
Blacktown (C)	2016	F	56.8
Blacktown (C)	2016	M	69
Bland (A)	2006	F	52.5
Bland (A)	2006	M	70.2
Bland (A)	2011	F	53.1
Bland (A)	2011	M	68.9
Bland (A)	2016	F	49.5
Bland (A)	2016	M	62.1
Blayney (A)	2006	F	53.2
Blayney (A)	2006	M	66.8
Blayney (A)	2011	F	53.8
Blayney (A)	2011	M	67.1
Blayney (A)	2016	F	55.3
Blayney (A)	2016	M	63.9
Blue Mountains (C)	2006	F	56.9
Blue Mountains (C)	2006	M	69.1
Blue Mountains (C)	2011	F	56.4
Blue Mountains (C)	2011	M	66.6
Blue Mountains (C)	2016	F	56.3
Blue Mountains (C)	2016	M	63.9
Bogan (A)	2006	F	54.5
Bogan (A)	2006	M	72.2
Bogan (A)	2011	F	52.9
Bogan (A)	2011	M	66.3
Bogan (A)	2016	F	51.9
Bogan (A)	2016	M	63.3
Botany Bay (C)	2006	F	52.5
Botany Bay (C)	2006	M	65.9
Botany Bay (C)	2011	F	55.1
Botany Bay (C)	2011	M	65.7
Botany Bay (C)	2016	F	58.4
Botany Bay (C)	2016	M	67.3
Bourke (A)	2006	F	58.5
Bourke (A)	2006	M	66.2
Bourke (A)	2011	F	56.4
Bourke (A)	2011	M	62.1
Bourke (A)	2016	F	50.8
Bourke (A)	2016	M	55.6
Brewarrina (A)	2006	F	49.5
Brewarrina (A)	2006	M	55.9
Brewarrina (A)	2011	F	49.2
Brewarrina (A)	2011	M	58.6
Brewarrina (A)	2016	F	45.1
Brewarrina (A)	2016	M	48.7
Broken Hill (C)	2006	F	43.1
Broken Hill (C)	2006	M	54.5
Broken Hill (C)	2011	F	45.8
Broken Hill (C)	2011	M	55.3
Broken Hill (C)	2016	F	48
Broken Hill (C)	2016	M	54.8
Burwood (A)	2006	F	50.5
Burwood (A)	2006	M	62.1
Burwood (A)	2011	F	53.3
Burwood (A)	2011	M	64.1
Burwood (A)	2016	F	53.5
Burwood (A)	2016	M	63.1
Byron (A)	2006	F	52.7
Byron (A)	2006	M	59.5
Byron (A)	2011	F	55.1
Byron (A)	2011	M	60.9
Byron (A)	2016	F	53
Byron (A)	2016	M	57.6
Cabonne (A)	2006	F	54.7
Cabonne (A)	2006	M	68.2
Cabonne (A)	2011	F	56.5
Cabonne (A)	2011	M	68.7
Cabonne (A)	2016	F	55.3
Cabonne (A)	2016	M	64.7
Camden (A)	2006	F	62.5
Camden (A)	2006	M	77.4
Camden (A)	2011	F	63.7
Camden (A)	2011	M	76.3
Camden (A)	2016	F	64.8
Camden (A)	2016	M	75.8
Campbelltown (C) (NSW)	2006	F	55.3
Campbelltown (C) (NSW)	2006	M	70.5
Campbelltown (C) (NSW)	2011	F	54.7
Campbelltown (C) (NSW)	2011	M	69.1
Campbelltown (C) (NSW)	2016	F	54.5
Campbelltown (C) (NSW)	2016	M	67.2
Canada Bay (A)	2006	F	58.6
Canada Bay (A)	2006	M	69.3
Canada Bay (A)	2011	F	59.4
Canada Bay (A)	2011	M	69.3
Canada Bay (A)	2016	F	59.2
Canada Bay (A)	2016	M	69
Canterbury-Bankstown (A)	2006	F	44.9
Canterbury-Bankstown (A)	2006	M	61.6
Canterbury-Bankstown (A)	2011	F	45.9
Canterbury-Bankstown (A)	2011	M	61.3
Canterbury-Bankstown (A)	2016	F	47.7
Canterbury-Bankstown (A)	2016	M	61.9
