LGA_NAME16	Year	adults
Adelaide (C)	2006	15692
Adelaide (C)	2011	18495
Adelaide (C)	2016	20855
Adelaide Hills (DC)	2006	30228
Adelaide Hills (DC)	2011	31034
Adelaide Hills (DC)	2016	31607
Albany (C)	2006	25069
Albany (C)	2011	26927
Albany (C)	2016	29805
Albury (C)	2006	36748
Albury (C)	2011	38512
Albury (C)	2016	41477
Alexandrina (DC)	2006	16960
Alexandrina (DC)	2011	19693
Alexandrina (DC)	2016	21836
Alice Springs (T)	2006	18318
Alice Springs (T)	2011	19612
Alice Springs (T)	2016	19551
Alpine (S)	2006	9833
Alpine (S)	2011	9849
Alpine (S)	2016	10376
Anangu Pitjantjatjara (AC)	2006	1619
Anangu Pitjantjatjara (AC)	2011	1806
Anangu Pitjantjatjara (AC)	2016	1726
Ararat (RC)	2006	9143
Ararat (RC)	2011	9207
Ararat (RC)	2016	9801
Armadale (C)	2006	39476
Armadale (C)	2011	48923
Armadale (C)	2016	61875
Armidale Regional (A)	2006	21985
Armidale Regional (A)	2011	22931
Armidale Regional (A)	2016	24117
Ashburton (S)	2006	4381
Ashburton (S)	2011	8211
Ashburton (S)	2016	11317
Augusta-Margaret River (S)	2006	8179
Augusta-Margaret River (S)	2011	9295
Augusta-Margaret River (S)	2016	11161
Aurukun (S)	2006	695
Aurukun (S)	2011	902
Aurukun (S)	2016	896
Ballarat (C)	2006	68312
Ballarat (C)	2011	75336
Ballarat (C)	2016	82228
Ballina (A)	2006	31235
Ballina (A)	2011	32229
Ballina (A)	2016	34859
Balonne (S)	2006	3447
Balonne (S)	2011	3521
Balonne (S)	2016	3435
Balranald (A)	2006	1920
Balranald (A)	2011	1807
Balranald (A)	2016	1811
Banana (S)	2006	11141
Banana (S)	2011	11059
Banana (S)	2016	11146
Banyule (C)	2006	94425
Banyule (C)	2011	97229
Banyule (C)	2016	99867
Barcaldine (R)	2006	2533
Barcaldine (R)	2011	2511
Barcaldine (R)	2016	2284
Barcoo (S)	2006	292
Barcoo (S)	2011	287
Barcoo (S)	2016	221
Barkly (R)	2006	4795
Barkly (R)	2011	4948
Barkly (R)	2016	4906
Barossa (DC)	2006	16453
Barossa (DC)	2011	17761
Barossa (DC)	2016	19179
Barunga West (DC)	2006	2090
Barunga West (DC)	2011	2070
Barunga West (DC)	2016	2192
Bass Coast (S)	2006	21939
Bass Coast (S)	2011	24567
Bass Coast (S)	2016	27470
Bassendean (T)	2006	11059
Bassendean (T)	2011	11845
Bassendean (T)	2016	12388
Bathurst Regional (A)	2006	28495
Bathurst Regional (A)	2011	30523
Bathurst Regional (A)	2016	33179
Baw Baw (S)	2006	29244
Baw Baw (S)	2011	34284
Baw Baw (S)	2016	39183
Bayside (C)	2006	70903
Bayside (C)	2011	73813
Bayside (C)	2016	78672
Bayswater (C)	2006	46977
Bayswater (C)	2011	51549
Bayswater (C)	2016	54477
Bega Valley (A)	2006	25005
Bega Valley (A)	2011	26356
Bega Valley (A)	2016	27990
Bellingen (A)	2006	9926
Bellingen (A)	2011	10066
Bellingen (A)	2016	10466
Belmont (C)	2006	25271
Belmont (C)	2011	29386
Belmont (C)	2016	33296
Belyuen (S)	2006	103
Belyuen (S)	2011	130
Belyuen (S)	2016	132
Benalla (RC)	2006	10851
Benalla (RC)	2011	11271
Benalla (RC)	2016	11691
Berri and Barmera (DC)	2006	8651
Berri and Barmera (DC)	2011	8490
Berri and Barmera (DC)	2016	8652
Berrigan (A)	2006	6440
Berrigan (A)	2011	6667
Berrigan (A)	2016	7004
Beverley (S)	2006	1281
Beverley (S)	2011	1297
Beverley (S)	2016	1480
Blackall-Tambo (R)	2006	1617
Blackall-Tambo (R)	2011	1767
Blackall-Tambo (R)	2016	1574
Blacktown (C)	2006	204891
Blacktown (C)	2011	229639
Blacktown (C)	2016	260298
Bland (A)	2006	4743
Bland (A)	2011	4577
Bland (A)	2016	4722
Blayney (A)	2006	5106
Blayney (A)	2011	5426
Blayney (A)	2016	5742
Blue Mountains (C)	2006	58959
Blue Mountains (C)	2011	61144
Blue Mountains (C)	2016	62829
Boddington (S)	2006	1035
Boddington (S)	2011	1850
Boddington (S)	2016	1437
Bogan (A)	2006	2195
Bogan (A)	2011	2212
Bogan (A)	2016	2145
Boroondara (C)	2006	126575
Boroondara (C)	2011	131405
Boroondara (C)	2016	138432
Botany Bay (C)	2006	29419
Botany Bay (C)	2011	32214
Botany Bay (C)	2016	38732
Boulia (S)	2006	337
Boulia (S)	2011	370
Boulia (S)	2016	349
Bourke (A)	2006	2280
Bourke (A)	2011	2150
Bourke (A)	2016	2012
Boyup Brook (S)	2006	1170
Boyup Brook (S)	2011	1244
Boyup Brook (S)	2016	1371
Break O'Day (M)	2006	4930
Break O'Day (M)	2011	5167
Break O'Day (M)	2016	5254
Brewarrina (A)	2006	1427
Brewarrina (A)	2011	1307
Brewarrina (A)	2016	1266
Bridgetown-Greenbushes (S)	2006	3110
Bridgetown-Greenbushes (S)	2011	3424
Bridgetown-Greenbushes (S)	2016	3842
Brighton (M)	2006	10199
