LGA_NAME16	Year	IndigenousStatus	persons
Albury (C)	2006	Aboriginal	928
Albury (C)	2006	Both Aboriginal & Torres Strait Islander	21
Albury (C)	2006	Non-indigenous	45311
Albury (C)	2006	Torres Strait Islander	25
Albury (C)	2011	Aboriginal	1044
Albury (C)	2011	Both Aboriginal & Torres Strait Islander	19
Albury (C)	2011	Non-indigenous	46698
Albury (C)	2011	Torres Strait Islander	47
Albury (C)	2016	Aboriginal	1363
Albury (C)	2016	Both Aboriginal & Torres Strait Islander	23
Albury (C)	2016	Non-indigenous	49661
Albury (C)	2016	Torres Strait Islander	29
Armidale Regional (A)	2006	Aboriginal	1655
Armidale Regional (A)	2006	Both Aboriginal & Torres Strait Islander	24
Armidale Regional (A)	2006	Non-indigenous	25891
Armidale Regional (A)	2006	Torres Strait Islander	25
Armidale Regional (A)	2011	Aboriginal	1913
Armidale Regional (A)	2011	Both Aboriginal & Torres Strait Islander	21
Armidale Regional (A)	2011	Non-indigenous	26552
Armidale Regional (A)	2011	Torres Strait Islander	17
Armidale Regional (A)	2016	Aboriginal	2113
Armidale Regional (A)	2016	Both Aboriginal & Torres Strait Islander	28
Armidale Regional (A)	2016	Non-indigenous	27271
Armidale Regional (A)	2016	Torres Strait Islander	37
Ballina (A)	2006	Aboriginal	1002
Ballina (A)	2006	Both Aboriginal & Torres Strait Islander	21
Ballina (A)	2006	Non-indigenous	37413
Ballina (A)	2006	Torres Strait Islander	26
Ballina (A)	2011	Aboriginal	1168
Ballina (A)	2011	Both Aboriginal & Torres Strait Islander	28
Ballina (A)	2011	Non-indigenous	38046
Ballina (A)	2011	Torres Strait Islander	30
Ballina (A)	2016	Aboriginal	1297
Ballina (A)	2016	Both Aboriginal & Torres Strait Islander	20
Ballina (A)	2016	Non-indigenous	40420
Ballina (A)	2016	Torres Strait Islander	53
Balranald (A)	2006	Aboriginal	157
Balranald (A)	2006	Both Aboriginal & Torres Strait Islander	4
Balranald (A)	2006	Non-indigenous	2281
Balranald (A)	2006	Torres Strait Islander	0
Balranald (A)	2011	Aboriginal	143
Balranald (A)	2011	Both Aboriginal & Torres Strait Islander	6
Balranald (A)	2011	Non-indigenous	2126
Balranald (A)	2011	Torres Strait Islander	7
Balranald (A)	2016	Aboriginal	194
Balranald (A)	2016	Both Aboriginal & Torres Strait Islander	4
Balranald (A)	2016	Non-indigenous	2089
Balranald (A)	2016	Torres Strait Islander	0
Bathurst Regional (A)	2006	Aboriginal	1189
Bathurst Regional (A)	2006	Both Aboriginal & Torres Strait Islander	20
Bathurst Regional (A)	2006	Non-indigenous	34614
Bathurst Regional (A)	2006	Torres Strait Islander	22
Bathurst Regional (A)	2011	Aboriginal	1566
Bathurst Regional (A)	2011	Both Aboriginal & Torres Strait Islander	35
Bathurst Regional (A)	2011	Non-indigenous	36881
Bathurst Regional (A)	2011	Torres Strait Islander	35
Bathurst Regional (A)	2016	Aboriginal	2146
Bathurst Regional (A)	2016	Both Aboriginal & Torres Strait Islander	55
Bathurst Regional (A)	2016	Non-indigenous	39054
Bathurst Regional (A)	2016	Torres Strait Islander	45
Bega Valley (A)	2006	Aboriginal	775
Bega Valley (A)	2006	Both Aboriginal & Torres Strait Islander	13
Bega Valley (A)	2006	Non-indigenous	30252
Bega Valley (A)	2006	Torres Strait Islander	21
Bega Valley (A)	2011	Aboriginal	875
Bega Valley (A)	2011	Both Aboriginal & Torres Strait Islander	14
Bega Valley (A)	2011	Non-indigenous	31045
Bega Valley (A)	2011	Torres Strait Islander	16
Bega Valley (A)	2016	Aboriginal	998
Bega Valley (A)	2016	Both Aboriginal & Torres Strait Islander	25
Bega Valley (A)	2016	Non-indigenous	32212
Bega Valley (A)	2016	Torres Strait Islander	18
Bellingen (A)	2006	Aboriginal	303
Bellingen (A)	2006	Both Aboriginal & Torres Strait Islander	5
Bellingen (A)	2006	Non-indigenous	12095
Bellingen (A)	2006	Torres Strait Islander	14
Bellingen (A)	2011	Aboriginal	360
Bellingen (A)	2011	Both Aboriginal & Torres Strait Islander	8
Bellingen (A)	2011	Non-indigenous	12137
Bellingen (A)	2011	Torres Strait Islander	10
Bellingen (A)	2016	Aboriginal	425
Bellingen (A)	2016	Both Aboriginal & Torres Strait Islander	3
Bellingen (A)	2016	Non-indigenous	12227
Bellingen (A)	2016	Torres Strait Islander	13
Berrigan (A)	2006	Aboriginal	99
Berrigan (A)	2006	Both Aboriginal & Torres Strait Islander	7
Berrigan (A)	2006	Non-indigenous	7884
Berrigan (A)	2006	Torres Strait Islander	3
Berrigan (A)	2011	Aboriginal	153
Berrigan (A)	2011	Both Aboriginal & Torres Strait Islander	0
Berrigan (A)	2011	Non-indigenous	7908
Berrigan (A)	2011	Torres Strait Islander	6
Berrigan (A)	2016	Aboriginal	187
Berrigan (A)	2016	Both Aboriginal & Torres Strait Islander	3
Berrigan (A)	2016	Non-indigenous	8264
Berrigan (A)	2016	Torres Strait Islander	8
Blacktown (C)	2006	Aboriginal	6635
Blacktown (C)	2006	Both Aboriginal & Torres Strait Islander	121
Blacktown (C)	2006	Non-indigenous	264650
Blacktown (C)	2006	Torres Strait Islander	306
Blacktown (C)	2011	Aboriginal	7817
Blacktown (C)	2011	Both Aboriginal & Torres Strait Islander	140
Blacktown (C)	2011	Non-indigenous	292896
Blacktown (C)	2011	Torres Strait Islander	244
Blacktown (C)	2016	Aboriginal	9103
Blacktown (C)	2016	Both Aboriginal & Torres Strait Islander	186
Blacktown (C)	2016	Non-indigenous	327428
Blacktown (C)	2016	Torres Strait Islander	245
Bland (A)	2006	Aboriginal	157
Bland (A)	2006	Both Aboriginal & Torres Strait Islander	3
Bland (A)	2006	Non-indigenous	5938
Bland (A)	2006	Torres Strait Islander	0
Bland (A)	2011	Aboriginal	228
Bland (A)	2011	Both Aboriginal & Torres Strait Islander	0
Bland (A)	2011	Non-indigenous	5630
Bland (A)	2011	Torres Strait Islander	4
Bland (A)	2016	Aboriginal	252
Bland (A)	2016	Both Aboriginal & Torres Strait Islander	3
Bland (A)	2016	Non-indigenous	5697
Bland (A)	2016	Torres Strait Islander	3
Blayney (A)	2006	Aboriginal	155
Blayney (A)	2006	Both Aboriginal & Torres Strait Islander	0
Blayney (A)	2006	Non-indigenous	6436
Blayney (A)	2006	Torres Strait Islander	3
Blayney (A)	2011	Aboriginal	199
Blayney (A)	2011	Both Aboriginal & Torres Strait Islander	0
Blayney (A)	2011	Non-indigenous	6781
Blayney (A)	2011	Torres Strait Islander	5
Blayney (A)	2016	Aboriginal	259
Blayney (A)	2016	Both Aboriginal & Torres Strait Islander	5
Blayney (A)	2016	Non-indigenous	6990
Blayney (A)	2016	Torres Strait Islander	3
Blue Mountains (C)	2006	Aboriginal	898
Blue Mountains (C)	2006	Both Aboriginal & Torres Strait Islander	20
Blue Mountains (C)	2006	Non-indigenous	73122
Blue Mountains (C)	2006	Torres Strait Islander	24
Blue Mountains (C)	2011	Aboriginal	1275
Blue Mountains (C)	2011	Both Aboriginal & Torres Strait Islander	15
Blue Mountains (C)	2011	Non-indigenous	74628
Blue Mountains (C)	2011	Torres Strait Islander	23
Blue Mountains (C)	2016	Aboriginal	1754
Blue Mountains (C)	2016	Both Aboriginal & Torres Strait Islander	36
Blue Mountains (C)	2016	Non-indigenous	75081
Blue Mountains (C)	2016	Torres Strait Islander	33
Bogan (A)	2006	Aboriginal	317
Bogan (A)	2006	Both Aboriginal & Torres Strait Islander	9
Bogan (A)	2006	Non-indigenous	2541
Bogan (A)	2006	Torres Strait Islander	12
Bogan (A)	2011	Aboriginal	410
Bogan (A)	2011	Both Aboriginal & Torres Strait Islander	3
Bogan (A)	2011	Non-indigenous	2479
Bogan (A)	2011	Torres Strait Islander	8
Bogan (A)	2016	Aboriginal	442
Bogan (A)	2016	Both Aboriginal & Torres Strait Islander	3
Bogan (A)	2016	Non-indigenous	2242
Bogan (A)	2016	Torres Strait Islander	5
Botany Bay (C)	2006	Aboriginal	604
Botany Bay (C)	2006	Both Aboriginal & Torres Strait Islander	13
Botany Bay (C)	2006	Non-indigenous	35363
Botany Bay (C)	2006	Torres Strait Islander	14
Botany Bay (C)	2011	Aboriginal	592
Botany Bay (C)	2011	Both Aboriginal & Torres Strait Islander	5
Botany Bay (C)	2011	Non-indigenous	38739
Botany Bay (C)	2011	Torres Strait Islander	18
Botany Bay (C)	2016	Aboriginal	767
Botany Bay (C)	2016	Both Aboriginal & Torres Strait Islander	23
Botany Bay (C)	2016	Non-indigenous	45838
Botany Bay (C)	2016	Torres Strait Islander	26
Bourke (A)	2006	Aboriginal	872
Bourke (A)	2006	Both Aboriginal & Torres Strait Islander	33
Bourke (A)	2006	Non-indigenous	2186
Bourke (A)	2006	Torres Strait Islander	3
Bourke (A)	2011	Aboriginal	847
Bourke (A)	2011	Both Aboriginal & Torres Strait Islander	11
Bourke (A)	2011	Non-indigenous	2000
Bourke (A)	2011	Torres Strait Islander	9
Bourke (A)	2016	Aboriginal	812
Bourke (A)	2016	Both Aboriginal & Torres Strait Islander	4
Bourke (A)	2016	Non-indigenous	1809
Bourke (A)	2016	Torres Strait Islander	9
Brewarrina (A)	2006	Aboriginal	1154
Brewarrina (A)	2006	Both Aboriginal & Torres Strait Islander	7
Brewarrina (A)	2006	Non-indigenous	782
Brewarrina (A)	2006	Torres Strait Islander	0
Brewarrina (A)	2011	Aboriginal	1033
Brewarrina (A)	2011	Both Aboriginal & Torres Strait Islander	5
Brewarrina (A)	2011	Non-indigenous	725
Brewarrina (A)	2011	Torres Strait Islander	3
Brewarrina (A)	2016	Aboriginal	993
Brewarrina (A)	2016	Both Aboriginal & Torres Strait Islander	16
Brewarrina (A)	2016	Non-indigenous	642
Brewarrina (A)	2016	Torres Strait Islander	0
Broken Hill (C)	2006	Aboriginal	1176
Broken Hill (C)	2006	Both Aboriginal & Torres Strait Islander	20
Broken Hill (C)	2006	Non-indigenous	18158
Broken Hill (C)	2006	Torres Strait Islander	12
Broken Hill (C)	2011	Aboriginal	1357
Broken Hill (C)	2011	Both Aboriginal & Torres Strait Islander	21
Broken Hill (C)	2011	Non-indigenous	17123
Broken Hill (C)	2011	Torres Strait Islander	18
Broken Hill (C)	2016	Aboriginal	1472
Broken Hill (C)	2016	Both Aboriginal & Torres Strait Islander	13
Broken Hill (C)	2016	Non-indigenous	16208
Broken Hill (C)	2016	Torres Strait Islander	15
Burwood (A)	2006	Aboriginal	103
Burwood (A)	2006	Both Aboriginal & Torres Strait Islander	0
Burwood (A)	2006	Non-indigenous	30808
Burwood (A)	2006	Torres Strait Islander	13
Burwood (A)	2011	Aboriginal	114
Burwood (A)	2011	Both Aboriginal & Torres Strait Islander	0
Burwood (A)	2011	Non-indigenous	32306
Burwood (A)	2011	Torres Strait Islander	4
Burwood (A)	2016	Aboriginal	144
Burwood (A)	2016	Both Aboriginal & Torres Strait Islander	0
Burwood (A)	2016	Non-indigenous	36665
Burwood (A)	2016	Torres Strait Islander	0
Byron (A)	2006	Aboriginal	375
Byron (A)	2006	Both Aboriginal & Torres Strait Islander	32
Byron (A)	2006	Non-indigenous	28316
Byron (A)	2006	Torres Strait Islander	42
Byron (A)	2011	Aboriginal	434
Byron (A)	2011	Both Aboriginal & Torres Strait Islander	39
Byron (A)	2011	Non-indigenous	28694
Byron (A)	2011	Torres Strait Islander	40
Byron (A)	2016	Aboriginal	489
Byron (A)	2016	Both Aboriginal & Torres Strait Islander	42
Byron (A)	2016	Non-indigenous	30988
Byron (A)	2016	Torres Strait Islander	37
Cabonne (A)	2006	Aboriginal	261
Cabonne (A)	2006	Both Aboriginal & Torres Strait Islander	4
Cabonne (A)	2006	Non-indigenous	12115
Cabonne (A)	2006	Torres Strait Islander	16
Cabonne (A)	2011	Aboriginal	376
