LGA_NAME16	Year	persons
Albury (C)	2006	46285
Albury (C)	2011	47808
Albury (C)	2016	51076
Armidale Regional (A)	2006	27595
Armidale Regional (A)	2011	28503
Armidale Regional (A)	2016	29449
Ballina (A)	2006	38462
Ballina (A)	2011	39272
Ballina (A)	2016	41790
Balranald (A)	2006	2442
Balranald (A)	2011	2282
Balranald (A)	2016	2287
Bathurst Regional (A)	2006	35845
Bathurst Regional (A)	2011	38517
Bathurst Regional (A)	2016	41300
Bega Valley (A)	2006	31061
Bega Valley (A)	2011	31950
Bega Valley (A)	2016	33253
Bellingen (A)	2006	12417
Bellingen (A)	2011	12515
Bellingen (A)	2016	12668
Berrigan (A)	2006	7993
Berrigan (A)	2011	8067
Berrigan (A)	2016	8462
Blacktown (C)	2006	271712
Blacktown (C)	2011	301097
Blacktown (C)	2016	336962
Bland (A)	2006	6098
Bland (A)	2011	5862
Bland (A)	2016	5955
Blayney (A)	2006	6594
Blayney (A)	2011	6985
Blayney (A)	2016	7257
Blue Mountains (C)	2006	74064
Blue Mountains (C)	2011	75941
Blue Mountains (C)	2016	76904
Bogan (A)	2006	2879
Bogan (A)	2011	2900
Bogan (A)	2016	2692
Botany Bay (C)	2006	35994
Botany Bay (C)	2011	39354
Botany Bay (C)	2016	46654
Bourke (A)	2006	3094
Bourke (A)	2011	2867
Bourke (A)	2016	2634
Brewarrina (A)	2006	1943
Brewarrina (A)	2011	1766
Brewarrina (A)	2016	1651
Broken Hill (C)	2006	19366
Broken Hill (C)	2011	18519
Broken Hill (C)	2016	17708
Burwood (A)	2006	30924
Burwood (A)	2011	32424
Burwood (A)	2016	36809
Byron (A)	2006	28765
Byron (A)	2011	29207
Byron (A)	2016	31556
Cabonne (A)	2006	12396
Cabonne (A)	2011	12823
Cabonne (A)	2016	13386
Camden (A)	2006	49645
Camden (A)	2011	56719
Camden (A)	2016	78218
Campbelltown (C) (NSW)	2006	143075
Campbelltown (C) (NSW)	2011	145969
Campbelltown (C) (NSW)	2016	157006
Canada Bay (A)	2006	65746
Canada Bay (A)	2011	75762
Canada Bay (A)	2016	88015
Canterbury-Bankstown (A)	2006	300449
Canterbury-Bankstown (A)	2011	319807
Canterbury-Bankstown (A)	2016	346302
Carrathool (A)	2006	2817
Carrathool (A)	2011	2585
Carrathool (A)	2016	2719
Central Coast (C) (NSW)	2006	297957
Central Coast (C) (NSW)	2011	312182
Central Coast (C) (NSW)	2016	327736
Central Darling (A)	2006	1939
Central Darling (A)	2011	1992
Central Darling (A)	2016	1833
Cessnock (C)	2006	46209
Cessnock (C)	2011	50840
Cessnock (C)	2016	55560
Clarence Valley (A)	2006	48148
Clarence Valley (A)	2011	49666
Clarence Valley (A)	2016	50671
Cobar (A)	2006	4915
Cobar (A)	2011	4713
Cobar (A)	2016	4647
Coffs Harbour (C)	2006	64913
Coffs Harbour (C)	2011	68414
Coffs Harbour (C)	2016	72944
Coolamon (A)	2006	4032
Coolamon (A)	2011	4100
Coolamon (A)	2016	4315
Coonamble (A)	2006	4212
Coonamble (A)	2011	4031
Coonamble (A)	2016	3918
Cowra (A)	2006	12478
Cowra (A)	2011	12146
Cowra (A)	2016	12460
Cumberland (A)	2006	174124
Cumberland (A)	2011	193224
Cumberland (A)	2016	216079
Dungog (A)	2006	8060
Dungog (A)	2011	8317
Dungog (A)	2016	8975
Edward River (A)	2006	9110
Edward River (A)	2011	8659
Edward River (A)	2016	8851
Eurobodalla (A)	2006	35013
Eurobodalla (A)	2011	35739
Eurobodalla (A)	2016	37232
Fairfield (C)	2006	179892
Fairfield (C)	2011	187766
Fairfield (C)	2016	198817
Federation (A)	2006	12236
Federation (A)	2011	12156
Federation (A)	2016	12277
Forbes (A)	2006	9361
Forbes (A)	2011	9169
Forbes (A)	2016	9587
Georges River (A)	2006	126263
Georges River (A)	2011	134655
Georges River (A)	2016	146841
Gilgandra (A)	2006	4519
Gilgandra (A)	2011	4368
Gilgandra (A)	2016	4236
Glen Innes Severn (A)	2006	8782
Glen Innes Severn (A)	2011	8655
Glen Innes Severn (A)	2016	8836
Goulburn Mulwaree (A)	2006	26084
Goulburn Mulwaree (A)	2011	27480
Goulburn Mulwaree (A)	2016	29609
Greater Hume Shire (A)	2006	9727
Greater Hume Shire (A)	2011	9817
Greater Hume Shire (A)	2016	10351
Griffith (C)	2006	23798
Griffith (C)	2011	24363
Griffith (C)	2016	25641
Gundagai (A)	2006	11006
Gundagai (A)	2011	10999
Gundagai (A)	2016	11141
Gunnedah (A)	2006	11524
Gunnedah (A)	2011	12065
Gunnedah (A)	2016	12215
Gwydir (A)	2006	5310
Gwydir (A)	2011	4965
Gwydir (A)	2016	5258
Hawkesbury (C)	2006	60557
Hawkesbury (C)	2011	62353
Hawkesbury (C)	2016	64592
Hay (A)	2006	3379
Hay (A)	2011	2958
Hay (A)	2016	2946
