LGA_NAME16	Year	SameAddress5YearsAgo	persons
Albury (C)	2006		5548
Albury (C)	2006	0	18483
Albury (C)	2006	1	22254
Albury (C)	2011		5720
Albury (C)	2011	0	17890
Albury (C)	2011	1	24198
Albury (C)	2016		7163
Albury (C)	2016	0	19440
Albury (C)	2016	1	24473
Armidale Regional (A)	2006		3191
Armidale Regional (A)	2006	0	11407
Armidale Regional (A)	2006	1	12997
Armidale Regional (A)	2011		3412
Armidale Regional (A)	2011	0	11272
Armidale Regional (A)	2011	1	13819
Armidale Regional (A)	2016		4035
Armidale Regional (A)	2016	0	11664
Armidale Regional (A)	2016	1	13750
Ballina (A)	2006		3902
Ballina (A)	2006	0	15757
Ballina (A)	2006	1	18803
Ballina (A)	2011		3854
Ballina (A)	2011	0	14394
Ballina (A)	2011	1	21024
Ballina (A)	2016		5170
Ballina (A)	2016	0	15652
Ballina (A)	2016	1	20968
Balranald (A)	2006		343
Balranald (A)	2006	0	647
Balranald (A)	2006	1	1452
Balranald (A)	2011		345
Balranald (A)	2011	0	607
Balranald (A)	2011	1	1330
Balranald (A)	2016		409
Balranald (A)	2016	0	604
Balranald (A)	2016	1	1274
Bathurst Regional (A)	2006		4659
Bathurst Regional (A)	2006	0	14657
Bathurst Regional (A)	2006	1	16529
Bathurst Regional (A)	2011		5237
Bathurst Regional (A)	2011	0	14472
Bathurst Regional (A)	2011	1	18808
Bathurst Regional (A)	2016		6502
Bathurst Regional (A)	2016	0	15418
Bathurst Regional (A)	2016	1	19380
Bega Valley (A)	2006		2986
Bega Valley (A)	2006	0	11926
Bega Valley (A)	2006	1	16149
Bega Valley (A)	2011		3176
Bega Valley (A)	2011	0	11031
Bega Valley (A)	2011	1	17743
Bega Valley (A)	2016		4254
Bega Valley (A)	2016	0	10929
Bega Valley (A)	2016	1	18070
Bellingen (A)	2006		1213
Bellingen (A)	2006	0	4577
Bellingen (A)	2006	1	6627
Bellingen (A)	2011		1154
Bellingen (A)	2011	0	4323
Bellingen (A)	2011	1	7038
Bellingen (A)	2016		1527
Bellingen (A)	2016	0	4314
Bellingen (A)	2016	1	6827
Berrigan (A)	2006		739
Berrigan (A)	2006	0	3144
Berrigan (A)	2006	1	4110
Berrigan (A)	2011		872
Berrigan (A)	2011	0	2483
Berrigan (A)	2011	1	4712
Berrigan (A)	2016		1329
Berrigan (A)	2016	0	2600
Berrigan (A)	2016	1	4533
Blacktown (C)	2006		39188
Blacktown (C)	2006	0	90312
Blacktown (C)	2006	1	142212
Blacktown (C)	2011		39353
Blacktown (C)	2011	0	96524
Blacktown (C)	2011	1	165220
Blacktown (C)	2016		45517
Blacktown (C)	2016	0	116668
Blacktown (C)	2016	1	174777
Bland (A)	2006		635
Bland (A)	2006	0	1808
Bland (A)	2006	1	3655
Bland (A)	2011		650
Bland (A)	2011	0	1631
Bland (A)	2011	1	3581
Bland (A)	2016		1072
Bland (A)	2016	0	1429
Bland (A)	2016	1	3454
Blayney (A)	2006		691
Blayney (A)	2006	0	2358
Blayney (A)	2006	1	3545
Blayney (A)	2011		871
Blayney (A)	2011	0	2110
Blayney (A)	2011	1	4004
Blayney (A)	2016		987
Blayney (A)	2016	0	2271
Blayney (A)	2016	1	3999
Blue Mountains (C)	2006		8026
Blue Mountains (C)	2006	0	24260
Blue Mountains (C)	2006	1	41778
Blue Mountains (C)	2011		8407
Blue Mountains (C)	2011	0	23313
Blue Mountains (C)	2011	1	44221
Blue Mountains (C)	2016		8064
Blue Mountains (C)	2016	0	24361
Blue Mountains (C)	2016	1	44479
Bogan (A)	2006		355
Bogan (A)	2006	0	864
Bogan (A)	2006	1	1660
Bogan (A)	2011		444
Bogan (A)	2011	0	821
Bogan (A)	2011	1	1635
Bogan (A)	2016		500
Bogan (A)	2016	0	683
Bogan (A)	2016	1	1509
Botany Bay (C)	2006		5000
Botany Bay (C)	2006	0	11922
Botany Bay (C)	2006	1	19072
Botany Bay (C)	2011		5087
Botany Bay (C)	2011	0	13429
Botany Bay (C)	2011	1	20838
Botany Bay (C)	2016		6021
Botany Bay (C)	2016	0	18760
Botany Bay (C)	2016	1	21873
Bourke (A)	2006		537
Bourke (A)	2006	0	1053
Bourke (A)	2006	1	1504
Bourke (A)	2011		690
Bourke (A)	2011	0	840
Bourke (A)	2011	1	1337
Bourke (A)	2016		747
Bourke (A)	2016	0	668
Bourke (A)	2016	1	1219
Brewarrina (A)	2006		374
Brewarrina (A)	2006	0	518
Brewarrina (A)	2006	1	1051
Brewarrina (A)	2011		286
Brewarrina (A)	2011	0	417
Brewarrina (A)	2011	1	1063
Brewarrina (A)	2016		327
Brewarrina (A)	2016	0	339
Brewarrina (A)	2016	1	985
Broken Hill (C)	2006		2536
Broken Hill (C)	2006	0	5512
Broken Hill (C)	2006	1	11318
Broken Hill (C)	2011		2596
Broken Hill (C)	2011	0	4318
Broken Hill (C)	2011	1	11605
Broken Hill (C)	2016		2504
Broken Hill (C)	2016	0	4535
Broken Hill (C)	2016	1	10669
Burwood (A)	2006		3944
Burwood (A)	2006	0	11191
Burwood (A)	2006	1	15789
Burwood (A)	2011		3651
Burwood (A)	2011	0	12280
Burwood (A)	2011	1	16493
Burwood (A)	2016		3589
Burwood (A)	2016	0	16433
Burwood (A)	2016	1	16787
Byron (A)	2006		4129
Byron (A)	2006	0	11351
Byron (A)	2006	1	13285
Byron (A)	2011		3491
Byron (A)	2011	0	11208
Byron (A)	2011	1	14508
Byron (A)	2016		5644
Byron (A)	2016	0	11436
Byron (A)	2016	1	14476
Cabonne (A)	2006		1270
Cabonne (A)	2006	0	3966
Cabonne (A)	2006	1	7160
Cabonne (A)	2011		1287
Cabonne (A)	2011	0	3584
Cabonne (A)	2011	1	7952
Cabonne (A)	2016		1836
Cabonne (A)	2016	0	3764
Cabonne (A)	2016	1	7786
Camden (A)	2006		6320
Camden (A)	2006	0	18391
Camden (A)	2006	1	24934
Camden (A)	2011		6628
Camden (A)	2011	0	20008
Camden (A)	2011	1	30083
Camden (A)	2016		10244
Camden (A)	2016	0	34221
Camden (A)	2016	1	33753
Campbelltown (C) (NSW)	2006		19702
Campbelltown (C) (NSW)	2006	0	43620
Campbelltown (C) (NSW)	2006	1	79753
Campbelltown (C) (NSW)	2011		18807
Campbelltown (C) (NSW)	2011	0	42680
Campbelltown (C) (NSW)	2011	1	84482
Campbelltown (C) (NSW)	2016		21164
Campbelltown (C) (NSW)	2016	0	51662
Campbelltown (C) (NSW)	2016	1	84180
Canada Bay (A)	2006		8961
Canada Bay (A)	2006	0	24094
Canada Bay (A)	2006	1	32691
Canada Bay (A)	2011		9888
Canada Bay (A)	2011	0	29096
Canada Bay (A)	2011	1	36778
Canada Bay (A)	2016		10631
Canada Bay (A)	2016	0	37411
Canada Bay (A)	2016	1	39973
Canterbury-Bankstown (A)	2006		44032
Canterbury-Bankstown (A)	2006	0	86973
Canterbury-Bankstown (A)	2006	1	169444
Canterbury-Bankstown (A)	2011		44259
Canterbury-Bankstown (A)	2011	0	92517
Canterbury-Bankstown (A)	2011	1	183031
Canterbury-Bankstown (A)	2016		45887
Canterbury-Bankstown (A)	2016	0	112625
Canterbury-Bankstown (A)	2016	1	187790
Carrathool (A)	2006		404
Carrathool (A)	2006	0	885
Carrathool (A)	2006	1	1528
Carrathool (A)	2011		248
Carrathool (A)	2011	0	800
Carrathool (A)	2011	1	1537
Carrathool (A)	2016		444
Carrathool (A)	2016	0	788
Carrathool (A)	2016	1	1487
Central Coast (C) (NSW)	2006		37849
Central Coast (C) (NSW)	2006	0	107534
Central Coast (C) (NSW)	2006	1	152574
Central Coast (C) (NSW)	2011		35633
Central Coast (C) (NSW)	2011	0	108131
Central Coast (C) (NSW)	2011	1	168418
Central Coast (C) (NSW)	2016		40140
Central Coast (C) (NSW)	2016	0	118746
Central Coast (C) (NSW)	2016	1	168850
Central Darling (A)	2006		323
Central Darling (A)	2006	0	555
Central Darling (A)	2006	1	1061
Central Darling (A)	2011		266
Central Darling (A)	2011	0	536
Central Darling (A)	2011	1	1190
Central Darling (A)	2016		372
Central Darling (A)	2016	0	426
Central Darling (A)	2016	1	1035
Cessnock (C)	2006		5798
Cessnock (C)	2006	0	14786
Cessnock (C)	2006	1	25625
