LGA_NAME16	Year	Sex	employmentToPopulation
Albury (C)	2006	F	52.8
Albury (C)	2006	M	64.8
Albury (C)	2011	F	53.9
Albury (C)	2011	M	63.1
Albury (C)	2016	F	52
Albury (C)	2016	M	58.8
Armidale Regional (A)	2006	F	48.4
Armidale Regional (A)	2006	M	57
Armidale Regional (A)	2011	F	49.4
Armidale Regional (A)	2011	M	57.3
Armidale Regional (A)	2016	F	48.3
Armidale Regional (A)	2016	M	54.1
Ballina (A)	2006	F	47.7
Ballina (A)	2006	M	56.6
Ballina (A)	2011	F	48.2
Ballina (A)	2011	M	55.1
Ballina (A)	2016	F	47.4
Ballina (A)	2016	M	53.1
Balranald (A)	2006	F	52.2
Balranald (A)	2006	M	66.4
Balranald (A)	2011	F	49.3
Balranald (A)	2011	M	64.3
Balranald (A)	2016	F	49.5
Balranald (A)	2016	M	59.5
Bathurst Regional (A)	2006	F	53.5
Bathurst Regional (A)	2006	M	60.1
Bathurst Regional (A)	2011	F	54.2
Bathurst Regional (A)	2011	M	60.7
Bathurst Regional (A)	2016	F	53.5
Bathurst Regional (A)	2016	M	56.1
Bega Valley (A)	2006	F	45.3
Bega Valley (A)	2006	M	54.6
Bega Valley (A)	2011	F	46.4
Bega Valley (A)	2011	M	52.7
Bega Valley (A)	2016	F	44.8
Bega Valley (A)	2016	M	49.4
Bellingen (A)	2006	F	42.5
Bellingen (A)	2006	M	48.6
Bellingen (A)	2011	F	45
Bellingen (A)	2011	M	49.9
Bellingen (A)	2016	F	44.4
Bellingen (A)	2016	M	49.3
Berrigan (A)	2006	F	48.7
Berrigan (A)	2006	M	62
Berrigan (A)	2011	F	46.4
Berrigan (A)	2011	M	56.1
Berrigan (A)	2016	F	44.3
Berrigan (A)	2016	M	49.4
Blacktown (C)	2006	F	50.4
Blacktown (C)	2006	M	65.1
Blacktown (C)	2011	F	51.6
Blacktown (C)	2011	M	65.2
Blacktown (C)	2016	F	52.2
Blacktown (C)	2016	M	64.3
Bland (A)	2006	F	50.6
Bland (A)	2006	M	67.2
Bland (A)	2011	F	50.4
Bland (A)	2011	M	67
Bland (A)	2016	F	47.9
Bland (A)	2016	M	59.6
Blayney (A)	2006	F	49.5
Blayney (A)	2006	M	62.9
Blayney (A)	2011	F	51
Blayney (A)	2011	M	63.6
Blayney (A)	2016	F	52.3
Blayney (A)	2016	M	59.9
Blue Mountains (C)	2006	F	54.3
Blue Mountains (C)	2006	M	65.6
Blue Mountains (C)	2011	F	53.8
Blue Mountains (C)	2011	M	63.1
Blue Mountains (C)	2016	F	53.8
Blue Mountains (C)	2016	M	60.7
Bogan (A)	2006	F	50.9
Bogan (A)	2006	M	65.8
Bogan (A)	2011	F	50.2
Bogan (A)	2011	M	62.6
Bogan (A)	2016	F	50.3
Bogan (A)	2016	M	60.4
Botany Bay (C)	2006	F	49.7
Botany Bay (C)	2006	M	62.4
Botany Bay (C)	2011	F	52.3
Botany Bay (C)	2011	M	62.2
Botany Bay (C)	2016	F	55.1
Botany Bay (C)	2016	M	63.6
Bourke (A)	2006	F	55.2
Bourke (A)	2006	M	59.8
Bourke (A)	2011	F	54.3
Bourke (A)	2011	M	58.3
Bourke (A)	2016	F	47.9
Bourke (A)	2016	M	51.6
Brewarrina (A)	2006	F	45.1
Brewarrina (A)	2006	M	47.7
Brewarrina (A)	2011	F	43.8
Brewarrina (A)	2011	M	51.2
Brewarrina (A)	2016	F	38.5
Brewarrina (A)	2016	M	40.6
Broken Hill (C)	2006	F	39.7
Broken Hill (C)	2006	M	49.2
Broken Hill (C)	2011	F	42.5
Broken Hill (C)	2011	M	50.1
Broken Hill (C)	2016	F	44.5
Broken Hill (C)	2016	M	49.2
Burwood (A)	2006	F	47.2
Burwood (A)	2006	M	58.1
Burwood (A)	2011	F	49.5
Burwood (A)	2011	M	60
Burwood (A)	2016	F	49.4
Burwood (A)	2016	M	58.3
Byron (A)	2006	F	47.9
Byron (A)	2006	M	54.5
Byron (A)	2011	F	50.8
Byron (A)	2011	M	55.3
Byron (A)	2016	F	49.8
Byron (A)	2016	M	53.7
Cabonne (A)	2006	F	52.3
Cabonne (A)	2006	M	66
Cabonne (A)	2011	F	54.2
Cabonne (A)	2011	M	66.4
Cabonne (A)	2016	F	52.9
Cabonne (A)	2016	M	61.9
Camden (A)	2006	F	59.7
Camden (A)	2006	M	74.7
Camden (A)	2011	F	60.8
Camden (A)	2011	M	73.4
Camden (A)	2016	F	61.9
Camden (A)	2016	M	72.9
Campbelltown (C) (NSW)	2006	F	50.8
Campbelltown (C) (NSW)	2006	M	65.7
Campbelltown (C) (NSW)	2011	F	50.4
Campbelltown (C) (NSW)	2011	M	64.3
Campbelltown (C) (NSW)	2016	F	49.7
Campbelltown (C) (NSW)	2016	M	62.5
Canada Bay (A)	2006	F	56.8
Canada Bay (A)	2006	M	66.9
Canada Bay (A)	2011	F	56.9
Canada Bay (A)	2011	M	66.2
Canada Bay (A)	2016	F	56.2
Canada Bay (A)	2016	M	65.5
Canterbury-Bankstown (A)	2006	F	41.5
Canterbury-Bankstown (A)	2006	M	56.8
Canterbury-Bankstown (A)	2011	F	42.3
Canterbury-Bankstown (A)	2011	M	56.5
Canterbury-Bankstown (A)	2016	F	43.7
Canterbury-Bankstown (A)	2016	M	56.9
Carrathool (A)	2006	F	54.2
Carrathool (A)	2006	M	68.3
Carrathool (A)	2011	F	56.2
Carrathool (A)	2011	M	71.3
Carrathool (A)	2016	F	57.1
Carrathool (A)	2016	M	69.4
Central Coast (C) (NSW)	2006	F	45.5
Central Coast (C) (NSW)	2006	M	56.9
Central Coast (C) (NSW)	2011	F	47.3
Central Coast (C) (NSW)	2011	M	57.4
Central Coast (C) (NSW)	2016	F	48.3
Central Coast (C) (NSW)	2016	M	56.5
Central Darling (A)	2006	F	43.6
Central Darling (A)	2006	M	51.6
Central Darling (A)	2011	F	47
Central Darling (A)	2011	M	52.3
Central Darling (A)	2016	F	35.5
Central Darling (A)	2016	M	40.5
Cessnock (C)	2006	F	43.4
Cessnock (C)	2006	M	56.2
Cessnock (C)	2011	F	46.6
Cessnock (C)	2011	M	58.1
Cessnock (C)	2016	F	45.8
Cessnock (C)	2016	M	52.2
Clarence Valley (A)	2006	F	39.6
Clarence Valley (A)	2006	M	48.2
Clarence Valley (A)	2011	F	40.9
Clarence Valley (A)	2011	M	47.1
Clarence Valley (A)	2016	F	39.5
Clarence Valley (A)	2016	M	43.5
Cobar (A)	2006	F	50.1
Cobar (A)	2006	M	67.6
Cobar (A)	2011	F	52.5
Cobar (A)	2011	M	68.2
Cobar (A)	2016	F	49.9
Cobar (A)	2016	M	61
Coffs Harbour (C)	2006	F	46
Coffs Harbour (C)	2006	M	53.5
Coffs Harbour (C)	2011	F	47.7
Coffs Harbour (C)	2011	M	53.7
Coffs Harbour (C)	2016	F	47.5
Coffs Harbour (C)	2016	M	52.1
Coolamon (A)	2006	F	47
Coolamon (A)	2006	M	62.3
Coolamon (A)	2011	F	47.4
Coolamon (A)	2011	M	60.1
Coolamon (A)	2016	F	46.8
Coolamon (A)	2016	M	54.1
Coonamble (A)	2006	F	47.9
Coonamble (A)	2006	M	61.3
Coonamble (A)	2011	F	45.3
Coonamble (A)	2011	M	56.5
Coonamble (A)	2016	F	42.6
Coonamble (A)	2016	M	48.1
Cowra (A)	2006	F	44.3
Cowra (A)	2006	M	57.4
Cowra (A)	2011	F	43
Cowra (A)	2011	M	53.3
Cowra (A)	2016	F	43
Cowra (A)	2016	M	50.5
Cumberland (A)	2006	F	41.2
Cumberland (A)	2006	M	56.6
Cumberland (A)	2011	F	42.1
Cumberland (A)	2011	M	57.4
Cumberland (A)	2016	F	43.2
