LGA_NAME16	Year	AustCitizen	persons
Albury (C)	2006	0	3840
Albury (C)	2006	1	42445
Albury (C)	2011	0	4601
Albury (C)	2011	1	43207
Albury (C)	2016	0	6044
Albury (C)	2016	1	45032
Armidale Regional (A)	2006	0	2573
Armidale Regional (A)	2006	1	25022
Armidale Regional (A)	2011	0	3287
Armidale Regional (A)	2011	1	25216
Armidale Regional (A)	2016	0	4223
Armidale Regional (A)	2016	1	25226
Ballina (A)	2006	0	2941
Ballina (A)	2006	1	35521
Ballina (A)	2011	0	3250
Ballina (A)	2011	1	36022
Ballina (A)	2016	0	4460
Ballina (A)	2016	1	37330
Balranald (A)	2006	0	223
Balranald (A)	2006	1	2219
Balranald (A)	2011	0	282
Balranald (A)	2011	1	2000
Balranald (A)	2016	0	313
Balranald (A)	2016	1	1974
Bathurst Regional (A)	2006	0	3459
Bathurst Regional (A)	2006	1	32386
Bathurst Regional (A)	2011	0	3877
Bathurst Regional (A)	2011	1	34640
Bathurst Regional (A)	2016	0	5240
Bathurst Regional (A)	2016	1	36060
Bega Valley (A)	2006	0	2439
Bega Valley (A)	2006	1	28622
Bega Valley (A)	2011	0	2576
Bega Valley (A)	2011	1	29374
Bega Valley (A)	2016	0	3491
Bega Valley (A)	2016	1	29762
Bellingen (A)	2006	0	1093
Bellingen (A)	2006	1	11324
Bellingen (A)	2011	0	972
Bellingen (A)	2011	1	11543
Bellingen (A)	2016	0	1298
Bellingen (A)	2016	1	11370
Berrigan (A)	2006	0	508
Berrigan (A)	2006	1	7485
Berrigan (A)	2011	0	646
Berrigan (A)	2011	1	7421
Berrigan (A)	2016	0	1048
Berrigan (A)	2016	1	7414
Blacktown (C)	2006	0	43540
Blacktown (C)	2006	1	228172
Blacktown (C)	2011	0	49418
Blacktown (C)	2011	1	251679
Blacktown (C)	2016	0	64909
Blacktown (C)	2016	1	272053
Bland (A)	2006	0	336
Bland (A)	2006	1	5762
Bland (A)	2011	0	303
Bland (A)	2011	1	5559
Bland (A)	2016	0	810
Bland (A)	2016	1	5145
Blayney (A)	2006	0	408
Blayney (A)	2006	1	6186
Blayney (A)	2011	0	567
Blayney (A)	2011	1	6418
Blayney (A)	2016	0	642
Blayney (A)	2016	1	6615
Blue Mountains (C)	2006	0	7211
Blue Mountains (C)	2006	1	66853
Blue Mountains (C)	2011	0	7771
Blue Mountains (C)	2011	1	68170
Blue Mountains (C)	2016	0	7622
Blue Mountains (C)	2016	1	69282
Bogan (A)	2006	0	133
Bogan (A)	2006	1	2746
Bogan (A)	2011	0	288
Bogan (A)	2011	1	2612
Bogan (A)	2016	0	370
Bogan (A)	2016	1	2322
Botany Bay (C)	2006	0	7255
Botany Bay (C)	2006	1	28739
Botany Bay (C)	2011	0	8040
Botany Bay (C)	2011	1	31314
Botany Bay (C)	2016	0	12162
Botany Bay (C)	2016	1	34492
Bourke (A)	2006	0	314
Bourke (A)	2006	1	2780
Bourke (A)	2011	0	508
Bourke (A)	2011	1	2359
Bourke (A)	2016	0	572
Bourke (A)	2016	1	2062
Brewarrina (A)	2006	0	216
Brewarrina (A)	2006	1	1727
Brewarrina (A)	2011	0	154
Brewarrina (A)	2011	1	1612
Brewarrina (A)	2016	0	189
Brewarrina (A)	2016	1	1462
Broken Hill (C)	2006	0	1865
Broken Hill (C)	2006	1	17501
Broken Hill (C)	2011	0	1684
Broken Hill (C)	2011	1	16835
Broken Hill (C)	2016	0	1716
Broken Hill (C)	2016	1	15992
Burwood (A)	2006	0	8429
Burwood (A)	2006	1	22495
Burwood (A)	2011	0	9241
Burwood (A)	2011	1	23183
Burwood (A)	2016	0	13135
Burwood (A)	2016	1	23674
Byron (A)	2006	0	4265
Byron (A)	2006	1	24500
Byron (A)	2011	0	3803
Byron (A)	2011	1	25404
Byron (A)	2016	0	5972
Byron (A)	2016	1	25584
Cabonne (A)	2006	0	767
Cabonne (A)	2006	1	11629
Cabonne (A)	2011	0	797
Cabonne (A)	2011	1	12026
Cabonne (A)	2016	0	1153
Cabonne (A)	2016	1	12233
Camden (A)	2006	0	4668
Camden (A)	2006	1	44977
Camden (A)	2011	0	5082
Camden (A)	2011	1	51637
Camden (A)	2016	0	8095
Camden (A)	2016	1	70123
Campbelltown (C) (NSW)	2006	0	20143
Campbelltown (C) (NSW)	2006	1	122932
Campbelltown (C) (NSW)	2011	0	21088
Campbelltown (C) (NSW)	2011	1	124881
Campbelltown (C) (NSW)	2016	0	25992
Campbelltown (C) (NSW)	2016	1	131014
Canada Bay (A)	2006	0	11281
Canada Bay (A)	2006	1	54465
Canada Bay (A)	2011	0	14914
Canada Bay (A)	2011	1	60848
Canada Bay (A)	2016	0	21734
Canada Bay (A)	2016	1	66281
Canterbury-Bankstown (A)	2006	0	50561
Canterbury-Bankstown (A)	2006	1	249888
Canterbury-Bankstown (A)	2011	0	56708
Canterbury-Bankstown (A)	2011	1	263099
Canterbury-Bankstown (A)	2016	0	70878
Canterbury-Bankstown (A)	2016	1	275424
Carrathool (A)	2006	0	327
Carrathool (A)	2006	1	2490
Carrathool (A)	2011	0	234
Carrathool (A)	2011	1	2351
Carrathool (A)	2016	0	400
Carrathool (A)	2016	1	2319
Central Coast (C) (NSW)	2006	0	33489
Central Coast (C) (NSW)	2006	1	264468
