LGA_NAME16	Year	BornAust	Sex	persons
Albury (C)	2006	0	F	2055
Albury (C)	2006	0	M	1991
Albury (C)	2006	1	F	20499
Albury (C)	2006	1	M	19038
Albury (C)	2011	0	F	2489
Albury (C)	2011	0	M	2397
Albury (C)	2011	1	F	21056
Albury (C)	2011	1	M	19417
Albury (C)	2016	0	F	2866
Albury (C)	2016	0	M	2679
Albury (C)	2016	1	F	21514
Albury (C)	2016	1	M	20071
Armidale Regional (A)	2006	0	F	1271
Armidale Regional (A)	2006	0	M	1176
Armidale Regional (A)	2006	1	F	12188
Armidale Regional (A)	2006	1	M	11372
Armidale Regional (A)	2011	0	F	1517
Armidale Regional (A)	2011	0	M	1498
Armidale Regional (A)	2011	1	F	12319
Armidale Regional (A)	2011	1	M	11404
Armidale Regional (A)	2016	0	F	1869
Armidale Regional (A)	2016	0	M	1762
Armidale Regional (A)	2016	1	F	12102
Armidale Regional (A)	2016	1	M	11302
Ballina (A)	2006	0	F	1958
Ballina (A)	2006	0	M	1773
Ballina (A)	2006	1	F	16990
Ballina (A)	2006	1	M	15694
Ballina (A)	2011	0	F	2226
Ballina (A)	2011	0	M	1994
Ballina (A)	2011	1	F	17217
Ballina (A)	2011	1	M	15953
Ballina (A)	2016	0	F	2446
Ballina (A)	2016	0	M	2162
Ballina (A)	2016	1	F	17552
Ballina (A)	2016	1	M	16436
Balranald (A)	2006	0	F	85
Balranald (A)	2006	0	M	70
Balranald (A)	2006	1	F	1008
Balranald (A)	2006	1	M	1099
Balranald (A)	2011	0	F	92
Balranald (A)	2011	0	M	76
Balranald (A)	2011	1	F	933
Balranald (A)	2011	1	M	1001
Balranald (A)	2016	0	F	82
Balranald (A)	2016	0	M	61
Balranald (A)	2016	1	F	900
Balranald (A)	2016	1	M	965
Bathurst Regional (A)	2006	0	F	1309
Bathurst Regional (A)	2006	0	M	1433
Bathurst Regional (A)	2006	1	F	15690
Bathurst Regional (A)	2006	1	M	15706
Bathurst Regional (A)	2011	0	F	1484
Bathurst Regional (A)	2011	0	M	1708
Bathurst Regional (A)	2011	1	F	16643
Bathurst Regional (A)	2011	1	M	16527
Bathurst Regional (A)	2016	0	F	1733
Bathurst Regional (A)	2016	0	M	1833
Bathurst Regional (A)	2016	1	F	17206
Bathurst Regional (A)	2016	1	M	17332
Bega Valley (A)	2006	0	F	1820
Bega Valley (A)	2006	0	M	1694
Bega Valley (A)	2006	1	F	13118
Bega Valley (A)	2006	1	M	12752
Bega Valley (A)	2011	0	F	1954
Bega Valley (A)	2011	0	M	1796
Bega Valley (A)	2011	1	F	13483
Bega Valley (A)	2011	1	M	13062
Bega Valley (A)	2016	0	F	2004
Bega Valley (A)	2016	0	M	1861
Bega Valley (A)	2016	1	F	13479
Bega Valley (A)	2016	1	M	12969
Bellingen (A)	2006	0	F	750
Bellingen (A)	2006	0	M	654
Bellingen (A)	2006	1	F	5276
Bellingen (A)	2006	1	M	5032
Bellingen (A)	2011	0	F	833
Bellingen (A)	2011	0	M	693
Bellingen (A)	2011	1	F	5376
Bellingen (A)	2011	1	M	5115
Bellingen (A)	2016	0	F	800
Bellingen (A)	2016	0	M	697
Bellingen (A)	2016	1	F	5225
Bellingen (A)	2016	1	M	4948
Berrigan (A)	2006	0	F	256
Berrigan (A)	2006	0	M	257
Berrigan (A)	2006	1	F	3539
Berrigan (A)	2006	1	M	3562
Berrigan (A)	2011	0	F	290
Berrigan (A)	2011	0	M	286
Berrigan (A)	2011	1	F	3556
Berrigan (A)	2011	1	M	3485
Berrigan (A)	2016	0	F	329
Berrigan (A)	2016	0	M	322
Berrigan (A)	2016	1	F	3441
Berrigan (A)	2016	1	M	3424
Blacktown (C)	2006	0	F	47267
Blacktown (C)	2006	0	M	45841
Blacktown (C)	2006	1	F	80606
Blacktown (C)	2006	1	M	79873
Blacktown (C)	2011	0	F	57566
Blacktown (C)	2011	0	M	55651
Blacktown (C)	2011	1	F	87061
Blacktown (C)	2011	1	M	86703
Blacktown (C)	2016	0	F	69230
Blacktown (C)	2016	0	M	67064
Blacktown (C)	2016	1	F	90763
Blacktown (C)	2016	1	M	91390
Bland (A)	2006	0	F	122
Bland (A)	2006	0	M	119
Bland (A)	2006	1	F	2794
Bland (A)	2006	1	M	2756
Bland (A)	2011	0	F	122
Bland (A)	2011	0	M	116
Bland (A)	2011	1	F	2710
Bland (A)	2011	1	M	2692
Bland (A)	2016	0	F	153
Bland (A)	2016	0	M	138
Bland (A)	2016	1	F	2442
Bland (A)	2016	1	M	2454
Blayney (A)	2006	0	F	202
Blayney (A)	2006	0	M	199
Blayney (A)	2006	1	F	2957
Blayney (A)	2006	1	M	2952
Blayney (A)	2011	0	F	211
Blayney (A)	2011	0	M	208
Blayney (A)	2011	1	F	3102
Blayney (A)	2011	1	M	3073
Blayney (A)	2016	0	F	222
Blayney (A)	2016	0	M	223
Blayney (A)	2016	1	F	3128
Blayney (A)	2016	1	M	3078
Blue Mountains (C)	2006	0	F	6246
Blue Mountains (C)	2006	0	M	5985
Blue Mountains (C)	2006	1	F	29993
Blue Mountains (C)	2006	1	M	28088
Blue Mountains (C)	2011	0	F	6559
Blue Mountains (C)	2011	0	M	6007
Blue Mountains (C)	2011	1	F	30657
Blue Mountains (C)	2011	1	M	28574
Blue Mountains (C)	2016	0	F	6829
Blue Mountains (C)	2016	0	M	6118
Blue Mountains (C)	2016	1	F	30955
Blue Mountains (C)	2016	1	M	29075
Bogan (A)	2006	0	F	47
Bogan (A)	2006	0	M	43
Bogan (A)	2006	1	F	1275
Bogan (A)	2006	1	M	1382
Bogan (A)	2011	0	F	52
Bogan (A)	2011	0	M	55
Bogan (A)	2011	1	F	1259
Bogan (A)	2011	1	M	1304
Bogan (A)	2016	0	F	62
Bogan (A)	2016	0	M	66
Bogan (A)	2016	1	F	1120
Bogan (A)	2016	1	M	1116
Botany Bay (C)	2006	0	F	7632
Botany Bay (C)	2006	0	M	7319
Botany Bay (C)	2006	1	F	9135
Botany Bay (C)	2006	1	M	9035
Botany Bay (C)	2011	0	F	8487
Botany Bay (C)	2011	0	M	8116
Botany Bay (C)	2011	1	F	10136
Botany Bay (C)	2011	1	M	10097
Botany Bay (C)	2016	0	F	10609
Botany Bay (C)	2016	0	M	10073
Botany Bay (C)	2016	1	F	11185
Botany Bay (C)	2016	1	M	11503
Bourke (A)	2006	0	F	59
Bourke (A)	2006	0	M	54
Bourke (A)	2006	1	F	1301
Bourke (A)	2006	1	M	1376
Bourke (A)	2011	0	F	58
Bourke (A)	2011	0	M	45
Bourke (A)	2011	1	F	1156
Bourke (A)	2011	1	M	1182
Bourke (A)	2016	0	F	61
Bourke (A)	2016	0	M	37
Bourke (A)	2016	1	F	995
Bourke (A)	2016	1	M	975
Brewarrina (A)	2006	0	F	20
Brewarrina (A)	2006	0	M	23
Brewarrina (A)	2006	1	F	857
Brewarrina (A)	2006	1	M	892
Brewarrina (A)	2011	0	F	27
Brewarrina (A)	2011	0	M	19
Brewarrina (A)	2011	1	F	799
Brewarrina (A)	2011	1	M	798
Brewarrina (A)	2016	0	F	15
Brewarrina (A)	2016	0	M	21
Brewarrina (A)	2016	1	F	704
Brewarrina (A)	2016	1	M	743
Broken Hill (C)	2006	0	F	442
Broken Hill (C)	2006	0	M	420
Broken Hill (C)	2006	1	F	8615
Broken Hill (C)	2006	1	M	8235
Broken Hill (C)	2011	0	F	417
Broken Hill (C)	2011	0	M	411
Broken Hill (C)	2011	1	F	8382
Broken Hill (C)	2011	1	M	7967
Broken Hill (C)	2016	0	F	412
Broken Hill (C)	2016	0	M	389
Broken Hill (C)	2016	1	F	7897
Broken Hill (C)	2016	1	M	7470
Burwood (A)	2006	0	F	7846
Burwood (A)	2006	0	M	7426
Burwood (A)	2006	1	F	6698
Burwood (A)	2006	1	M	6374
Burwood (A)	2011	0	F	8772
Burwood (A)	2011	0	M	8290
Burwood (A)	2011	1	F	6923
Burwood (A)	2011	1	M	6603
Burwood (A)	2016	0	F	11056
Burwood (A)	2016	0	M	10013
Burwood (A)	2016	1	F	6959
Burwood (A)	2016	1	M	6804
Byron (A)	2006	0	F	2327
Byron (A)	2006	0	M	2324
Byron (A)	2006	1	F	11005
Byron (A)	2006	1	M	10495
Byron (A)	2011	0	F	2723
Byron (A)	2011	0	M	2593
Byron (A)	2011	1	F	11311
Byron (A)	2011	1	M	10668
Byron (A)	2016	0	F	2955
Byron (A)	2016	0	M	2681
Byron (A)	2016	1	F	11178
Byron (A)	2016	1	M	10379
Cabonne (A)	2006	0	F	337
Cabonne (A)	2006	0	M	368
Cabonne (A)	2006	1	F	5551
Cabonne (A)	2006	1	M	5554
Cabonne (A)	2011	0	F	399
Cabonne (A)	2011	0	M	397
Cabonne (A)	2011	1	F	5760
Cabonne (A)	2011	1	M	5777
Cabonne (A)	2016	0	F	417
Cabonne (A)	2016	0	M	381
Cabonne (A)	2016	1	F	5734
Cabonne (A)	2016	1	M	5785
Camden (A)	2006	0	F	3890
Camden (A)	2006	0	M	3785
Camden (A)	2006	1	F	20185
Camden (A)	2006	1	M	19424
Camden (A)	2011	0	F	4536
Camden (A)	2011	0	M	4474
Camden (A)	2011	1	F	23245
Camden (A)	2011	1	M	22264
Camden (A)	2016	0	F	7046
Camden (A)	2016	0	M	6720
Camden (A)	2016	1	F	30830
Camden (A)	2016	1	M	29707
Campbelltown (C) (NSW)	2006	0	F	19246
Campbelltown (C) (NSW)	2006	0	M	18245
Campbelltown (C) (NSW)	2006	1	F	48451
Campbelltown (C) (NSW)	2006	1	M	47096
Campbelltown (C) (NSW)	2011	0	F	21302
Campbelltown (C) (NSW)	2011	0	M	19829
Campbelltown (C) (NSW)	2011	1	F	48860
Campbelltown (C) (NSW)	2011	1	M	47423
Campbelltown (C) (NSW)	2016	0	F	25393
Campbelltown (C) (NSW)	2016	0	M	23933
Campbelltown (C) (NSW)	2016	1	F	49161
Campbelltown (C) (NSW)	2016	1	M	48150
Canada Bay (A)	2006	0	F	10717
Canada Bay (A)	2006	0	M	9957
Canada Bay (A)	2006	1	F	20749
Canada Bay (A)	2006	1	M	18948
Canada Bay (A)	2011	0	F	14044
Canada Bay (A)	2011	0	M	12873
Canada Bay (A)	2011	1	F	22604
Canada Bay (A)	2011	1	M	21335
Canada Bay (A)	2016	0	F	18802
Canada Bay (A)	2016	0	M	16872
Canada Bay (A)	2016	1	F	24013
Canada Bay (A)	2016	1	M	22856
Canterbury-Bankstown (A)	2006	0	F	61826
Canterbury-Bankstown (A)	2006	0	M	60230
Canterbury-Bankstown (A)	2006	1	F	78204
Canterbury-Bankstown (A)	2006	1	M	76251
Canterbury-Bankstown (A)	2011	0	F	68489
Canterbury-Bankstown (A)	2011	0	M	66363
Canterbury-Bankstown (A)	2011	1	F	82510
Canterbury-Bankstown (A)	2011	1	M	81421
Canterbury-Bankstown (A)	2016	0	F	77299
Canterbury-Bankstown (A)	2016	0	M	75400
Canterbury-Bankstown (A)	2016	1	F	85649
Canterbury-Bankstown (A)	2016	1	M	86004
Carrathool (A)	2006	0	F	94
Carrathool (A)	2006	0	M	90
Carrathool (A)	2006	1	F	1130
Carrathool (A)	2006	1	M	1275
Carrathool (A)	2011	0	F	99
Carrathool (A)	2011	0	M	99
Carrathool (A)	2011	1	F	1058
Carrathool (A)	2011	1	M	1202
Carrathool (A)	2016	0	F	131
Carrathool (A)	2016	0	M	134
Carrathool (A)	2016	1	F	1033
Carrathool (A)	2016	1	M	1144
Central Coast (C) (NSW)	2006	0	F	20293
Central Coast (C) (NSW)	2006	0	M	19350
Central Coast (C) (NSW)	2006	1	F	122841
Central Coast (C) (NSW)	2006	1	M	114424
Central Coast (C) (NSW)	2011	0	F	22745
Central Coast (C) (NSW)	2011	0	M	21043
Central Coast (C) (NSW)	2011	1	F	130205
Central Coast (C) (NSW)	2011	1	M	121434
Central Coast (C) (NSW)	2016	0	F	25110
Central Coast (C) (NSW)	2016	0	M	22946
Central Coast (C) (NSW)	2016	1	F	132713
Central Coast (C) (NSW)	2016	1	M	125665
Central Darling (A)	2006	0	F	47
Central Darling (A)	2006	0	M	47
Central Darling (A)	2006	1	F	771
Central Darling (A)	2006	1	M	933
Central Darling (A)	2011	0	F	58
Central Darling (A)	2011	0	M	59
Central Darling (A)	2011	1	F	842
Central Darling (A)	2011	1	M	915
Central Darling (A)	2016	0	F	35
Central Darling (A)	2016	0	M	49
Central Darling (A)	2016	1	F	688
Central Darling (A)	2016	1	M	770
Cessnock (C)	2006	0	F	1488
Cessnock (C)	2006	0	M	1427
Cessnock (C)	2006	1	F	20490
Cessnock (C)	2006	1	M	20087
Cessnock (C)	2011	0	F	1683
Cessnock (C)	2011	0	M	1662
Cessnock (C)	2011	1	F	22472
Cessnock (C)	2011	1	M	22185
Cessnock (C)	2016	0	F	1787
Cessnock (C)	2016	0	M	1710
Cessnock (C)	2016	1	F	23832
Cessnock (C)	2016	1	M	23761
Clarence Valley (A)	2006	0	F	1638
Clarence Valley (A)	2006	0	M	1618
Clarence Valley (A)	2006	1	F	21340
Clarence Valley (A)	2006	1	M	20930
Clarence Valley (A)	2011	0	F	1877
Clarence Valley (A)	2011	0	M	1769
Clarence Valley (A)	2011	1	F	22049
Clarence Valley (A)	2011	1	M	21522
Clarence Valley (A)	2016	0	F	2027
Clarence Valley (A)	2016	0	M	1796
Clarence Valley (A)	2016	1	F	21326
Clarence Valley (A)	2016	1	M	21108
Cobar (A)	2006	0	F	140
Cobar (A)	2006	0	M	142
Cobar (A)	2006	1	F	2019
Cobar (A)	2006	1	M	2167
Cobar (A)	2011	0	F	160
Cobar (A)	2011	0	M	160
Cobar (A)	2011	1	F	1905
Cobar (A)	2011	1	M	2071
Cobar (A)	2016	0	F	180
Cobar (A)	2016	0	M	143
Cobar (A)	2016	1	F	1793
Cobar (A)	2016	1	M	1923
Coffs Harbour (C)	2006	0	F	3929
Coffs Harbour (C)	2006	0	M	3570
Coffs Harbour (C)	2006	1	F	27683
Coffs Harbour (C)	2006	1	M	26221
Coffs Harbour (C)	2011	0	F	4639
Coffs Harbour (C)	2011	0	M	4195
Coffs Harbour (C)	2011	1	F	28897
Coffs Harbour (C)	2011	1	M	27290
Coffs Harbour (C)	2016	0	F	5382
Coffs Harbour (C)	2016	0	M	4764
Coffs Harbour (C)	2016	1	F	29310
Coffs Harbour (C)	2016	1	M	27846
Coolamon (A)	2006	0	F	80
Coolamon (A)	2006	0	M	82
Coolamon (A)	2006	1	F	1875
Coolamon (A)	2006	1	M	1829
Coolamon (A)	2011	0	F	100
Coolamon (A)	2011	0	M	79
Coolamon (A)	2011	1	F	1886
Coolamon (A)	2011	1	M	1810
Coolamon (A)	2016	0	F	80
Coolamon (A)	2016	0	M	88
Coolamon (A)	2016	1	F	1829
Coolamon (A)	2016	1	M	1815
Coonamble (A)	2006	0	F	61
Coonamble (A)	2006	0	M	41
Coonamble (A)	2006	1	F	1929
Coonamble (A)	2006	1	M	1934
Coonamble (A)	2011	0	F	55
Coonamble (A)	2011	0	M	40
Coonamble (A)	2011	1	F	1805
Coonamble (A)	2011	1	M	1839
Coonamble (A)	2016	0	F	66
Coonamble (A)	2016	0	M	42
Coonamble (A)	2016	1	F	1572
Coonamble (A)	2016	1	M	1582
Cowra (A)	2006	0	F	353
Cowra (A)	2006	0	M	351
Cowra (A)	2006	1	F	5616
Cowra (A)	2006	1	M	5537
Cowra (A)	2011	0	F	357
Cowra (A)	2011	0	M	357
Cowra (A)	2011	1	F	5305
Cowra (A)	2011	1	M	5247
Cowra (A)	2016	0	F	389
Cowra (A)	2016	0	M	362
Cowra (A)	2016	1	F	5326
Cowra (A)	2016	1	M	5212
Cumberland (A)	2006	0	F	38671
Cumberland (A)	2006	0	M	38802
Cumberland (A)	2006	1	F	41158
Cumberland (A)	2006	1	M	40459
Cumberland (A)	2011	0	F	46257
Cumberland (A)	2011	0	M	46462
Cumberland (A)	2011	1	F	43509
Cumberland (A)	2011	1	M	43236
Cumberland (A)	2016	0	F	53646
Cumberland (A)	2016	0	M	59238
Cumberland (A)	2016	1	F	44903
Cumberland (A)	2016	1	M	45144
Dungog (A)	2006	0	F	196
Dungog (A)	2006	0	M	190
Dungog (A)	2006	1	F	3567
Dungog (A)	2006	1	M	3593
Dungog (A)	2011	0	F	211
Dungog (A)	2011	0	M	195
Dungog (A)	2011	1	F	3725
Dungog (A)	2011	1	M	3769
Dungog (A)	2016	0	F	227
Dungog (A)	2016	0	M	213
Dungog (A)	2016	1	F	3862
Dungog (A)	2016	1	M	3910
Edward River (A)	2006	0	F	248
Edward River (A)	2006	0	M	249
Edward River (A)	2006	1	F	4076
Edward River (A)	2006	1	M	3976
Edward River (A)	2011	0	F	242
Edward River (A)	2011	0	M	243
Edward River (A)	2011	1	F	3884
Edward River (A)	2011	1	M	3733
Edward River (A)	2016	0	F	280
Edward River (A)	2016	0	M	284
Edward River (A)	2016	1	F	3684
Edward River (A)	2016	1	M	3574
Eurobodalla (A)	2006	0	F	2381
Eurobodalla (A)	2006	0	M	2313
Eurobodalla (A)	2006	1	F	14500
Eurobodalla (A)	2006	1	M	13873
Eurobodalla (A)	2011	0	F	2518
Eurobodalla (A)	2011	0	M	2376
Eurobodalla (A)	2011	1	F	14551
Eurobodalla (A)	2011	1	M	14050
Eurobodalla (A)	2016	0	F	2565
Eurobodalla (A)	2016	0	M	2412
Eurobodalla (A)	2016	1	F	14696
Eurobodalla (A)	2016	1	M	14186
Fairfield (C)	2006	0	F	47903
Fairfield (C)	2006	0	M	44656
Fairfield (C)	2006	1	F	36910
Fairfield (C)	2006	1	M	37788
Fairfield (C)	2011	0	F	51589
Fairfield (C)	2011	0	M	47063
Fairfield (C)	2011	1	F	38897
Fairfield (C)	2011	1	M	40658
Fairfield (C)	2016	0	F	56183
Fairfield (C)	2016	0	M	50971
Fairfield (C)	2016	1	F	39261
Fairfield (C)	2016	1	M	41516
Federation (A)	2006	0	F	402
Federation (A)	2006	0	M	421
Federation (A)	2006	1	F	5360
Federation (A)	2006	1	M	5406
Federation (A)	2011	0	F	429
Federation (A)	2011	0	M	425
Federation (A)	2011	1	F	5332
Federation (A)	2011	1	M	5355
Federation (A)	2016	0	F	439
Federation (A)	2016	0	M	409
Federation (A)	2016	1	F	5124
Federation (A)	2016	1	M	5088
Forbes (A)	2006	0	F	184
Forbes (A)	2006	0	M	147
Forbes (A)	2006	1	F	4243
Forbes (A)	2006	1	M	4191
Forbes (A)	2011	0	F	205
Forbes (A)	2011	0	M	166
Forbes (A)	2011	1	F	4185
Forbes (A)	2011	1	M	4154
Forbes (A)	2016	0	F	202
Forbes (A)	2016	0	M	181
Forbes (A)	2016	1	F	4088
Forbes (A)	2016	1	M	4132
Georges River (A)	2006	0	F	24657
Georges River (A)	2006	0	M	22521
Georges River (A)	2006	1	F	36220
Georges River (A)	2006	1	M	34646
Georges River (A)	2011	0	F	29327
Georges River (A)	2011	0	M	26620
Georges River (A)	2011	1	F	36878
Georges River (A)	2011	1	M	35857
Georges River (A)	2016	0	F	34984
Georges River (A)	2016	0	M	31931
Georges River (A)	2016	1	F	36617
Georges River (A)	2016	1	M	36428
Gilgandra (A)	2006	0	F	79
Gilgandra (A)	2006	0	M	59
Gilgandra (A)	2006	1	F	2079
Gilgandra (A)	2006	1	M	1991
Gilgandra (A)	2011	0	F	91
Gilgandra (A)	2011	0	M	68
Gilgandra (A)	2011	1	F	2021
Gilgandra (A)	2011	1	M	1897
Gilgandra (A)	2016	0	F	88
Gilgandra (A)	2016	0	M	67
Gilgandra (A)	2016	1	F	1871
Gilgandra (A)	2016	1	M	1805
Glen Innes Severn (A)	2006	0	F	249
Glen Innes Severn (A)	2006	0	M	224
Glen Innes Severn (A)	2006	1	F	3960
Glen Innes Severn (A)	2006	1	M	3864
Glen Innes Severn (A)	2011	0	F	278
Glen Innes Severn (A)	2011	0	M	269
Glen Innes Severn (A)	2011	1	F	3873
Glen Innes Severn (A)	2011	1	M	3779
Glen Innes Severn (A)	2016	0	F	310
Glen Innes Severn (A)	2016	0	M	278
Glen Innes Severn (A)	2016	1	F	3601
Glen Innes Severn (A)	2016	1	M	3615
Goulburn Mulwaree (A)	2006	0	F	910
Goulburn Mulwaree (A)	2006	0	M	1098
Goulburn Mulwaree (A)	2006	1	F	11209
Goulburn Mulwaree (A)	2006	1	M	11331
Goulburn Mulwaree (A)	2011	0	F	1109
Goulburn Mulwaree (A)	2011	0	M	1258
Goulburn Mulwaree (A)	2011	1	F	11853
Goulburn Mulwaree (A)	2011	1	M	11929
Goulburn Mulwaree (A)	2016	0	F	1398
Goulburn Mulwaree (A)	2016	0	M	1549
Goulburn Mulwaree (A)	2016	1	F	12103
Goulburn Mulwaree (A)	2016	1	M	12362
Greater Hume Shire (A)	2006	0	F	260
Greater Hume Shire (A)	2006	0	M	261
Greater Hume Shire (A)	2006	1	F	4312
Greater Hume Shire (A)	2006	1	M	4432
Greater Hume Shire (A)	2011	0	F	288
Greater Hume Shire (A)	2011	0	M	279
Greater Hume Shire (A)	2011	1	F	4305
Greater Hume Shire (A)	2011	1	M	4401
Greater Hume Shire (A)	2016	0	F	305
Greater Hume Shire (A)	2016	0	M	304
Greater Hume Shire (A)	2016	1	F	4436
Greater Hume Shire (A)	2016	1	M	4482
Griffith (C)	2006	0	F	1832
Griffith (C)	2006	0	M	1985
Griffith (C)	2006	1	F	9189
Griffith (C)	2006	1	M	9013
Griffith (C)	2011	0	F	2143
Griffith (C)	2011	0	M	2173
Griffith (C)	2011	1	F	9248
Griffith (C)	2011	1	M	9162
Griffith (C)	2016	0	F	2361
Griffith (C)	2016	0	M	2457
Griffith (C)	2016	1	F	9124
