LGA_NAME16	Year	EduInstitutionType	Sex	students
Albury (C)	2006		F	1826
Albury (C)	2006		M	1807
Albury (C)	2006	Infants/Primary	F	1992
Albury (C)	2006	Infants/Primary	M	2031
Albury (C)	2006	Pre-school	F	346
Albury (C)	2006	Pre-school	M	410
Albury (C)	2006	Secondary	F	1676
Albury (C)	2006	Secondary	M	1663
Albury (C)	2006	Technical or Further Educational Institution	F	816
Albury (C)	2006	Technical or Further Educational Institution	M	685
Albury (C)	2006	University or other tertiary	F	1161
Albury (C)	2006	University or other tertiary	M	534
Albury (C)	2011		F	1709
Albury (C)	2011		M	1660
Albury (C)	2011	Infants/Primary	F	1923
Albury (C)	2011	Infants/Primary	M	1924
Albury (C)	2011	Pre-school	F	403
Albury (C)	2011	Pre-school	M	437
Albury (C)	2011	Secondary	F	1643
Albury (C)	2011	Secondary	M	1625
Albury (C)	2011	Technical or Further Educational Institution	F	908
Albury (C)	2011	Technical or Further Educational Institution	M	763
Albury (C)	2011	University or other tertiary	F	1203
Albury (C)	2011	University or other tertiary	M	536
Albury (C)	2016		F	2227
Albury (C)	2016		M	2035
Albury (C)	2016	Infants/Primary	F	2043
Albury (C)	2016	Infants/Primary	M	2109
Albury (C)	2016	Pre-school	F	427
Albury (C)	2016	Pre-school	M	437
Albury (C)	2016	Secondary	F	1652
Albury (C)	2016	Secondary	M	1593
Albury (C)	2016	Technical or Further Educational Institution	F	667
Albury (C)	2016	Technical or Further Educational Institution	M	541
Albury (C)	2016	University or other tertiary	F	1143
Albury (C)	2016	University or other tertiary	M	572
Armidale Regional (A)	2006		F	1069
Armidale Regional (A)	2006		M	982
Armidale Regional (A)	2006	Infants/Primary	F	1186
Armidale Regional (A)	2006	Infants/Primary	M	1246
Armidale Regional (A)	2006	Pre-school	F	231
Armidale Regional (A)	2006	Pre-school	M	260
Armidale Regional (A)	2006	Secondary	F	1144
Armidale Regional (A)	2006	Secondary	M	1163
Armidale Regional (A)	2006	Technical or Further Educational Institution	F	419
Armidale Regional (A)	2006	Technical or Further Educational Institution	M	331
Armidale Regional (A)	2006	University or other tertiary	F	1695
Armidale Regional (A)	2006	University or other tertiary	M	1239
Armidale Regional (A)	2011		F	1169
Armidale Regional (A)	2011		M	1009
Armidale Regional (A)	2011	Infants/Primary	F	1122
Armidale Regional (A)	2011	Infants/Primary	M	1247
Armidale Regional (A)	2011	Pre-school	F	245
Armidale Regional (A)	2011	Pre-school	M	268
Armidale Regional (A)	2011	Secondary	F	1072
Armidale Regional (A)	2011	Secondary	M	1081
Armidale Regional (A)	2011	Technical or Further Educational Institution	F	414
Armidale Regional (A)	2011	Technical or Further Educational Institution	M	340
Armidale Regional (A)	2011	University or other tertiary	F	1653
Armidale Regional (A)	2011	University or other tertiary	M	1225
Armidale Regional (A)	2016		F	1334
Armidale Regional (A)	2016		M	1226
Armidale Regional (A)	2016	Infants/Primary	F	1181
Armidale Regional (A)	2016	Infants/Primary	M	1175
Armidale Regional (A)	2016	Pre-school	F	223
Armidale Regional (A)	2016	Pre-school	M	263
Armidale Regional (A)	2016	Secondary	F	1082
Armidale Regional (A)	2016	Secondary	M	1088
Armidale Regional (A)	2016	Technical or Further Educational Institution	F	290
Armidale Regional (A)	2016	Technical or Further Educational Institution	M	275
Armidale Regional (A)	2016	University or other tertiary	F	1795
Armidale Regional (A)	2016	University or other tertiary	M	1336
Ballina (A)	2006		F	1501
Ballina (A)	2006		M	1237
Ballina (A)	2006	Infants/Primary	F	1630
Ballina (A)	2006	Infants/Primary	M	1692
Ballina (A)	2006	Pre-school	F	309
Ballina (A)	2006	Pre-school	M	312
Ballina (A)	2006	Secondary	F	1404
Ballina (A)	2006	Secondary	M	1369
Ballina (A)	2006	Technical or Further Educational Institution	F	468
Ballina (A)	2006	Technical or Further Educational Institution	M	362
Ballina (A)	2006	University or other tertiary	F	619
Ballina (A)	2006	University or other tertiary	M	380
Ballina (A)	2011		F	1279
Ballina (A)	2011		M	1172
Ballina (A)	2011	Infants/Primary	F	1542
Ballina (A)	2011	Infants/Primary	M	1575
Ballina (A)	2011	Pre-school	F	323
Ballina (A)	2011	Pre-school	M	350
Ballina (A)	2011	Secondary	F	1341
Ballina (A)	2011	Secondary	M	1348
Ballina (A)	2011	Technical or Further Educational Institution	F	524
Ballina (A)	2011	Technical or Further Educational Institution	M	377
Ballina (A)	2011	University or other tertiary	F	641
Ballina (A)	2011	University or other tertiary	M	364
Ballina (A)	2016		F	1856
Ballina (A)	2016		M	1635
Ballina (A)	2016	Infants/Primary	F	1452
Ballina (A)	2016	Infants/Primary	M	1685
Ballina (A)	2016	Pre-school	F	346
Ballina (A)	2016	Pre-school	M	349
Ballina (A)	2016	Secondary	F	1348
Ballina (A)	2016	Secondary	M	1337
Ballina (A)	2016	Technical or Further Educational Institution	F	459
Ballina (A)	2016	Technical or Further Educational Institution	M	309
Ballina (A)	2016	University or other tertiary	F	651
Ballina (A)	2016	University or other tertiary	M	348
Balranald (A)	2006		F	90
Balranald (A)	2006		M	122
Balranald (A)	2006	Infants/Primary	F	92
Balranald (A)	2006	Infants/Primary	M	119
Balranald (A)	2006	Pre-school	F	24
Balranald (A)	2006	Pre-school	M	29
Balranald (A)	2006	Secondary	F	80
Balranald (A)	2006	Secondary	M	89
Balranald (A)	2006	Technical or Further Educational Institution	F	11
Balranald (A)	2006	Technical or Further Educational Institution	M	11
Balranald (A)	2006	University or other tertiary	F	19
Balranald (A)	2006	University or other tertiary	M	4
Balranald (A)	2011		F	121
Balranald (A)	2011		M	137
Balranald (A)	2011	Infants/Primary	F	89
Balranald (A)	2011	Infants/Primary	M	101
Balranald (A)	2011	Pre-school	F	24
Balranald (A)	2011	Pre-school	M	27
Balranald (A)	2011	Secondary	F	56
Balranald (A)	2011	Secondary	M	78
Balranald (A)	2011	Technical or Further Educational Institution	F	20
Balranald (A)	2011	Technical or Further Educational Institution	M	15
Balranald (A)	2011	University or other tertiary	F	20
Balranald (A)	2011	University or other tertiary	M	5
Balranald (A)	2016		F	133
Balranald (A)	2016		M	152
Balranald (A)	2016	Infants/Primary	F	107
Balranald (A)	2016	Infants/Primary	M	108
Balranald (A)	2016	Pre-school	F	18
Balranald (A)	2016	Pre-school	M	23
Balranald (A)	2016	Secondary	F	62
Balranald (A)	2016	Secondary	M	73
Balranald (A)	2016	Technical or Further Educational Institution	F	14
Balranald (A)	2016	Technical or Further Educational Institution	M	8
Balranald (A)	2016	University or other tertiary	F	18
Balranald (A)	2016	University or other tertiary	M	10
Bathurst Regional (A)	2006		F	1175
Bathurst Regional (A)	2006		M	1826
Bathurst Regional (A)	2006	Infants/Primary	F	1509
Bathurst Regional (A)	2006	Infants/Primary	M	1607
Bathurst Regional (A)	2006	Pre-school	F	313
Bathurst Regional (A)	2006	Pre-school	M	376
Bathurst Regional (A)	2006	Secondary	F	1368
Bathurst Regional (A)	2006	Secondary	M	1512
Bathurst Regional (A)	2006	Technical or Further Educational Institution	F	444
Bathurst Regional (A)	2006	Technical or Further Educational Institution	M	501
Bathurst Regional (A)	2006	University or other tertiary	F	1312
Bathurst Regional (A)	2006	University or other tertiary	M	828
Bathurst Regional (A)	2011		F	1425
Bathurst Regional (A)	2011		M	2001
Bathurst Regional (A)	2011	Infants/Primary	F	1614
Bathurst Regional (A)	2011	Infants/Primary	M	1739
Bathurst Regional (A)	2011	Pre-school	F	335
Bathurst Regional (A)	2011	Pre-school	M	405
Bathurst Regional (A)	2011	Secondary	F	1335
Bathurst Regional (A)	2011	Secondary	M	1491
Bathurst Regional (A)	2011	Technical or Further Educational Institution	F	514
Bathurst Regional (A)	2011	Technical or Further Educational Institution	M	507
Bathurst Regional (A)	2011	University or other tertiary	F	1332
Bathurst Regional (A)	2011	University or other tertiary	M	829
Bathurst Regional (A)	2016		F	1787
Bathurst Regional (A)	2016		M	2473
Bathurst Regional (A)	2016	Infants/Primary	F	1776
Bathurst Regional (A)	2016	Infants/Primary	M	1896
Bathurst Regional (A)	2016	Pre-school	F	368
Bathurst Regional (A)	2016	Pre-school	M	402
Bathurst Regional (A)	2016	Secondary	F	1406
Bathurst Regional (A)	2016	Secondary	M	1519
Bathurst Regional (A)	2016	Technical or Further Educational Institution	F	525
Bathurst Regional (A)	2016	Technical or Further Educational Institution	M	375
Bathurst Regional (A)	2016	University or other tertiary	F	1254
Bathurst Regional (A)	2016	University or other tertiary	M	820
Bega Valley (A)	2006		F	1169
Bega Valley (A)	2006		M	1049
Bega Valley (A)	2006	Infants/Primary	F	1348
Bega Valley (A)	2006	Infants/Primary	M	1403
