LGA_NAME16	Year	SameAddress1YearAgo	persons
Albury (C)	2006		2818
Albury (C)	2006	0	7988
Albury (C)	2006	1	35479
Albury (C)	2011		2702
Albury (C)	2011	0	7704
Albury (C)	2011	1	37402
Albury (C)	2016		5384
Albury (C)	2016	0	8177
Albury (C)	2016	1	37515
Armidale Regional (A)	2006		1652
Armidale Regional (A)	2006	0	5147
Armidale Regional (A)	2006	1	20796
Armidale Regional (A)	2011		1853
Armidale Regional (A)	2011	0	5231
Armidale Regional (A)	2011	1	21419
Armidale Regional (A)	2016		3117
Armidale Regional (A)	2016	0	5215
Armidale Regional (A)	2016	1	21117
Ballina (A)	2006		1932
Ballina (A)	2006	0	6231
Ballina (A)	2006	1	30299
Ballina (A)	2011		1850
Ballina (A)	2011	0	5737
Ballina (A)	2011	1	31685
Ballina (A)	2016		3907
Ballina (A)	2016	0	6219
Ballina (A)	2016	1	31664
Balranald (A)	2006		172
Balranald (A)	2006	0	261
Balranald (A)	2006	1	2009
Balranald (A)	2011		203
Balranald (A)	2011	0	243
Balranald (A)	2011	1	1836
Balranald (A)	2016		290
Balranald (A)	2016	0	236
Balranald (A)	2016	1	1761
Bathurst Regional (A)	2006		2538
Bathurst Regional (A)	2006	0	6157
Bathurst Regional (A)	2006	1	27150
Bathurst Regional (A)	2011		2921
Bathurst Regional (A)	2011	0	6134
Bathurst Regional (A)	2011	1	29462
Bathurst Regional (A)	2016		4917
Bathurst Regional (A)	2016	0	6112
Bathurst Regional (A)	2016	1	30271
Bega Valley (A)	2006		1505
Bega Valley (A)	2006	0	4517
Bega Valley (A)	2006	1	25039
Bega Valley (A)	2011		1607
Bega Valley (A)	2011	0	4449
Bega Valley (A)	2011	1	25894
Bega Valley (A)	2016		3214
Bega Valley (A)	2016	0	4205
Bega Valley (A)	2016	1	25834
Bellingen (A)	2006		583
Bellingen (A)	2006	0	1823
Bellingen (A)	2006	1	10011
Bellingen (A)	2011		467
Bellingen (A)	2011	0	1804
Bellingen (A)	2011	1	10244
Bellingen (A)	2016		1071
Bellingen (A)	2016	0	1780
Bellingen (A)	2016	1	9817
Berrigan (A)	2006		311
Berrigan (A)	2006	0	1202
Berrigan (A)	2006	1	6480
Berrigan (A)	2011		419
Berrigan (A)	2011	0	1053
Berrigan (A)	2011	1	6595
Berrigan (A)	2016		1011
Berrigan (A)	2016	0	1013
Berrigan (A)	2016	1	6438
Blacktown (C)	2006		19021
Blacktown (C)	2006	0	33595
Blacktown (C)	2006	1	219096
Blacktown (C)	2011		17171
Blacktown (C)	2011	0	36128
Blacktown (C)	2011	1	247798
Blacktown (C)	2016		28329
Blacktown (C)	2016	0	43268
Blacktown (C)	2016	1	265365
Bland (A)	2006		260
Bland (A)	2006	0	834
Bland (A)	2006	1	5004
Bland (A)	2011		255
Bland (A)	2011	0	692
Bland (A)	2011	1	4915
Bland (A)	2016		831
Bland (A)	2016	0	489
Bland (A)	2016	1	4635
Blayney (A)	2006		277
Blayney (A)	2006	0	1001
Blayney (A)	2006	1	5316
Blayney (A)	2011		433
Blayney (A)	2011	0	834
Blayney (A)	2011	1	5718
Blayney (A)	2016		645
Blayney (A)	2016	0	875
Blayney (A)	2016	1	5737
Blue Mountains (C)	2006		3910
Blue Mountains (C)	2006	0	9174
Blue Mountains (C)	2006	1	60980
Blue Mountains (C)	2011		4350
Blue Mountains (C)	2011	0	8399
Blue Mountains (C)	2011	1	63192
Blue Mountains (C)	2016		6013
Blue Mountains (C)	2016	0	8390
Blue Mountains (C)	2016	1	62501
Bogan (A)	2006		110
Bogan (A)	2006	0	418
Bogan (A)	2006	1	2351
Bogan (A)	2011		245
Bogan (A)	2011	0	397
Bogan (A)	2011	1	2258
Bogan (A)	2016		369
Bogan (A)	2016	0	277
Bogan (A)	2016	1	2046
Botany Bay (C)	2006		2841
Botany Bay (C)	2006	0	5053
Botany Bay (C)	2006	1	28100
Botany Bay (C)	2011		2785
Botany Bay (C)	2011	0	4783
Botany Bay (C)	2011	1	31786
Botany Bay (C)	2016		4371
Botany Bay (C)	2016	0	7472
Botany Bay (C)	2016	1	34811
Bourke (A)	2006		284
Bourke (A)	2006	0	566
Bourke (A)	2006	1	2244
Bourke (A)	2011		483
Bourke (A)	2011	0	414
Bourke (A)	2011	1	1970
Bourke (A)	2016		607
Bourke (A)	2016	0	279
Bourke (A)	2016	1	1748
Brewarrina (A)	2006		222
Brewarrina (A)	2006	0	295
Brewarrina (A)	2006	1	1426
Brewarrina (A)	2011		139
Brewarrina (A)	2011	0	198
Brewarrina (A)	2011	1	1429
Brewarrina (A)	2016		202
Brewarrina (A)	2016	0	183
Brewarrina (A)	2016	1	1266
Broken Hill (C)	2006		1460
Broken Hill (C)	2006	0	2310
Broken Hill (C)	2006	1	15596
Broken Hill (C)	2011		1454
Broken Hill (C)	2011	0	2062
Broken Hill (C)	2011	1	15003
Broken Hill (C)	2016		1865
Broken Hill (C)	2016	0	1938
Broken Hill (C)	2016	1	13905
Burwood (A)	2006		2583
Burwood (A)	2006	0	4644
Burwood (A)	2006	1	23697
Burwood (A)	2011		2047
Burwood (A)	2011	0	4989
Burwood (A)	2011	1	25388
Burwood (A)	2016		2749
Burwood (A)	2016	0	7430
Burwood (A)	2016	1	26630
Byron (A)	2006		2646
Byron (A)	2006	0	4992
Byron (A)	2006	1	21127
Byron (A)	2011		1890
Byron (A)	2011	0	4949
Byron (A)	2011	1	22368
Byron (A)	2016		4536
Byron (A)	2016	0	4840
Byron (A)	2016	1	22180
Cabonne (A)	2006		545
Cabonne (A)	2006	0	1345
Cabonne (A)	2006	1	10506
Cabonne (A)	2011		521
Cabonne (A)	2011	0	1411
Cabonne (A)	2011	1	10891
Cabonne (A)	2016		1234
Cabonne (A)	2016	0	1321
Cabonne (A)	2016	1	10831
Camden (A)	2006		2657
Camden (A)	2006	0	6538
Camden (A)	2006	1	40450
Camden (A)	2011		2741
Camden (A)	2011	0	7794
Camden (A)	2011	1	46184
Camden (A)	2016		6139
Camden (A)	2016	0	12844
Camden (A)	2016	1	59235
Campbelltown (C) (NSW)	2006		10142
Campbelltown (C) (NSW)	2006	0	16352
Campbelltown (C) (NSW)	2006	1	116581
Campbelltown (C) (NSW)	2011		9271
Campbelltown (C) (NSW)	2011	0	16087
Campbelltown (C) (NSW)	2011	1	120611
Campbelltown (C) (NSW)	2016		14165
Campbelltown (C) (NSW)	2016	0	20058
Campbelltown (C) (NSW)	2016	1	122783
Canada Bay (A)	2006		5599
Canada Bay (A)	2006	0	9825
Canada Bay (A)	2006	1	50322
Canada Bay (A)	2011		5641
Canada Bay (A)	2011	0	11528
Canada Bay (A)	2011	1	58593
Canada Bay (A)	2016		7807
Canada Bay (A)	2016	0	14580
Canada Bay (A)	2016	1	65628
Canterbury-Bankstown (A)	2006		24167
Canterbury-Bankstown (A)	2006	0	33167
Canterbury-Bankstown (A)	2006	1	243115
Canterbury-Bankstown (A)	2011		23023
Canterbury-Bankstown (A)	2011	0	33261
Canterbury-Bankstown (A)	2011	1	263523
Canterbury-Bankstown (A)	2016		29902
Canterbury-Bankstown (A)	2016	0	41997
Canterbury-Bankstown (A)	2016	1	274403
Carrathool (A)	2006		219
Carrathool (A)	2006	0	357
Carrathool (A)	2006	1	2241
Carrathool (A)	2011		100
Carrathool (A)	2011	0	383
Carrathool (A)	2011	1	2102
Carrathool (A)	2016		302
Carrathool (A)	2016	0	350
Carrathool (A)	2016	1	2067
Central Coast (C) (NSW)	2006		20614
Central Coast (C) (NSW)	2006	0	41428
Central Coast (C) (NSW)	2006	1	235915
Central Coast (C) (NSW)	2011		17658
Central Coast (C) (NSW)	2011	0	41089
Central Coast (C) (NSW)	2011	1	253435
Central Coast (C) (NSW)	2016		29254
Central Coast (C) (NSW)	2016	0	43534
Central Coast (C) (NSW)	2016	1	254948
Central Darling (A)	2006		204
Central Darling (A)	2006	0	259
Central Darling (A)	2006	1	1476
Central Darling (A)	2011		158
Central Darling (A)	2011	0	237
Central Darling (A)	2011	1	1597
Central Darling (A)	2016		280
Central Darling (A)	2016	0	188
Central Darling (A)	2016	1	1365
Cessnock (C)	2006		2955
Cessnock (C)	2006	0	6117
Cessnock (C)	2006	1	37137
Cessnock (C)	2011		3433
Cessnock (C)	2011	0	6679
Cessnock (C)	2011	1	40728
Cessnock (C)	2016		6298
Cessnock (C)	2016	0	6983
Cessnock (C)	2016	1	42279
Clarence Valley (A)	2006		2652
Clarence Valley (A)	2006	0	7095
Clarence Valley (A)	2006	1	38401
Clarence Valley (A)	2011		2727
Clarence Valley (A)	2011	0	6842
Clarence Valley (A)	2011	1	40097
Clarence Valley (A)	2016		5077
