LGA_NAME16	Year	Sex	overseas_visitors
Albury (C)	2006	F	90
Albury (C)	2006	M	78
Albury (C)	2011	F	66
Albury (C)	2011	M	60
Albury (C)	2016	F	110
Albury (C)	2016	M	125
Armidale Regional (A)	2006	F	101
Armidale Regional (A)	2006	M	93
Armidale Regional (A)	2011	F	178
Armidale Regional (A)	2011	M	154
Armidale Regional (A)	2016	F	150
Armidale Regional (A)	2016	M	175
Ballina (A)	2006	F	121
Ballina (A)	2006	M	98
Ballina (A)	2011	F	102
Ballina (A)	2011	M	91
Ballina (A)	2016	F	104
Ballina (A)	2016	M	93
Balranald (A)	2006	F	0
Balranald (A)	2006	M	7
Balranald (A)	2011	F	3
Balranald (A)	2011	M	12
Balranald (A)	2016	F	6
Balranald (A)	2016	M	11
Bathurst Regional (A)	2006	F	90
Bathurst Regional (A)	2006	M	57
Bathurst Regional (A)	2011	F	105
Bathurst Regional (A)	2011	M	73
Bathurst Regional (A)	2016	F	55
Bathurst Regional (A)	2016	M	43
Bega Valley (A)	2006	F	37
Bega Valley (A)	2006	M	45
Bega Valley (A)	2011	F	59
Bega Valley (A)	2011	M	51
Bega Valley (A)	2016	F	66
Bega Valley (A)	2016	M	56
Bellingen (A)	2006	F	38
Bellingen (A)	2006	M	31
Bellingen (A)	2011	F	30
Bellingen (A)	2011	M	28
Bellingen (A)	2016	F	21
Bellingen (A)	2016	M	17
Berrigan (A)	2006	F	11
Berrigan (A)	2006	M	14
Berrigan (A)	2011	F	4
Berrigan (A)	2011	M	8
Berrigan (A)	2016	F	20
Berrigan (A)	2016	M	19
Blacktown (C)	2006	F	923
Blacktown (C)	2006	M	657
Blacktown (C)	2011	F	1235
Blacktown (C)	2011	M	774
Blacktown (C)	2016	F	2319
Blacktown (C)	2016	M	1472
Bland (A)	2006	F	3
Bland (A)	2006	M	6
Bland (A)	2011	F	5
Bland (A)	2011	M	7
Bland (A)	2016	F	11
Bland (A)	2016	M	0
Blayney (A)	2006	F	4
Blayney (A)	2006	M	5
Blayney (A)	2011	F	4
Blayney (A)	2011	M	3
Blayney (A)	2016	F	10
Blayney (A)	2016	M	0
Blue Mountains (C)	2006	F	340
Blue Mountains (C)	2006	M	285
Blue Mountains (C)	2011	F	269
Blue Mountains (C)	2011	M	227
Blue Mountains (C)	2016	F	530
Blue Mountains (C)	2016	M	401
Bogan (A)	2006	F	4
Bogan (A)	2006	M	0
Bogan (A)	2011	F	10
Bogan (A)	2011	M	9
Bogan (A)	2016	F	0
Bogan (A)	2016	M	3
Botany Bay (C)	2006	F	174
Botany Bay (C)	2006	M	163
Botany Bay (C)	2011	F	277
Botany Bay (C)	2011	M	218
Botany Bay (C)	2016	F	693
Botany Bay (C)	2016	M	566
Bourke (A)	2006	F	15
Bourke (A)	2006	M	18
Bourke (A)	2011	F	8
Bourke (A)	2011	M	13
Bourke (A)	2016	F	6
Bourke (A)	2016	M	3
Brewarrina (A)	2006	F	3
Brewarrina (A)	2006	M	4
Brewarrina (A)	2011	F	3
Brewarrina (A)	2011	M	5
Brewarrina (A)	2016	F	0
Brewarrina (A)	2016	M	3
Broken Hill (C)	2006	F	21
Broken Hill (C)	2006	M	19
Broken Hill (C)	2011	F	19
Broken Hill (C)	2011	M	30
Broken Hill (C)	2016	F	26
Broken Hill (C)	2016	M	36
Burwood (A)	2006	F	275
Burwood (A)	2006	M	183
Burwood (A)	2011	F	277
Burwood (A)	2011	M	214
Burwood (A)	2016	F	568
Burwood (A)	2016	M	360
Byron (A)	2006	F	501
Byron (A)	2006	M	409
Byron (A)	2011	F	522
Byron (A)	2011	M	455
Byron (A)	2016	F	450
Byron (A)	2016	M	338
Cabonne (A)	2006	F	8
Cabonne (A)	2006	M	10
Cabonne (A)	2011	F	41
Cabonne (A)	2011	M	53
Cabonne (A)	2016	F	22
Cabonne (A)	2016	M	18
Camden (A)	2006	F	80
Camden (A)	2006	M	60
Camden (A)	2011	F	87
Camden (A)	2011	M	60
Camden (A)	2016	F	178
Camden (A)	2016	M	132
Campbelltown (C) (NSW)	2006	F	258
Campbelltown (C) (NSW)	2006	M	195
Campbelltown (C) (NSW)	2011	F	283
Campbelltown (C) (NSW)	2011	M	220
Campbelltown (C) (NSW)	2016	F	697
Campbelltown (C) (NSW)	2016	M	480
Canada Bay (A)	2006	F	329
Canada Bay (A)	2006	M	238
Canada Bay (A)	2011	F	446
Canada Bay (A)	2011	M	280
Canada Bay (A)	2016	F	869
Canada Bay (A)	2016	M	602
Canterbury-Bankstown (A)	2006	F	957
Canterbury-Bankstown (A)	2006	M	737
Canterbury-Bankstown (A)	2011	F	1122
Canterbury-Bankstown (A)	2011	M	797
Canterbury-Bankstown (A)	2016	F	1964
Canterbury-Bankstown (A)	2016	M	1485
Carrathool (A)	2006	F	19
Carrathool (A)	2006	M	28
Carrathool (A)	2011	F	19
Carrathool (A)	2011	M	35
Carrathool (A)	2016	F	25
Carrathool (A)	2016	M	44
Central Coast (C) (NSW)	2006	F	579
Central Coast (C) (NSW)	2006	M	384
Central Coast (C) (NSW)	2011	F	465
Central Coast (C) (NSW)	2011	M	359
Central Coast (C) (NSW)	2016	F	680
Central Coast (C) (NSW)	2016	M	503
Central Darling (A)	2006	F	3
Central Darling (A)	2006	M	8
Central Darling (A)	2011	F	13
Central Darling (A)	2011	M	25
Central Darling (A)	2016	F	5
Central Darling (A)	2016	M	3
Cessnock (C)	2006	F	65
Cessnock (C)	2006	M	56
Cessnock (C)	2011	F	85
Cessnock (C)	2011	M	85
Cessnock (C)	2016	F	91
Cessnock (C)	2016	M	79
Clarence Valley (A)	2006	F	76
Clarence Valley (A)	2006	M	68
Clarence Valley (A)	2011	F	67
Clarence Valley (A)	2011	M	59
Clarence Valley (A)	2016	F	99
Clarence Valley (A)	2016	M	89
Cobar (A)	2006	F	3
Cobar (A)	2006	M	3
Cobar (A)	2011	F	8
Cobar (A)	2011	M	14
Cobar (A)	2016	F	6
Cobar (A)	2016	M	3
Coffs Harbour (C)	2006	F	228
Coffs Harbour (C)	2006	M	180
Coffs Harbour (C)	2011	F	279
Coffs Harbour (C)	2011	M	218
Coffs Harbour (C)	2016	F	383
Coffs Harbour (C)	2016	M	304
Coolamon (A)	2006	F	5
Coolamon (A)	2006	M	3
Coolamon (A)	2011	F	0
Coolamon (A)	2011	M	0
Coolamon (A)	2016	F	4
Coolamon (A)	2016	M	3
Coonamble (A)	2006	F	4
Coonamble (A)	2006	M	3
Coonamble (A)	2011	F	5
Coonamble (A)	2011	M	6
Coonamble (A)	2016	F	4
Coonamble (A)	2016	M	0
Cowra (A)	2006	F	23
Cowra (A)	2006	M	28
Cowra (A)	2011	F	28
Cowra (A)	2011	M	15
Cowra (A)	2016	F	23
Cowra (A)	2016	M	21
Cumberland (A)	2006	F	668
Cumberland (A)	2006	M	494
Cumberland (A)	2011	F	869
Cumberland (A)	2011	M	614
Cumberland (A)	2016	F	1555
Cumberland (A)	2016	M	1203
Dungog (A)	2006	F	13
Dungog (A)	2006	M	11
Dungog (A)	2011	F	12
Dungog (A)	2011	M	4
Dungog (A)	2016	F	5
Dungog (A)	2016	M	9
Edward River (A)	2006	F	6
Edward River (A)	2006	M	4
Edward River (A)	2011	F	16
Edward River (A)	2011	M	15
Edward River (A)	2016	F	21
Edward River (A)	2016	M	40
Eurobodalla (A)	2006	F	66
Eurobodalla (A)	2006	M	53
Eurobodalla (A)	2011	F	78
Eurobodalla (A)	2011	M	65
Eurobodalla (A)	2016	F	70
Eurobodalla (A)	2016	M	69
Fairfield (C)	2006	F	312
Fairfield (C)	2006	M	260
Fairfield (C)	2011	F	359
Fairfield (C)	2011	M	292
Fairfield (C)	2016	F	697
Fairfield (C)	2016	M	550
Federation (A)	2006	F	14
Federation (A)	2006	M	7
Federation (A)	2011	F	9
Federation (A)	2011	M	10
Federation (A)	2016	F	14
Federation (A)	2016	M	12
