LGA_NAME16	Year	medianTotalHouseholdIncomeWeekly
Albury (C)	2006	921
Armidale Regional (A)	2006	826
Ballina (A)	2006	776
Balranald (A)	2006	734
Bathurst Regional (A)	2006	969
Bega Valley (A)	2006	700
Bellingen (A)	2006	621
Berrigan (A)	2006	730
Blacktown (C)	2006	1117
Bland (A)	2006	722
Blayney (A)	2006	863
Blue Mountains (C)	2006	1103
Bogan (A)	2006	711
Botany Bay (C)	2006	993
Bourke (A)	2006	817
Brewarrina (A)	2006	735
Broken Hill (C)	2006	619
Burwood (A)	2006	1080
Byron (A)	2006	744
Cabonne (A)	2006	864
Camden (A)	2006	1344
Campbelltown (C) (NSW)	2006	1073
Canada Bay (A)	2006	1453
Canterbury-Bankstown (A)	2006	884
Carrathool (A)	2006	784
Central Coast (C) (NSW)	2006	855
Central Darling (A)	2006	608
Cessnock (C)	2006	788
Clarence Valley (A)	2006	632
Cobar (A)	2006	1069
Coffs Harbour (C)	2006	702
Coolamon (A)	2006	646
Coonamble (A)	2006	686
Cowra (A)	2006	680
Cumberland (A)	2006	908
Dungog (A)	2006	873
Edward River (A)	2006	763
Eurobodalla (A)	2006	635
Fairfield (C)	2006	871
Federation (A)	2006	763
Forbes (A)	2006	678
Georges River (A)	2006	1115
Gilgandra (A)	2006	662
Glen Innes Severn (A)	2006	615
Goulburn Mulwaree (A)	2006	842
Greater Hume Shire (A)	2006	836
Griffith (C)	2006	993
Gundagai (A)	2006	683
Gunnedah (A)	2006	714
Gwydir (A)	2006	611
Hawkesbury (C)	2006	1161
Hay (A)	2006	731
Hilltops (A)	2006	680
Hornsby (A)	2006	1480
Hunters Hill (A)	2006	1826
Inner West (A)	2006	1265
Inverell (A)	2006	643
Junee (A)	2006	766
Kempsey (A)	2006	617
Kiama (A)	2006	1058
Ku-ring-gai (A)	2006	2139
Kyogle (A)	2006	600
Lachlan (A)	2006	682
Lake Macquarie (C)	2006	921
Lane Cove (A)	2006	1757
Leeton (A)	2006	852
Lismore (C)	2006	759
Lithgow (C)	2006	741
Liverpool (C)	2006	1090
Liverpool Plains (A)	2006	667
Lockhart (A)	2006	774
Maitland (C)	2006	1027
Mid-Coast (A)	2006	627
Mid-Western Regional (A)	2006	704
Moree Plains (A)	2006	932
Mosman (A)	2006	1921
Murray River (A)	2006	759
Murrumbidgee (A)	2006	812
Muswellbrook (A)	2006	1067
Nambucca (A)	2006	564
Narrabri (A)	2006	793
Narrandera (A)	2006	698
Narromine (A)	2006	726
Newcastle (C)	2006	886
North Sydney (A)	2006	1802
Northern Beaches (A)	2006	1428
Oberon (A)	2006	905
Orange (C)	2006	936
Parkes (A)	2006	690
Parramatta (C)	2006	1171
Penrith (C)	2006	1163
Port Macquarie-Hastings (A)	2006	678
Port Stephens (A)	2006	831
Queanbeyan-Palerang Regional (A)	2006	1224
Randwick (C)	2006	1212
Richmond Valley (A)	2006	645
Rockdale (C)	2006	1039
Ryde (C)	2006	1181
Shellharbour (C)	2006	982
Shoalhaven (C)	2006	661
Singleton (A)	2006	1260
Snowy Monaro Regional (A)	2006	964
Snowy Valleys (A)	2006	787
Strathfield (A)	2006	1108
Sutherland Shire (A)	2006	1354
Sydney (C)	2006	1237
Tamworth Regional (A)	2006	818
Temora (A)	2006	645
Tenterfield (A)	2006	584
The Hills Shire (A)	2006	1794
Tweed (A)	2006	679
Upper Hunter Shire (A)	2006	878
Upper Lachlan Shire (A)	2006	725
Uralla (A)	2006	780
Wagga Wagga (C)	2006	966
Walcha (A)	2006	691
Walgett (A)	2006	578
Warren (A)	2006	691
Warrumbungle Shire (A)	2006	610
Waverley (A)	2006	1390
Weddin (A)	2006	601
Wentworth (A)	2006	775
Western Plains Regional (A)	2006	889
Willoughby (C)	2006	1654
Wingecarribee (A)	2006	993
Wollondilly (A)	2006	1206
Wollongong (C)	2006	932
Woollahra (A)	2006	1922
Yass Valley (A)	2006	1185
Unincorporated NSW	2006	758
No usual address (NSW)	2006	0
Migratory - Offshore - Shipping (NSW)	2006	624
Alpine (S)	2006	760
Ararat (RC)	2006	718
Ballarat (C)	2006	838
Banyule (C)	2006	1138
Bass Coast (S)	2006	637
Baw Baw (S)	2006	894
Bayside (C)	2006	1395
Benalla (RC)	2006	767
Boroondara (C)	2006	1459
Brimbank (C)	2006	919
Buloke (S)	2006	609
Campaspe (S)	2006	790
Cardinia (S)	2006	1085
Casey (C)	2006	1107
Central Goldfields (S)	2006	580
Colac-Otway (S)	2006	780
Corangamite (S)	2006	831
Darebin (C)	2006	904
East Gippsland (S)	2006	657
Frankston (C)	2006	954
Gannawarra (S)	2006	701
Glen Eira (C)	2006	1127
Glenelg (S)	2006	831
Golden Plains (S)	2006	1034
Greater Bendigo (C)	2006	833
Greater Dandenong (C)	2006	769
Greater Geelong (C)	2006	885
Greater Shepparton (C)	2006	885
Hepburn (S)	2006	676
Hindmarsh (S)	2006	631
Hobsons Bay (C)	2006	1026
Horsham (RC)	2006	833
Hume (C)	2006	1033
Indigo (S)	2006	959
Kingston (C) (Vic.)	2006	1050
Knox (C)	2006	1161
Latrobe (C) (Vic.)	2006	785
Loddon (S)	2006	594
Macedon Ranges (S)	2006	1126
Manningham (C)	2006	1233
Mansfield (S)	2006	747
Maribyrnong (C)	2006	931
Maroondah (C)	2006	1088
Melbourne (C)	2006	1088
Melton (C)	2006	1136
Mildura (RC)	2006	781
Mitchell (S)	2006	1009
Moira (S)	2006	740
Monash (C)	2006	1120
Moonee Valley (C)	2006	1083
Moorabool (S)	2006	1027
Moreland (C)	2006	929
Mornington Peninsula (S)	2006	913
Mount Alexander (S)	2006	662
Moyne (S)	2006	900
Murrindindi (S)	2006	832
Nillumbik (S)	2006	1491
Northern Grampians (S)	2006	706
Port Phillip (C)	2006	1227
Pyrenees (S)	2006	619
Queenscliffe (B)	2006	798
South Gippsland (S)	2006	777
Southern Grampians (S)	2006	802
Stonnington (C)	2006	1319
Strathbogie (S)	2006	677
Surf Coast (S)	2006	1065
Swan Hill (RC)	2006	761
Towong (S)	2006	716
Wangaratta (RC)	2006	802
Warrnambool (C)	2006	874
Wellington (S)	2006	773
West Wimmera (S)	2006	728
Whitehorse (C)	2006	1113
Whittlesea (C)	2006	1047
Wodonga (C)	2006	996
Wyndham (C)	2006	1164
Yarra (C)	2006	1224
Yarra Ranges (S)	2006	1085
Yarriambiack (S)	2006	629
Unincorporated Vic	2006	2245
No usual address (Vic.)	2006	0
Migratory - Offshore - Shipping (Vic.)	2006	0
Aurukun (S)	2006	953
Balonne (S)	2006	958
Banana (S)	2006	1130
Barcaldine (R)	2006	743
Barcoo (S)	2006	819
Blackall-Tambo (R)	2006	705
Boulia (S)	2006	1006
Brisbane (C)	2006	1179
Bulloo (S)	2006	872
Bundaberg (R)	2006	691
Burdekin (S)	2006	851
Burke (S)	2006	1027
Cairns (R)	2006	1061
Carpentaria (S)	2006	830
Cassowary Coast (R)	2006	825
Central Highlands (R) (Qld)	2006	1389
Charters Towers (R)	2006	846
Cherbourg (S)	2006	588
Cloncurry (S)	2006	1159
Cook (S)	2006	790
Croydon (S)	2006	833
Diamantina (S)	2006	1097
Doomadgee (S)	2006	1166
Douglas (S)	2006	1060
Etheridge (S)	2006	723
