LGA_NAME16	Year	employmentToPopulation
Albury (C)	2006	58.5
Albury (C)	2011	58.2
Albury (C)	2016	55.2
Armidale Regional (A)	2006	52.5
Armidale Regional (A)	2011	53.2
Armidale Regional (A)	2016	51.1
Ballina (A)	2006	51.9
Ballina (A)	2011	51.5
Ballina (A)	2016	50.1
Balranald (A)	2006	59.1
Balranald (A)	2011	56.7
Balranald (A)	2016	54.4
Bathurst Regional (A)	2006	56.8
Bathurst Regional (A)	2011	57.4
Bathurst Regional (A)	2016	54.8
Bega Valley (A)	2006	49.9
Bega Valley (A)	2011	49.5
Bega Valley (A)	2016	47
Bellingen (A)	2006	45.5
Bellingen (A)	2011	47.4
Bellingen (A)	2016	46.8
Berrigan (A)	2006	55.3
Berrigan (A)	2011	51.3
Berrigan (A)	2016	46.8
Blacktown (C)	2006	57.6
Blacktown (C)	2011	58.3
Blacktown (C)	2016	58.2
Bland (A)	2006	58.8
Bland (A)	2011	59
Bland (A)	2016	53.8
Blayney (A)	2006	56
Blayney (A)	2011	57.3
Blayney (A)	2016	56
Blue Mountains (C)	2006	59.7
Blue Mountains (C)	2011	58.2
Blue Mountains (C)	2016	57.1
Bogan (A)	2006	58.7
Bogan (A)	2011	56.2
Bogan (A)	2016	55
Botany Bay (C)	2006	55.9
Botany Bay (C)	2011	57.1
Botany Bay (C)	2016	59.3
Bourke (A)	2006	57.7
Bourke (A)	2011	56.4
Bourke (A)	2016	49.7
Brewarrina (A)	2006	46.2
Brewarrina (A)	2011	47.1
Brewarrina (A)	2016	38.6
Broken Hill (C)	2006	44.3
Broken Hill (C)	2011	46.2
Broken Hill (C)	2016	46.7
Burwood (A)	2006	52.5
Burwood (A)	2011	54.6
Burwood (A)	2016	53.6
Byron (A)	2006	51.1
Byron (A)	2011	53
Byron (A)	2016	51.6
Cabonne (A)	2006	59.2
Cabonne (A)	2011	60.2
Cabonne (A)	2016	57.4
Camden (A)	2006	67
Camden (A)	2011	66.9
Camden (A)	2016	67.2
Campbelltown (C) (NSW)	2006	58
Campbelltown (C) (NSW)	2011	57.1
Campbelltown (C) (NSW)	2016	55.9
Canada Bay (A)	2006	61.6
Canada Bay (A)	2011	61.4
Canada Bay (A)	2016	60.6
Canterbury-Bankstown (A)	2006	49
Canterbury-Bankstown (A)	2011	49.3
Canterbury-Bankstown (A)	2016	50.2
Carrathool (A)	2006	61.9
Carrathool (A)	2011	64.2
Carrathool (A)	2016	63.3
Central Coast (C) (NSW)	2006	50.9
Central Coast (C) (NSW)	2011	52.1
Central Coast (C) (NSW)	2016	52.2
Central Darling (A)	2006	48.3
Central Darling (A)	2011	50.2
Central Darling (A)	2016	37.8
Cessnock (C)	2006	49.7
Cessnock (C)	2011	52.2
Cessnock (C)	2016	48.9
Clarence Valley (A)	2006	43.9
Clarence Valley (A)	2011	43.9
Clarence Valley (A)	2016	41.4
Cobar (A)	2006	59.1
Cobar (A)	2011	60.7
Cobar (A)	2016	55.6
Coffs Harbour (C)	2006	49.6
Coffs Harbour (C)	2011	50.6
Coffs Harbour (C)	2016	49.7
Coolamon (A)	2006	54.6
Coolamon (A)	2011	53.4
Coolamon (A)	2016	50.3
Coonamble (A)	2006	54.7
Coonamble (A)	2011	50.7
Coonamble (A)	2016	45.4
Cowra (A)	2006	50.8
Cowra (A)	2011	48.1
Cowra (A)	2016	46.7
Cumberland (A)	2006	48.8
Cumberland (A)	2011	49.7
Cumberland (A)	2016	50.6
Dungog (A)	2006	54.4
Dungog (A)	2011	55.2
Dungog (A)	2016	53.2
Edward River (A)	2006	57.5
Edward River (A)	2011	55.5
Edward River (A)	2016	52.4
Eurobodalla (A)	2006	42.3
Eurobodalla (A)	2011	42
Eurobodalla (A)	2016	40.7
Fairfield (C)	2006	46.4
Fairfield (C)	2011	45.9
Fairfield (C)	2016	44.7
Federation (A)	2006	52.8
Federation (A)	2011	51.7
Federation (A)	2016	48.7
Forbes (A)	2006	52.7
Forbes (A)	2011	53.8
Forbes (A)	2016	51.6
Georges River (A)	2006	56.5
Georges River (A)	2011	57.3
Georges River (A)	2016	56.9
Gilgandra (A)	2006	54.6
Gilgandra (A)	2011	52.3
Gilgandra (A)	2016	51.9
Glen Innes Severn (A)	2006	47.2
Glen Innes Severn (A)	2011	48.1
Glen Innes Severn (A)	2016	44.1
Goulburn Mulwaree (A)	2006	53
Goulburn Mulwaree (A)	2011	54.5
Goulburn Mulwaree (A)	2016	52.5
Greater Hume Shire (A)	2006	60.3
Greater Hume Shire (A)	2011	58.9
Greater Hume Shire (A)	2016	56.9
Griffith (C)	2006	60.7
Griffith (C)	2011	59.4
Griffith (C)	2016	57.8
Gundagai (A)	2006	51.9
Gundagai (A)	2011	50.7
Gundagai (A)	2016	48.1
Gunnedah (A)	2006	52.4
Gunnedah (A)	2011	55
Gunnedah (A)	2016	55.5
Gwydir (A)	2006	52.3
Gwydir (A)	2011	50.4
Gwydir (A)	2016	48.6
Hawkesbury (C)	2006	63.9
Hawkesbury (C)	2011	63.7
Hawkesbury (C)	2016	62.5
Hay (A)	2006	58.3
Hay (A)	2011	55.3
Hay (A)	2016	53.2
Hilltops (A)	2006	53.8
Hilltops (A)	2011	52.3
Hilltops (A)	2016	50.8
Hornsby (A)	2006	63.2
Hornsby (A)	2011	62.7
Hornsby (A)	2016	61.7
Hunters Hill (A)	2006	53.1
Hunters Hill (A)	2011	55.1
Hunters Hill (A)	2016	54.9
Inner West (A)	2006	62.2
Inner West (A)	2011	64.4
Inner West (A)	2016	64.6
Inverell (A)	2006	50.3
Inverell (A)	2011	50.1
Inverell (A)	2016	48.6
Junee (A)	2006	44.5
Junee (A)	2011	45.4
Junee (A)	2016	44.8
Kempsey (A)	2006	41.6
Kempsey (A)	2011	41.3
Kempsey (A)	2016	39.6
Kiama (A)	2006	55.1
Kiama (A)	2011	55.8
Kiama (A)	2016	53.1
Ku-ring-gai (A)	2006	58.7
Ku-ring-gai (A)	2011	58
Ku-ring-gai (A)	2016	58.3
Kyogle (A)	2006	46.9
Kyogle (A)	2011	45.9
Kyogle (A)	2016	43.4
Lachlan (A)	2006	54.7
Lachlan (A)	2011	56
Lachlan (A)	2016	50.9
Lake Macquarie (C)	2006	52.1
Lake Macquarie (C)	2011	54.3
Lake Macquarie (C)	2016	52.9
Lane Cove (A)	2006	63.9
Lane Cove (A)	2011	65.9
Lane Cove (A)	2016	65.7
Leeton (A)	2006	56.1
Leeton (A)	2011	55.2
Leeton (A)	2016	53
Lismore (C)	2006	53.1
Lismore (C)	2011	53.8
Lismore (C)	2016	51.3
Lithgow (C)	2006	48.6
Lithgow (C)	2011	49.2
Lithgow (C)	2016	44.5
Liverpool (C)	2006	54.8
Liverpool (C)	2011	54.1
Liverpool (C)	2016	53.1
Liverpool Plains (A)	2006	50.1
Liverpool Plains (A)	2011	51.1
Liverpool Plains (A)	2016	48.3
Lockhart (A)	2006	58.6
Lockhart (A)	2011	56.3
Lockhart (A)	2016	52.1
Maitland (C)	2006	57.2
Maitland (C)	2011	59.2
Maitland (C)	2016	57.4
Mid-Coast (A)	2006	42.2
Mid-Coast (A)	2011	41.4
Mid-Coast (A)	2016	39.3
Mid-Western Regional (A)	2006	51.3
Mid-Western Regional (A)	2011	52.6
Mid-Western Regional (A)	2016	50.6
Moree Plains (A)	2006	57.9
Moree Plains (A)	2011	56.5
Moree Plains (A)	2016	53.8
Mosman (A)	2006	60.8
Mosman (A)	2011	60.1
Mosman (A)	2016	59.7
Murray River (A)	2006	55.7
Murray River (A)	2011	53.2
Murray River (A)	2016	51.6
Murrumbidgee (A)	2006	62.4
Murrumbidgee (A)	2011	60.1
Murrumbidgee (A)	2016	56.1
Muswellbrook (A)	2006	58.2
Muswellbrook (A)	2011	60.8
Muswellbrook (A)	2016	54
Nambucca (A)	2006	37.4
Nambucca (A)	2011	39.3
Nambucca (A)	2016	38.9
Narrabri (A)	2006	56.9
Narrabri (A)	2011	58
Narrabri (A)	2016	54.9
Narrandera (A)	2006	53.1
Narrandera (A)	2011	52.5
Narrandera (A)	2016	49.5
Narromine (A)	2006	56.4
Narromine (A)	2011	56.2
Narromine (A)	2016	51
Newcastle (C)	2006	53.2
Newcastle (C)	2011	57
Newcastle (C)	2016	56.5
North Sydney (A)	2006	67
North Sydney (A)	2011	68.3
North Sydney (A)	2016	68.4
Northern Beaches (A)	2006	63.3
Northern Beaches (A)	2011	63.9
Northern Beaches (A)	2016	63.9
Oberon (A)	2006	58.6
Oberon (A)	2011	57.7
Oberon (A)	2016	51.4
Orange (C)	2006	56.3
Orange (C)	2011	58.2
Orange (C)	2016	56
Parkes (A)	2006	53
Parkes (A)	2011	53.3
Parkes (A)	2016	50.1
Parramatta (C)	2006	56.9
Parramatta (C)	2011	58
Parramatta (C)	2016	57.8
Penrith (C)	2006	62.9
Penrith (C)	2011	62.4
Penrith (C)	2016	61.3
Port Macquarie-Hastings (A)	2006	44.9
Port Macquarie-Hastings (A)	2011	46.2
Port Macquarie-Hastings (A)	2016	45.3
Port Stephens (A)	2006	49.9
Port Stephens (A)	2011	51
Port Stephens (A)	2016	48.4
Queanbeyan-Palerang Regional (A)	2006	66.9
Queanbeyan-Palerang Regional (A)	2011	69.1
Queanbeyan-Palerang Regional (A)	2016	65.2
Randwick (C)	2006	57.8
Randwick (C)	2011	57.6
Randwick (C)	2016	57
