LGA_NAME16	Year	unemployment
Albury (C)	2006	6
Albury (C)	2011	5.8
Albury (C)	2016	6.8
Armidale Regional (A)	2006	8.2
Armidale Regional (A)	2011	7.2
Armidale Regional (A)	2016	7.7
Ballina (A)	2006	7.3
Ballina (A)	2011	6.3
Ballina (A)	2016	5.9
Balranald (A)	2006	5
Balranald (A)	2011	4.3
Balranald (A)	2016	5.3
Bathurst Regional (A)	2006	6.2
Bathurst Regional (A)	2011	5.3
Bathurst Regional (A)	2016	6
Bega Valley (A)	2006	7
Bega Valley (A)	2011	5.9
Bega Valley (A)	2016	5.4
Bellingen (A)	2006	10.5
Bellingen (A)	2011	8
Bellingen (A)	2016	7.2
Berrigan (A)	2006	4.2
Berrigan (A)	2011	4.4
Berrigan (A)	2016	4.8
Blacktown (C)	2006	6.8
Blacktown (C)	2011	7.2
Blacktown (C)	2016	7.3
Bland (A)	2006	4.3
Bland (A)	2011	3.6
Bland (A)	2016	3.6
Blayney (A)	2006	6.7
Blayney (A)	2011	4.7
Blayney (A)	2016	5.8
Blue Mountains (C)	2006	4.9
Blue Mountains (C)	2011	4.9
Blue Mountains (C)	2016	4.7
Bogan (A)	2006	7.5
Bogan (A)	2011	5.6
Bogan (A)	2016	5
Botany Bay (C)	2006	5.4
Botany Bay (C)	2011	5.3
Botany Bay (C)	2016	5.6
Bourke (A)	2006	7.9
Bourke (A)	2011	5.2
Bourke (A)	2016	6.4
Brewarrina (A)	2006	11.9
Brewarrina (A)	2011	12.7
Brewarrina (A)	2016	16
Broken Hill (C)	2006	9.1
Broken Hill (C)	2011	8.3
Broken Hill (C)	2016	8.8
Burwood (A)	2006	6.5
Burwood (A)	2011	6.8
Burwood (A)	2016	7.6
Byron (A)	2006	8.8
Byron (A)	2011	8.5
Byron (A)	2016	6.5
Cabonne (A)	2006	3.7
Cabonne (A)	2011	3.8
Cabonne (A)	2016	4.3
Camden (A)	2006	3.9
Camden (A)	2011	4
Camden (A)	2016	4.1
Campbelltown (C) (NSW)	2006	7.5
Campbelltown (C) (NSW)	2011	7.4
Campbelltown (C) (NSW)	2016	7.9
Canada Bay (A)	2006	3.3
Canada Bay (A)	2011	4.3
Canada Bay (A)	2016	5
Canterbury-Bankstown (A)	2006	7.6
Canterbury-Bankstown (A)	2011	7.8
Canterbury-Bankstown (A)	2016	8.2
Carrathool (A)	2006	2.9
Carrathool (A)	2011	4.1
Carrathool (A)	2016	3.2
Central Coast (C) (NSW)	2006	7.1
Central Coast (C) (NSW)	2011	6.9
Central Coast (C) (NSW)	2016	6.8
Central Darling (A)	2006	10.2
Central Darling (A)	2011	10.1
Central Darling (A)	2016	11.2
Cessnock (C)	2006	8.6
Cessnock (C)	2011	6.5
Cessnock (C)	2016	8.7
Clarence Valley (A)	2006	9.9
Clarence Valley (A)	2011	8.9
Clarence Valley (A)	2016	9
Cobar (A)	2006	5
Cobar (A)	2011	4.3
Cobar (A)	2016	5.8
Coffs Harbour (C)	2006	8.8
Coffs Harbour (C)	2011	8.3
Coffs Harbour (C)	2016	7.3
Coolamon (A)	2006	5.9
Coolamon (A)	2011	3.7
Coolamon (A)	2016	5.5
Coonamble (A)	2006	6.7
Coonamble (A)	2011	8.1
Coonamble (A)	2016	9
Cowra (A)	2006	6.7
Cowra (A)	2011	6.8
Cowra (A)	2016	6.5
Cumberland (A)	2006	8.4
Cumberland (A)	2011	8.4
Cumberland (A)	2016	9.5
Dungog (A)	2006	4.8
Dungog (A)	2011	4.4
Dungog (A)	2016	5.5
Edward River (A)	2006	4.4
Edward River (A)	2011	3.9
Edward River (A)	2016	5
Eurobodalla (A)	2006	9.1
Eurobodalla (A)	2011	7.5
Eurobodalla (A)	2016	7.1
Fairfield (C)	2006	10.5
Fairfield (C)	2011	9.7
Fairfield (C)	2016	10.5
Federation (A)	2006	4.8
Federation (A)	2011	4.6
Federation (A)	2016	4.9
Forbes (A)	2006	6
Forbes (A)	2011	5.4
Forbes (A)	2016	5.4
Georges River (A)	2006	5.3
Georges River (A)	2011	5.8
Georges River (A)	2016	6.5
Gilgandra (A)	2006	5.6
Gilgandra (A)	2011	6.1
Gilgandra (A)	2016	5.8
Glen Innes Severn (A)	2006	7.7
Glen Innes Severn (A)	2011	6.7
Glen Innes Severn (A)	2016	8.1
Goulburn Mulwaree (A)	2006	6.2
Goulburn Mulwaree (A)	2011	5.7
Goulburn Mulwaree (A)	2016	6.3
Greater Hume Shire (A)	2006	3.7
Greater Hume Shire (A)	2011	4.1
Greater Hume Shire (A)	2016	4.6
Griffith (C)	2006	3.9
Griffith (C)	2011	4.9
Griffith (C)	2016	4.8
Gundagai (A)	2006	6.5
Gundagai (A)	2011	4.9
Gundagai (A)	2016	5.5
Gunnedah (A)	2006	8.3
