LGA_NAME16	Year	SameAddress5YearsAgo	Sex	persons
Albury (C)	2006		F	2665
Albury (C)	2006		M	2871
Albury (C)	2006	0	F	9728
Albury (C)	2006	0	M	8755
Albury (C)	2006	1	F	11461
Albury (C)	2006	1	M	10798
Albury (C)	2011		F	2829
Albury (C)	2011		M	2901
Albury (C)	2011	0	F	9453
Albury (C)	2011	0	M	8431
Albury (C)	2011	1	F	12458
Albury (C)	2011	1	M	11741
Albury (C)	2016		F	3565
Albury (C)	2016		M	3598
Albury (C)	2016	0	F	10268
Albury (C)	2016	0	M	9166
Albury (C)	2016	1	F	12578
Albury (C)	2016	1	M	11898
Armidale Regional (A)	2006		F	1552
Armidale Regional (A)	2006		M	1640
Armidale Regional (A)	2006	0	F	6006
Armidale Regional (A)	2006	0	M	5401
Armidale Regional (A)	2006	1	F	6682
Armidale Regional (A)	2006	1	M	6317
Armidale Regional (A)	2011		F	1719
Armidale Regional (A)	2011		M	1686
Armidale Regional (A)	2011	0	F	5944
Armidale Regional (A)	2011	0	M	5327
Armidale Regional (A)	2011	1	F	7114
Armidale Regional (A)	2011	1	M	6706
Armidale Regional (A)	2016		F	2028
Armidale Regional (A)	2016		M	1998
Armidale Regional (A)	2016	0	F	6145
Armidale Regional (A)	2016	0	M	5522
Armidale Regional (A)	2016	1	F	7047
Armidale Regional (A)	2016	1	M	6707
Ballina (A)	2006		F	1979
Ballina (A)	2006		M	1922
Ballina (A)	2006	0	F	8223
Ballina (A)	2006	0	M	7535
Ballina (A)	2006	1	F	9796
Ballina (A)	2006	1	M	9006
Ballina (A)	2011		F	1855
Ballina (A)	2011		M	2008
Ballina (A)	2011	0	F	7649
Ballina (A)	2011	0	M	6738
Ballina (A)	2011	1	F	10929
Ballina (A)	2011	1	M	10097
Ballina (A)	2016		F	2589
Ballina (A)	2016		M	2568
Ballina (A)	2016	0	F	8179
Ballina (A)	2016	0	M	7474
Ballina (A)	2016	1	F	10890
Ballina (A)	2016	1	M	10085
Balranald (A)	2006		F	150
Balranald (A)	2006		M	191
Balranald (A)	2006	0	F	337
Balranald (A)	2006	0	M	310
Balranald (A)	2006	1	F	687
Balranald (A)	2006	1	M	762
Balranald (A)	2011		F	151
Balranald (A)	2011		M	188
Balranald (A)	2011	0	F	317
Balranald (A)	2011	0	M	294
Balranald (A)	2011	1	F	641
Balranald (A)	2011	1	M	693
Balranald (A)	2016		F	201
Balranald (A)	2016		M	213
Balranald (A)	2016	0	F	305
Balranald (A)	2016	0	M	295
Balranald (A)	2016	1	F	609
Balranald (A)	2016	1	M	669
Bathurst Regional (A)	2006		F	1889
Bathurst Regional (A)	2006		M	2764
Bathurst Regional (A)	2006	0	F	7604
Bathurst Regional (A)	2006	0	M	7053
Bathurst Regional (A)	2006	1	F	8358
Bathurst Regional (A)	2006	1	M	8176
Bathurst Regional (A)	2011		F	2258
Bathurst Regional (A)	2011		M	2979
Bathurst Regional (A)	2011	0	F	7477
Bathurst Regional (A)	2011	0	M	6998
Bathurst Regional (A)	2011	1	F	9458
Bathurst Regional (A)	2011	1	M	9351
Bathurst Regional (A)	2016		F	2840
Bathurst Regional (A)	2016		M	3663
Bathurst Regional (A)	2016	0	F	7992
Bathurst Regional (A)	2016	0	M	7427
Bathurst Regional (A)	2016	1	F	9773
Bathurst Regional (A)	2016	1	M	9605
Bega Valley (A)	2006		F	1455
Bega Valley (A)	2006		M	1533
Bega Valley (A)	2006	0	F	6192
Bega Valley (A)	2006	0	M	5735
Bega Valley (A)	2006	1	F	8118
Bega Valley (A)	2006	1	M	8029
Bega Valley (A)	2011		F	1580
Bega Valley (A)	2011		M	1593
Bega Valley (A)	2011	0	F	5754
Bega Valley (A)	2011	0	M	5279
Bega Valley (A)	2011	1	F	8932
Bega Valley (A)	2011	1	M	8812
Bega Valley (A)	2016		F	2139
Bega Valley (A)	2016		M	2110
Bega Valley (A)	2016	0	F	5741
Bega Valley (A)	2016	0	M	5190
Bega Valley (A)	2016	1	F	9121
Bega Valley (A)	2016	1	M	8952
Bellingen (A)	2006		F	610
Bellingen (A)	2006		M	612
Bellingen (A)	2006	0	F	2398
Bellingen (A)	2006	0	M	2180
Bellingen (A)	2006	1	F	3360
Bellingen (A)	2006	1	M	3260
Bellingen (A)	2011		F	548
Bellingen (A)	2011		M	611
Bellingen (A)	2011	0	F	2312
Bellingen (A)	2011	0	M	2014
Bellingen (A)	2011	1	F	3586
Bellingen (A)	2011	1	M	3451
Bellingen (A)	2016		F	787
Bellingen (A)	2016		M	746
Bellingen (A)	2016	0	F	2285
Bellingen (A)	2016	0	M	2029
Bellingen (A)	2016	1	F	3476
Bellingen (A)	2016	1	M	3348
Berrigan (A)	2006		F	335
Berrigan (A)	2006		M	397
Berrigan (A)	2006	0	F	1617
Berrigan (A)	2006	0	M	1533
Berrigan (A)	2006	1	F	2036
Berrigan (A)	2006	1	M	2076
Berrigan (A)	2011		F	434
Berrigan (A)	2011		M	421
Berrigan (A)	2011	0	F	1270
Berrigan (A)	2011	0	M	1221
Berrigan (A)	2011	1	F	2358
Berrigan (A)	2011	1	M	2358
Berrigan (A)	2016		F	647
Berrigan (A)	2016		M	686
Berrigan (A)	2016	0	F	1325
Berrigan (A)	2016	0	M	1269
Berrigan (A)	2016	1	F	2264
Berrigan (A)	2016	1	M	2269
Blacktown (C)	2006		F	18671
Blacktown (C)	2006		M	20520
Blacktown (C)	2006	0	F	46152
Blacktown (C)	2006	0	M	44155
Blacktown (C)	2006	1	F	72014
Blacktown (C)	2006	1	M	70198
Blacktown (C)	2011		F	18755
Blacktown (C)	2011		M	20610
Blacktown (C)	2011	0	F	49057
Blacktown (C)	2011	0	M	47465
Blacktown (C)	2011	1	F	83743
Blacktown (C)	2011	1	M	81474
Blacktown (C)	2016		F	22172
Blacktown (C)	2016		M	23343
Blacktown (C)	2016	0	F	58797
Blacktown (C)	2016	0	M	57874
Blacktown (C)	2016	1	F	88421
Blacktown (C)	2016	1	M	86357
Bland (A)	2006		F	311
Bland (A)	2006		M	328
Bland (A)	2006	0	F	930
Bland (A)	2006	0	M	878
Bland (A)	2006	1	F	1814
Bland (A)	2006	1	M	1836
Bland (A)	2011		F	315
Bland (A)	2011		M	354
Bland (A)	2011	0	F	837
Bland (A)	2011	0	M	788
Bland (A)	2011	1	F	1796
Bland (A)	2011	1	M	1779
Bland (A)	2016		F	559
Bland (A)	2016		M	521
Bland (A)	2016	0	F	729
Bland (A)	2016	0	M	701
Bland (A)	2016	1	F	1700
Bland (A)	2016	1	M	1749
Blayney (A)	2006		F	346
Blayney (A)	2006		M	355
Blayney (A)	2006	0	F	1212
Blayney (A)	2006	0	M	1144
Blayney (A)	2006	1	F	1737
Blayney (A)	2006	1	M	1801
Blayney (A)	2011		F	405
Blayney (A)	2011		M	465
Blayney (A)	2011	0	F	1100
Blayney (A)	2011	0	M	1013
Blayney (A)	2011	1	F	1992
Blayney (A)	2011	1	M	2010
Blayney (A)	2016		F	471
Blayney (A)	2016		M	526
Blayney (A)	2016	0	F	1190
Blayney (A)	2016	0	M	1076
Blayney (A)	2016	1	F	1986
Blayney (A)	2016	1	M	2011
Blue Mountains (C)	2006		F	3921
Blue Mountains (C)	2006		M	4107
Blue Mountains (C)	2006	0	F	12709
Blue Mountains (C)	2006	0	M	11554
Blue Mountains (C)	2006	1	F	21507
Blue Mountains (C)	2006	1	M	20267
Blue Mountains (C)	2011		F	4156
Blue Mountains (C)	2011		M	4262
Blue Mountains (C)	2011	0	F	12253
Blue Mountains (C)	2011	0	M	11055
Blue Mountains (C)	2011	1	F	22823
Blue Mountains (C)	2011	1	M	21394
Blue Mountains (C)	2016		F	4043
Blue Mountains (C)	2016		M	4019
Blue Mountains (C)	2016	0	F	12687
Blue Mountains (C)	2016	0	M	11670
Blue Mountains (C)	2016	1	F	23052
Blue Mountains (C)	2016	1	M	21430
Bogan (A)	2006		F	164
Bogan (A)	2006		M	194
Bogan (A)	2006	0	F	434
Bogan (A)	2006	0	M	432
Bogan (A)	2006	1	F	785
Bogan (A)	2006	1	M	871
Bogan (A)	2011		F	216
Bogan (A)	2011		M	231
Bogan (A)	2011	0	F	425
Bogan (A)	2011	0	M	396
Bogan (A)	2011	1	F	781
Bogan (A)	2011	1	M	851
Bogan (A)	2016		F	250
Bogan (A)	2016		M	250
Bogan (A)	2016	0	F	356
Bogan (A)	2016	0	M	325
Bogan (A)	2016	1	F	728
Bogan (A)	2016	1	M	780
Botany Bay (C)	2006		F	2413
Botany Bay (C)	2006		M	2575
Botany Bay (C)	2006	0	F	5911
Botany Bay (C)	2006	0	M	6017
Botany Bay (C)	2006	1	F	9865
Botany Bay (C)	2006	1	M	9206
Botany Bay (C)	2011		F	2483
Botany Bay (C)	2011		M	2615
Botany Bay (C)	2011	0	F	6707
Botany Bay (C)	2011	0	M	6720
Botany Bay (C)	2011	1	F	10673
Botany Bay (C)	2011	1	M	10160
Botany Bay (C)	2016		F	2951
Botany Bay (C)	2016		M	3069
Botany Bay (C)	2016	0	F	9204
Botany Bay (C)	2016	0	M	9557
Botany Bay (C)	2016	1	F	11265
Botany Bay (C)	2016	1	M	10603
Bourke (A)	2006		F	243
Bourke (A)	2006		M	297
Bourke (A)	2006	0	F	539
Bourke (A)	2006	0	M	510
Bourke (A)	2006	1	F	722
Bourke (A)	2006	1	M	781
Bourke (A)	2011		F	324
Bourke (A)	2011		M	373
Bourke (A)	2011	0	F	436
Bourke (A)	2011	0	M	403
Bourke (A)	2011	1	F	652
Bourke (A)	2011	1	M	683
Bourke (A)	2016		F	365
Bourke (A)	2016		M	368
Bourke (A)	2016	0	F	359
Bourke (A)	2016	0	M	314
Bourke (A)	2016	1	F	605
Bourke (A)	2016	1	M	619
Brewarrina (A)	2006		F	164
Brewarrina (A)	2006		M	216
Brewarrina (A)	2006	0	F	251
Brewarrina (A)	2006	0	M	266
Brewarrina (A)	2006	1	F	535
Brewarrina (A)	2006	1	M	516
Brewarrina (A)	2011		F	131
Brewarrina (A)	2011		M	156
Brewarrina (A)	2011	0	F	219
Brewarrina (A)	2011	0	M	200
Brewarrina (A)	2011	1	F	532
Brewarrina (A)	2011	1	M	528
Brewarrina (A)	2016		F	132
Brewarrina (A)	2016		M	193
Brewarrina (A)	2016	0	F	173
Brewarrina (A)	2016	0	M	167
Brewarrina (A)	2016	1	F	497
Brewarrina (A)	2016	1	M	489
Broken Hill (C)	2006		F	1224
Broken Hill (C)	2006		M	1309
Broken Hill (C)	2006	0	F	2962
Broken Hill (C)	2006	0	M	2548
Broken Hill (C)	2006	1	F	5770
Broken Hill (C)	2006	1	M	5545
Broken Hill (C)	2011		F	1331
Broken Hill (C)	2011		M	1261
Broken Hill (C)	2011	0	F	2222
Broken Hill (C)	2011	0	M	2094
Broken Hill (C)	2011	1	F	5945
Broken Hill (C)	2011	1	M	5661
Broken Hill (C)	2016		F	1230
Broken Hill (C)	2016		M	1275
Broken Hill (C)	2016	0	F	2414
Broken Hill (C)	2016	0	M	2117
Broken Hill (C)	2016	1	F	5447
Broken Hill (C)	2016	1	M	5223
Burwood (A)	2006		F	1888
Burwood (A)	2006		M	2063
Burwood (A)	2006	0	F	5632
Burwood (A)	2006	0	M	5561
Burwood (A)	2006	1	F	8260
Burwood (A)	2006	1	M	7525
Burwood (A)	2011		F	1660
Burwood (A)	2011		M	1980
Burwood (A)	2011	0	F	6254
Burwood (A)	2011	0	M	6027
Burwood (A)	2011	1	F	8598
Burwood (A)	2011	1	M	7902
Burwood (A)	2016		F	1810
Burwood (A)	2016		M	1783
Burwood (A)	2016	0	F	8461
Burwood (A)	2016	0	M	7968
Burwood (A)	2016	1	F	8757
Burwood (A)	2016	1	M	8034
Byron (A)	2006		F	1991
Byron (A)	2006		M	2143
Byron (A)	2006	0	F	5996
Byron (A)	2006	0	M	5360
Byron (A)	2006	1	F	6633
Byron (A)	2006	1	M	6650
Byron (A)	2011		F	1665
Byron (A)	2011		M	1823
Byron (A)	2011	0	F	5971
Byron (A)	2011	0	M	5239
Byron (A)	2011	1	F	7290
Byron (A)	2011	1	M	7224
Byron (A)	2016		F	2872
