LGA_NAME16	Year	Sex	adults
Adelaide (C)	2006	F	7424
Adelaide (C)	2006	M	8256
Adelaide (C)	2011	F	8888
Adelaide (C)	2011	M	9612
Adelaide (C)	2016	F	10147
Adelaide (C)	2016	M	10705
Adelaide Hills (DC)	2006	F	15161
Adelaide Hills (DC)	2006	M	15077
Adelaide Hills (DC)	2011	F	15552
Adelaide Hills (DC)	2011	M	15479
Adelaide Hills (DC)	2016	F	15927
Adelaide Hills (DC)	2016	M	15687
Albany (C)	2006	F	12828
Albany (C)	2006	M	12252
Albany (C)	2011	F	13830
Albany (C)	2011	M	13094
Albany (C)	2016	F	15287
Albany (C)	2016	M	14522
Albury (C)	2006	F	19164
Albury (C)	2006	M	17576
Albury (C)	2011	F	20181
Albury (C)	2011	M	18334
Albury (C)	2016	F	21701
Albury (C)	2016	M	19755
Alexandrina (DC)	2006	F	8664
Alexandrina (DC)	2006	M	8299
Alexandrina (DC)	2011	F	10176
Alexandrina (DC)	2011	M	9535
Alexandrina (DC)	2016	F	11289
Alexandrina (DC)	2016	M	10556
Alice Springs (T)	2006	F	9370
Alice Springs (T)	2006	M	8947
Alice Springs (T)	2011	F	9949
Alice Springs (T)	2011	M	9664
Alice Springs (T)	2016	F	10100
Alice Springs (T)	2016	M	9459
Alpine (S)	2006	F	5008
Alpine (S)	2006	M	4833
Alpine (S)	2011	F	4997
Alpine (S)	2011	M	4859
Alpine (S)	2016	F	5321
Alpine (S)	2016	M	5076
Anangu Pitjantjatjara (AC)	2006	F	829
Anangu Pitjantjatjara (AC)	2006	M	795
Anangu Pitjantjatjara (AC)	2011	F	937
Anangu Pitjantjatjara (AC)	2011	M	865
Anangu Pitjantjatjara (AC)	2016	F	903
Anangu Pitjantjatjara (AC)	2016	M	825
Ararat (RC)	2006	F	4507
Ararat (RC)	2006	M	4652
Ararat (RC)	2011	F	4490
Ararat (RC)	2011	M	4720
Ararat (RC)	2016	F	4567
Ararat (RC)	2016	M	5227
Armadale (C)	2006	F	20077
Armadale (C)	2006	M	19382
Armadale (C)	2011	F	24728
Armadale (C)	2011	M	24183
Armadale (C)	2016	F	31358
Armadale (C)	2016	M	30509
Armidale Regional (A)	2006	F	11516
Armidale Regional (A)	2006	M	10476
Armidale Regional (A)	2011	F	12039
Armidale Regional (A)	2011	M	10875
Armidale Regional (A)	2016	F	12568
Armidale Regional (A)	2016	M	11542
Ashburton (S)	2006	F	1857
Ashburton (S)	2006	M	2505
Ashburton (S)	2011	F	2606
Ashburton (S)	2011	M	5603
Ashburton (S)	2016	F	2790
Ashburton (S)	2016	M	8517
Augusta-Margaret River (S)	2006	F	4069
Augusta-Margaret River (S)	2006	M	4113
Augusta-Margaret River (S)	2011	F	4680
Augusta-Margaret River (S)	2011	M	4625
Augusta-Margaret River (S)	2016	F	5652
Augusta-Margaret River (S)	2016	M	5494
Aurukun (S)	2006	F	364
Aurukun (S)	2006	M	332
Aurukun (S)	2011	F	458
Aurukun (S)	2011	M	440
Aurukun (S)	2016	F	461
Aurukun (S)	2016	M	437
Ballarat (C)	2006	F	35968
Ballarat (C)	2006	M	32342
Ballarat (C)	2011	F	39698
Ballarat (C)	2011	M	35645
Ballarat (C)	2016	F	43327
Ballarat (C)	2016	M	38879
Ballina (A)	2006	F	16418
Ballina (A)	2006	M	14823
Ballina (A)	2011	F	17023
Ballina (A)	2011	M	15212
Ballina (A)	2016	F	18370
Ballina (A)	2016	M	16492
Balonne (S)	2006	F	1664
Balonne (S)	2006	M	1786
Balonne (S)	2011	F	1694
Balonne (S)	2011	M	1821
Balonne (S)	2016	F	1702
Balonne (S)	2016	M	1743
Balranald (A)	2006	F	950
Balranald (A)	2006	M	980
Balranald (A)	2011	F	905
Balranald (A)	2011	M	915
Balranald (A)	2016	F	880
Balranald (A)	2016	M	941
Banana (S)	2006	F	5342
Banana (S)	2006	M	5795
Banana (S)	2011	F	5312
Banana (S)	2011	M	5753
Banana (S)	2016	F	5372
Banana (S)	2016	M	5767
Banyule (C)	2006	F	49217
Banyule (C)	2006	M	45211
Banyule (C)	2011	F	50654
Banyule (C)	2011	M	46568
Banyule (C)	2016	F	51924
Banyule (C)	2016	M	47917
Barcaldine (R)	2006	F	1247
Barcaldine (R)	2006	M	1286
Barcaldine (R)	2011	F	1232
Barcaldine (R)	2011	M	1283
Barcaldine (R)	2016	F	1144
Barcaldine (R)	2016	M	1147
Barcoo (S)	2006	F	135
Barcoo (S)	2006	M	168
Barcoo (S)	2011	F	136
Barcoo (S)	2011	M	162
Barcoo (S)	2016	F	108
Barcoo (S)	2016	M	128
Barkly (R)	2006	F	2365
Barkly (R)	2006	M	2434
Barkly (R)	2011	F	2520
Barkly (R)	2011	M	2443
Barkly (R)	2016	F	2422
Barkly (R)	2016	M	2488
Barossa (DC)	2006	F	8339
Barossa (DC)	2006	M	8113
Barossa (DC)	2011	F	9046
Barossa (DC)	2011	M	8715
Barossa (DC)	2016	F	9822
Barossa (DC)	2016	M	9377
Barunga West (DC)	2006	F	1024
Barunga West (DC)	2006	M	1082
Barunga West (DC)	2011	F	1004
Barunga West (DC)	2011	M	1065
Barunga West (DC)	2016	F	1068
Barunga West (DC)	2016	M	1126
Bass Coast (S)	2006	F	11430
Bass Coast (S)	2006	M	10516
Bass Coast (S)	2011	F	12599
Bass Coast (S)	2011	M	11965
Bass Coast (S)	2016	F	14298
Bass Coast (S)	2016	M	13171
Bassendean (T)	2006	F	5754
Bassendean (T)	2006	M	5296
Bassendean (T)	2011	F	6010
Bassendean (T)	2011	M	5834
Bassendean (T)	2016	F	6404
Bassendean (T)	2016	M	5997
Bathurst Regional (A)	2006	F	14324
Bathurst Regional (A)	2006	M	14166
Bathurst Regional (A)	2011	F	15322
Bathurst Regional (A)	2011	M	15180
Bathurst Regional (A)	2016	F	16703
Bathurst Regional (A)	2016	M	16475
Baw Baw (S)	2006	F	15136
Baw Baw (S)	2006	M	14098
Baw Baw (S)	2011	F	17692
Baw Baw (S)	2011	M	16590
Baw Baw (S)	2016	F	20349
Baw Baw (S)	2016	M	18826
Bayside (C)	2006	F	37889
Bayside (C)	2006	M	32993
