LGA_NAME16	Year	SameAddress1YearAgo	Sex	persons
Albury (C)	2006		F	1323
Albury (C)	2006		M	1490
Albury (C)	2006	0	F	4231
Albury (C)	2006	0	M	3758
Albury (C)	2006	1	F	18300
Albury (C)	2006	1	M	17176
Albury (C)	2011		F	1299
Albury (C)	2011		M	1406
Albury (C)	2011	0	F	4143
Albury (C)	2011	0	M	3563
Albury (C)	2011	1	F	19298
Albury (C)	2011	1	M	18104
Albury (C)	2016		F	2751
Albury (C)	2016		M	2636
Albury (C)	2016	0	F	4273
Albury (C)	2016	0	M	3903
Albury (C)	2016	1	F	19387
Albury (C)	2016	1	M	18123
Armidale Regional (A)	2006		F	829
Armidale Regional (A)	2006		M	826
Armidale Regional (A)	2006	0	F	2725
Armidale Regional (A)	2006	0	M	2420
Armidale Regional (A)	2006	1	F	10686
Armidale Regional (A)	2006	1	M	10112
Armidale Regional (A)	2011		F	954
Armidale Regional (A)	2011		M	900
Armidale Regional (A)	2011	0	F	2806
Armidale Regional (A)	2011	0	M	2421
Armidale Regional (A)	2011	1	F	11017
Armidale Regional (A)	2011	1	M	10398
Armidale Regional (A)	2016		F	1576
Armidale Regional (A)	2016		M	1537
Armidale Regional (A)	2016	0	F	2829
Armidale Regional (A)	2016	0	M	2385
Armidale Regional (A)	2016	1	F	10815
Armidale Regional (A)	2016	1	M	10305
Ballina (A)	2006		F	995
Ballina (A)	2006		M	935
Ballina (A)	2006	0	F	3232
Ballina (A)	2006	0	M	3003
Ballina (A)	2006	1	F	15771
Ballina (A)	2006	1	M	14525
Ballina (A)	2011		F	880
Ballina (A)	2011		M	973
Ballina (A)	2011	0	F	3026
Ballina (A)	2011	0	M	2710
Ballina (A)	2011	1	F	16527
Ballina (A)	2011	1	M	15160
Ballina (A)	2016		F	2029
Ballina (A)	2016		M	1872
Ballina (A)	2016	0	F	3297
Ballina (A)	2016	0	M	2919
Ballina (A)	2016	1	F	16332
Ballina (A)	2016	1	M	15336
Balranald (A)	2006		F	74
Balranald (A)	2006		M	78
Balranald (A)	2006	0	F	140
Balranald (A)	2006	0	M	130
Balranald (A)	2006	1	F	960
Balranald (A)	2006	1	M	1055
Balranald (A)	2011		F	79
Balranald (A)	2011		M	120
Balranald (A)	2011	0	F	135
Balranald (A)	2011	0	M	110
Balranald (A)	2011	1	F	895
Balranald (A)	2011	1	M	945
Balranald (A)	2016		F	149
Balranald (A)	2016		M	149
Balranald (A)	2016	0	F	118
Balranald (A)	2016	0	M	114
Balranald (A)	2016	1	F	848
Balranald (A)	2016	1	M	914
Bathurst Regional (A)	2006		F	868
Bathurst Regional (A)	2006		M	1673
Bathurst Regional (A)	2006	0	F	3198
Bathurst Regional (A)	2006	0	M	2956
Bathurst Regional (A)	2006	1	F	13785
Bathurst Regional (A)	2006	1	M	13364
Bathurst Regional (A)	2011		F	1113
Bathurst Regional (A)	2011		M	1818
Bathurst Regional (A)	2011	0	F	3180
Bathurst Regional (A)	2011	0	M	2950
Bathurst Regional (A)	2011	1	F	14900
Bathurst Regional (A)	2011	1	M	14560
Bathurst Regional (A)	2016		F	2095
Bathurst Regional (A)	2016		M	2830
Bathurst Regional (A)	2016	0	F	3144
Bathurst Regional (A)	2016	0	M	2964
Bathurst Regional (A)	2016	1	F	15366
Bathurst Regional (A)	2016	1	M	14901
Bega Valley (A)	2006		F	738
Bega Valley (A)	2006		M	770
Bega Valley (A)	2006	0	F	2334
Bega Valley (A)	2006	0	M	2182
Bega Valley (A)	2006	1	F	12693
Bega Valley (A)	2006	1	M	12345
Bega Valley (A)	2011		F	788
Bega Valley (A)	2011		M	828
Bega Valley (A)	2011	0	F	2297
Bega Valley (A)	2011	0	M	2149
Bega Valley (A)	2011	1	F	13181
Bega Valley (A)	2011	1	M	12707
Bega Valley (A)	2016		F	1626
Bega Valley (A)	2016		M	1587
Bega Valley (A)	2016	0	F	2192
Bega Valley (A)	2016	0	M	2013
Bega Valley (A)	2016	1	F	13183
Bega Valley (A)	2016	1	M	12652
Bellingen (A)	2006		F	293
Bellingen (A)	2006		M	292
Bellingen (A)	2006	0	F	958
Bellingen (A)	2006	0	M	863
Bellingen (A)	2006	1	F	5117
Bellingen (A)	2006	1	M	4897
Bellingen (A)	2011		F	219
Bellingen (A)	2011		M	254
Bellingen (A)	2011	0	F	952
Bellingen (A)	2011	0	M	852
Bellingen (A)	2011	1	F	5275
Bellingen (A)	2011	1	M	4970
Bellingen (A)	2016		F	540
Bellingen (A)	2016		M	526
Bellingen (A)	2016	0	F	937
Bellingen (A)	2016	0	M	845
Bellingen (A)	2016	1	F	5071
Bellingen (A)	2016	1	M	4752
Berrigan (A)	2006		F	149
Berrigan (A)	2006		M	172
Berrigan (A)	2006	0	F	615
Berrigan (A)	2006	0	M	583
Berrigan (A)	2006	1	F	3224
Berrigan (A)	2006	1	M	3251
Berrigan (A)	2011		F	203
Berrigan (A)	2011		M	208
Berrigan (A)	2011	0	F	536
Berrigan (A)	2011	0	M	513
Berrigan (A)	2011	1	F	3323
Berrigan (A)	2011	1	M	3279
Berrigan (A)	2016		F	487
