LGA_NAME16	Year	averageHouseholdSize
Albury (C)	2006	2.4
Armidale Regional (A)	2006	2.5
Ballina (A)	2006	2.4
Balranald (A)	2006	2.5
Bathurst Regional (A)	2006	2.5
Bega Valley (A)	2006	2.4
Bellingen (A)	2006	2.4
Berrigan (A)	2006	2.4
Blacktown (C)	2006	3
Bland (A)	2006	2.5
Blayney (A)	2006	2.6
Blue Mountains (C)	2006	2.5
Bogan (A)	2006	2.6
Botany Bay (C)	2006	2.6
Bourke (A)	2006	2.7
Brewarrina (A)	2006	2.9
Broken Hill (C)	2006	2.3
Burwood (A)	2006	2.8
Byron (A)	2006	2.4
Cabonne (A)	2006	2.6
Camden (A)	2006	3
Campbelltown (C) (NSW)	2006	3
Canada Bay (A)	2006	2.5
Canterbury-Bankstown (A)	2006	2.9
Carrathool (A)	2006	2.6
Central Coast (C) (NSW)	2006	2.5
Central Darling (A)	2006	2.4
Cessnock (C)	2006	2.6
Clarence Valley (A)	2006	2.4
Cobar (A)	2006	2.6
Coffs Harbour (C)	2006	2.5
Coolamon (A)	2006	2.6
Coonamble (A)	2006	2.5
Cowra (A)	2006	2.5
Cumberland (A)	2006	2.9
Dungog (A)	2006	2.6
Edward River (A)	2006	2.4
Eurobodalla (A)	2006	2.3
Fairfield (C)	2006	3.2
Federation (A)	2006	2.4
Forbes (A)	2006	2.4
Georges River (A)	2006	2.7
Gilgandra (A)	2006	2.5
Glen Innes Severn (A)	2006	2.4
Goulburn Mulwaree (A)	2006	2.4
Greater Hume Shire (A)	2006	2.5
Griffith (C)	2006	2.7
Gundagai (A)	2006	2.5
Gunnedah (A)	2006	2.5
Gwydir (A)	2006	2.4
Hawkesbury (C)	2006	2.8
Hay (A)	2006	2.5
Hilltops (A)	2006	2.5
Hornsby (A)	2006	2.8
Hunters Hill (A)	2006	2.6
Inner West (A)	2006	2.3
Inverell (A)	2006	2.5
Junee (A)	2006	2.6
Kempsey (A)	2006	2.4
Kiama (A)	2006	2.6
Ku-ring-gai (A)	2006	2.9
Kyogle (A)	2006	2.5
Lachlan (A)	2006	2.5
Lake Macquarie (C)	2006	2.6
Lane Cove (A)	2006	2.4
Leeton (A)	2006	2.6
Lismore (C)	2006	2.5
Lithgow (C)	2006	2.4
Liverpool (C)	2006	3.1
Liverpool Plains (A)	2006	2.4
Lockhart (A)	2006	2.6
Maitland (C)	2006	2.7
Mid-Coast (A)	2006	2.3
Mid-Western Regional (A)	2006	2.4
Moree Plains (A)	2006	2.7
Mosman (A)	2006	2.3
Murray River (A)	2006	2.4
Murrumbidgee (A)	2006	2.5
Muswellbrook (A)	2006	2.6
Nambucca (A)	2006	2.3
Narrabri (A)	2006	2.5
Narrandera (A)	2006	2.4
Narromine (A)	2006	2.6
Newcastle (C)	2006	2.3
North Sydney (A)	2006	1.9
Northern Beaches (A)	2006	2.6
Oberon (A)	2006	2.5
Orange (C)	2006	2.5
Parkes (A)	2006	2.5
Parramatta (C)	2006	2.7
Penrith (C)	2006	2.9
Port Macquarie-Hastings (A)	2006	2.3
Port Stephens (A)	2006	2.5
Queanbeyan-Palerang Regional (A)	2006	2.6
Randwick (C)	2006	2.4
Richmond Valley (A)	2006	2.5
Rockdale (C)	2006	2.6
Ryde (C)	2006	2.5
Shellharbour (C)	2006	2.8
Shoalhaven (C)	2006	2.4
Singleton (A)	2006	2.8
Snowy Monaro Regional (A)	2006	2.4
Snowy Valleys (A)	2006	2.4
Strathfield (A)	2006	2.9
Sutherland Shire (A)	2006	2.7
Sydney (C)	2006	1.9
Tamworth Regional (A)	2006	2.5
Temora (A)	2006	2.4
Tenterfield (A)	2006	2.3
The Hills Shire (A)	2006	3.1
Tweed (A)	2006	2.4
Upper Hunter Shire (A)	2006	2.4
Upper Lachlan Shire (A)	2006	2.5
Uralla (A)	2006	2.6
Wagga Wagga (C)	2006	2.6
Walcha (A)	2006	2.4
Walgett (A)	2006	2.3
Warren (A)	2006	2.4
Warrumbungle Shire (A)	2006	2.4
Waverley (A)	2006	2.2
Weddin (A)	2006	2.3
Wentworth (A)	2006	2.6
Western Plains Regional (A)	2006	2.6
Willoughby (C)	2006	2.5
Wingecarribee (A)	2006	2.5
Wollondilly (A)	2006	3
Wollongong (C)	2006	2.5
Woollahra (A)	2006	2.2
Yass Valley (A)	2006	2.7
Unincorporated NSW	2006	2.4
No usual address (NSW)	2006	0
Migratory - Offshore - Shipping (NSW)	2006	1
Alpine (S)	2006	2.4
Ararat (RC)	2006	2.4
Ballarat (C)	2006	2.5
Banyule (C)	2006	2.6
Bass Coast (S)	2006	2.2
Baw Baw (S)	2006	2.6
Bayside (C)	2006	2.6
Benalla (RC)	2006	2.4
Boroondara (C)	2006	2.6
Brimbank (C)	2006	3
Buloke (S)	2006	2.4
Campaspe (S)	2006	2.5
Cardinia (S)	2006	2.9
Casey (C)	2006	3
Central Goldfields (S)	2006	2.3
Colac-Otway (S)	2006	2.4
Corangamite (S)	2006	2.5
Darebin (C)	2006	2.4
East Gippsland (S)	2006	2.3
Frankston (C)	2006	2.5
Gannawarra (S)	2006	2.4
Glen Eira (C)	2006	2.4
Glenelg (S)	2006	2.4
Golden Plains (S)	2006	2.9
Greater Bendigo (C)	2006	2.5
Greater Dandenong (C)	2006	2.8
Greater Geelong (C)	2006	2.5
Greater Shepparton (C)	2006	2.6
Hepburn (S)	2006	2.4
Hindmarsh (S)	2006	2.3
Hobsons Bay (C)	2006	2.6
Horsham (RC)	2006	2.4
Hume (C)	2006	3.1
Indigo (S)	2006	2.6
Kingston (C) (Vic.)	2006	2.5
Knox (C)	2006	2.8
Latrobe (C) (Vic.)	2006	2.4
Loddon (S)	2006	2.3
Macedon Ranges (S)	2006	2.8
Manningham (C)	2006	2.8
Mansfield (S)	2006	2.3
Maribyrnong (C)	2006	2.4
Maroondah (C)	2006	2.6
Melbourne (C)	2006	1.9
Melton (C)	2006	3
Mildura (RC)	2006	2.5
Mitchell (S)	2006	2.8
Moira (S)	2006	2.5
Monash (C)	2006	2.7
Moonee Valley (C)	2006	2.5
Moorabool (S)	2006	2.7
Moreland (C)	2006	2.4
Mornington Peninsula (S)	2006	2.5
Mount Alexander (S)	2006	2.3
Moyne (S)	2006	2.6
Murrindindi (S)	2006	2.4
Nillumbik (S)	2006	3.1
Northern Grampians (S)	2006	2.4
Port Phillip (C)	2006	1.9
Pyrenees (S)	2006	2.4
Queenscliffe (B)	2006	2.2
South Gippsland (S)	2006	2.5
Southern Grampians (S)	2006	2.4
Stonnington (C)	2006	2.2
Strathbogie (S)	2006	2.3
Surf Coast (S)	2006	2.6
Swan Hill (RC)	2006	2.5
Towong (S)	2006	2.4
Wangaratta (RC)	2006	2.4
Warrnambool (C)	2006	2.5
Wellington (S)	2006	2.4
West Wimmera (S)	2006	2.4
Whitehorse (C)	2006	2.6
Whittlesea (C)	2006	3
Wodonga (C)	2006	2.6
Wyndham (C)	2006	2.9
Yarra (C)	2006	2.2
Yarra Ranges (S)	2006	2.8
Yarriambiack (S)	2006	2.3
Unincorporated Vic	2006	2.2
No usual address (Vic.)	2006	0
Migratory - Offshore - Shipping (Vic.)	2006	0
Aurukun (S)	2006	5.7
Balonne (S)	2006	2.7
Banana (S)	2006	2.6
Barcaldine (R)	2006	2.5
Barcoo (S)	2006	2.2
Blackall-Tambo (R)	2006	2.4
Boulia (S)	2006	2.9
Brisbane (C)	2006	2.5
Bulloo (S)	2006	2.3
Bundaberg (R)	2006	2.5
Burdekin (S)	2006	2.5
Burke (S)	2006	2.5
Cairns (R)	2006	2.5
Carpentaria (S)	2006	2.9
Cassowary Coast (R)	2006	2.5
Central Highlands (R) (Qld)	2006	2.8
Charters Towers (R)	2006	2.6
Cherbourg (S)	2006	4.1
Cloncurry (S)	2006	2.7
Cook (S)	2006	2.3
Croydon (S)	2006	2.7
Diamantina (S)	2006	2.4
Doomadgee (S)	2006	6.5
Douglas (S)	2006	2.4
Etheridge (S)	2006	2.4
Flinders (S) (Qld)	2006	2.5
Fraser Coast (R)	2006	2.4
Gladstone (R)	2006	2.7
Gold Coast (C)	2006	2.5
Goondiwindi (R)	2006	2.5
Gympie (R)	2006	2.5
Hinchinbrook (S)	2006	2.4
Hope Vale (S)	2006	3.7
Ipswich (C)	2006	2.8
Isaac (R)	2006	2.8
Kowanyama (S)	2006	4.7
Livingstone (S)	2006	2.6
Lockhart River (S)	2006	4.2
Lockyer Valley (R)	2006	2.7
Logan (C)	2006	2.9
Longreach (R)	2006	2.5
Mackay (R)	2006	2.7
McKinlay (S)	2006	2.3
Mapoon (S)	2006	2.7
Maranoa (R)	2006	2.6
Mareeba (S)	2006	2.5
Moreton Bay (R)	2006	2.7
Mornington (S)	2006	4.4
Mount Isa (C)	2006	2.7
Murweh (S)	2006	2.4
Napranum (S)	2006	3.9
Noosa (S)	2006	2.4
North Burnett (R)	2006	2.4
Northern Peninsula Area (R)	2006	3.6
Palm Island (S)	2006	5.1
Paroo (S)	2006	2.4
Pormpuraaw (S)	2006	3.9
Quilpie (S)	2006	2.4
Redland (C)	2006	2.7
Richmond (S)	2006	2.5
Rockhampton (R)	2006	2.6
Scenic Rim (R)	2006	2.6
Somerset (R)	2006	2.6
South Burnett (R)	2006	2.5
Southern Downs (R)	2006	2.5
Sunshine Coast (R)	2006	2.5
Tablelands (R)	2006	2.5
Toowoomba (R)	2006	2.6
Torres (S)	2006	3.3
Torres Strait Island (R)	2006	3.9
Townsville (C)	2006	2.6
Weipa (T)	2006	2.8
Western Downs (R)	2006	2.6
Whitsunday (R)	2006	2.4
Winton (S)	2006	2.3
Woorabinda (S)	2006	4.2
Wujal Wujal (S)	2006	3.3
Yarrabah (S)	2006	5.6
No usual address (Qld)	2006	0
Migratory - Offshore - Shipping (Qld)	2006	0
Adelaide (C)	2006	1.9
Adelaide Hills (DC)	2006	2.7
Alexandrina (DC)	2006	2.4
Anangu Pitjantjatjara (AC)	2006	4.2
Barossa (DC)	2006	2.5
Barunga West (DC)	2006	2.3
Berri and Barmera (DC)	2006	2.4
Burnside (C)	2006	2.4
