LGA_NAME16	Year	Age	persons
Albury (C)	2006	0-4	3015
Albury (C)	2006	5-14	6525
Albury (C)	2006	15-19	3576
Albury (C)	2006	20-24	3439
Albury (C)	2006	25-34	5703
Albury (C)	2006	35-44	6234
Albury (C)	2006	45-54	6581
Albury (C)	2006	55-64	4872
Albury (C)	2006	65-74	3116
Albury (C)	2006	75-84	2389
Albury (C)	2006	85+	838
Albury (C)	2011	0-4	3080
Albury (C)	2011	5-14	6219
Albury (C)	2011	15-19	3547
Albury (C)	2011	20-24	3445
Albury (C)	2011	25-34	5974
Albury (C)	2011	35-44	6144
Albury (C)	2011	45-54	6436
Albury (C)	2011	55-64	5695
Albury (C)	2011	65-74	3727
Albury (C)	2011	75-84	2479
Albury (C)	2011	85+	1065
Albury (C)	2016	0-4	3286
Albury (C)	2016	5-14	6328
Albury (C)	2016	15-19	3248
Albury (C)	2016	20-24	3508
Albury (C)	2016	25-34	6498
Albury (C)	2016	35-44	6205
Albury (C)	2016	45-54	6497
Albury (C)	2016	55-64	6372
Albury (C)	2016	65-74	4907
Albury (C)	2016	75-84	2913
Albury (C)	2016	85+	1329
Armidale Regional (A)	2006	0-4	1668
Armidale Regional (A)	2006	5-14	3958
Armidale Regional (A)	2006	15-19	2781
Armidale Regional (A)	2006	20-24	2629
Armidale Regional (A)	2006	25-34	2737
Armidale Regional (A)	2006	35-44	3483
Armidale Regional (A)	2006	45-54	3703
Armidale Regional (A)	2006	55-64	2981
Armidale Regional (A)	2006	65-74	1945
Armidale Regional (A)	2006	75-84	1258
Armidale Regional (A)	2006	85+	468
Armidale Regional (A)	2011	0-4	1723
Armidale Regional (A)	2011	5-14	3844
Armidale Regional (A)	2011	15-19	2590
Armidale Regional (A)	2011	20-24	2701
Armidale Regional (A)	2011	25-34	3016
Armidale Regional (A)	2011	35-44	3214
Armidale Regional (A)	2011	45-54	3829
Armidale Regional (A)	2011	55-64	3334
Armidale Regional (A)	2011	65-74	2308
Armidale Regional (A)	2011	75-84	1378
Armidale Regional (A)	2011	85+	561
Armidale Regional (A)	2016	0-4	1669
Armidale Regional (A)	2016	5-14	3667
Armidale Regional (A)	2016	15-19	2560
Armidale Regional (A)	2016	20-24	2793
Armidale Regional (A)	2016	25-34	3464
Armidale Regional (A)	2016	35-44	3100
Armidale Regional (A)	2016	45-54	3657
Armidale Regional (A)	2016	55-64	3552
Armidale Regional (A)	2016	65-74	2747
Armidale Regional (A)	2016	75-84	1595
Armidale Regional (A)	2016	85+	649
Ballina (A)	2006	0-4	2012
Ballina (A)	2006	5-14	5202
Ballina (A)	2006	15-19	2539
Ballina (A)	2006	20-24	1761
Ballina (A)	2006	25-34	3488
Ballina (A)	2006	35-44	5084
Ballina (A)	2006	45-54	5930
Ballina (A)	2006	55-64	4908
Ballina (A)	2006	65-74	3475
