LGA_NAME16	Year	medianTotalFamilyIncomeWeekly
Albury (C)	2006	1152
Armidale Regional (A)	2006	1084
Ballina (A)	2006	1019
Balranald (A)	2006	1002
Bathurst Regional (A)	2006	1179
Bega Valley (A)	2006	898
Bellingen (A)	2006	777
Berrigan (A)	2006	973
Blacktown (C)	2006	1209
Bland (A)	2006	949
Blayney (A)	2006	1078
Blue Mountains (C)	2006	1342
Bogan (A)	2006	944
Botany Bay (C)	2006	1185
Bourke (A)	2006	981
Brewarrina (A)	2006	760
Broken Hill (C)	2006	829
Burwood (A)	2006	1216
Byron (A)	2006	932
Cabonne (A)	2006	1060
Camden (A)	2006	1452
Campbelltown (C) (NSW)	2006	1172
Canada Bay (A)	2006	1789
Canterbury-Bankstown (A)	2006	1047
Carrathool (A)	2006	1028
Central Coast (C) (NSW)	2006	1090
Central Darling (A)	2006	653
Cessnock (C)	2006	1017
Clarence Valley (A)	2006	781
Cobar (A)	2006	1274
Coffs Harbour (C)	2006	910
Coolamon (A)	2006	898
Coonamble (A)	2006	863
Cowra (A)	2006	910
Cumberland (A)	2006	1040
Dungog (A)	2006	1066
Edward River (A)	2006	1023
Eurobodalla (A)	2006	769
Fairfield (C)	2006	946
Federation (A)	2006	1011
Forbes (A)	2006	908
Georges River (A)	2006	1279
Gilgandra (A)	2006	861
Glen Innes Severn (A)	2006	765
Goulburn Mulwaree (A)	2006	1078
Greater Hume Shire (A)	2006	1042
Griffith (C)	2006	1139
Gundagai (A)	2006	918
Gunnedah (A)	2006	915
Gwydir (A)	2006	730
Hawkesbury (C)	2006	1300
Hay (A)	2006	983
Hilltops (A)	2006	908
Hornsby (A)	2006	1801
Hunters Hill (A)	2006	2506
Inner West (A)	2006	1653
Inverell (A)	2006	840
Junee (A)	2006	993
Kempsey (A)	2006	737
Kiama (A)	2006	1235
Ku-ring-gai (A)	2006	2530
Kyogle (A)	2006	705
Lachlan (A)	2006	883
Lake Macquarie (C)	2006	1113
Lane Cove (A)	2006	2295
Leeton (A)	2006	1070
Lismore (C)	2006	993
Lithgow (C)	2006	1028
Liverpool (C)	2006	1173
Liverpool Plains (A)	2006	857
Lockhart (A)	2006	1039
Maitland (C)	2006	1175
Mid-Coast (A)	2006	780
Mid-Western Regional (A)	2006	936
Moree Plains (A)	2006	1101
Mosman (A)	2006	2675
Murray River (A)	2006	1004
Murrumbidgee (A)	2006	1037
Muswellbrook (A)	2006	1229
Nambucca (A)	2006	642
Narrabri (A)	2006	1038
Narrandera (A)	2006	929
Narromine (A)	2006	943
Newcastle (C)	2006	1145
North Sydney (A)	2006	2510
Northern Beaches (A)	2006	1783
Oberon (A)	2006	1117
Orange (C)	2006	1153
Parkes (A)	2006	957
Parramatta (C)	2006	1352
Penrith (C)	2006	1294
Port Macquarie-Hastings (A)	2006	891
Port Stephens (A)	2006	1033
Queanbeyan-Palerang Regional (A)	2006	1533
Randwick (C)	2006	1580
Richmond Valley (A)	2006	826
Rockdale (C)	2006	1183
Ryde (C)	2006	1478
Shellharbour (C)	2006	1120
Shoalhaven (C)	2006	849
Singleton (A)	2006	1423
Snowy Monaro Regional (A)	2006	1112
Snowy Valleys (A)	2006	1033
Strathfield (A)	2006	1275
Sutherland Shire (A)	2006	1654
Sydney (C)	2006	1838
Tamworth Regional (A)	2006	1046
Temora (A)	2006	913
Tenterfield (A)	2006	695
The Hills Shire (A)	2006	1900
Tweed (A)	2006	904
Upper Hunter Shire (A)	2006	1101
Upper Lachlan Shire (A)	2006	962
Uralla (A)	2006	1007
Wagga Wagga (C)	2006	1151
Walcha (A)	2006	920
Walgett (A)	2006	708
Warren (A)	2006	966
Warrumbungle Shire (A)	2006	751
Waverley (A)	2006	1932
Weddin (A)	2006	775
Wentworth (A)	2006	972
Western Plains Regional (A)	2006	1074
Willoughby (C)	2006	2066
Wingecarribee (A)	2006	1165
Wollondilly (A)	2006	1321
Wollongong (C)	2006	1165
Woollahra (A)	2006	2654
Yass Valley (A)	2006	1390
Unincorporated NSW	2006	894
No usual address (NSW)	2006	0
Migratory - Offshore - Shipping (NSW)	2006	0
Alpine (S)	2006	962
Ararat (RC)	2006	956
Ballarat (C)	2006	1078
Banyule (C)	2006	1363
Bass Coast (S)	2006	853
Baw Baw (S)	2006	1102
Bayside (C)	2006	1919
Benalla (RC)	2006	1006
Boroondara (C)	2006	2007
Brimbank (C)	2006	1032
Buloke (S)	2006	781
Campaspe (S)	2006	1032
Cardinia (S)	2006	1199
Casey (C)	2006	1187
Central Goldfields (S)	2006	703
Colac-Otway (S)	2006	1035
Corangamite (S)	2006	1069
Darebin (C)	2006	1117
East Gippsland (S)	2006	868
Frankston (C)	2006	1136
Gannawarra (S)	2006	960
Glen Eira (C)	2006	1481
Glenelg (S)	2006	1083
Golden Plains (S)	2006	1131
Greater Bendigo (C)	2006	1049
Greater Dandenong (C)	2006	918
Greater Geelong (C)	2006	1103
Greater Shepparton (C)	2006	1071
Hepburn (S)	2006	907
Hindmarsh (S)	2006	912
Hobsons Bay (C)	2006	1204
Horsham (RC)	2006	1074
Hume (C)	2006	1112
Indigo (S)	2006	1147
Kingston (C) (Vic.)	2006	1255
Knox (C)	2006	1308
Latrobe (C) (Vic.)	2006	1053
Loddon (S)	2006	764
Macedon Ranges (S)	2006	1277
Manningham (C)	2006	1414
Mansfield (S)	2006	1018
Maribyrnong (C)	2006	1132
