LGA_NAME16	Year	EduInstitutionType	students
Albury (C)	2006		3628
Albury (C)	2006	Infants/Primary	4022
Albury (C)	2006	Pre-school	758
Albury (C)	2006	Secondary	3337
Albury (C)	2006	Technical or Further Educational Institution	1502
Albury (C)	2006	University or other tertiary	1690
Albury (C)	2011		3366
Albury (C)	2011	Infants/Primary	3841
Albury (C)	2011	Pre-school	845
Albury (C)	2011	Secondary	3268
Albury (C)	2011	Technical or Further Educational Institution	1677
Albury (C)	2011	University or other tertiary	1735
Albury (C)	2016		4259
Albury (C)	2016	Infants/Primary	4150
Albury (C)	2016	Pre-school	864
Albury (C)	2016	Secondary	3242
Albury (C)	2016	Technical or Further Educational Institution	1209
Albury (C)	2016	University or other tertiary	1712
Armidale Regional (A)	2006		2046
Armidale Regional (A)	2006	Infants/Primary	2437
Armidale Regional (A)	2006	Pre-school	492
Armidale Regional (A)	2006	Secondary	2309
Armidale Regional (A)	2006	Technical or Further Educational Institution	749
Armidale Regional (A)	2006	University or other tertiary	2935
Armidale Regional (A)	2011		2180
Armidale Regional (A)	2011	Infants/Primary	2368
Armidale Regional (A)	2011	Pre-school	511
Armidale Regional (A)	2011	Secondary	2147
Armidale Regional (A)	2011	Technical or Further Educational Institution	755
Armidale Regional (A)	2011	University or other tertiary	2879
Armidale Regional (A)	2016		2563
Armidale Regional (A)	2016	Infants/Primary	2353
Armidale Regional (A)	2016	Pre-school	493
Armidale Regional (A)	2016	Secondary	2175
Armidale Regional (A)	2016	Technical or Further Educational Institution	563
Armidale Regional (A)	2016	University or other tertiary	3134
Ballina (A)	2006		2738
Ballina (A)	2006	Infants/Primary	3321
Ballina (A)	2006	Pre-school	617
Ballina (A)	2006	Secondary	2768
Ballina (A)	2006	Technical or Further Educational Institution	829
Ballina (A)	2006	University or other tertiary	995
Ballina (A)	2011		2458
Ballina (A)	2011	Infants/Primary	3118
Ballina (A)	2011	Pre-school	677
Ballina (A)	2011	Secondary	2693
Ballina (A)	2011	Technical or Further Educational Institution	905
Ballina (A)	2011	University or other tertiary	1005
Ballina (A)	2016		3495
Ballina (A)	2016	Infants/Primary	3138
Ballina (A)	2016	Pre-school	697
Ballina (A)	2016	Secondary	2688
Ballina (A)	2016	Technical or Further Educational Institution	772
Ballina (A)	2016	University or other tertiary	1004
Balranald (A)	2006		208
Balranald (A)	2006	Infants/Primary	220
Balranald (A)	2006	Pre-school	60
Balranald (A)	2006	Secondary	172
Balranald (A)	2006	Technical or Further Educational Institution	30
