LGA_NAME16	Year	NonSchoolQualification	persons
Albury (C)	2006		32152
Albury (C)	2006	Certificate nfd	608
Albury (C)	2006	Certificate I and II Level	669
Albury (C)	2006	Certificate III and IV Level	6105
Albury (C)	2006	Advanced Diploma and Diploma	2371
Albury (C)	2006	Bachelor	3351
Albury (C)	2006	Graduate Diploma and Graduate Certificate	571
Albury (C)	2006	Postgraduate	458
Albury (C)	2011		31036
Albury (C)	2011	Certificate nfd	595
Albury (C)	2011	Certificate I and II Level	713
Albury (C)	2011	Certificate III and IV Level	7186
Albury (C)	2011	Advanced Diploma and Diploma	2771
Albury (C)	2011	Bachelor	4052
Albury (C)	2011	Graduate Diploma and Graduate Certificate	697
Albury (C)	2011	Postgraduate	758
Albury (C)	2016		31087
Albury (C)	2016	Certificate nfd	888
Albury (C)	2016	Certificate I and II Level	644
Albury (C)	2016	Certificate III and IV Level	8334
Albury (C)	2016	Advanced Diploma and Diploma	3530
Albury (C)	2016	Bachelor	4703
Albury (C)	2016	Graduate Diploma and Graduate Certificate	843
Albury (C)	2016	Postgraduate	1047
Armidale Regional (A)	2006		18747
Armidale Regional (A)	2006	Certificate nfd	398
Armidale Regional (A)	2006	Certificate I and II Level	388
Armidale Regional (A)	2006	Certificate III and IV Level	2659
Armidale Regional (A)	2006	Advanced Diploma and Diploma	1426
Armidale Regional (A)	2006	Bachelor	2523
Armidale Regional (A)	2006	Graduate Diploma and Graduate Certificate	369
Armidale Regional (A)	2006	Postgraduate	1085
Armidale Regional (A)	2011		18355
Armidale Regional (A)	2011	Certificate nfd	419
Armidale Regional (A)	2011	Certificate I and II Level	364
Armidale Regional (A)	2011	Certificate III and IV Level	3175
Armidale Regional (A)	2011	Advanced Diploma and Diploma	1509
Armidale Regional (A)	2011	Bachelor	2876
Armidale Regional (A)	2011	Graduate Diploma and Graduate Certificate	486
Armidale Regional (A)	2011	Postgraduate	1319
Armidale Regional (A)	2016		17807
Armidale Regional (A)	2016	Certificate nfd	507
Armidale Regional (A)	2016	Certificate I and II Level	327
Armidale Regional (A)	2016	Certificate III and IV Level	3482
Armidale Regional (A)	2016	Advanced Diploma and Diploma	1729
Armidale Regional (A)	2016	Bachelor	3285
Armidale Regional (A)	2016	Graduate Diploma and Graduate Certificate	571
Armidale Regional (A)	2016	Postgraduate	1741
Ballina (A)	2006		25714
Ballina (A)	2006	Certificate nfd	609
Ballina (A)	2006	Certificate I and II Level	448
Ballina (A)	2006	Certificate III and IV Level	5108
Ballina (A)	2006	Advanced Diploma and Diploma	2350
Ballina (A)	2006	Bachelor	3207
Ballina (A)	2006	Graduate Diploma and Graduate Certificate	473
Ballina (A)	2006	Postgraduate	553
Ballina (A)	2011		24512
Ballina (A)	2011	Certificate nfd	621
Ballina (A)	2011	Certificate I and II Level	463
Ballina (A)	2011	Certificate III and IV Level	5746
Ballina (A)	2011	Advanced Diploma and Diploma	2716
Ballina (A)	2011	Bachelor	3948
