LGA_NAME16	Year	Age	Sex	persons
Albury (C)	2006	0-4	F	1493
Albury (C)	2006	0-4	M	1525
Albury (C)	2006	5-14	F	3194
Albury (C)	2006	5-14	M	3332
Albury (C)	2006	15-19	F	1798
Albury (C)	2006	15-19	M	1779
Albury (C)	2006	20-24	F	1822
Albury (C)	2006	20-24	M	1620
Albury (C)	2006	25-34	F	2855
Albury (C)	2006	25-34	M	2842
Albury (C)	2006	35-44	F	3190
Albury (C)	2006	35-44	M	3042
Albury (C)	2006	45-54	F	3400
Albury (C)	2006	45-54	M	3187
Albury (C)	2006	55-64	F	2452
Albury (C)	2006	55-64	M	2412
Albury (C)	2006	65-74	F	1654
Albury (C)	2006	65-74	M	1463
Albury (C)	2006	75-84	F	1394
Albury (C)	2006	75-84	M	994
Albury (C)	2006	85+	F	599
Albury (C)	2006	85+	M	237
Albury (C)	2011	0-4	F	1503
Albury (C)	2011	0-4	M	1572
Albury (C)	2011	5-14	F	3052
Albury (C)	2011	5-14	M	3170
Albury (C)	2011	15-19	F	1779
Albury (C)	2011	15-19	M	1767
Albury (C)	2011	20-24	F	1827
Albury (C)	2011	20-24	M	1617
Albury (C)	2011	25-34	F	3029
Albury (C)	2011	25-34	M	2947
Albury (C)	2011	35-44	F	3159
Albury (C)	2011	35-44	M	2984
Albury (C)	2011	45-54	F	3353
Albury (C)	2011	45-54	M	3087
Albury (C)	2011	55-64	F	2909
Albury (C)	2011	55-64	M	2785
Albury (C)	2011	65-74	F	1971
Albury (C)	2011	65-74	M	1757
Albury (C)	2011	75-84	F	1411
Albury (C)	2011	75-84	M	1067
Albury (C)	2011	85+	F	743
Albury (C)	2011	85+	M	323
Albury (C)	2016	0-4	F	1594
Albury (C)	2016	0-4	M	1689
Albury (C)	2016	5-14	F	3117
Albury (C)	2016	5-14	M	3208
Albury (C)	2016	15-19	F	1635
Albury (C)	2016	15-19	M	1611
Albury (C)	2016	20-24	F	1810
Albury (C)	2016	20-24	M	1695
Albury (C)	2016	25-34	F	3299
Albury (C)	2016	25-34	M	3194
Albury (C)	2016	35-44	F	3228
Albury (C)	2016	35-44	M	2972
Albury (C)	2016	45-54	F	3329
Albury (C)	2016	45-54	M	3169
Albury (C)	2016	55-64	F	3327
Albury (C)	2016	55-64	M	3045
Albury (C)	2016	65-74	F	2573
Albury (C)	2016	65-74	M	2328
Albury (C)	2016	75-84	F	1659
Albury (C)	2016	75-84	M	1251
Albury (C)	2016	85+	F	841
Albury (C)	2016	85+	M	490
Armidale Regional (A)	2006	0-4	F	807
Armidale Regional (A)	2006	0-4	M	857
Armidale Regional (A)	2006	5-14	F	1922
Armidale Regional (A)	2006	5-14	M	2032
Armidale Regional (A)	2006	15-19	F	1437
Armidale Regional (A)	2006	15-19	M	1340
Armidale Regional (A)	2006	20-24	F	1385
Armidale Regional (A)	2006	20-24	M	1252
Armidale Regional (A)	2006	25-34	F	1410
Armidale Regional (A)	2006	25-34	M	1323
Armidale Regional (A)	2006	35-44	F	1806
Armidale Regional (A)	2006	35-44	M	1681
Armidale Regional (A)	2006	45-54	F	1923
Armidale Regional (A)	2006	45-54	M	1783
Armidale Regional (A)	2006	55-64	F	1496
Armidale Regional (A)	2006	55-64	M	1489
Armidale Regional (A)	2006	65-74	F	1023
Armidale Regional (A)	2006	65-74	M	923
Armidale Regional (A)	2006	75-84	F	719
Armidale Regional (A)	2006	75-84	M	536
Armidale Regional (A)	2006	85+	F	317
Armidale Regional (A)	2006	85+	M	149
Armidale Regional (A)	2011	0-4	F	864
Armidale Regional (A)	2011	0-4	M	853
Armidale Regional (A)	2011	5-14	F	1859
Armidale Regional (A)	2011	5-14	M	1988
Armidale Regional (A)	2011	15-19	F	1351
Armidale Regional (A)	2011	15-19	M	1242
Armidale Regional (A)	2011	20-24	F	1425
Armidale Regional (A)	2011	20-24	M	1269
Armidale Regional (A)	2011	25-34	F	1513
Armidale Regional (A)	2011	25-34	M	1499
Armidale Regional (A)	2011	35-44	F	1715
Armidale Regional (A)	2011	35-44	M	1498
Armidale Regional (A)	2011	45-54	F	1981
Armidale Regional (A)	2011	45-54	M	1847
Armidale Regional (A)	2011	55-64	F	1663
Armidale Regional (A)	2011	55-64	M	1669
Armidale Regional (A)	2011	65-74	F	1223
Armidale Regional (A)	2011	65-74	M	1087
