LGA_NAME16	Year	Sex	persons
Albury (C)	2006	F	23854
Albury (C)	2006	M	22424
Albury (C)	2011	F	24740
Albury (C)	2011	M	23073
Albury (C)	2016	F	26411
Albury (C)	2016	M	24662
Armidale Regional (A)	2006	F	14240
Armidale Regional (A)	2006	M	13358
Armidale Regional (A)	2011	F	14777
Armidale Regional (A)	2011	M	13719
Armidale Regional (A)	2016	F	15220
Armidale Regional (A)	2016	M	14227
Ballina (A)	2006	F	19998
Ballina (A)	2006	M	18463
Ballina (A)	2011	F	20433
Ballina (A)	2011	M	18843
Ballina (A)	2016	F	21658
Ballina (A)	2016	M	20127
Balranald (A)	2006	F	1174
Balranald (A)	2006	M	1263
Balranald (A)	2011	F	1109
Balranald (A)	2011	M	1175
Balranald (A)	2016	F	1115
Balranald (A)	2016	M	1177
Bathurst Regional (A)	2006	F	17851
Bathurst Regional (A)	2006	M	17993
Bathurst Regional (A)	2011	F	19193
Bathurst Regional (A)	2011	M	19328
Bathurst Regional (A)	2016	F	20605
Bathurst Regional (A)	2016	M	20695
Bega Valley (A)	2006	F	15765
Bega Valley (A)	2006	M	15297
Bega Valley (A)	2011	F	16266
Bega Valley (A)	2011	M	15684
Bega Valley (A)	2016	F	17001
Bega Valley (A)	2016	M	16252
Bellingen (A)	2006	F	6368
Bellingen (A)	2006	M	6052
Bellingen (A)	2011	F	6446
Bellingen (A)	2011	M	6076
Bellingen (A)	2016	F	6548
Bellingen (A)	2016	M	6123
Berrigan (A)	2006	F	3988
Berrigan (A)	2006	M	4006
Berrigan (A)	2011	F	4062
Berrigan (A)	2011	M	4000
Berrigan (A)	2016	F	4236
Berrigan (A)	2016	M	4224
Blacktown (C)	2006	F	136837
Blacktown (C)	2006	M	134873
Blacktown (C)	2011	F	151555
Blacktown (C)	2011	M	149549
Blacktown (C)	2016	F	169390
Blacktown (C)	2016	M	167574
Bland (A)	2006	F	3055
Bland (A)	2006	M	3042
Bland (A)	2011	F	2948
Bland (A)	2011	M	2921
Bland (A)	2016	F	2988
Bland (A)	2016	M	2971
Blayney (A)	2006	F	3295
Blayney (A)	2006	M	3300
Blayney (A)	2011	F	3497
Blayney (A)	2011	M	3488
Blayney (A)	2016	F	3647
Blayney (A)	2016	M	3613
Blue Mountains (C)	2006	F	38137
Blue Mountains (C)	2006	M	35928
Blue Mountains (C)	2011	F	39232
Blue Mountains (C)	2011	M	36711
Blue Mountains (C)	2016	F	39782
Blue Mountains (C)	2016	M	37119
Bogan (A)	2006	F	1383
Bogan (A)	2006	M	1497
Bogan (A)	2011	F	1422
Bogan (A)	2011	M	1478
Bogan (A)	2016	F	1334
Bogan (A)	2016	M	1355
Botany Bay (C)	2006	F	18189
Botany Bay (C)	2006	M	17798
Botany Bay (C)	2011	F	19863
Botany Bay (C)	2011	M	19495
Botany Bay (C)	2016	F	23420
Botany Bay (C)	2016	M	23229
Bourke (A)	2006	F	1504
Bourke (A)	2006	M	1588
Bourke (A)	2011	F	1412
Bourke (A)	2011	M	1459
Bourke (A)	2016	F	1329
Bourke (A)	2016	M	1301
Brewarrina (A)	2006	F	950
Brewarrina (A)	2006	M	998
Brewarrina (A)	2011	F	882
Brewarrina (A)	2011	M	884
Brewarrina (A)	2016	F	802
Brewarrina (A)	2016	M	849
Broken Hill (C)	2006	F	9956
Broken Hill (C)	2006	M	9402
Broken Hill (C)	2011	F	9498
Broken Hill (C)	2011	M	9016
Broken Hill (C)	2016	F	9091
Broken Hill (C)	2016	M	8615
Burwood (A)	2006	F	15780
Burwood (A)	2006	M	15149
Burwood (A)	2011	F	16512
Burwood (A)	2011	M	15909
Burwood (A)	2016	F	19028
Burwood (A)	2016	M	17785
Byron (A)	2006	F	14620
Byron (A)	2006	M	14153
Byron (A)	2011	F	14926
Byron (A)	2011	M	14286
Byron (A)	2016	F	16361
Byron (A)	2016	M	15197
Cabonne (A)	2006	F	6158
Cabonne (A)	2006	M	6239
Cabonne (A)	2011	F	6414
Cabonne (A)	2011	M	6404
Cabonne (A)	2016	F	6699
Cabonne (A)	2016	M	6692
Camden (A)	2006	F	25312
Camden (A)	2006	M	24331
Camden (A)	2011	F	28841
Camden (A)	2011	M	27880
Camden (A)	2016	F	39884
Camden (A)	2016	M	38336
Campbelltown (C) (NSW)	2006	F	72742
Campbelltown (C) (NSW)	2006	M	70329
Campbelltown (C) (NSW)	2011	F	74627
Campbelltown (C) (NSW)	2011	M	71338
Campbelltown (C) (NSW)	2016	F	79999
Campbelltown (C) (NSW)	2016	M	77002
Canada Bay (A)	2006	F	34114
Canada Bay (A)	2006	M	31637
Canada Bay (A)	2011	F	38960
Canada Bay (A)	2011	M	36804
Canada Bay (A)	2016	F	45666
Canada Bay (A)	2016	M	42348
Canterbury-Bankstown (A)	2006	F	151795
Canterbury-Bankstown (A)	2006	M	148656
Canterbury-Bankstown (A)	2011	F	161168
Canterbury-Bankstown (A)	2011	M	158635
Canterbury-Bankstown (A)	2016	F	173977
Canterbury-Bankstown (A)	2016	M	172327
Carrathool (A)	2006	F	1310
Carrathool (A)	2006	M	1505
Carrathool (A)	2011	F	1223
Carrathool (A)	2011	M	1366
Carrathool (A)	2016	F	1303
Carrathool (A)	2016	M	1421
Central Coast (C) (NSW)	2006	F	154013
Central Coast (C) (NSW)	2006	M	143943
Central Coast (C) (NSW)	2011	F	161484
Central Coast (C) (NSW)	2011	M	150704
Central Coast (C) (NSW)	2016	F	168972
Central Coast (C) (NSW)	2016	M	158768
Central Darling (A)	2006	F	883
Central Darling (A)	2006	M	1059
Central Darling (A)	2011	F	945
Central Darling (A)	2011	M	1045
Central Darling (A)	2016	F	859
Central Darling (A)	2016	M	973
Cessnock (C)	2006	F	23347
Cessnock (C)	2006	M	22862
Cessnock (C)	2011	F	25583
Cessnock (C)	2011	M	25257
Cessnock (C)	2016	F	27928
Cessnock (C)	2016	M	27633
Clarence Valley (A)	2006	F	24273
Clarence Valley (A)	2006	M	23875
Clarence Valley (A)	2011	F	25150
Clarence Valley (A)	2011	M	24514
Clarence Valley (A)	2016	F	25530
Clarence Valley (A)	2016	M	25140
Cobar (A)	2006	F	2348
Cobar (A)	2006	M	2570
Cobar (A)	2011	F	2247
Cobar (A)	2011	M	2459
Cobar (A)	2016	F	2255
Cobar (A)	2016	M	2394
Coffs Harbour (C)	2006	F	33336
Coffs Harbour (C)	2006	M	31573
Coffs Harbour (C)	2011	F	35212
