LGA_NAME16	Year	medianAgeOfPersons
Albury (C)	2006	36
Armidale Regional (A)	2006	35
Ballina (A)	2006	43
Balranald (A)	2006	38
Bathurst Regional (A)	2006	35
Bega Valley (A)	2006	45
Bellingen (A)	2006	44
Berrigan (A)	2006	45
Blacktown (C)	2006	32
Bland (A)	2006	40
Blayney (A)	2006	39
Blue Mountains (C)	2006	39
Bogan (A)	2006	37
Botany Bay (C)	2006	37
Bourke (A)	2006	33
Brewarrina (A)	2006	31
Broken Hill (C)	2006	42
Burwood (A)	2006	36
Byron (A)	2006	41
Cabonne (A)	2006	41
Camden (A)	2006	32
Campbelltown (C) (NSW)	2006	32
Canada Bay (A)	2006	37
Canterbury-Bankstown (A)	2006	35
Carrathool (A)	2006	38
Central Coast (C) (NSW)	2006	40
Central Darling (A)	2006	39
Cessnock (C)	2006	37
Clarence Valley (A)	2006	44
Cobar (A)	2006	35
Coffs Harbour (C)	2006	41
Coolamon (A)	2006	40
Coonamble (A)	2006	39
Cowra (A)	2006	41
Cumberland (A)	2006	33
Dungog (A)	2006	41
Edward River (A)	2006	40
Eurobodalla (A)	2006	47
Fairfield (C)	2006	34
Federation (A)	2006	44
Forbes (A)	2006	39
Georges River (A)	2006	38
Gilgandra (A)	2006	41
Glen Innes Severn (A)	2006	43
Goulburn Mulwaree (A)	2006	39
Greater Hume Shire (A)	2006	41
Griffith (C)	2006	35
Gundagai (A)	2006	42
Gunnedah (A)	2006	40
Gwydir (A)	2006	43
Hawkesbury (C)	2006	34
Hay (A)	2006	39
Hilltops (A)	2006	40
Hornsby (A)	2006	38
Hunters Hill (A)	2006	41
Inner West (A)	2006	36
Inverell (A)	2006	39
Junee (A)	2006	36
Kempsey (A)	2006	42
Kiama (A)	2006	43
Ku-ring-gai (A)	2006	41
Kyogle (A)	2006	42
Lachlan (A)	2006	40
Lake Macquarie (C)	2006	40
Lane Cove (A)	2006	37
Leeton (A)	2006	35
Lismore (C)	2006	38
Lithgow (C)	2006	40
Liverpool (C)	2006	32
Liverpool Plains (A)	2006	43
Lockhart (A)	2006	42
Maitland (C)	2006	35
Mid-Coast (A)	2006	46
Mid-Western Regional (A)	2006	41
Moree Plains (A)	2006	34
Mosman (A)	2006	40
Murray River (A)	2006	43
Murrumbidgee (A)	2006	39
Muswellbrook (A)	2006	34
Nambucca (A)	2006	46
Narrabri (A)	2006	37
Narrandera (A)	2006	41
Narromine (A)	2006	38
Newcastle (C)	2006	37
North Sydney (A)	2006	35
Northern Beaches (A)	2006	38
Oberon (A)	2006	38
Orange (C)	2006	36
Parkes (A)	2006	38
Parramatta (C)	2006	35
Penrith (C)	2006	32
Port Macquarie-Hastings (A)	2006	45
Port Stephens (A)	2006	40
Queanbeyan-Palerang Regional (A)	2006	36
Randwick (C)	2006	35
Richmond Valley (A)	2006	41
Rockdale (C)	2006	37
Ryde (C)	2006	37
Shellharbour (C)	2006	35
Shoalhaven (C)	2006	44
Singleton (A)	2006	34
Snowy Monaro Regional (A)	2006	40
Snowy Valleys (A)	2006	40
Strathfield (A)	2006	34
Sutherland Shire (A)	2006	37
Sydney (C)	2006	32
Tamworth Regional (A)	2006	38
Temora (A)	2006	42
Tenterfield (A)	2006	44
The Hills Shire (A)	2006	35
Tweed (A)	2006	44
Upper Hunter Shire (A)	2006	39
Upper Lachlan Shire (A)	2006	44
Uralla (A)	2006	41
Wagga Wagga (C)	2006	33
Walcha (A)	2006	42
Walgett (A)	2006	39
Warren (A)	2006	40
Warrumbungle Shire (A)	2006	43
Waverley (A)	2006	35
Weddin (A)	2006	45
Wentworth (A)	2006	39
Western Plains Regional (A)	2006	36
Willoughby (C)	2006	36
Wingecarribee (A)	2006	42
Wollondilly (A)	2006	34
Wollongong (C)	2006	37
Woollahra (A)	2006	38
Yass Valley (A)	2006	39
Unincorporated NSW	2006	43
No usual address (NSW)	2006	35
Migratory - Offshore - Shipping (NSW)	2006	34
Alpine (S)	2006	45
Ararat (RC)	2006	43
Ballarat (C)	2006	36
Banyule (C)	2006	38
Bass Coast (S)	2006	46
Baw Baw (S)	2006	39
Bayside (C)	2006	41
Benalla (RC)	2006	44
Boroondara (C)	2006	38
Brimbank (C)	2006	35
Buloke (S)	2006	45
Campaspe (S)	2006	40
Cardinia (S)	2006	35
Casey (C)	2006	32
Central Goldfields (S)	2006	46
Colac-Otway (S)	2006	40
Corangamite (S)	2006	41
Darebin (C)	2006	36
East Gippsland (S)	2006	45
Frankston (C)	2006	36
Gannawarra (S)	2006	43
Glen Eira (C)	2006	38
Glenelg (S)	2006	41
Golden Plains (S)	2006	38
Greater Bendigo (C)	2006	37
Greater Dandenong (C)	2006	36
Greater Geelong (C)	2006	38
Greater Shepparton (C)	2006	36
Hepburn (S)	2006	44
Hindmarsh (S)	2006	45
Hobsons Bay (C)	2006	37
Horsham (RC)	2006	39
Hume (C)	2006	32
Indigo (S)	2006	42
Kingston (C) (Vic.)	2006	38
Knox (C)	2006	36
Latrobe (C) (Vic.)	2006	37
Loddon (S)	2006	46
Macedon Ranges (S)	2006	39
Manningham (C)	2006	41
Mansfield (S)	2006	44
Maribyrnong (C)	2006	34
Maroondah (C)	2006	37
Melbourne (C)	2006	28
Melton (C)	2006	31
Mildura (RC)	2006	37
Mitchell (S)	2006	35
Moira (S)	2006	42
Monash (C)	2006	38
Moonee Valley (C)	2006	38
Moorabool (S)	2006	37
Moreland (C)	2006	36
Mornington Peninsula (S)	2006	42
Mount Alexander (S)	2006	44
Moyne (S)	2006	40
Murrindindi (S)	2006	42
Nillumbik (S)	2006	36
Northern Grampians (S)	2006	42
Port Phillip (C)	2006	35
Pyrenees (S)	2006	45
Queenscliffe (B)	2006	53
South Gippsland (S)	2006	43
Southern Grampians (S)	2006	42
Stonnington (C)	2006	36
Strathbogie (S)	2006	47
Surf Coast (S)	2006	39
Swan Hill (RC)	2006	38
Towong (S)	2006	45
Wangaratta (RC)	2006	41
Warrnambool (C)	2006	36
Wellington (S)	2006	40
West Wimmera (S)	2006	44
Whitehorse (C)	2006	38
Whittlesea (C)	2006	34
Wodonga (C)	2006	34
Wyndham (C)	2006	32
Yarra (C)	2006	33
Yarra Ranges (S)	2006	37
Yarriambiack (S)	2006	46
Unincorporated Vic	2006	31
No usual address (Vic.)	2006	31
Migratory - Offshore - Shipping (Vic.)	2006	45
Aurukun (S)	2006	25
Balonne (S)	2006	34
Banana (S)	2006	35
Barcaldine (R)	2006	37
Barcoo (S)	2006	38
Blackall-Tambo (R)	2006	41
Boulia (S)	2006	32
Brisbane (C)	2006	34
Bulloo (S)	2006	35
Bundaberg (R)	2006	41
Burdekin (S)	2006	40
Burke (S)	2006	34
Cairns (R)	2006	35
Carpentaria (S)	2006	34
Cassowary Coast (R)	2006	40
Central Highlands (R) (Qld)	2006	31
Charters Towers (R)	2006	36
Cherbourg (S)	2006	19
Cloncurry (S)	2006	30
Cook (S)	2006	40
Croydon (S)	2006	31
Diamantina (S)	2006	35
Doomadgee (S)	2006	21
Douglas (S)	2006	37
Etheridge (S)	2006	39
