LGA_NAME16	Year	SpeaksEnglishOnly	persons
Albury (C)	2006	0	1679
Albury (C)	2006	1	42600
Albury (C)	2011	0	2539
Albury (C)	2011	1	43202
Albury (C)	2016	0	3446
Albury (C)	2016	1	44120
Armidale Regional (A)	2006	0	1059
Armidale Regional (A)	2006	1	25340
Armidale Regional (A)	2011	0	1599
Armidale Regional (A)	2011	1	25413
Armidale Regional (A)	2016	0	2333
Armidale Regional (A)	2016	1	24937
Ballina (A)	2006	0	929
Ballina (A)	2006	1	36050
Ballina (A)	2011	0	1286
Ballina (A)	2011	1	36545
Ballina (A)	2016	0	1578
Ballina (A)	2016	1	37214
Balranald (A)	2006	0	173
Balranald (A)	2006	1	2132
Balranald (A)	2011	0	176
Balranald (A)	2011	1	1941
Balranald (A)	2016	0	154
Balranald (A)	2016	1	1902
Bathurst Regional (A)	2006	0	1048
Bathurst Regional (A)	2006	1	32831
Bathurst Regional (A)	2011	0	1259
Bathurst Regional (A)	2011	1	34883
Bathurst Regional (A)	2016	0	1695
Bathurst Regional (A)	2016	1	35906
Bega Valley (A)	2006	0	819
Bega Valley (A)	2006	1	29118
Bega Valley (A)	2011	0	916
Bega Valley (A)	2011	1	29746
Bega Valley (A)	2016	0	1003
Bega Valley (A)	2016	1	29765
Bellingen (A)	2006	0	290
Bellingen (A)	2006	1	11654
Bellingen (A)	2011	0	390
Bellingen (A)	2011	1	11775
Bellingen (A)	2016	0	403
Bellingen (A)	2016	1	11446
Berrigan (A)	2006	0	157
Berrigan (A)	2006	1	7623
Berrigan (A)	2011	0	177
Berrigan (A)	2011	1	7532
Berrigan (A)	2016	0	260
Berrigan (A)	2016	1	7377
Blacktown (C)	2006	0	88043
Blacktown (C)	2006	1	168819
Blacktown (C)	2011	0	111183
Blacktown (C)	2011	1	177070
Blacktown (C)	2016	0	138302
Blacktown (C)	2016	1	180926
Bland (A)	2006	0	64
Bland (A)	2006	1	5879
Bland (A)	2011	0	69
Bland (A)	2011	1	5639
Bland (A)	2016	0	130
Bland (A)	2016	1	5108
Blayney (A)	2006	0	101
Blayney (A)	2006	1	6349
Blayney (A)	2011	0	119
Blayney (A)	2011	1	6545
Blayney (A)	2016	0	115
Blayney (A)	2016	1	6650
Blue Mountains (C)	2006	0	3564
Blue Mountains (C)	2006	1	67574
Blue Mountains (C)	2011	0	3864
Blue Mountains (C)	2011	1	68602
