LGA_NAME16	Year	medianMortgageRepaymentMonthly
Albury (C)	2006	1100
Armidale Regional (A)	2006	997
Ballina (A)	2006	1290
Balranald (A)	2006	689
Bathurst Regional (A)	2006	1300
Bega Valley (A)	2006	1010
Bellingen (A)	2006	1015
Berrigan (A)	2006	867
Blacktown (C)	2006	1712
Bland (A)	2006	784
Blayney (A)	2006	1083
Blue Mountains (C)	2006	1500
Bogan (A)	2006	763
Botany Bay (C)	2006	1950
Bourke (A)	2006	693
Brewarrina (A)	2006	523
Broken Hill (C)	2006	650
Burwood (A)	2006	1911
Byron (A)	2006	1200
Cabonne (A)	2006	1083
Camden (A)	2006	1800
Campbelltown (C) (NSW)	2006	1500
Canada Bay (A)	2006	2167
Canterbury-Bankstown (A)	2006	1625
Carrathool (A)	2006	845
Central Coast (C) (NSW)	2006	1500
Central Darling (A)	2006	585
Cessnock (C)	2006	1148
Clarence Valley (A)	2006	953
Cobar (A)	2006	900
Coffs Harbour (C)	2006	1170
Coolamon (A)	2006	867
Coonamble (A)	2006	619
Cowra (A)	2006	953
Cumberland (A)	2006	1625
Dungog (A)	2006	1200
Edward River (A)	2006	867
Eurobodalla (A)	2006	1083
Fairfield (C)	2006	1500
Federation (A)	2006	1000
Forbes (A)	2006	880
Georges River (A)	2006	1800
Gilgandra (A)	2006	867
Glen Innes Severn (A)	2006	780
Goulburn Mulwaree (A)	2006	1187
Greater Hume Shire (A)	2006	953
Griffith (C)	2006	1300
Gundagai (A)	2006	867
Gunnedah (A)	2006	867
Gwydir (A)	2006	695
Hawkesbury (C)	2006	1626
Hay (A)	2006	693
Hilltops (A)	2006	899
Hornsby (A)	2006	2000
Hunters Hill (A)	2006	2700
Inner West (A)	2006	2000
Inverell (A)	2006	867
Junee (A)	2006	867
Kempsey (A)	2006	953
Kiama (A)	2006	1460
Ku-ring-gai (A)	2006	2500
Kyogle (A)	2006	780
Lachlan (A)	2006	780
Lake Macquarie (C)	2006	1300
Lane Cove (A)	2006	2167
Leeton (A)	2006	1083
Lismore (C)	2006	1083
Lithgow (C)	2006	1107
Liverpool (C)	2006	1733
Liverpool Plains (A)	2006	758
Lockhart (A)	2006	833
Maitland (C)	2006	1300
Mid-Coast (A)	2006	1083
Mid-Western Regional (A)	2006	1083
Moree Plains (A)	2006	1083
Mosman (A)	2006	2600
Murray River (A)	2006	1040
Murrumbidgee (A)	2006	867
Muswellbrook (A)	2006	1300
Nambucca (A)	2006	900
Narrabri (A)	2006	927
Narrandera (A)	2006	780
Narromine (A)	2006	867
Newcastle (C)	2006	1300
North Sydney (A)	2006	2364
Northern Beaches (A)	2006	2167
Oberon (A)	2006	1127
Orange (C)	2006	1272
Parkes (A)	2006	984
Parramatta (C)	2006	1759
Penrith (C)	2006	1560
Port Macquarie-Hastings (A)	2006	1276
Port Stephens (A)	2006	1300
Queanbeyan-Palerang Regional (A)	2006	1500
Randwick (C)	2006	2150
Richmond Valley (A)	2006	910
Rockdale (C)	2006	1820
Ryde (C)	2006	1907
Shellharbour (C)	2006	1500
Shoalhaven (C)	2006	1200
Singleton (A)	2006	1408
Snowy Monaro Regional (A)	2006	1083
Snowy Valleys (A)	2006	1000
Strathfield (A)	2006	2000
Sutherland Shire (A)	2006	1950
Sydney (C)	2006	2150
Tamworth Regional (A)	2006	1083
Temora (A)	2006	867
Tenterfield (A)	2006	789
The Hills Shire (A)	2006	2100
Tweed (A)	2006	1300
Upper Hunter Shire (A)	2006	1083
Upper Lachlan Shire (A)	2006	1070
Uralla (A)	2006	867
Wagga Wagga (C)	2006	1127
Walcha (A)	2006	852
Walgett (A)	2006	615
Warren (A)	2006	867
Warrumbungle Shire (A)	2006	693
Waverley (A)	2006	2341
Weddin (A)	2006	726
Wentworth (A)	2006	900
Western Plains Regional (A)	2006	1127
Willoughby (C)	2006	2383
Wingecarribee (A)	2006	1517
Wollondilly (A)	2006	1733
Wollongong (C)	2006	1517
Woollahra (A)	2006	2800
Yass Valley (A)	2006	1408
Unincorporated NSW	2006	1083
No usual address (NSW)	2006	0
Migratory - Offshore - Shipping (NSW)	2006	0
Alpine (S)	2006	953
