LGA_NAME16	Year	labourForceParticipation
Albury (C)	2006	62.3
Albury (C)	2011	61.8
Albury (C)	2016	59.3
Armidale Regional (A)	2006	57.2
Armidale Regional (A)	2011	57.3
Armidale Regional (A)	2016	55.4
Ballina (A)	2006	56
Ballina (A)	2011	54.9
Ballina (A)	2016	53.2
Balranald (A)	2006	62.1
Balranald (A)	2011	59.3
Balranald (A)	2016	57.8
Bathurst Regional (A)	2006	60.5
Bathurst Regional (A)	2011	60.7
Bathurst Regional (A)	2016	58.3
Bega Valley (A)	2006	53.6
Bega Valley (A)	2011	52.6
Bega Valley (A)	2016	49.7
Bellingen (A)	2006	50.7
Bellingen (A)	2011	51.5
Bellingen (A)	2016	50.4
Berrigan (A)	2006	57.8
Berrigan (A)	2011	53.5
Berrigan (A)	2016	49.2
Blacktown (C)	2006	61.8
Blacktown (C)	2011	62.7
Blacktown (C)	2016	62.8
Bland (A)	2006	61.5
Bland (A)	2011	60.9
Bland (A)	2016	55.8
Blayney (A)	2006	60.1
Blayney (A)	2011	60.3
Blayney (A)	2016	59.5
Blue Mountains (C)	2006	62.7
Blue Mountains (C)	2011	61.3
Blue Mountains (C)	2016	59.9
Bogan (A)	2006	63.2
Bogan (A)	2011	59.6
Bogan (A)	2016	57.6
Botany Bay (C)	2006	59.1
Botany Bay (C)	2011	60.3
Botany Bay (C)	2016	62.8
Bourke (A)	2006	62.6
Bourke (A)	2011	59.1
Bourke (A)	2016	53.1
Brewarrina (A)	2006	52.7
Brewarrina (A)	2011	53.7
Brewarrina (A)	2016	46.6
Broken Hill (C)	2006	48.6
Broken Hill (C)	2011	50.3
Broken Hill (C)	2016	51.3
Burwood (A)	2006	56.2
Burwood (A)	2011	58.6
Burwood (A)	2016	58.1
Byron (A)	2006	56
Byron (A)	2011	57.9
Byron (A)	2016	55.2
Cabonne (A)	2006	61.5
Cabonne (A)	2011	62.5
Cabonne (A)	2016	60
Camden (A)	2006	69.7
Camden (A)	2011	69.8
Camden (A)	2016	70.1
Campbelltown (C) (NSW)	2006	62.7
Campbelltown (C) (NSW)	2011	61.6
Campbelltown (C) (NSW)	2016	60.7
Canada Bay (A)	2006	63.7
Canada Bay (A)	2011	64.1
Canada Bay (A)	2016	63.8
Canterbury-Bankstown (A)	2006	53
Canterbury-Bankstown (A)	2011	53.5
Canterbury-Bankstown (A)	2016	54.7
Carrathool (A)	2006	63.9
Carrathool (A)	2011	67.1
Carrathool (A)	2016	65.4
Central Coast (C) (NSW)	2006	54.8
Central Coast (C) (NSW)	2011	55.9
Central Coast (C) (NSW)	2016	56
Central Darling (A)	2006	53.9
Central Darling (A)	2011	55.7
Central Darling (A)	2016	42.6
Cessnock (C)	2006	54.4
Cessnock (C)	2011	55.9
Cessnock (C)	2016	53.6
Clarence Valley (A)	2006	48.7
Clarence Valley (A)	2011	48.2
Clarence Valley (A)	2016	45.6
Cobar (A)	2006	62.4
Cobar (A)	2011	63.6
Cobar (A)	2016	59
Coffs Harbour (C)	2006	54.4
Coffs Harbour (C)	2011	55.2
Coffs Harbour (C)	2016	53.6
Coolamon (A)	2006	58.1
Coolamon (A)	2011	55.3
Coolamon (A)	2016	53.1
Coonamble (A)	2006	58.5
Coonamble (A)	2011	55.2
Coonamble (A)	2016	50
Cowra (A)	2006	54.5
Cowra (A)	2011	51.6
Cowra (A)	2016	50
Cumberland (A)	2006	53.3
Cumberland (A)	2011	54.3
Cumberland (A)	2016	55.9
Dungog (A)	2006	57.1
Dungog (A)	2011	57.6
Dungog (A)	2016	56.2
Edward River (A)	2006	60.1
Edward River (A)	2011	57.8
Edward River (A)	2016	55.1
Eurobodalla (A)	2006	46.6
Eurobodalla (A)	2011	45.3
Eurobodalla (A)	2016	43.7
Fairfield (C)	2006	51.9
Fairfield (C)	2011	50.8
Fairfield (C)	2016	49.9
Federation (A)	2006	55.5
Federation (A)	2011	54.3
Federation (A)	2016	51.3
Forbes (A)	2006	56
Forbes (A)	2011	56.7
Forbes (A)	2016	54.6
Georges River (A)	2006	59.6
Georges River (A)	2011	60.9
Georges River (A)	2016	60.9
Gilgandra (A)	2006	57.7
Gilgandra (A)	2011	55.8
Gilgandra (A)	2016	55
Glen Innes Severn (A)	2006	51.4
Glen Innes Severn (A)	2011	51.6
Glen Innes Severn (A)	2016	47.9
Goulburn Mulwaree (A)	2006	56.5
Goulburn Mulwaree (A)	2011	57.7
Goulburn Mulwaree (A)	2016	56
Greater Hume Shire (A)	2006	62.7
Greater Hume Shire (A)	2011	61.4
Greater Hume Shire (A)	2016	59.6
Griffith (C)	2006	63.1
Griffith (C)	2011	62.5
Griffith (C)	2016	60.7
Gundagai (A)	2006	55.5
Gundagai (A)	2011	53.3
Gundagai (A)	2016	50.8
Gunnedah (A)	2006	57.2
Gunnedah (A)	2011	58.4
Gunnedah (A)	2016	58.8
Gwydir (A)	2006	55.2
Gwydir (A)	2011	53.1
Gwydir (A)	2016	51.1
Hawkesbury (C)	2006	66.7
Hawkesbury (C)	2011	66.7
Hawkesbury (C)	2016	65.3
Hay (A)	2006	60.7
Hay (A)	2011	57.4
Hay (A)	2016	55.9
Hilltops (A)	2006	57
Hilltops (A)	2011	55.5
Hilltops (A)	2016	53.8
Hornsby (A)	2006	65.6
Hornsby (A)	2011	65.7
Hornsby (A)	2016	64.8
Hunters Hill (A)	2006	54.4
Hunters Hill (A)	2011	57.1
Hunters Hill (A)	2016	57
Inner West (A)	2006	65.2
Inner West (A)	2011	67.8
Inner West (A)	2016	67.9
Inverell (A)	2006	54.8
Inverell (A)	2011	54
Inverell (A)	2016	52.4
Junee (A)	2006	47.6
Junee (A)	2011	47.8
Junee (A)	2016	47.1
Kempsey (A)	2006	47.1
Kempsey (A)	2011	45.3
Kempsey (A)	2016	43.3
Kiama (A)	2006	57.8
Kiama (A)	2011	58.3
Kiama (A)	2016	55.6
Ku-ring-gai (A)	2006	60.6
Ku-ring-gai (A)	2011	60.6
Ku-ring-gai (A)	2016	61.2
Kyogle (A)	2006	52.1
Kyogle (A)	2011	50.6
Kyogle (A)	2016	47.5
Lachlan (A)	2006	58.4
Lachlan (A)	2011	58.9
Lachlan (A)	2016	54.6
Lake Macquarie (C)	2006	55.8
Lake Macquarie (C)	2011	57.4
Lake Macquarie (C)	2016	56.8
Lane Cove (A)	2006	65.9
Lane Cove (A)	2011	68.4
Lane Cove (A)	2016	68.7
Leeton (A)	2006	59.4
Leeton (A)	2011	57.7
Leeton (A)	2016	56
Lismore (C)	2006	58.5
Lismore (C)	2011	58.7
Lismore (C)	2016	55.6
Lithgow (C)	2006	53.1
Lithgow (C)	2011	53
Lithgow (C)	2016	48.3
Liverpool (C)	2006	59
Liverpool (C)	2011	58.2
Liverpool (C)	2016	57.4
Liverpool Plains (A)	2006	53.4
Liverpool Plains (A)	2011	54.5
Liverpool Plains (A)	2016	52.2
Lockhart (A)	2006	61.6
Lockhart (A)	2011	58.7
Lockhart (A)	2016	54.3
Maitland (C)	2006	61.2
Maitland (C)	2011	62.4
Maitland (C)	2016	62
Mid-Coast (A)	2006	46.8
Mid-Coast (A)	2011	45.3
Mid-Coast (A)	2016	43.2
Mid-Western Regional (A)	2006	55.4
Mid-Western Regional (A)	2011	55.8
Mid-Western Regional (A)	2016	54.1
Moree Plains (A)	2006	61.8
Moree Plains (A)	2011	60.1
Moree Plains (A)	2016	57.5
Mosman (A)	2006	62.4
Mosman (A)	2011	62.4
Mosman (A)	2016	62.1
Murray River (A)	2006	58.2
Murray River (A)	2011	55.6
Murray River (A)	2016	53.6
Murrumbidgee (A)	2006	64.2
Murrumbidgee (A)	2011	62.2
Murrumbidgee (A)	2016	58.9
Muswellbrook (A)	2006	61.5
Muswellbrook (A)	2011	63.8
Muswellbrook (A)	2016	58.9
Nambucca (A)	2006	44.2
Nambucca (A)	2011	44
Nambucca (A)	2016	42.9
Narrabri (A)	2006	61.3
Narrabri (A)	2011	61.4
Narrabri (A)	2016	58.4
Narrandera (A)	2006	55.8
Narrandera (A)	2011	55.2
Narrandera (A)	2016	52.6
Narromine (A)	2006	59.7
Narromine (A)	2011	59.8
Narromine (A)	2016	55.1
Newcastle (C)	2006	57.3
Newcastle (C)	2011	60.5
Newcastle (C)	2016	61
North Sydney (A)	2006	69
North Sydney (A)	2011	70.9
North Sydney (A)	2016	71
Northern Beaches (A)	2006	65
Northern Beaches (A)	2011	66.2
Northern Beaches (A)	2016	66.2
Oberon (A)	2006	61.5
Oberon (A)	2011	60.5
Oberon (A)	2016	54.4
Orange (C)	2006	59.8
Orange (C)	2011	60.9
Orange (C)	2016	59.8
Parkes (A)	2006	57.8
Parkes (A)	2011	56
Parkes (A)	2016	54.1
Parramatta (C)	2006	60.1
Parramatta (C)	2011	61.7
Parramatta (C)	2016	62.1
Penrith (C)	2006	66.4
Penrith (C)	2011	66
Penrith (C)	2016	65
Port Macquarie-Hastings (A)	2006	49.1
Port Macquarie-Hastings (A)	2011	49.7
Port Macquarie-Hastings (A)	2016	48.6
Port Stephens (A)	2006	53.7
Port Stephens (A)	2011	54.4
Port Stephens (A)	2016	52.2
Queanbeyan-Palerang Regional (A)	2006	68.9
Queanbeyan-Palerang Regional (A)	2011	71.1
Queanbeyan-Palerang Regional (A)	2016	68
Randwick (C)	2006	60.5
Randwick (C)	2011	60.9
Randwick (C)	2016	60.4
Richmond Valley (A)	2006	51.1
Richmond Valley (A)	2011	50.4
Richmond Valley (A)	2016	48.6
Rockdale (C)	2006	57.4
Rockdale (C)	2011	59.4
Rockdale (C)	2016	61.2
Ryde (C)	2006	60.9
Ryde (C)	2011	62.1
Ryde (C)	2016	62.8
Shellharbour (C)	2006	58.3
Shellharbour (C)	2011	58.7
Shellharbour (C)	2016	58
Shoalhaven (C)	2006	48.3
Shoalhaven (C)	2011	48
Shoalhaven (C)	2016	46.7
Singleton (A)	2006	64.9
Singleton (A)	2011	66.7
Singleton (A)	2016	63.6
Snowy Monaro Regional (A)	2006	60.8
Snowy Monaro Regional (A)	2011	61.7
Snowy Monaro Regional (A)	2016	60.9
Snowy Valleys (A)	2006	57.7
Snowy Valleys (A)	2011	58.2
Snowy Valleys (A)	2016	53.7
Strathfield (A)	2006	56.9
Strathfield (A)	2011	59.9
Strathfield (A)	2016	61.9
Sutherland Shire (A)	2006	66.9
Sutherland Shire (A)	2011	67.2
Sutherland Shire (A)	2016	66.1
Sydney (C)	2006	56.3
Sydney (C)	2011	65.2
Sydney (C)	2016	64.2
Tamworth Regional (A)	2006	59.4
Tamworth Regional (A)	2011	59.4
Tamworth Regional (A)	2016	58.1
Temora (A)	2006	56.1
Temora (A)	2011	54.2
Temora (A)	2016	53.6
Tenterfield (A)	2006	52.7
Tenterfield (A)	2011	50.3
Tenterfield (A)	2016	45.8
The Hills Shire (A)	2006	70.7
The Hills Shire (A)	2011	69.5
The Hills Shire (A)	2016	68
Tweed (A)	2006	48.7
Tweed (A)	2011	50.9
Tweed (A)	2016	50.6
Upper Hunter Shire (A)	2006	62.7
Upper Hunter Shire (A)	2011	62.4
Upper Hunter Shire (A)	2016	59
Upper Lachlan Shire (A)	2006	59.3
Upper Lachlan Shire (A)	2011	60.9
Upper Lachlan Shire (A)	2016	57.8
Uralla (A)	2006	60.7
Uralla (A)	2011	60.4
Uralla (A)	2016	56.9
Wagga Wagga (C)	2006	65.4
Wagga Wagga (C)	2011	65.2
Wagga Wagga (C)	2016	63.5
Walcha (A)	2006	62.5
Walcha (A)	2011	61.4
Walcha (A)	2016	57
Walgett (A)	2006	52
Walgett (A)	2011	49.5
Walgett (A)	2016	47.2
Warren (A)	2006	64
Warren (A)	2011	63.3
Warren (A)	2016	57.6
Warrumbungle Shire (A)	2006	53.2
Warrumbungle Shire (A)	2011	50.9
Warrumbungle Shire (A)	2016	47
Waverley (A)	2006	60
Waverley (A)	2011	66.1
Waverley (A)	2016	67.5
Weddin (A)	2006	53
Weddin (A)	2011	51.1
Weddin (A)	2016	49.6
Wentworth (A)	2006	60.2
Wentworth (A)	2011	58.4
Wentworth (A)	2016	53.7
Western Plains Regional (A)	2006	60.6
Western Plains Regional (A)	2011	61.5
Western Plains Regional (A)	2016	59.3
Willoughby (C)	2006	63.5
Willoughby (C)	2011	64.8
Willoughby (C)	2016	63.9
Wingecarribee (A)	2006	56.7
Wingecarribee (A)	2011	56.2
Wingecarribee (A)	2016	54.3
Wollondilly (A)	2006	66.4
Wollondilly (A)	2011	66.8
Wollondilly (A)	2016	66.2
Wollongong (C)	2006	56.2
Wollongong (C)	2011	56.8
Wollongong (C)	2016	56.9
Woollahra (A)	2006	60.4
Woollahra (A)	2011	62.5
Woollahra (A)	2016	63.3
Yass Valley (A)	2006	68
Yass Valley (A)	2011	68
