LGA_NAME16	Year	BornAust	persons
Albury (C)	2006	0	4047
Albury (C)	2006	1	39538
Albury (C)	2011	0	4881
Albury (C)	2011	1	40479
Albury (C)	2016	0	5540
Albury (C)	2016	1	41590
Armidale Regional (A)	2006	0	2443
Armidale Regional (A)	2006	1	23555
Armidale Regional (A)	2011	0	3017
Armidale Regional (A)	2011	1	23722
Armidale Regional (A)	2016	0	3631
Armidale Regional (A)	2016	1	23396
Ballina (A)	2006	0	3730
Ballina (A)	2006	1	32681
Ballina (A)	2011	0	4218
Ballina (A)	2011	1	33168
Ballina (A)	2016	0	4609
Ballina (A)	2016	1	33984
Balranald (A)	2006	0	151
Balranald (A)	2006	1	2100
Balranald (A)	2011	0	171
Balranald (A)	2011	1	1938
Balranald (A)	2016	0	144
Balranald (A)	2016	1	1869
Bathurst Regional (A)	2006	0	2738
Bathurst Regional (A)	2006	1	31395
Bathurst Regional (A)	2011	0	3191
Bathurst Regional (A)	2011	1	33178
Bathurst Regional (A)	2016	0	3565
Bathurst Regional (A)	2016	1	34538
Bega Valley (A)	2006	0	3515
Bega Valley (A)	2006	1	25863
Bega Valley (A)	2011	0	3752
Bega Valley (A)	2011	1	26552
Bega Valley (A)	2016	0	3860
Bega Valley (A)	2016	1	26446
Bellingen (A)	2006	0	1403
Bellingen (A)	2006	1	10311
Bellingen (A)	2011	0	1533
Bellingen (A)	2011	1	10489
Bellingen (A)	2016	0	1495
Bellingen (A)	2016	1	10173
Berrigan (A)	2006	0	514
Berrigan (A)	2006	1	7104
Berrigan (A)	2011	0	577
Berrigan (A)	2011	1	7036
Berrigan (A)	2016	0	651
Berrigan (A)	2016	1	6866
Blacktown (C)	2006	0	93105
Blacktown (C)	2006	1	160479
Blacktown (C)	2011	0	113217
Blacktown (C)	2011	1	173765
Blacktown (C)	2016	0	136294
Blacktown (C)	2016	1	182150
Bland (A)	2006	0	242
Bland (A)	2006	1	5550
Bland (A)	2011	0	241
Bland (A)	2011	1	5404
Bland (A)	2016	0	287
Bland (A)	2016	1	4890
Blayney (A)	2006	0	403
Blayney (A)	2006	1	5903
Blayney (A)	2011	0	420
Blayney (A)	2011	1	6169
Blayney (A)	2016	0	451
Blayney (A)	2016	1	6206
Blue Mountains (C)	2006	0	12230
Blue Mountains (C)	2006	1	58080
Blue Mountains (C)	2011	0	12569
Blue Mountains (C)	2011	1	59236
Blue Mountains (C)	2016	0	12954
Blue Mountains (C)	2016	1	60029
Bogan (A)	2006	0	88
Bogan (A)	2006	1	2657
Bogan (A)	2011	0	110
Bogan (A)	2011	1	2566
Bogan (A)	2016	0	128
Bogan (A)	2016	1	2233
Botany Bay (C)	2006	0	14954
Botany Bay (C)	2006	1	18170
