LGA_NAME16	Year	averageNumberOfPersonsPerBedroom
Albury (C)	2006	0.8
Armidale Regional (A)	2006	0.8
Ballina (A)	2006	0.8
Balranald (A)	2006	0.8
Bathurst Regional (A)	2006	0.8
Bega Valley (A)	2006	0.8
Bellingen (A)	2006	0.8
Berrigan (A)	2006	0.7
Blacktown (C)	2006	0.8
Bland (A)	2006	0.7
Blayney (A)	2006	0.8
Blue Mountains (C)	2006	0.8
Bogan (A)	2006	0.8
Botany Bay (C)	2006	0.9
Bourke (A)	2006	0.8
Brewarrina (A)	2006	0.9
Broken Hill (C)	2006	0.8
Burwood (A)	2006	0.9
Byron (A)	2006	0.8
Cabonne (A)	2006	0.8
Camden (A)	2006	0.8
Campbelltown (C) (NSW)	2006	0.8
Canada Bay (A)	2006	0.9
Canterbury-Bankstown (A)	2006	0.9
Carrathool (A)	2006	0.8
Central Coast (C) (NSW)	2006	0.8
Central Darling (A)	2006	0.8
Cessnock (C)	2006	0.8
Clarence Valley (A)	2006	0.8
Cobar (A)	2006	0.8
Coffs Harbour (C)	2006	0.8
Coolamon (A)	2006	0.8
Coonamble (A)	2006	0.8
Cowra (A)	2006	0.8
Cumberland (A)	2006	0.9
Dungog (A)	2006	0.8
Edward River (A)	2006	0.7
Eurobodalla (A)	2006	0.8
Fairfield (C)	2006	0.9
Federation (A)	2006	0.8
Forbes (A)	2006	0.8
Georges River (A)	2006	0.9
Gilgandra (A)	2006	0.8
Glen Innes Severn (A)	2006	0.8
Goulburn Mulwaree (A)	2006	0.8
Greater Hume Shire (A)	2006	0.8
Griffith (C)	2006	0.8
Gundagai (A)	2006	0.8
Gunnedah (A)	2006	0.8
Gwydir (A)	2006	0.8
Hawkesbury (C)	2006	0.8
Hay (A)	2006	0.8
Hilltops (A)	2006	0.8
Hornsby (A)	2006	0.8
Hunters Hill (A)	2006	0.8
Inner West (A)	2006	0.9
Inverell (A)	2006	0.8
Junee (A)	2006	0.8
Kempsey (A)	2006	0.8
Kiama (A)	2006	0.8
Ku-ring-gai (A)	2006	0.8
Kyogle (A)	2006	0.8
Lachlan (A)	2006	0.8
Lake Macquarie (C)	2006	0.8
Lane Cove (A)	2006	0.8
Leeton (A)	2006	0.8
Lismore (C)	2006	0.8
Lithgow (C)	2006	0.8
Liverpool (C)	2006	0.9
Liverpool Plains (A)	2006	0.8
Lockhart (A)	2006	0.8
Maitland (C)	2006	0.8
Mid-Coast (A)	2006	0.8
Mid-Western Regional (A)	2006	0.8
Moree Plains (A)	2006	0.8
Mosman (A)	2006	0.9
Murray River (A)	2006	0.8
Murrumbidgee (A)	2006	0.8
Muswellbrook (A)	2006	0.8
Nambucca (A)	2006	0.8
Narrabri (A)	2006	0.8
Narrandera (A)	2006	0.8
Narromine (A)	2006	0.8
Newcastle (C)	2006	0.8
North Sydney (A)	2006	0.9
Northern Beaches (A)	2006	0.9
Oberon (A)	2006	0.8
Orange (C)	2006	0.8
Parkes (A)	2006	0.8
Parramatta (C)	2006	0.9
Penrith (C)	2006	0.8
Port Macquarie-Hastings (A)	2006	0.8
Port Stephens (A)	2006	0.8
Queanbeyan-Palerang Regional (A)	2006	0.8
Randwick (C)	2006	0.9
Richmond Valley (A)	2006	0.8
Rockdale (C)	2006	0.9
Ryde (C)	2006	0.9
Shellharbour (C)	2006	0.8
Shoalhaven (C)	2006	0.8
Singleton (A)	2006	0.8
Snowy Monaro Regional (A)	2006	0.8
Snowy Valleys (A)	2006	0.8
Strathfield (A)	2006	1
Sutherland Shire (A)	2006	0.8
Sydney (C)	2006	1
Tamworth Regional (A)	2006	0.8
Temora (A)	2006	0.8
Tenterfield (A)	2006	0.8
The Hills Shire (A)	2006	0.8
Tweed (A)	2006	0.8
Upper Hunter Shire (A)	2006	0.8
Upper Lachlan Shire (A)	2006	0.8
Uralla (A)	2006	0.8
Wagga Wagga (C)	2006	0.8
Walcha (A)	2006	0.8
Walgett (A)	2006	0.9
Warren (A)	2006	0.7
Warrumbungle Shire (A)	2006	0.8
Waverley (A)	2006	0.9
Weddin (A)	2006	0.7
Wentworth (A)	2006	0.8
Western Plains Regional (A)	2006	0.8
Willoughby (C)	2006	0.9
Wingecarribee (A)	2006	0.7
Wollondilly (A)	2006	0.8
Wollongong (C)	2006	0.8
Woollahra (A)	2006	0.8
Yass Valley (A)	2006	0.8
Unincorporated NSW	2006	0.8
No usual address (NSW)	2006	0
Migratory - Offshore - Shipping (NSW)	2006	0.5
Alpine (S)	2006	0.8
Ararat (RC)	2006	0.7
Ballarat (C)	2006	0.8
Banyule (C)	2006	0.8
Bass Coast (S)	2006	0.7
Baw Baw (S)	2006	0.8
Bayside (C)	2006	0.8
Benalla (RC)	2006	0.8
Boroondara (C)	2006	0.8
Brimbank (C)	2006	0.9
Buloke (S)	2006	0.8
Campaspe (S)	2006	0.8
Cardinia (S)	2006	0.8
Casey (C)	2006	0.8
Central Goldfields (S)	2006	0.8
Colac-Otway (S)	2006	0.8
Corangamite (S)	2006	0.8
Darebin (C)	2006	0.9
East Gippsland (S)	2006	0.8
