LGA_NAME16	Year	overseas_visitors
Albury (C)	2006	164
Albury (C)	2011	133
Albury (C)	2016	232
Armidale Regional (A)	2006	193
Armidale Regional (A)	2011	333
Armidale Regional (A)	2016	326
Ballina (A)	2006	221
Ballina (A)	2011	196
Ballina (A)	2016	190
Balranald (A)	2006	7
Balranald (A)	2011	20
Balranald (A)	2016	18
Bathurst Regional (A)	2006	147
Bathurst Regional (A)	2011	176
Bathurst Regional (A)	2016	98
Bega Valley (A)	2006	79
Bega Valley (A)	2011	107
Bega Valley (A)	2016	128
Bellingen (A)	2006	66
Bellingen (A)	2011	65
Bellingen (A)	2016	37
Berrigan (A)	2006	25
Berrigan (A)	2011	11
Berrigan (A)	2016	34
Blacktown (C)	2006	1581
Blacktown (C)	2011	2000
Blacktown (C)	2016	3790
Bland (A)	2006	15
Bland (A)	2011	12
Bland (A)	2016	11
Blayney (A)	2006	10
Blayney (A)	2011	5
Blayney (A)	2016	9
Blue Mountains (C)	2006	626
Blue Mountains (C)	2011	494
Blue Mountains (C)	2016	931
Bogan (A)	2006	3
Bogan (A)	2011	15
Bogan (A)	2016	3
Botany Bay (C)	2006	344
Botany Bay (C)	2011	491
Botany Bay (C)	2016	1259
Bourke (A)	2006	29
Bourke (A)	2011	19
Bourke (A)	2016	9
Brewarrina (A)	2006	4
Brewarrina (A)	2011	12
Brewarrina (A)	2016	7
Broken Hill (C)	2006	46
Broken Hill (C)	2011	49
Broken Hill (C)	2016	60
Burwood (A)	2006	463
Burwood (A)	2011	484
Burwood (A)	2016	927
Byron (A)	2006	905
Byron (A)	2011	971
Byron (A)	2016	790
Cabonne (A)	2006	16
Cabonne (A)	2011	90
Cabonne (A)	2016	44
Camden (A)	2006	144
Camden (A)	2011	146
Camden (A)	2016	313
Campbelltown (C) (NSW)	2006	456
Campbelltown (C) (NSW)	2011	503
Campbelltown (C) (NSW)	2016	1181
Canada Bay (A)	2006	559
Canada Bay (A)	2011	722
Canada Bay (A)	2016	1476
Canterbury-Bankstown (A)	2006	1693
Canterbury-Bankstown (A)	2011	1916
Canterbury-Bankstown (A)	2016	3445
Carrathool (A)	2006	47
Carrathool (A)	2011	54
Carrathool (A)	2016	68
