LGA_NAME16	Year	Sex	unemployment
Albury (C)	2006	F	6.2
Albury (C)	2006	M	5.9
Albury (C)	2011	F	5.7
Albury (C)	2011	M	5.9
Albury (C)	2016	F	6.5
Albury (C)	2016	M	7.2
Armidale Regional (A)	2006	F	7.9
Armidale Regional (A)	2006	M	8.4
Armidale Regional (A)	2011	F	6.7
Armidale Regional (A)	2011	M	7.7
Armidale Regional (A)	2016	F	7.3
Armidale Regional (A)	2016	M	8.1
Ballina (A)	2006	F	7.1
Ballina (A)	2006	M	7.4
Ballina (A)	2011	F	5.8
Ballina (A)	2011	M	6.8
Ballina (A)	2016	F	5
Ballina (A)	2016	M	6.6
Balranald (A)	2006	F	6.3
Balranald (A)	2006	M	3.6
Balranald (A)	2011	F	4.3
Balranald (A)	2011	M	4.1
Balranald (A)	2016	F	6.1
Balranald (A)	2016	M	5.2
Bathurst Regional (A)	2006	F	6.3
Bathurst Regional (A)	2006	M	6
Bathurst Regional (A)	2011	F	5.4
Bathurst Regional (A)	2011	M	5.3
Bathurst Regional (A)	2016	F	5.5
Bathurst Regional (A)	2016	M	6.5
Bega Valley (A)	2006	F	6.2
Bega Valley (A)	2006	M	7.7
Bega Valley (A)	2011	F	5.2
Bega Valley (A)	2011	M	6.7
Bega Valley (A)	2016	F	4.8
Bega Valley (A)	2016	M	5.9
Bellingen (A)	2006	F	9.7
Bellingen (A)	2006	M	11.2
Bellingen (A)	2011	F	7.2
Bellingen (A)	2011	M	8.8
Bellingen (A)	2016	F	6.2
Bellingen (A)	2016	M	8.4
Berrigan (A)	2006	F	4.4
Berrigan (A)	2006	M	4.1
Berrigan (A)	2011	F	4.7
Berrigan (A)	2011	M	4.3
Berrigan (A)	2016	F	4.5
Berrigan (A)	2016	M	5.1
Blacktown (C)	2006	F	7.2
Blacktown (C)	2006	M	6.5
Blacktown (C)	2011	F	7.8
Blacktown (C)	2011	M	6.6
Blacktown (C)	2016	F	8
Blacktown (C)	2016	M	6.7
Bland (A)	2006	F	4.3
Bland (A)	2006	M	4.4
Bland (A)	2011	F	4.5
Bland (A)	2011	M	2.7
Bland (A)	2016	F	3.2
Bland (A)	2016	M	4.1
Blayney (A)	2006	F	7.3
Blayney (A)	2006	M	6.1
Blayney (A)	2011	F	5
Blayney (A)	2011	M	4.5
Blayney (A)	2016	F	5.3
Blayney (A)	2016	M	6.4
Blue Mountains (C)	2006	F	4.6
Blue Mountains (C)	2006	M	5
Blue Mountains (C)	2011	F	4.6
Blue Mountains (C)	2011	M	5.3
Blue Mountains (C)	2016	F	4.6
Blue Mountains (C)	2016	M	4.9
Bogan (A)	2006	F	6.4
Bogan (A)	2006	M	8.4
Bogan (A)	2011	F	5.7
Bogan (A)	2011	M	5.8
Bogan (A)	2016	F	4.4
Bogan (A)	2016	M	5.9
Botany Bay (C)	2006	F	5.3
Botany Bay (C)	2006	M	5.5
Botany Bay (C)	2011	F	5.2
Botany Bay (C)	2011	M	5.3
Botany Bay (C)	2016	F	5.6
Botany Bay (C)	2016	M	5.5
Bourke (A)	2006	F	5.8
Bourke (A)	2006	M	9.9
Bourke (A)	2011	F	4
Bourke (A)	2011	M	6.6
Bourke (A)	2016	F	5.4
Bourke (A)	2016	M	7.3
Brewarrina (A)	2006	F	9.4
Brewarrina (A)	2006	M	15.2
Brewarrina (A)	2011	F	10.2
Brewarrina (A)	2011	M	13.6
Brewarrina (A)	2016	F	13.6
Brewarrina (A)	2016	M	18.1
Broken Hill (C)	2006	F	8.2
Broken Hill (C)	2006	M	9.9
Broken Hill (C)	2011	F	7.3
Broken Hill (C)	2011	M	9.2
Broken Hill (C)	2016	F	7.3
Broken Hill (C)	2016	M	10.4
