LGA_NAME16	Year	NonSchoolQualification	Sex	persons
Albury (C)	2006		F	17353
Albury (C)	2006		M	14790
Albury (C)	2006	Certificate nfd	F	411
Albury (C)	2006	Certificate nfd	M	189
Albury (C)	2006	Certificate I and II Level	F	422
Albury (C)	2006	Certificate I and II Level	M	241
Albury (C)	2006	Certificate III and IV Level	F	1708
Albury (C)	2006	Certificate III and IV Level	M	4404
Albury (C)	2006	Advanced Diploma and Diploma	F	1407
Albury (C)	2006	Advanced Diploma and Diploma	M	970
Albury (C)	2006	Bachelor	F	1987
Albury (C)	2006	Bachelor	M	1369
Albury (C)	2006	Graduate Diploma and Graduate Certificate	F	373
Albury (C)	2006	Graduate Diploma and Graduate Certificate	M	197
Albury (C)	2006	Postgraduate	F	193
Albury (C)	2006	Postgraduate	M	264
Albury (C)	2011		F	16596
Albury (C)	2011		M	14457
Albury (C)	2011	Certificate nfd	F	399
Albury (C)	2011	Certificate nfd	M	198
Albury (C)	2011	Certificate I and II Level	F	474
Albury (C)	2011	Certificate I and II Level	M	232
Albury (C)	2011	Certificate III and IV Level	F	2308
Albury (C)	2011	Certificate III and IV Level	M	4879
Albury (C)	2011	Advanced Diploma and Diploma	F	1684
Albury (C)	2011	Advanced Diploma and Diploma	M	1087
Albury (C)	2011	Bachelor	F	2474
Albury (C)	2011	Bachelor	M	1580
Albury (C)	2011	Graduate Diploma and Graduate Certificate	F	446
Albury (C)	2011	Graduate Diploma and Graduate Certificate	M	249
Albury (C)	2011	Postgraduate	F	359
Albury (C)	2011	Postgraduate	M	391
Albury (C)	2016		F	16317
Albury (C)	2016		M	14765
Albury (C)	2016	Certificate nfd	F	575
Albury (C)	2016	Certificate nfd	M	311
Albury (C)	2016	Certificate I and II Level	F	430
Albury (C)	2016	Certificate I and II Level	M	211
Albury (C)	2016	Certificate III and IV Level	F	2897
Albury (C)	2016	Certificate III and IV Level	M	5437
Albury (C)	2016	Advanced Diploma and Diploma	F	2133
Albury (C)	2016	Advanced Diploma and Diploma	M	1395
Albury (C)	2016	Bachelor	F	2935
Albury (C)	2016	Bachelor	M	1773
Albury (C)	2016	Graduate Diploma and Graduate Certificate	F	546
Albury (C)	2016	Graduate Diploma and Graduate Certificate	M	304
Albury (C)	2016	Postgraduate	F	578
Albury (C)	2016	Postgraduate	M	466
Armidale Regional (A)	2006		F	9864
Armidale Regional (A)	2006		M	8882
Armidale Regional (A)	2006	Certificate nfd	F	261
Armidale Regional (A)	2006	Certificate nfd	M	136
Armidale Regional (A)	2006	Certificate I and II Level	F	252
Armidale Regional (A)	2006	Certificate I and II Level	M	136
Armidale Regional (A)	2006	Certificate III and IV Level	F	766
Armidale Regional (A)	2006	Certificate III and IV Level	M	1892
Armidale Regional (A)	2006	Advanced Diploma and Diploma	F	919
Armidale Regional (A)	2006	Advanced Diploma and Diploma	M	508
Armidale Regional (A)	2006	Bachelor	F	1483
Armidale Regional (A)	2006	Bachelor	M	1043
Armidale Regional (A)	2006	Graduate Diploma and Graduate Certificate	F	252
Armidale Regional (A)	2006	Graduate Diploma and Graduate Certificate	M	117
Armidale Regional (A)	2006	Postgraduate	F	443
Armidale Regional (A)	2006	Postgraduate	M	644
Armidale Regional (A)	2011		F	9628
Armidale Regional (A)	2011		M	8728
Armidale Regional (A)	2011	Certificate nfd	F	283
Armidale Regional (A)	2011	Certificate nfd	M	133
Armidale Regional (A)	2011	Certificate I and II Level	F	238
Armidale Regional (A)	2011	Certificate I and II Level	M	126
Armidale Regional (A)	2011	Certificate III and IV Level	F	1041
Armidale Regional (A)	2011	Certificate III and IV Level	M	2130
Armidale Regional (A)	2011	Advanced Diploma and Diploma	F	946
Armidale Regional (A)	2011	Advanced Diploma and Diploma	M	562
Armidale Regional (A)	2011	Bachelor	F	1716
Armidale Regional (A)	2011	Bachelor	M	1159
Armidale Regional (A)	2011	Graduate Diploma and Graduate Certificate	F	341
Armidale Regional (A)	2011	Graduate Diploma and Graduate Certificate	M	147
Armidale Regional (A)	2011	Postgraduate	F	584
Armidale Regional (A)	2011	Postgraduate	M	734
Armidale Regional (A)	2016		F	9150
Armidale Regional (A)	2016		M	8644
Armidale Regional (A)	2016	Certificate nfd	F	331
Armidale Regional (A)	2016	Certificate nfd	M	182
Armidale Regional (A)	2016	Certificate I and II Level	F	203
Armidale Regional (A)	2016	Certificate I and II Level	M	128
Armidale Regional (A)	2016	Certificate III and IV Level	F	1209
Armidale Regional (A)	2016	Certificate III and IV Level	M	2270
Armidale Regional (A)	2016	Advanced Diploma and Diploma	F	1100
Armidale Regional (A)	2016	Advanced Diploma and Diploma	M	628
Armidale Regional (A)	2016	Bachelor	F	2023
Armidale Regional (A)	2016	Bachelor	M	1261
Armidale Regional (A)	2016	Graduate Diploma and Graduate Certificate	F	380
Armidale Regional (A)	2016	Graduate Diploma and Graduate Certificate	M	193
Armidale Regional (A)	2016	Postgraduate	F	824
Armidale Regional (A)	2016	Postgraduate	M	921
Ballina (A)	2006		F	14212
Ballina (A)	2006		M	11510
Ballina (A)	2006	Certificate nfd	F	404
Ballina (A)	2006	Certificate nfd	M	199
Ballina (A)	2006	Certificate I and II Level	F	296
Ballina (A)	2006	Certificate I and II Level	M	153
Ballina (A)	2006	Certificate III and IV Level	F	1306
Ballina (A)	2006	Certificate III and IV Level	M	3799
Ballina (A)	2006	Advanced Diploma and Diploma	F	1471
Ballina (A)	2006	Advanced Diploma and Diploma	M	877
Ballina (A)	2006	Bachelor	F	1771
Ballina (A)	2006	Bachelor	M	1441
Ballina (A)	2006	Graduate Diploma and Graduate Certificate	F	300
Ballina (A)	2006	Graduate Diploma and Graduate Certificate	M	170
Ballina (A)	2006	Postgraduate	F	238
Ballina (A)	2006	Postgraduate	M	314
Ballina (A)	2011		F	13295
Ballina (A)	2011		M	11218
Ballina (A)	2011	Certificate nfd	F	411
Ballina (A)	2011	Certificate nfd	M	207
Ballina (A)	2011	Certificate I and II Level	F	309
Ballina (A)	2011	Certificate I and II Level	M	158
Ballina (A)	2011	Certificate III and IV Level	F	1754
Ballina (A)	2011	Certificate III and IV Level	M	3986
Ballina (A)	2011	Advanced Diploma and Diploma	F	1701
Ballina (A)	2011	Advanced Diploma and Diploma	M	1017
Ballina (A)	2011	Bachelor	F	2271
Ballina (A)	2011	Bachelor	M	1679
Ballina (A)	2011	Graduate Diploma and Graduate Certificate	F	336
Ballina (A)	2011	Graduate Diploma and Graduate Certificate	M	217
Ballina (A)	2011	Postgraduate	F	356
Ballina (A)	2011	Postgraduate	M	361
Ballina (A)	2016		F	12844
Ballina (A)	2016		M	11317
Ballina (A)	2016	Certificate nfd	F	606
Ballina (A)	2016	Certificate nfd	M	337
Ballina (A)	2016	Certificate I and II Level	F	295
Ballina (A)	2016	Certificate I and II Level	M	133
Ballina (A)	2016	Certificate III and IV Level	F	2024
Ballina (A)	2016	Certificate III and IV Level	M	4358
Ballina (A)	2016	Advanced Diploma and Diploma	F	2086
Ballina (A)	2016	Advanced Diploma and Diploma	M	1236
Ballina (A)	2016	Bachelor	F	2792
Ballina (A)	2016	Bachelor	M	1940
Ballina (A)	2016	Graduate Diploma and Graduate Certificate	F	452
Ballina (A)	2016	Graduate Diploma and Graduate Certificate	M	295
Ballina (A)	2016	Postgraduate	F	559
Ballina (A)	2016	Postgraduate	M	511
Balranald (A)	2006		F	967
Balranald (A)	2006		M	1036
Balranald (A)	2006	Certificate nfd	F	13
Balranald (A)	2006	Certificate nfd	M	11
Balranald (A)	2006	Certificate I and II Level	F	6
Balranald (A)	2006	Certificate I and II Level	M	11
Balranald (A)	2006	Certificate III and IV Level	F	62
Balranald (A)	2006	Certificate III and IV Level	M	147
Balranald (A)	2006	Advanced Diploma and Diploma	F	41
Balranald (A)	2006	Advanced Diploma and Diploma	M	26
Balranald (A)	2006	Bachelor	F	64
Balranald (A)	2006	Bachelor	M	27
Balranald (A)	2006	Graduate Diploma and Graduate Certificate	F	11
Balranald (A)	2006	Graduate Diploma and Graduate Certificate	M	5
Balranald (A)	2006	Postgraduate	F	10
Balranald (A)	2006	Postgraduate	M	0
Balranald (A)	2011		F	866
Balranald (A)	2011		M	934
Balranald (A)	2011	Certificate nfd	F	16
Balranald (A)	2011	Certificate nfd	M	3
Balranald (A)	2011	Certificate I and II Level	F	13
Balranald (A)	2011	Certificate I and II Level	M	9
Balranald (A)	2011	Certificate III and IV Level	F	86
Balranald (A)	2011	Certificate III and IV Level	M	161
Balranald (A)	2011	Advanced Diploma and Diploma	F	51
Balranald (A)	2011	Advanced Diploma and Diploma	M	26
Balranald (A)	2011	Bachelor	F	59
Balranald (A)	2011	Bachelor	M	35
Balranald (A)	2011	Graduate Diploma and Graduate Certificate	F	13
Balranald (A)	2011	Graduate Diploma and Graduate Certificate	M	3
Balranald (A)	2011	Postgraduate	F	5
Balranald (A)	2011	Postgraduate	M	4
Balranald (A)	2016		F	851
Balranald (A)	2016		M	927
Balranald (A)	2016	Certificate nfd	F	12
Balranald (A)	2016	Certificate nfd	M	4
Balranald (A)	2016	Certificate I and II Level	F	16
Balranald (A)	2016	Certificate I and II Level	M	9
Balranald (A)	2016	Certificate III and IV Level	F	88
Balranald (A)	2016	Certificate III and IV Level	M	169
Balranald (A)	2016	Advanced Diploma and Diploma	F	60
Balranald (A)	2016	Advanced Diploma and Diploma	M	26
Balranald (A)	2016	Bachelor	F	63
Balranald (A)	2016	Bachelor	M	33
Balranald (A)	2016	Graduate Diploma and Graduate Certificate	F	10
Balranald (A)	2016	Graduate Diploma and Graduate Certificate	M	0
Balranald (A)	2016	Postgraduate	F	15
Balranald (A)	2016	Postgraduate	M	9
Bathurst Regional (A)	2006		F	12663
Bathurst Regional (A)	2006		M	12011
Bathurst Regional (A)	2006	Certificate nfd	F	425
Bathurst Regional (A)	2006	Certificate nfd	M	195
Bathurst Regional (A)	2006	Certificate I and II Level	F	352
Bathurst Regional (A)	2006	Certificate I and II Level	M	163
Bathurst Regional (A)	2006	Certificate III and IV Level	F	1205
Bathurst Regional (A)	2006	Certificate III and IV Level	M	3512
Bathurst Regional (A)	2006	Advanced Diploma and Diploma	F	1083
Bathurst Regional (A)	2006	Advanced Diploma and Diploma	M	636
Bathurst Regional (A)	2006	Bachelor	F	1662
Bathurst Regional (A)	2006	Bachelor	M	1035
Bathurst Regional (A)	2006	Graduate Diploma and Graduate Certificate	F	244
Bathurst Regional (A)	2006	Graduate Diploma and Graduate Certificate	M	133
Bathurst Regional (A)	2006	Postgraduate	F	217
Bathurst Regional (A)	2006	Postgraduate	M	308
Bathurst Regional (A)	2011		F	12892
Bathurst Regional (A)	2011		M	12423
Bathurst Regional (A)	2011	Certificate nfd	F	445
Bathurst Regional (A)	2011	Certificate nfd	M	189
Bathurst Regional (A)	2011	Certificate I and II Level	F	356
Bathurst Regional (A)	2011	Certificate I and II Level	M	170
Bathurst Regional (A)	2011	Certificate III and IV Level	F	1702
Bathurst Regional (A)	2011	Certificate III and IV Level	M	3968
Bathurst Regional (A)	2011	Advanced Diploma and Diploma	F	1248
Bathurst Regional (A)	2011	Advanced Diploma and Diploma	M	853
Bathurst Regional (A)	2011	Bachelor	F	1918
