LGA_NAME16	Year	medianTotalPersonalIncomeWeekly
Albury (C)	2006	452
Armidale Regional (A)	2006	379
Ballina (A)	2006	397
Balranald (A)	2006	396
Bathurst Regional (A)	2006	424
Bega Valley (A)	2006	368
Bellingen (A)	2006	336
Berrigan (A)	2006	387
Blacktown (C)	2006	473
Bland (A)	2006	363
Blayney (A)	2006	391
Blue Mountains (C)	2006	501
Bogan (A)	2006	365
Botany Bay (C)	2006	453
Bourke (A)	2006	414
Brewarrina (A)	2006	316
Broken Hill (C)	2006	334
Burwood (A)	2006	403
Byron (A)	2006	383
Cabonne (A)	2006	411
Camden (A)	2006	566
Campbelltown (C) (NSW)	2006	464
Canada Bay (A)	2006	664
Canterbury-Bankstown (A)	2006	369
Carrathool (A)	2006	422
Central Coast (C) (NSW)	2006	407
Central Darling (A)	2006	310
Cessnock (C)	2006	358
Clarence Valley (A)	2006	333
Cobar (A)	2006	455
Coffs Harbour (C)	2006	364
Coolamon (A)	2006	350
Coonamble (A)	2006	362
Cowra (A)	2006	359
Cumberland (A)	2006	368
Dungog (A)	2006	385
Edward River (A)	2006	408
Eurobodalla (A)	2006	344
Fairfield (C)	2006	319
Federation (A)	2006	387
Forbes (A)	2006	368
Georges River (A)	2006	480
Gilgandra (A)	2006	355
Glen Innes Severn (A)	2006	337
Goulburn Mulwaree (A)	2006	410
Greater Hume Shire (A)	2006	410
Griffith (C)	2006	459
Gundagai (A)	2006	365
Gunnedah (A)	2006	366
Gwydir (A)	2006	328
Hawkesbury (C)	2006	527
Hay (A)	2006	404
Hilltops (A)	2006	366
Hornsby (A)	2006	586
Hunters Hill (A)	2006	704
Inner West (A)	2006	650
Inverell (A)	2006	352
Junee (A)	2006	366
Kempsey (A)	2006	319
Kiama (A)	2006	453
Ku-ring-gai (A)	2006	716
Kyogle (A)	2006	305
Lachlan (A)	2006	362
Lake Macquarie (C)	2006	394
Lane Cove (A)	2006	811
Leeton (A)	2006	407
Lismore (C)	2006	378
Lithgow (C)	2006	353
Liverpool (C)	2006	440
Liverpool Plains (A)	2006	351
Lockhart (A)	2006	393
Maitland (C)	2006	428
Mid-Coast (A)	2006	337
Mid-Western Regional (A)	2006	353
Moree Plains (A)	2006	471
Mosman (A)	2006	969
Murray River (A)	2006	385
Murrumbidgee (A)	2006	448
Muswellbrook (A)	2006	453
Nambucca (A)	2006	296
Narrabri (A)	2006	410
Narrandera (A)	2006	377
Narromine (A)	2006	394
Newcastle (C)	2006	409
North Sydney (A)	2006	1010
Northern Beaches (A)	2006	655
Oberon (A)	2006	436
Orange (C)	2006	449
Parkes (A)	2006	354
Parramatta (C)	2006	513
Penrith (C)	2006	517
Port Macquarie-Hastings (A)	2006	361
Port Stephens (A)	2006	388
Queanbeyan-Palerang Regional (A)	2006	635
Randwick (C)	2006	593
Richmond Valley (A)	2006	342
Rockdale (C)	2006	457
Ryde (C)	2006	528
Shellharbour (C)	2006	391
Shoalhaven (C)	2006	349
Singleton (A)	2006	487
Snowy Monaro Regional (A)	2006	464
Snowy Valleys (A)	2006	386
Strathfield (A)	2006	458
Sutherland Shire (A)	2006	601
Sydney (C)	2006	717
Tamworth Regional (A)	2006	405
Temora (A)	2006	351
Tenterfield (A)	2006	307
The Hills Shire (A)	2006	639
Tweed (A)	2006	364
Upper Hunter Shire (A)	2006	438
Upper Lachlan Shire (A)	2006	374
Uralla (A)	2006	388
Wagga Wagga (C)	2006	463
Walcha (A)	2006	377
Walgett (A)	2006	323
Warren (A)	2006	410
Warrumbungle Shire (A)	2006	326
Waverley (A)	2006	765
Weddin (A)	2006	330
Wentworth (A)	2006	385
Western Plains Regional (A)	2006	436
Willoughby (C)	2006	728
Wingecarribee (A)	2006	462
Wollondilly (A)	2006	502
Wollongong (C)	2006	391
Woollahra (A)	2006	976
Yass Valley (A)	2006	546
Unincorporated NSW	2006	433
No usual address (NSW)	2006	344
Migratory - Offshore - Shipping (NSW)	2006	979
Alpine (S)	2006	380
Ararat (RC)	2006	388
Ballarat (C)	2006	404
Banyule (C)	2006	504
Bass Coast (S)	2006	358
Baw Baw (S)	2006	413
Bayside (C)	2006	621
Benalla (RC)	2006	393
Boroondara (C)	2006	640
Brimbank (C)	2006	358
Buloke (S)	2006	334
Campaspe (S)	2006	396
Cardinia (S)	2006	478
Casey (C)	2006	480
Central Goldfields (S)	2006	305
Colac-Otway (S)	2006	403
Corangamite (S)	2006	417
Darebin (C)	2006	399
East Gippsland (S)	2006	357
Frankston (C)	2006	459
Gannawarra (S)	2006	372
Glen Eira (C)	2006	547
Glenelg (S)	2006	405
Golden Plains (S)	2006	426
Greater Bendigo (C)	2006	403
Greater Dandenong (C)	2006	342
Greater Geelong (C)	2006	407
Greater Shepparton (C)	2006	426
Hepburn (S)	2006	358
Hindmarsh (S)	2006	359
Hobsons Bay (C)	2006	463
Horsham (RC)	2006	433
Hume (C)	2006	403
Indigo (S)	2006	449
Kingston (C) (Vic.)	2006	484
Knox (C)	2006	499
Latrobe (C) (Vic.)	2006	376
Loddon (S)	2006	324
Macedon Ranges (S)	2006	484
Manningham (C)	2006	489
Mansfield (S)	2006	404
Maribyrnong (C)	2006	423
Maroondah (C)	2006	501
Melbourne (C)	2006	555
Melton (C)	2006	505
Mildura (RC)	2006	395
Mitchell (S)	2006	448
Moira (S)	2006	379
Monash (C)	2006	443
Moonee Valley (C)	2006	491
Moorabool (S)	2006	439
Moreland (C)	2006	413
Mornington Peninsula (S)	2006	437
Mount Alexander (S)	2006	366
Moyne (S)	2006	432
Murrindindi (S)	2006	409
Nillumbik (S)	2006	570
Northern Grampians (S)	2006	372
Port Phillip (C)	2006	769
Pyrenees (S)	2006	332
Queenscliffe (B)	2006	438
South Gippsland (S)	2006	387
Southern Grampians (S)	2006	417
Stonnington (C)	2006	726
Strathbogie (S)	2006	376
Surf Coast (S)	2006	481
Swan Hill (RC)	2006	401
Towong (S)	2006	374
Wangaratta (RC)	2006	414
Warrnambool (C)	2006	422
Wellington (S)	2006	385
West Wimmera (S)	2006	401
Whitehorse (C)	2006	480
Whittlesea (C)	2006	406
Wodonga (C)	2006	476
Wyndham (C)	2006	516
Yarra (C)	2006	653
Yarra Ranges (S)	2006	474
Yarriambiack (S)	2006	353
Unincorporated Vic	2006	581
No usual address (Vic.)	2006	373
Migratory - Offshore - Shipping (Vic.)	2006	1364
Aurukun (S)	2006	219
Balonne (S)	2006	495
Banana (S)	2006	517
Barcaldine (R)	2006	435
