LGA_NAME16	Year	Occupation	workers
Albury (C)	2006		318
Albury (C)	2006	Clerical and administrative workers	3029
Albury (C)	2006	Community and personal service workers	1899
Albury (C)	2006	Labourers	2485
Albury (C)	2006	Machinery operators and drivers	1710
Albury (C)	2006	Managers	2440
Albury (C)	2006	Professionals	3836
Albury (C)	2006	Sales workers	2489
Albury (C)	2006	Technicians and trades workers	3326
Albury (C)	2011		364
Albury (C)	2011	Clerical and administrative workers	3113
Albury (C)	2011	Community and personal service workers	2399
Albury (C)	2011	Labourers	2374
Albury (C)	2011	Machinery operators and drivers	1645
Albury (C)	2011	Managers	2477
Albury (C)	2011	Professionals	4233
Albury (C)	2011	Sales workers	2425
Albury (C)	2011	Technicians and trades workers	3407
Albury (C)	2016		333
Albury (C)	2016	Clerical and administrative workers	3004
Albury (C)	2016	Community and personal service workers	2820
Albury (C)	2016	Labourers	2328
Albury (C)	2016	Machinery operators and drivers	1542
Albury (C)	2016	Managers	2508
Albury (C)	2016	Professionals	4502
Albury (C)	2016	Sales workers	2504
Albury (C)	2016	Technicians and trades workers	3364
Armidale Regional (A)	2006		163
Armidale Regional (A)	2006	Clerical and administrative workers	1452
Armidale Regional (A)	2006	Community and personal service workers	1138
Armidale Regional (A)	2006	Labourers	1314
Armidale Regional (A)	2006	Machinery operators and drivers	423
Armidale Regional (A)	2006	Managers	1981
Armidale Regional (A)	2006	Professionals	2554
Armidale Regional (A)	2006	Sales workers	1110
Armidale Regional (A)	2006	Technicians and trades workers	1413
Armidale Regional (A)	2011		184
Armidale Regional (A)	2011	Clerical and administrative workers	1590
Armidale Regional (A)	2011	Community and personal service workers	1266
Armidale Regional (A)	2011	Labourers	1338
Armidale Regional (A)	2011	Machinery operators and drivers	457
Armidale Regional (A)	2011	Managers	1919
Armidale Regional (A)	2011	Professionals	2751
Armidale Regional (A)	2011	Sales workers	1236
Armidale Regional (A)	2011	Technicians and trades workers	1455
Armidale Regional (A)	2016		163
Armidale Regional (A)	2016	Clerical and administrative workers	1524
Armidale Regional (A)	2016	Community and personal service workers	1426
Armidale Regional (A)	2016	Labourers	1469
Armidale Regional (A)	2016	Machinery operators and drivers	497
Armidale Regional (A)	2016	Managers	1816
Armidale Regional (A)	2016	Professionals	2865
Armidale Regional (A)	2016	Sales workers	1191
Armidale Regional (A)	2016	Technicians and trades workers	1373
Ballina (A)	2006		237
Ballina (A)	2006	Clerical and administrative workers	2063
Ballina (A)	2006	Community and personal service workers	1608
Ballina (A)	2006	Labourers	1872
Ballina (A)	2006	Machinery operators and drivers	726
Ballina (A)	2006	Managers	2309
Ballina (A)	2006	Professionals	3130
Ballina (A)	2006	Sales workers	1906
Ballina (A)	2006	Technicians and trades workers	2359
Ballina (A)	2011		215
Ballina (A)	2011	Clerical and administrative workers	2107
Ballina (A)	2011	Community and personal service workers	1887
Ballina (A)	2011	Labourers	1747
Ballina (A)	2011	Machinery operators and drivers	799
Ballina (A)	2011	Managers	2279
Ballina (A)	2011	Professionals	3393
Ballina (A)	2011	Sales workers	1863
Ballina (A)	2011	Technicians and trades workers	2299
Ballina (A)	2016		288
Ballina (A)	2016	Clerical and administrative workers	2030
Ballina (A)	2016	Community and personal service workers	2098
Ballina (A)	2016	Labourers	1828
Ballina (A)	2016	Machinery operators and drivers	785
Ballina (A)	2016	Managers	2293
Ballina (A)	2016	Professionals	3896
Ballina (A)	2016	Sales workers	1850
Ballina (A)	2016	Technicians and trades workers	2391
Balranald (A)	2006		40
Balranald (A)	2006	Clerical and administrative workers	93
Balranald (A)	2006	Community and personal service workers	105
Balranald (A)	2006	Labourers	192
Balranald (A)	2006	Machinery operators and drivers	117
Balranald (A)	2006	Managers	314
Balranald (A)	2006	Professionals	106
Balranald (A)	2006	Sales workers	47
Balranald (A)	2006	Technicians and trades workers	127
Balranald (A)	2011		24
Balranald (A)	2011	Clerical and administrative workers	100
Balranald (A)	2011	Community and personal service workers	99
Balranald (A)	2011	Labourers	183
Balranald (A)	2011	Machinery operators and drivers	99
Balranald (A)	2011	Managers	294
Balranald (A)	2011	Professionals	75
Balranald (A)	2011	Sales workers	49
Balranald (A)	2011	Technicians and trades workers	103
Balranald (A)	2016		28
Balranald (A)	2016	Clerical and administrative workers	104
Balranald (A)	2016	Community and personal service workers	95
Balranald (A)	2016	Labourers	195
