LGA_NAME16	Year	medianRentWeekly
Albury (C)	2006	150
Armidale Regional (A)	2006	150
Ballina (A)	2006	210
Balranald (A)	2006	100
Bathurst Regional (A)	2006	170
Bega Valley (A)	2006	160
Bellingen (A)	2006	165
Berrigan (A)	2006	115
Blacktown (C)	2006	200
Bland (A)	2006	100
Blayney (A)	2006	140
Blue Mountains (C)	2006	200
Bogan (A)	2006	100
Botany Bay (C)	2006	225
Bourke (A)	2006	95
Brewarrina (A)	2006	78
Broken Hill (C)	2006	110
Burwood (A)	2006	280
Byron (A)	2006	250
Cabonne (A)	2006	110
Camden (A)	2006	250
Campbelltown (C) (NSW)	2006	185
Canada Bay (A)	2006	335
Canterbury-Bankstown (A)	2006	200
Carrathool (A)	2006	66
Central Coast (C) (NSW)	2006	200
Central Darling (A)	2006	50
Cessnock (C)	2006	160
Clarence Valley (A)	2006	150
Cobar (A)	2006	120
Coffs Harbour (C)	2006	185
Coolamon (A)	2006	80
Coonamble (A)	2006	90
Cowra (A)	2006	130
Cumberland (A)	2006	220
Dungog (A)	2006	145
Edward River (A)	2006	110
Eurobodalla (A)	2006	170
Fairfield (C)	2006	180
Federation (A)	2006	140
Forbes (A)	2006	120
Georges River (A)	2006	250
Gilgandra (A)	2006	100
Glen Innes Severn (A)	2006	110
Goulburn Mulwaree (A)	2006	150
Greater Hume Shire (A)	2006	100
Griffith (C)	2006	160
Gundagai (A)	2006	110
Gunnedah (A)	2006	120
Gwydir (A)	2006	60
Hawkesbury (C)	2006	205
Hay (A)	2006	110
Hilltops (A)	2006	125
Hornsby (A)	2006	300
Hunters Hill (A)	2006	300
Inner West (A)	2006	265
Inverell (A)	2006	120
Junee (A)	2006	105
Kempsey (A)	2006	150
Kiama (A)	2006	231
Ku-ring-gai (A)	2006	420
Kyogle (A)	2006	117
Lachlan (A)	2006	90
Lake Macquarie (C)	2006	185
Lane Cove (A)	2006	295
Leeton (A)	2006	135
Lismore (C)	2006	160
Lithgow (C)	2006	135
Liverpool (C)	2006	195
Liverpool Plains (A)	2006	100
Lockhart (A)	2006	80
Maitland (C)	2006	180
Mid-Coast (A)	2006	160
Mid-Western Regional (A)	2006	145
Moree Plains (A)	2006	115
Mosman (A)	2006	345
Murray River (A)	2006	125
Murrumbidgee (A)	2006	100
Muswellbrook (A)	2006	150
Nambucca (A)	2006	150
Narrabri (A)	2006	110
Narrandera (A)	2006	100
Narromine (A)	2006	110
Newcastle (C)	2006	195
North Sydney (A)	2006	350
Northern Beaches (A)	2006	340
Oberon (A)	2006	150
Orange (C)	2006	170
Parkes (A)	2006	120
Parramatta (C)	2006	245
Penrith (C)	2006	210
Port Macquarie-Hastings (A)	2006	190
Port Stephens (A)	2006	180
Queanbeyan-Palerang Regional (A)	2006	180
Randwick (C)	2006	310
Richmond Valley (A)	2006	145
Rockdale (C)	2006	255
Ryde (C)	2006	255
Shellharbour (C)	2006	200
Shoalhaven (C)	2006	166
Singleton (A)	2006	180
Snowy Monaro Regional (A)	2006	140
Snowy Valleys (A)	2006	120
Strathfield (A)	2006	280
Sutherland Shire (A)	2006	260
Sydney (C)	2006	330
Tamworth Regional (A)	2006	150
Temora (A)	2006	115
Tenterfield (A)	2006	100
The Hills Shire (A)	2006	320
Tweed (A)	2006	210
Upper Hunter Shire (A)	2006	120
Upper Lachlan Shire (A)	2006	90
Uralla (A)	2006	110
Wagga Wagga (C)	2006	155
Walcha (A)	2006	80
Walgett (A)	2006	70
Warren (A)	2006	86
Warrumbungle Shire (A)	2006	100
Waverley (A)	2006	350
Weddin (A)	2006	85
Wentworth (A)	2006	105
Western Plains Regional (A)	2006	148
Willoughby (C)	2006	360
Wingecarribee (A)	2006	195
Wollondilly (A)	2006	200
Wollongong (C)	2006	180
Woollahra (A)	2006	390
Yass Valley (A)	2006	150
Unincorporated NSW	2006	29
No usual address (NSW)	2006	0
Migratory - Offshore - Shipping (NSW)	2006	5
Alpine (S)	2006	140
Ararat (RC)	2006	110
Ballarat (C)	2006	160
Banyule (C)	2006	201
Bass Coast (S)	2006	150
Baw Baw (S)	2006	140
Bayside (C)	2006	265
Benalla (RC)	2006	140
Boroondara (C)	2006	250
Brimbank (C)	2006	173
Buloke (S)	2006	75
Campaspe (S)	2006	130
Cardinia (S)	2006	180
Casey (C)	2006	190
Central Goldfields (S)	2006	120
Colac-Otway (S)	2006	138
Corangamite (S)	2006	100
Darebin (C)	2006	185
East Gippsland (S)	2006	135
Frankston (C)	2006	180
Gannawarra (S)	2006	100
Glen Eira (C)	2006	220
Glenelg (S)	2006	120
Golden Plains (S)	2006	130
