LGA_NAME16	Year	Sex	SpeaksEnglishOnly	persons
Albury (C)	2006	F	0	914
Albury (C)	2006	F	1	22023
Albury (C)	2006	M	0	763
Albury (C)	2006	M	1	20577
Albury (C)	2011	F	0	1297
Albury (C)	2011	F	1	22457
Albury (C)	2011	M	0	1240
Albury (C)	2011	M	1	20742
Albury (C)	2016	F	0	1808
Albury (C)	2016	F	1	22839
Albury (C)	2016	M	0	1634
Albury (C)	2016	M	1	21282
Armidale Regional (A)	2006	F	0	540
Armidale Regional (A)	2006	F	1	13133
Armidale Regional (A)	2006	M	0	524
Armidale Regional (A)	2006	M	1	12208
Armidale Regional (A)	2011	F	0	798
Armidale Regional (A)	2011	F	1	13205
Armidale Regional (A)	2011	M	0	802
Armidale Regional (A)	2011	M	1	12206
Armidale Regional (A)	2016	F	0	1192
Armidale Regional (A)	2016	F	1	12911
Armidale Regional (A)	2016	M	0	1142
Armidale Regional (A)	2016	M	1	12024
Ballina (A)	2006	F	0	520
Ballina (A)	2006	F	1	18718
Ballina (A)	2006	M	0	407
Ballina (A)	2006	M	1	17332
Ballina (A)	2011	F	0	693
Ballina (A)	2011	F	1	19008
Ballina (A)	2011	M	0	587
Ballina (A)	2011	M	1	17533
Ballina (A)	2016	F	0	832
Ballina (A)	2016	F	1	19268
Ballina (A)	2016	M	0	749
Ballina (A)	2016	M	1	17944
Balranald (A)	2006	F	0	81
Balranald (A)	2006	F	1	1035
Balranald (A)	2006	M	0	97
Balranald (A)	2006	M	1	1098
Balranald (A)	2011	F	0	96
Balranald (A)	2011	F	1	946
Balranald (A)	2011	M	0	80
Balranald (A)	2011	M	1	992
Balranald (A)	2016	F	0	80
Balranald (A)	2016	F	1	915
Balranald (A)	2016	M	0	70
Balranald (A)	2016	M	1	984
Bathurst Regional (A)	2006	F	0	519
Bathurst Regional (A)	2006	F	1	16719
Bathurst Regional (A)	2006	M	0	531
Bathurst Regional (A)	2006	M	1	16106
Bathurst Regional (A)	2011	F	0	629
Bathurst Regional (A)	2011	F	1	17731
