LGA_NAME16	Year	Occupation	Sex	workers
Albury (C)	2006		F	121
Albury (C)	2006		M	197
Albury (C)	2006	Clerical and administrative workers	F	2379
Albury (C)	2006	Clerical and administrative workers	M	647
Albury (C)	2006	Community and personal service workers	F	1381
Albury (C)	2006	Community and personal service workers	M	513
Albury (C)	2006	Labourers	F	899
Albury (C)	2006	Labourers	M	1589
Albury (C)	2006	Machinery operators and drivers	F	201
Albury (C)	2006	Machinery operators and drivers	M	1504
Albury (C)	2006	Managers	F	834
Albury (C)	2006	Managers	M	1602
Albury (C)	2006	Professionals	F	2207
Albury (C)	2006	Professionals	M	1632
Albury (C)	2006	Sales workers	F	1607
Albury (C)	2006	Sales workers	M	882
Albury (C)	2006	Technicians and trades workers	F	490
Albury (C)	2006	Technicians and trades workers	M	2835
Albury (C)	2011		F	155
Albury (C)	2011		M	210
Albury (C)	2011	Clerical and administrative workers	F	2531
Albury (C)	2011	Clerical and administrative workers	M	585
Albury (C)	2011	Community and personal service workers	F	1755
Albury (C)	2011	Community and personal service workers	M	646
Albury (C)	2011	Labourers	F	872
Albury (C)	2011	Labourers	M	1497
Albury (C)	2011	Machinery operators and drivers	F	161
Albury (C)	2011	Machinery operators and drivers	M	1485
Albury (C)	2011	Managers	F	832
Albury (C)	2011	Managers	M	1648
Albury (C)	2011	Professionals	F	2501
Albury (C)	2011	Professionals	M	1732
Albury (C)	2011	Sales workers	F	1554
Albury (C)	2011	Sales workers	M	868
Albury (C)	2011	Technicians and trades workers	F	520
Albury (C)	2011	Technicians and trades workers	M	2885
Albury (C)	2016		F	122
Albury (C)	2016		M	212
Albury (C)	2016	Clerical and administrative workers	F	2406
Albury (C)	2016	Clerical and administrative workers	M	597
Albury (C)	2016	Community and personal service workers	F	2053
Albury (C)	2016	Community and personal service workers	M	768
Albury (C)	2016	Labourers	F	865
Albury (C)	2016	Labourers	M	1460
Albury (C)	2016	Machinery operators and drivers	F	123
Albury (C)	2016	Machinery operators and drivers	M	1414
Albury (C)	2016	Managers	F	923
Albury (C)	2016	Managers	M	1580
Albury (C)	2016	Professionals	F	2712
Albury (C)	2016	Professionals	M	1789
Albury (C)	2016	Sales workers	F	1570
Albury (C)	2016	Sales workers	M	939
Albury (C)	2016	Technicians and trades workers	F	508
Albury (C)	2016	Technicians and trades workers	M	2855
Armidale Regional (A)	2006		F	64
Armidale Regional (A)	2006		M	98
Armidale Regional (A)	2006	Clerical and administrative workers	F	1188
Armidale Regional (A)	2006	Clerical and administrative workers	M	262
Armidale Regional (A)	2006	Community and personal service workers	F	802
Armidale Regional (A)	2006	Community and personal service workers	M	332
Armidale Regional (A)	2006	Labourers	F	468
Armidale Regional (A)	2006	Labourers	M	843
Armidale Regional (A)	2006	Machinery operators and drivers	F	26
Armidale Regional (A)	2006	Machinery operators and drivers	M	398
Armidale Regional (A)	2006	Managers	F	706
Armidale Regional (A)	2006	Managers	M	1271
Armidale Regional (A)	2006	Professionals	F	1386
Armidale Regional (A)	2006	Professionals	M	1173
Armidale Regional (A)	2006	Sales workers	F	671
Armidale Regional (A)	2006	Sales workers	M	440
Armidale Regional (A)	2006	Technicians and trades workers	F	261
Armidale Regional (A)	2006	Technicians and trades workers	M	1153
Armidale Regional (A)	2011		F	69
Armidale Regional (A)	2011		M	114
Armidale Regional (A)	2011	Clerical and administrative workers	F	1281
Armidale Regional (A)	2011	Clerical and administrative workers	M	305
Armidale Regional (A)	2011	Community and personal service workers	F	889
Armidale Regional (A)	2011	Community and personal service workers	M	375
Armidale Regional (A)	2011	Labourers	F	465
Armidale Regional (A)	2011	Labourers	M	873
Armidale Regional (A)	2011	Machinery operators and drivers	F	20
Armidale Regional (A)	2011	Machinery operators and drivers	M	437
Armidale Regional (A)	2011	Managers	F	691
Armidale Regional (A)	2011	Managers	M	1236
Armidale Regional (A)	2011	Professionals	F	1544
Armidale Regional (A)	2011	Professionals	M	1207
Armidale Regional (A)	2011	Sales workers	F	751
Armidale Regional (A)	2011	Sales workers	M	485
Armidale Regional (A)	2011	Technicians and trades workers	F	249
Armidale Regional (A)	2011	Technicians and trades workers	M	1203
Armidale Regional (A)	2016		F	68
Armidale Regional (A)	2016		M	92
Armidale Regional (A)	2016	Clerical and administrative workers	F	1229
Armidale Regional (A)	2016	Clerical and administrative workers	M	296
Armidale Regional (A)	2016	Community and personal service workers	F	957
Armidale Regional (A)	2016	Community and personal service workers	M	467
Armidale Regional (A)	2016	Labourers	F	524
Armidale Regional (A)	2016	Labourers	M	941
Armidale Regional (A)	2016	Machinery operators and drivers	F	27
Armidale Regional (A)	2016	Machinery operators and drivers	M	461
Armidale Regional (A)	2016	Managers	F	640
Armidale Regional (A)	2016	Managers	M	1178
Armidale Regional (A)	2016	Professionals	F	1661
Armidale Regional (A)	2016	Professionals	M	1207
Armidale Regional (A)	2016	Sales workers	F	700
Armidale Regional (A)	2016	Sales workers	M	492
Armidale Regional (A)	2016	Technicians and trades workers	F	261
Armidale Regional (A)	2016	Technicians and trades workers	M	1119
Ballina (A)	2006		F	108
Ballina (A)	2006		M	133
Ballina (A)	2006	Clerical and administrative workers	F	1736
Ballina (A)	2006	Clerical and administrative workers	M	324
Ballina (A)	2006	Community and personal service workers	F	1146
Ballina (A)	2006	Community and personal service workers	M	464
