SA3_CODE_2016,C06_C_Tot_0_14,C06_C_Tot_15_24,C06_C_Tot_25_34,C06_C_Tot_35_44,C06_C_Tot_45_54,C06_C_Tot_55_64,C06_C_Tot_65_74,C06_C_Tot_75_84,C06_C_Tot_85ov,C06_C_T_T,C06_Hinduism_0_14,C06_Hinduism_15_24,C06_Hinduism_25_34,C06_Hinduism_35_44,C06_Hinduism_45_54,C06_Hinduism_55_64,C06_Hinduism_65_74,C06_Hinduism_75_84,C06_Hinduism_85ov,C06_Hinduism_Tot,C06_Islam_0_14,C06_Islam_15_24,C06_Islam_25_34,C06_Islam_35_44,C06_Islam_45_54,C06_Islam_55_64,C06_Islam_65_74,C06_Islam_75_84,C06_Islam_85ov,C06_Islam_Tot,C06_Judaism_0_14,C06_Judaism_15_24,C06_Judaism_25_34,C06_Judaism_35_44,C06_Judaism_45_54,C06_Judaism_55_64,C06_Judaism_65_74,C06_Judaism_75_84,C06_Judaism_85ov,C06_Judaism_Tot,C06_OR_Au_Ab_Tr_R_0_14,C06_OR_Au_Ab_Tr_R_15_24,C06_OR_Au_Ab_Tr_R_25_34,C06_OR_Au_Ab_Tr_R_35_44,C06_OR_Au_Ab_Tr_R_45_54,C06_OR_Au_Ab_Tr_R_55_64,C06_OR_Au_Ab_Tr_R_65_74,C06_OR_Au_Ab_Tr_R_75_84,C06_OR_A_Ab_Tr_Re_85oe,C06_OR_Au_Ab_Tr_Re_Tot,C06_OR_Sikhism_0_14,C06_OR_Sikhism_15_24,C06_OR_Sikhism_25_34,C06_OR_Sikhism_35_44,C06_OR_Sikhism_45_54,C06_OR_Sikhism_55_64,C06_OR_Sikhism_65_74,C06_OR_Sikhism_75_84,C06_OR_Sikhism_85oe,C06_OR_Sikhism_Tot,C06_OR_OR_0_14,C06_OR_OR_15_24,C06_OR_OR_25_34,C06_OR_OR_35_44,C06_OR_OR_45_54,C06_OR_OR_55_64,C06_OR_OR_65_74,C06_OR_OR_75_84,C06_OR_OR_85oe,C06_OR_OR_Tot,C06_OR_Tot_0_14,C06_OR_Tot_15_24,C06_OR_Tot_25_34,C06_OR_Tot_35_44,C06_OR_Tot_45_54,C06_OR_Tot_55_64,C06_OR_Tot_65_74,C06_OR_Tot_75_84,C06_OR_Tot_85ov,C06_OR_T_T,C06_SBOSB_No_RA_0_14,C06_SBOSB_No_RA_15_24,C06_SBOSB_No_RA_25_34,C06_SBOSB_No_RA_35_44,C06_SBOSB_No_RA_45_54,C06_SBOSB_No_RA_55_64,C06_SBOSB_No_RA_65_74,C06_SBOSB_No_RA_75_84,C06_SBOSB_No_RA_85ov,C06_SBOSB_No_RA_Tot,C06_Rel_aff_ns_0_14,C06_Rel_aff_ns_15_24,C06_Rel_aff_ns_25_34,C06_Rel_aff_ns_35_44,C06_Rel_aff_ns_45_54,C06_Rel_aff_ns_55_64,C06_Rel_aff_ns_65_74,C06_Rel_aff_ns_75_84,C06_Rel_aff_ns_85ov,C06_Rel_aff_NS_T,C06_Tot_0_14_yrs,C06_Tot_15_24_yrs,C06_Tot_25_34_yrs,C06_Tot_35_44_yrs,C06_Tot_45_54_yrs,C06_Tot_55_64_yrs,C06_Tot_65_74_yrs,C06_Tot_75_84_yrs,C06_Tot_85o,C06_T_T,C11_Buddhism_0_14_yrs,C11_Buddhism_15_24,C11_Buddhism_25_34,C11_Buddhism_35_44,C11_Buddhism_45_54,C11_Buddhism_55_64,C11_Buddhism_65_74,C11_Buddhism_75_84,C11_Buddhism_85ov,C11_Buddhism_Tot,C11_Christ_Angl_0_14,C11_Christ_Angl_15_24,C11_Christ_Angl_25_34,C11_Christ_Angl_35_44,C11_Christ_Angl_45_54,C11_Christ_Angl_55_64,C11_Christ_Angl_65_74,C11_Christ_Angl_75_84,C11_Christ_Angl_85ov,C11_Christ_Angl_Tot,C11_C_Assyr_Apo_0_14,C11_C_Assyr_Apo_15_24,C11_C_Assyr_Apo_25_34,C11_C_Assyr_Apo_35_44,C11_C_Assyr_Apo_45_54,C11_C_Assyr_Apo_55_64,C11_C_Assyr_Apo_65_74,C11_C_Assyr_Apo_75_84,C11_C_Assyr_Apo_85ov,C11_C_Assyr_Apo_Tot,C11_C_Baptist_0_14,C11_C_Baptist_15_24,C11_C_Baptist_25_34,C11_C_Baptist_35_44,C11_C_Baptist_45_54,C11_C_Baptist_55_64,C11_C_Baptist_65_74,C11_C_Baptist_75_84,C11_C_Baptist_85ov,C11_C_Baptist_Tot,C11_Christ_Breth_0_14,C11_Christ_Breth_15_24,C11_Christ_Breth_25_34,C11_Christ_Breth_35_44,C11_Christ_Breth_45_54,C11_Christ_Breth_55_64,C11_Christ_Breth_65_74,C11_Christ_Breth_75_84,C11_Christ_Breth_85ov,C11_Christ_Breth_To,C11_Ch_Catholic_0_14,C11_Ch_Catholic_15_24,C11_Ch_Catholic_25_34,C11_Ch_Catholic_35_44,C11_Ch_Catholic_45_54,C11_Ch_Catholic_55_64,C11_Ch_Catholic_65_74,C11_Ch_Catholic_75_84,C11_Ch_Catholic_85ov,C11_C_Catholic_Tot,C11_C_Chur_Christ_0_14,C11_C_Chur_Christ_15_24,C11_C_Chur_Christ_25_34,C11_C_Chur_Christ_35_44,C11_C_Chur_Christ_45_54,C11_C_Chur_Christ_55_64,C11_C_Chur_Christ_65_74,C11_C_Chur_Christ_75_84,C11_C_Chur_Christ_85ov,C11_C_Chur_Christ_Tot,C11_C_East_Ortho_0_14,C11_C_East_Ortho_15_24,C11_C_East_Ortho_25_34,C11_C_East_Ortho_35_44,C11_C_East_Ortho_45_54,C11_C_East_Ortho_55_64,C11_C_East_Ortho_65_74,C11_C_East_Ortho_75_84,C11_C_East_Ortho_85ov,C11_C_East_Ortho_To,C11_C_Jeh_Wit_0_14,C11_C_Jeh_Wit_15_24,C11_C_Jeh_Wit_25_34,C11_C_Jeh_Wit_35_44,C11_C_Jeh_Wit_45_54,C11_C_Jeh_Wit_55_64,C11_C_Jeh_Wit_65_74,C11_C_Jeh_Wit_75_84,C11_C_Jeh_Wit_85ov,C11_C_Jeh_Wit_Tot
10102,7155,4412,4112,5862,5232,3838,2092,1219,317,34241,19,7,33,21,16,8,0,0,0,108,65,22,72,45,14,5,0,0,0,230,4,5,0,3,8,7,3,0,0,39,0,0,0,0,0,3,0,0,0,5,10,5,16,7,4,0,4,0,0,42,27,28,44,47,46,11,4,0,0,204,36,29,59,47,52,13,6,0,0,250,2054,1144,1310,1467,1276,764,244,86,23,8367,1276,699,706,862,800,581,288,166,89,5464,10672,6351,6373,8394,7474,5265,2644,1476,424,49068,63,41,87,122,85,78,21,11,3,509,1980,1195,1115,1777,2000,1550,838,444,174,11072,0,0,0,0,0,0,0,0,0,0,104,55,78,69,96,78,30,10,11,531,48,29,14,27,6,9,8,3,3,148,3643,2207,1904,2521,2371,1660,1002,510,162,15997,17,3,0,12,8,10,0,0,0,45,346,229,240,345,270,248,182,100,30,1978,19,12,17,25,23,17,4,3,0,122
10103,2346,1236,1202,1795,1924,1762,1163,740,260,12438,0,0,0,0,3,0,0,0,0,8,11,3,4,12,3,0,0,0,0,30,3,0,4,3,0,3,3,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,12,13,4,15,3,3,0,0,55,5,8,14,4,18,3,3,0,0,59,677,414,395,437,419,281,129,61,7,2811,620,391,430,475,444,295,168,93,41,2966,3699,2072,2061,2749,2856,2364,1471,902,318,18489,20,16,27,28,24,21,6,0,0,149,757,433,381,597,800,768,551,352,143,4779,0,0,0,0,0,0,0,0,0,3,72,33,23,44,56,26,15,10,0,284,0,0,0,0,0,0,0,0,0,0,971,587,458,658,789,653,503,273,120,5017,0,0,0,0,0,3,3,0,0,10,32,14,13,20,32,17,12,9,3,140,20,5,3,18,18,14,13,8,4,92
10104,6921,3787,2988,5270,6851,7413,5927,3938,1215,44304,9,5,7,12,17,8,3,0,0,62,16,3,5,21,13,4,8,0,0,75,4,0,3,11,14,8,3,0,0,47,13,4,8,7,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,30,20,33,43,64,41,19,0,0,243,39,21,36,51,70,37,17,0,0,274,3534,1758,1303,1776,2210,1664,887,452,118,13697,1547,818,592,806,1119,944,665,435,139,7073,12163,6436,4982,8037,10440,10191,7530,4826,1473,66068,100,78,52,118,139,145,45,6,4,686,2488,1319,1044,1921,2654,3500,3101,1920,788,18744,0,0,0,0,0,0,0,0,0,0,111,61,48,68,116,133,130,72,33,768,0,0,0,0,3,0,0,0,0,9,2438,1529,1042,1659,2258,2427,1953,1071,300,14670,0,6,3,4,3,14,8,7,5,49,42,18,11,39,45,53,63,19,3,298,69,40,48,59,74,69,42,31,12,439
10105,4853,2974,2577,3495,3658,3379,2450,1579,464,25429,4,3,3,9,0,4,4,0,0,26,20,14,9,13,4,4,4,0,0,71,7,4,3,3,3,0,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,11,18,9,6,5,0,0,72,9,15,11,18,12,6,5,0,0,74,826,434,416,396,410,366,135,55,22,3066,605,416,512,527,447,395,220,115,35,3267,6342,3876,3542,4496,4561,4176,2816,1755,518,32079,30,19,25,44,35,30,14,0,0,197,1719,1047,918,1364,1501,1531,1191,790,291,10352,0,0,0,0,0,0,0,0,0,0,78,61,43,45,56,42,50,17,10,402,43,36,7,20,19,0,5,0,0,141,2179,1389,1092,1299,1539,1310,999,603,210,10611,0,3,0,0,7,0,3,0,0,9,28,12,17,32,32,22,31,15,0,181,17,3,13,9,8,15,19,4,6,100
10106,5311,2664,2495,3564,3684,3480,2332,1537,495,25549,10,0,4,7,8,4,0,0,0,33,85,36,21,24,11,8,6,0,0,197,4,0,0,0,3,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,4,9,20,14,8,5,0,0,61,8,4,7,25,14,8,5,0,0,69,1098,465,467,568,566,481,155,50,12,3867,612,251,251,333,361,288,167,112,31,2407,7136,3432,3253,4552,4659,4287,2676,1701,544,32234,12,17,12,35,27,31,12,0,0,153,1532,886,750,1220,1430,1521,1101,655,259,9350,0,0,0,0,0,0,0,0,0,0,71,37,37,52,48,43,30,11,4,319,37,15,17,12,12,11,9,3,0,116,2647,1334,1037,1520,1553,1385,962,581,220,11238,0,0,0,3,0,0,0,0,0,9,16,17,17,26,21,28,20,8,0,143,26,6,10,9,8,14,8,0,0,83
10201,20567,13257,10746,15493,16450,13940,10577,9326,3230,113585,65,36,53,64,50,25,13,7,0,312,105,69,67,74,46,32,11,3,0,410,39,17,19,27,29,44,31,15,13,239,6,5,0,0,0,0,0,0,0,16,6,5,3,0,5,0,0,0,0,22,63,83,90,100,96,45,16,9,6,505,78,89,94,96,107,47,16,9,6,542,6379,3609,3431,3541,3380,2161,1124,865,228,24719,3821,2332,1924,2359,2443,1933,1401,1304,576,18090,31198,19496,16509,21887,22722,18308,13223,11535,4062,158938,281,178,244,364,330,214,88,22,8,1716,6136,4262,3602,5417,6446,6489,5275,3914,1950,43491,0,0,0,0,0,3,0,0,0,3,654,336,340,392,412,403,309,222,145,3210,38,32,24,20,7,8,6,17,7,173,8394,5515,4006,5309,6078,5064,3834,2566,941,41713,64,45,24,52,61,52,30,29,12,365,212,106,89,197,158,129,140,92,24,1153,129,54,108,91,75,103,57,35,15,664
10202,19699,11453,10680,14109,13897,12491,10824,8091,2388,103631,41,28,44,42,31,10,20,3,0,219,121,50,55,59,48,25,13,4,0,373,9,3,0,7,12,21,8,8,5,81,8,3,0,3,0,0,0,0,0,12,0,3,6,0,3,3,0,0,0,19,36,47,67,85,72,26,13,6,3,363,44,51,75,93,80,26,16,6,3,399,6547,3134,2877,2740,2143,1388,810,520,144,20302,3142,1737,1456,1592,1582,1304,1069,1011,519,13415,29683,16538,15290,18765,17914,15329,12776,9645,3071,139023,151,114,169,205,194,149,37,9,5,1020,7283,4657,4154,6047,6254,6191,5451,3832,1559,45429,0,0,0,0,0,0,0,0,0,5,496,299,229,322,357,344,317,203,78,2644,4,3,3,3,3,5,3,0,0,23,8707,5264,4075,5310,5580,4695,3946,2493,885,40957,3,3,3,10,10,19,21,20,3,105,183,101,78,139,138,115,120,66,17,959,150,90,75,113,118,98,69,42,20,776
10301,6249,4967,3367,4215,4388,3802,2312,1584,531,31418,16,7,13,10,13,3,0,0,0,56,28,18,30,11,9,4,0,0,0,95,3,3,0,0,0,3,0,0,0,13,7,0,3,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,19,34,33,24,22,15,3,0,0,140,22,37,31,25,24,12,3,0,0,158,1343,1030,685,597,595,401,160,80,18,4901,704,789,676,602,500,366,207,134,53,4024,8392,6903,4832,5486,5572,4614,2680,1800,607,40876,34,44,54,54,52,33,12,5,0,288,1676,1229,992,1336,1402,1440,1058,662,253,10049,0,0,0,0,0,0,0,0,0,0,119,95,63,78,92,95,38,19,3,609,53,34,33,16,18,11,5,4,3,180,3602,2387,1549,1870,1945,1584,1075,671,229,14910,0,4,3,0,5,11,0,6,0,35,37,24,19,29,24,34,15,13,0,191,33,16,20,18,26,16,19,6,3,159
10302,9765,5028,4574,6060,6554,6035,4814,3172,1042,47043,3,3,0,7,9,4,0,0,0,17,14,4,3,8,8,3,0,0,0,44,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,3,13,9,11,6,9,0,0,0,58,5,13,11,13,8,14,0,0,0,68,1410,603,624,552,531,383,189,83,27,4396,932,467,403,436,504,436,318,266,120,3875,12142,6127,5627,7101,7639,6885,5326,3523,1188,55567,27,19,23,36,32,28,5,0,0,175,2780,1534,1397,1924,2325,2382,2041,1338,514,16227,0,0,0,0,0,0,0,0,0,0,195,94,91,97,84,123,91,32,17,825,127,73,82,36,38,34,14,10,4,422,3964,2049,1572,2015,2262,2097,1660,1002,355,16974,9,3,0,0,3,3,3,0,0,24,39,9,14,17,15,22,13,5,0,129,44,22,19,21,37,44,15,12,4,223
10303,6081,3434,3117,4472,4677,4797,3142,1948,646,32323,0,4,7,5,0,3,3,0,0,21,6,9,4,3,10,3,3,4,0,45,0,0,6,4,3,3,0,3,3,24,0,0,0,3,5,0,0,0,0,7,4,0,3,3,0,0,0,0,0,7,14,11,24,21,35,10,8,0,0,127,18,11,30,31,35,10,12,0,0,146,1579,824,632,736,698,537,248,106,27,5405,968,456,484,684,609,557,373,206,62,4388,8682,4743,4312,5970,6070,5952,3795,2269,747,42533,40,19,33,49,49,47,20,11,0,259,2033,1200,1132,1663,2025,1999,1657,978,356,13028,0,0,0,0,0,0,0,0,0,0,102,78,57,81,87,67,74,36,14,597,46,23,12,21,14,11,13,6,4,153,2644,1494,1138,1486,1673,1480,1186,558,182,11842,0,0,0,0,0,3,4,0,0,14,11,8,12,24,25,23,13,18,7,148,33,14,21,29,23,39,21,14,0,199
