SA3_CODE_2016,C16_T_FH_Tot,C16_Tot_LP_H,C16_Tot_GH,C16_Tot_OH,C16_T_T
10102,14716,5265,475,1551,22008
10103,4762,2242,254,1674,8931
10104,18925,8689,698,2614,30934
10105,9002,3872,306,920,14096
10106,9422,3378,302,880,13977
10201,44306,16969,1922,3153,66351
10202,41071,14989,1782,2991,60836
10301,11249,4394,636,1140,17419
10302,13900,6268,411,2055,22633
10303,11444,5238,442,1953,19078
10304,14581,5616,558,1389,22145
10401,13158,5680,613,2162,21605
10402,22200,8773,1196,2850,35019
10501,5537,2809,242,1819,10408
10502,4973,2818,202,774,8767
10503,17223,6767,680,2181,26844
10601,22338,7334,745,2108,32529
10602,19926,5702,627,1074,27330
10603,19001,6637,647,2142,28428
10604,7596,3012,320,912,11833
10701,19818,6398,570,1018,27808
10702,0,0,0,0,5
10703,24163,6518,647,1655,32984
10704,31964,12470,2737,2614,49785
10801,8428,4103,387,1190,14110
10802,12191,5574,579,1918,20265
10803,90,43,7,21,150
10804,21096,8819,950,2157,33027
10805,14445,6039,591,1352,22428
10901,15316,6951,869,1597,24735
10902,3133,1274,94,724,5229
10903,10794,5026,374,1746,17950
11001,8845,3821,546,1056,14266
11002,9745,4507,388,1452,16085
11003,6141,2528,240,1388,10302
11004,20418,8239,886,2378,31926
11101,32800,11259,1089,1415,46561
11102,20273,6215,657,942,28088
11103,40769,18241,4198,2488,65695
11201,19663,8398,1524,3860,33442
11202,17477,7730,1067,2181,28455
11203,23650,10104,1332,3409,38497
11301,11654,4340,477,1702,18173
11302,3723,1579,100,501,5906
11303,23320,9130,1186,2002,35641
11401,26243,10900,980,2729,40857
11402,12744,4640,384,1062,18825
11501,38468,5615,635,978,45692
11502,6630,1106,126,410,8282
11503,6327,1203,123,579,8230
11504,8466,978,136,337,9914
11601,33925,7625,1234,1743,44533
11602,23533,2768,473,939,27711
11603,26580,5084,694,1947,34314
11701,11477,3780,1161,1041,17469
11702,12482,5509,2458,1715,22165
11703,41627,32415,13760,12773,100568
11801,29707,14082,4663,5654,54107
11802,31775,13097,5502,3785,54155
11901,40811,10164,1175,2762,54915
11902,32653,7682,1907,2362,44601
11903,31992,8586,1842,1751,44174
11904,34274,10596,2725,2661,50256
12001,22465,6945,1839,1940,33184
12002,14007,6100,1404,1845,23362
12003,35919,11696,4571,3273,55467
12101,29301,9281,2024,2301,42906
12102,21629,5102,669,884,28284
12103,31810,6164,592,1191,39759
12104,24356,13544,2254,3486,43636
12201,10941,3680,941,1011,16572
12202,16015,4123,418,1020,21581
12203,38806,11326,1681,2423,54235
12301,16493,2715,287,589,20084
12302,39926,9234,1163,2529,52852
12303,10662,2037,195,633,13528
12401,20357,7353,850,1326,29890
12402,0,3,0,11,11
12403,36064,9064,1167,2333,48631
12404,8778,2927,355,654,12713
12405,13574,3196,475,975,18223
12501,19808,4450,1996,1711,27962
12502,17192,4015,593,801,22601
12503,34847,8976,1553,2507,47885
12504,35081,10038,2316,2921,50358
12601,12514,2434,592,423,15966
12602,33816,10926,2496,2034,49270
12701,24369,3550,383,1763,30058
12702,44170,8074,1173,2108,55518
12703,28251,6207,729,2717,37895
12801,29096,9801,1134,1866,41902
12802,29319,6215,605,932,37067
19797,0,0,0,0,0
19999,0,0,0,0,0
20101,25847,11383,1828,2194,41252
20102,7328,3014,255,941,11537
20103,6512,3288,301,671,10768
20201,23759,10265,1537,2197,37757
20202,12265,4830,482,1401,18977
20203,2919,1332,118,442,4816
20301,5110,1077,108,332,6627
20302,47555,19974,2770,3786,74074
20303,19006,6392,640,1745,27790
20401,13606,5986,518,1931,22042
20402,12066,5575,470,1207,19326
20403,18149,7003,723,2524,28397
20501,12781,4467,395,1151,18791
20502,11745,5437,429,1595,19212
20503,15942,7513,578,2107,26143
20504,18585,8774,798,2066,30226
20505,10857,4752,419,1245,17283
20601,20285,9513,4258,1913,35971
20602,12360,5936,1983,1331,21607
20603,16273,7588,1726,1757,27337
20604,24441,20644,11927,8776,65791
20605,23214,17806,4091,5493,50603
20606,14222,10882,3211,2915,31227
20607,19572,11823,5152,3630,40182
20701,42244,14473,3134,2942,62794
20702,24893,6176,750,1188,33014
20703,25273,8986,2392,1461,38118
20801,25736,8561,742,1741,36776
20802,37603,14360,3099,2529,57597
20803,30881,12096,1246,2226,46451
20804,10274,4131,1007,782,16195
20901,32420,10581,1431,1774,46205
20902,22630,9396,2435,2352,36802
20903,17686,3101,266,788,21842
20904,55740,11196,1788,3251,71978
21001,15968,4496,469,840,21772
21002,7966,1706,155,524,10348
21003,18729,6934,1200,1547,28407
21004,10510,2840,296,634,14278
21005,38918,7338,1104,2512,49868
21101,41538,10856,1272,1787,55451
21102,6886,1263,108,283,8542
21103,29064,9614,1139,1393,41216
21104,16240,5000,668,664,22575
21105,39807,10733,1105,2176,53818
21201,24566,5777,712,1654,32705
21202,33811,7014,1015,1568,43408
21203,42166,7045,1074,2526,52818
21204,45260,12433,2684,3113,63489
21205,44047,11638,3776,2588,62042
21301,45807,10746,2011,3183,61753
21302,22165,7704,995,1586,32453
21303,19553,8121,2812,2254,32735
21304,38766,8113,1044,2601,50530
21305,56237,10515,1840,3458,72045
21401,34757,13310,1626,3011,52700
21402,41053,15561,1180,3318,61110
21501,15003,7606,607,1493,24708
21502,13527,5675,613,1841,21649
21503,9175,4274,418,1572,15443
21601,9639,3912,339,965,14861
21602,7471,3160,274,835,11733
21603,15698,6130,696,1815,24337
21701,9214,4451,328,952,14944
21703,9311,4334,391,1123,15148
21704,12658,5226,634,1383,19904
29797,0,0,0,0,0
29999,0,0,0,0,0
30101,19516,4679,661,743,25595
30102,22624,6483,785,1360,31250
30103,18369,5266,844,999,25487
30201,11157,2762,529,410,14861
30202,18002,7481,1436,1127,28049
30203,9738,4213,1023,716,15686
30204,15254,5587,852,885,22585
30301,13143,3896,890,763,18684
30302,16635,7995,2887,1809,29323
30303,17746,4617,1509,1111,24975
30304,9397,3046,1021,675,14129
30305,15232,2547,805,761,19341
30306,11934,2465,1079,624,16105
30401,9032,1677,275,221,11207
30402,12376,1982,342,370,15079
30403,11124,4320,2574,942,18962
30404,13239,3652,590,563,18045
30501,13409,9871,4133,3737,31151
30502,10005,3764,1394,966,16122
30503,20020,10376,3598,2616,36610
30504,12929,5062,2426,1383,21802
30601,13998,4053,837,2015,20903
30602,23633,10123,1825,4206,39791
30603,8556,3452,397,2287,14693
30604,2716,1206,248,1313,5489
30605,10387,4137,470,2018,17004
30701,10605,4169,448,2587,17807
30702,10702,3613,427,1266,16012
30703,10613,4167,359,1065,16205
30801,6666,2229,258,2159,11311
30803,29201,10479,1345,3856,44885
30804,3596,1231,143,766,5730
30805,15882,4836,662,2526,23905
30901,15474,6834,1915,2402,26628
30902,13495,5960,1078,2150,22675
30903,17258,7682,1397,2046,28384
30904,4894,1303,195,605,6997
30905,8812,1307,320,522,10968
30906,17640,4212,867,1305,24023
30907,31623,4846,1281,2675,40427
30908,12932,3520,984,939,18380
30909,13882,6093,1926,1959,23860
30910,9296,5164,1407,2847,18713
31001,16785,4568,893,1600,23839
31002,16060,4598,699,1845,23203
31003,26499,8468,1229,2268,38454
31004,20852,3890,922,1551,27216
31101,3532,1188,143,401,5268
31102,10439,3497,550,860,15344
31103,19496,3886,839,1520,25742
31104,11645,1443,284,763,14138
31105,15276,3695,674,1132,20772
31106,18942,5467,1096,1433,26942
31201,7571,2792,362,2524,13245
31202,29853,9561,1253,3458,44125
31203,4674,1702,349,1500,8222
31301,9370,3958,447,1007,14775
31302,16835,4583,935,1495,23848
31303,3199,909,143,453,4697
31304,16444,3533,530,941,21452
31305,15422,7437,816,1410,25084
31401,23836,3612,517,829,28802
31402,19043,4214,773,1103,25131
31403,9884,2748,476,549,13648
31501,6345,2219,298,2679,11543
31502,6576,2462,390,2745,12168
31503,4331,2228,166,2001,8720
31601,14487,3917,825,820,20053
31602,21963,7460,1103,1800,32332
31603,14429,6694,1432,2960,25512
31605,11342,3842,598,1601,17374
31606,13668,3507,529,1061,18764
31607,11152,3498,507,952,16106
31608,6020,1521,249,598,8387
31701,37818,13969,2039,3348,57181
31801,10660,4394,368,2182,17599
31802,46681,15689,3248,5679,71298
31901,23369,8753,1131,3278,36541
31902,12535,5266,642,2062,20503
31903,12963,5064,621,1971,20617
31904,15353,5781,787,2413,24326
