SA3_CODE_2016,C16_1PF_Cu15DS_4000ov,C16_1PF_Cu15DS_NS,C16_1PF_Cu15DS_Tot,C16_1PF_CU15_NDS_0_299,C16_1PF_CU15_NDS_300_449,C16_1PF_CU15_NDS_450_599,C16_1PF_CU15_NDS_600_799,C16_1PF_CU15_NDS_800_999,C16_1PF_CU15_NDS_1000_1399,C16_1PF_CU15_NDS_1400_1799,C16_1PF_CU15_NDS_1800_2399,C16_1PF_CU15_NDS_2400_2999,C16_1PF_CU15_NDS_3000_3999,C16_1PF_CU15_NDS_4000ov,C16_1PF_CU15_NDS_NS,C16_1PF_CU15_NDS_Tot,C16_1PF_NCu15DS_0_299,C16_1PF_NCu15DS_300_449,C16_1PF_NCu15DS_450_599,C16_1PF_NCu15DS_600_799,C16_1PF_NCu15DS_800_999,C16_1PF_NCu15DS_1000_1399,C16_1PF_NCu15DS_1400_1799,C16_1PF_NCu15DS_1800_2399,C16_1PF_NCu15DS_2400_2999,C16_1PF_NCu15DS_3000_3999,C16_1PF_NCu15DS_4000ov,C16_1PF_NCu15DS_NS,C16_1PF_NCu15DS_Tot,C16_1PF_NDCO_0_299,C16_1PF_NDCO_300_449,C16_1PF_NDCO_450_599,C16_1PF_NDCO_600_799,C16_1PF_NDCO_800_999,C16_1PF_NDCO_1000_1399,C16_1PF_NDCO_1400_1799,C16_1PF_NDCO_1800_2399,C16_1PF_NDCO_2400_2999,C16_1PF_NDCO_3000_3999,C16_1PF_NDCO_4000ov,C16_1PF_NDCO_NS,C16_1PF_NDCO_Tot,C16_1PF_T_0_299,C16_1PF_T_300_449,C16_1PF_T_450_599,C16_1PF_T_600_799,C16_1PF_T_800_999,C16_1PF_T_1000_1399,C16_1PF_T_1400_1799,C16_1PF_T_1800_2399,C16_1PF_T_2400_2999,C16_1PF_T_3000_3999,C16_1PF_T_4000ov,C16_1PF_T_NS,C16_1_PF_T_T,C16_T_0_299,C16_T_300_449,C16_T_450_599,C16_T_600_799,C16_T_800_999,C16_T_1000_1399,C16_T_1400_1799,C16_T_1800_2399,C16_T_2400_2999,C16_T_3000_3999,C16_T_4000ov,C16_T_NS,C16_T_T
10102,3,3,70,5,6,9,11,15,32,56,77,28,27,11,16,295,5,3,0,0,5,16,15,37,13,8,3,5,114,13,6,0,15,12,44,37,39,10,19,13,9,232,28,18,9,29,39,96,121,169,64,70,34,37,709,218,109,94,150,221,685,901,1621,1084,1172,638,276,7167
10103,0,0,14,7,3,3,10,13,24,11,5,0,0,0,0,73,0,0,3,4,4,11,8,7,3,3,0,3,47,7,4,3,12,7,17,12,6,0,0,0,6,67,15,9,11,25,27,52,27,22,3,6,3,11,201,76,46,59,123,173,389,301,309,117,82,54,78,1816
10104,5,0,67,16,8,9,20,24,68,67,37,9,3,3,15,279,7,9,3,5,12,35,27,16,3,3,0,4,118,18,13,13,13,29,51,41,21,9,5,3,17,227,46,30,28,43,79,169,145,80,24,12,8,37,696,348,207,172,315,464,1149,1157,1072,366,263,134,286,5931
10105,0,0,37,3,3,7,4,14,34,47,22,8,7,6,11,159,3,3,5,3,11,16,9,8,3,0,0,3,62,6,4,7,8,14,19,18,17,5,3,3,7,112,12,14,13,23,44,88,82,46,12,5,10,19,370,111,68,66,152,222,636,767,714,268,189,98,160,3465
10106,0,4,50,8,7,5,14,23,37,21,25,19,10,0,8,171,5,0,4,4,3,14,17,17,0,0,3,4,65,12,3,11,9,14,28,24,12,11,4,0,7,138,27,13,21,38,44,85,73,56,28,19,7,26,431,205,86,100,181,290,633,634,712,391,406,219,190,4056
10201,11,5,214,25,5,13,26,44,133,169,204,62,47,30,37,794,26,11,17,15,28,68,88,98,42,19,16,15,433,55,37,28,42,65,154,170,128,48,50,14,44,832,113,52,60,90,150,394,472,471,173,133,74,90,2273,765,355,286,531,741,2183,3160,4803,2479,1950,1064,708,19029
10202,7,10,246,27,18,15,31,64,204,209,213,52,33,8,45,930,16,6,5,27,28,89,103,68,18,18,6,15,391,49,39,29,58,63,194,182,128,40,24,4,55,872,102,66,59,127,175,541,568,461,121,82,22,124,2449,610,310,258,543,775,2597,3635,4633,1781,1077,468,679,17371
10301,0,0,51,9,5,4,16,17,62,49,48,13,4,0,12,238,7,0,0,3,7,19,13,9,3,6,3,3,85,6,7,4,8,20,44,27,26,9,4,3,6,152,19,13,10,24,46,135,115,91,22,14,9,26,525,180,82,74,155,252,808,971,1084,502,276,137,164,4691
10302,0,0,63,4,15,8,35,42,73,30,18,5,3,5,15,250,0,4,7,11,19,24,12,3,0,0,0,7,85,17,18,9,16,29,30,12,3,3,3,0,12,162,25,40,32,70,101,143,70,32,12,5,5,29,567,304,187,194,389,535,1134,712,559,200,136,110,279,4739
10303,0,0,50,6,6,5,18,14,42,36,27,3,6,7,20,194,3,0,0,8,7,21,15,16,4,0,0,8,72,4,6,6,8,22,29,18,12,4,3,3,3,117,16,18,19,28,54,103,74,62,9,10,10,25,432,153,114,105,207,293,774,764,877,386,256,147,198,4260
10304,7,9,81,8,3,7,22,25,68,68,33,9,8,6,12,275,0,0,3,9,21,31,24,14,3,0,3,4,112,15,8,13,20,13,41,36,21,5,8,0,17,197,22,10,21,49,71,166,149,81,23,22,13,38,660,216,87,103,245,377,1040,1237,1309,546,411,237,237,6048
10401,0,4,49,4,5,11,17,31,73,56,26,4,13,0,9,256,3,4,7,10,23,38,14,6,3,3,0,0,96,13,8,14,15,21,52,32,15,9,5,0,8,193,24,17,31,50,73,176,104,56,16,23,0,24,601,186,149,168,255,408,1048,936,665,218,136,78,172,4417
10402,3,0,102,9,7,13,28,33,109,117,78,25,18,9,18,466,5,6,9,19,12,52,48,35,4,6,5,6,208,21,18,24,20,32,90,53,40,4,12,3,18,336,47,31,40,74,92,276,237,171,48,39,15,40,1110,367,190,171,325,489,1291,1608,1805,665,439,207,284,7840
10501,0,0,18,4,10,7,15,18,23,10,3,0,0,0,5,87,0,0,0,5,4,4,3,0,0,0,0,0,18,5,8,8,10,4,6,0,4,0,0,0,5,51,12,18,18,28,26,31,18,6,0,3,4,6,175,148,67,71,128,163,254,187,131,28,45,49,82,1343
10502,0,0,40,8,9,6,32,36,37,12,7,3,0,5,7,165,0,7,0,11,5,9,0,0,0,0,0,0,40,9,12,8,14,10,18,3,3,0,3,0,11,87,21,32,16,65,61,73,21,14,4,3,4,24,331,110,107,102,230,226,429,217,127,37,22,24,97,1739
10503,0,3,78,13,12,18,33,42,109,63,40,22,4,9,17,379,3,3,5,9,16,25,27,12,4,6,3,6,122,14,11,10,28,26,60,28,20,9,3,5,9,215,32,27,40,75,92,226,127,84,36,13,15,39,797,330,169,182,349,535,1400,1293,1144,401,260,159,321,6544
10601,3,4,112,14,11,5,21,44,99,105,93,25,21,9,26,479,6,4,7,7,10,27,36,22,8,10,0,9,157,26,20,22,25,38,81,54,31,14,4,4,25,338,53,31,36,60,91,259,217,158,62,37,17,61,1092,333,187,184,345,511,1701,1951,2060,899,730,325,400,9625
10602,0,0,91,8,7,4,25,28,80,107,90,24,9,9,11,399,9,10,3,15,10,40,44,33,8,7,0,3,174,13,10,14,17,32,53,66,46,9,5,4,14,282,27,27,22,58,76,191,231,191,49,28,19,33,946,283,157,115,253,398,1264,1761,2466,1021,607,274,307,8904
10603,0,6,73,14,0,4,13,27,70,71,67,20,11,7,14,323,6,0,3,11,10,31,22,10,11,6,4,3,122,15,13,11,19,18,70,54,27,12,13,4,15,262,36,17,24,48,65,185,156,112,48,26,17,44,772,285,154,148,248,363,1098,1392,1691,694,507,238,311,7123
10604,0,4,35,6,3,4,13,9,31,26,27,0,3,0,8,134,3,0,0,0,0,12,6,7,0,0,0,3,46,11,4,3,6,8,15,13,0,3,4,0,7,64,18,10,9,22,18,70,57,43,6,7,6,18,284,103,42,57,99,164,479,561,638,290,238,106,139,2909
10701,0,4,110,6,8,10,26,19,69,87,84,20,19,4,15,378,0,9,3,13,13,39,45,33,8,3,0,7,186,17,18,13,26,25,62,74,55,18,12,13,14,335,26,38,28,62,61,194,236,193,52,40,16,44,1001,279,174,134,269,371,1058,1632,2082,915,577,286,272,8054
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
