SA3_CODE_2016,C16_75_99_CF_CU15_NDS,C16_75_99_CF_NCU15_DS,C16_75_99_CF_NDCO,C16_75_99_CF_T,C16_100_149_CF_NC,C16_100_149_CF_Cu15DS_,C16_100_149_CF_CU15_NDS,C16_100_149_CF_NCU15_DS,C16_100_149_CF_NDCO,C16_100_149_CF_T,C16_150_199_CF_NC,C16_150_199_CF_Cu15DS_,C16_150_199_CF_CU15_NDS,C16_150_199_CF_NCU15_DS,C16_150_199_CF_NDCO,C16_150_199_CF_T,C16_200_224_CF_NC,C16_200_224_CF_Cu15DS_,C16_200_224_CF_CU15_NDS,C16_200_224_CF_NCU15_DS,C16_200_224_CF_NDCO,C16_200_224_CF_T,C16_225_274_CF_NC,C16_225_274_CF_Cu15DS_,C16_225_274_CF_CU15_NDS,C16_225_274_CF_NCU15_DS,C16_225_274_CF_NDCO,C16_225_274_CF_T,C16_275_349_CF_NC,C16_275_349_CF_Cu15DS_,C16_275_349_CF_CU15_NDS,C16_275_349_CF_NCU15_DS,C16_275_349_CF_NDCO,C16_275_349_CF_T,C16_350_449_CF_NC,C16_350_449_CF_Cu15DS_,C16_350_449_CF_CU15_NDS,C16_350_449_CF_NCU15_DS,C16_350_449_CF_NDCO,C16_350_449_CF_T,C16_450_549_CF_NC,C16_450_549_CF_Cu15DS_,C16_450_549_CF_CU15_NDS,C16_450_549_CF_NCU15_DS,C16_450_549_CF_NDCO,C16_450_549_CF_T,C16_550_649_CF_NC,C16_550_649_CF_Cu15DS_,C16_550_649_CF_CU15_NDS,C16_550_649_CF_NCU15_DS,C16_550_649_CF_NDCO,C16_550_649_CF_T,C16_650_749_CF_NC,C16_650_749_CF_Cu15DS_,C16_650_749_CF_CU15_NDS,C16_650_749_CF_NCU15_DS,C16_650_749_CF_NDCO,C16_650_749_CF_T,C16_750_849_CF_NC,C16_750_849_CF_Cu15DS_,C16_750_849_CF_CU15_NDS,C16_750_849_CF_NCU15_DS,C16_750_849_CF_NDCO,C16_750_849_CF_T,C16_850_949_CF_NC,C16_850_949_CF_Cu15DS_,C16_850_949_CF_CU15_NDS,C16_850_949_CF_NCU15_DS,C16_850_949_CF_NDCO,C16_850_949_CF_T,C16_950over_CF_NC,C16_950ov_CF_Cu15DS_,C16_950ov_CF_CU15_NDS,C16_950ov_CF_NCU15_DS,C16_950ov_CF_NDCO,C16_950ov_CF_T,C16_Rns_CF_NC,C16_Rns_CF_Cu15DS_,C16_Rns_CF_CU15_NDS,C16_Rns_CF_NCU15_DS,C16_Rns_CF_NDCO,C16_Rns_CF_T,C16_Tot_CF_NC,C16_Tot_CF_Cu15DS_,C16_Tot_CF_CU15_NDS,C16_Tot_CF_NCU15_DS,C16_Tot_CF_NDCO,C16_Tot_CF_Tot
10102,3,0,0,10,13,0,10,0,0,30,80,0,43,5,4,129,63,6,61,0,0,130,154,9,162,12,5,338,225,23,219,12,10,493,325,27,307,32,24,714,111,27,150,18,20,329,43,22,91,15,14,178,11,13,38,6,3,64,8,0,14,0,3,17,3,3,3,0,0,8,6,3,4,0,0,10,24,3,19,5,6,56,1114,136,1145,107,106,2611
10103,3,0,0,7,24,3,9,0,3,39,42,0,24,0,8,73,37,0,26,0,3,72,63,4,54,3,6,137,57,14,59,3,4,137,46,5,56,3,3,113,4,0,9,0,0,13,0,0,0,0,0,4,4,0,5,0,0,9,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,11,0,14,0,0,29,339,38,289,27,36,728
10104,0,0,0,16,35,5,18,5,7,64,97,9,43,3,24,179,104,10,50,3,10,172,204,11,108,15,14,353,321,39,316,25,54,747,229,62,277,21,37,631,29,10,25,0,6,64,3,0,3,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,5,42,3,22,0,10,84,1170,154,934,79,161,2501
10105,0,0,0,3,31,3,14,0,4,46,58,3,26,4,5,99,51,5,30,0,3,92,92,12,78,9,16,203,163,23,168,11,34,403,86,28,165,11,14,306,6,7,20,6,3,47,3,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,14,0,3,50,586,82,563,50,94,1378
10106,4,0,0,9,32,0,15,0,0,50,51,0,31,3,5,92,56,5,48,0,5,113,87,13,86,4,8,198,83,9,109,6,13,225,45,9,78,8,13,157,25,6,21,6,8,60,11,0,12,0,0,23,0,0,7,4,0,10,0,0,3,0,0,7,0,0,0,0,0,3,0,0,7,0,0,8,30,0,24,0,3,63,521,57,529,46,73,1218
10201,0,0,0,12,59,0,7,0,5,76,135,8,18,8,14,174,69,3,28,4,5,115,168,5,69,13,21,273,526,33,301,29,59,944,1113,107,1058,97,166,2537,435,120,586,88,74,1303,153,58,236,54,49,545,47,27,84,17,16,194,18,5,34,5,7,72,12,3,18,0,0,36,9,3,16,5,3,34,68,14,45,5,10,151,2924,390,2560,334,451,6653
10202,0,0,0,8,36,0,12,4,6,59,162,3,19,7,12,205,95,6,41,4,11,164,214,17,86,13,27,357,664,54,494,50,124,1387,943,154,1142,104,228,2571,304,133,561,73,97,1178,48,16,87,24,22,198,15,9,16,3,9,54,0,0,9,7,0,15,0,0,7,0,3,13,0,3,8,0,0,12,44,4,49,5,19,119,2624,410,2576,295,572,6482
10301,0,0,0,17,24,0,16,3,0,41,62,0,35,5,3,110,61,4,34,3,11,113,137,4,108,7,13,274,227,23,238,11,21,523,143,48,248,18,21,480,9,8,28,9,3,57,0,0,3,0,0,5,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,19,5,17,3,3,49,740,117,764,63,76,1760
10302,14,0,0,28,83,5,48,3,10,152,184,17,133,13,20,364,106,19,93,8,11,240,154,23,186,6,22,383,82,14,121,12,12,249,14,3,41,0,3,66,3,0,3,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,6,0,0,0,0,6,41,8,28,3,11,85,851,108,847,70,106,1979
10303,3,0,0,3,25,3,10,3,0,46,75,14,61,4,9,157,68,7,52,3,14,141,123,20,86,6,16,254,171,20,198,8,34,435,99,26,178,11,21,339,18,10,35,3,4,67,0,3,10,0,0,10,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,32,3,21,0,6,62,704,111,731,40,110,1688
