SA3_CODE_2016,C06_0_74_CF_NC,C06_0_74_CF_Cu15DS_,C06_0_74_CF_CU15_NDS,C06_0_74_CF_NCU15_DS,C06_0_74_CF_NDCO,C06_0_74_CF_T,C06_75_99_CF_NC,C06_75_99_CF_Cu15DS_,C06_75_99_CF_CU15_NDS,C06_75_99_CF_NCU15_DS,C06_75_99_CF_NDCO,C06_75_99_CF_T,C06_100_149_CF_NC,C06_100_149_CF_Cu15DS_,C06_100_149_CF_CU15_NDS,C06_100_149_CF_NCU15_DS,C06_100_149_CF_NDCO,C06_100_149_Co_fam_To,C06_150_199_CF_NC,C06_150_199_CF_Cu15DS_,C06_150_199_CF_CU15_NDS,C06_150_199_CF_NCU15_DS,C06_150_199_CF_NDCO,C06_150_199_CF_T,C06_200_224_CF_NC,C06_200_224_CF_Cu15DS_,C06_200_224_CF_CU15_NDS,C06_200_224_CF_NCU15_DS,C06_200_224_CF_NDCO,C06_200_224_CF_T,C06_225_274_CF_NC,C06_225_274_CF_Cu15DS_,C06_225_274_CF_CU15_NDS,C06_225_274_CF_NCU15_DS,C06_225_274_CF_NDCO,C06_225_274_CF_T,C06_275_349_CF_NC,C06_275_349_CF_Cu15DS_,C06_275_349_CF_CU15_NDS,C06_275_349_CF_NCU15_DS,C06_275_349_CF_NDCO,C06_275_349_CF_T,C06_350_449_CF_NC,C06_350_449_CF_Cu15DS_,C06_350_449_CF_CU15_NDS,C06_350_449_CF_NCU15_DS,C06_350_449_CF_NDCO,C06_350_449_CF_T,C06_450_549_CF_NC,C06_450_549_CF_Cu15DS_,C06_450_549_CF_CU15_NDS,C06_450_549_CF_NCU15_DS,C06_450_549_CF_NDCO,C06_450_549_CF_T,C06_550_649_CF_NC,C06_550_649_CF_Cu15DS_,C06_550_649_CF_CU15_NDS,C06_550_649_CF_NCU15_DS,C06_550_649_CF_NDCO,C06_550_649_CF_T,C06_650_749_CF_NC,C06_650_749_CF_Cu15DS_,C06_650_749_CF_CU15_NDS,C06_650_749_CF_NCU15_DS,C06_650_749_CF_NDCO,C06_650_749_CF_T,C06_750_849_CF_NC,C06_750_849_CF_Cu15DS_,C06_750_849_CF_CU15_NDS,C06_750_849_CF_NCU15_DS,C06_750_849_CF_NDCO,C06_750_849_CF_T,C06_850_949_CF_NC,C06_850_949_CF_Cu15DS_,C06_850_949_CF_CU15_NDS,C06_850_949_CF_NCU15_DS,C06_850_949_CF_NDCO,C06_850_949_CF_T,C06_950over_CF_NC,C06_950ov_CF_Cu15DS_,C06_950ov_CF_CU15_NDS,C06_950ov_CF_NCU15_DS,C06_950ov_CF_NDCO,C06_950ov_CF_T,C06_Rns_CF_NC,C06_Rns_CF_Cu15DS_,C06_Rns_CF_CU15_NDS,C06_Rns_CF_NCU15_DS,C06_Rns_CF_NDCO,C06_Rns_CF_T,C06_Tot_CF_NC,C06_Tot_CF_Cu15DS_,C06_Tot_CF_CU15_NDS,C06_Tot_CF_NCU15_DS,C06_Tot_CF_NDCO,C06_Tota_Coup_fam_Tota,C11_0_74_CF_NC,C11_0_74_CF_Cu15DS_,C11_0_74_CF_CU15_NDS,C11_0_74_CF_NCU15_DS,C11_0_74_CF_NDCO,C11_0_74_Coup_fam_Tot,C11_75_99_CF_NC,C11_75_99_CF_Cu15DS_,C11_75_99_CF_CU15_NDS,C11_75_99_CF_NCU15_DS,C11_75_99_CF_NDCO,C11_75_99_CF_T,C11_100_149_CF_NC,C11_100_149_CF_Cu15DS_,C11_100_149_CF_CU15_NDS,C11_100_149_CF_NCU15_DS,C11_100_149_CF_NDCO,C11_100_149_Co_fam_To,C11_150_199_CF_NC,C11_150_199_CF_Cu15DS_,C11_150_199_CF_CU15_NDS,C11_150_199_CF_NCU15_DS,C11_150_199_CF_NDCO,C11_150_199_CF_T,C11_200_224_CF_NC,C11_200_224_CF_Cu15DS_,C11_200_224_CF_CU15_NDS,C11_200_224_CF_NCU15_DS,C11_200_224_CF_NDCO,C11_200_224_CF_T,C11_225_274_CF_NC,C11_225_274_CF_Cu15DS_,C11_225_274_CF_CU15_NDS,C11_225_274_CF_NCU15_DS,C11_225_274_CF_NDCO,C11_225_274_CF_T,C11_275_349_CF_NC,C11_275_349_CF_Cu15DS_,C11_275_349_CF_CU15_NDS,C11_275_349_CF_NCU15_DS,C11_275_349_CF_NDCO,C11_275_349_CF_T,C11_350_449_CF_NC,C11_350_449_CF_Cu15DS_,C11_350_449_CF_CU15_NDS,C11_350_449_CF_NCU15_DS,C11_350_449_CF_NDCO,C11_350_449_CF_T,C11_450_549_CF_NC,C11_450_549_CF_Cu15DS_,C11_450_549_CF_CU15_NDS,C11_450_549_CF_NCU15_DS,C11_450_549_CF_NDCO,C11_450_549_CF_T,C11_550_649_CF_NC,C11_550_649_CF_Cu15DS_,C11_550_649_CF_CU15_NDS,C11_550_649_CF_NCU15_DS,C11_550_649_CF_NDCO,C11_550_649_CF_T,C11_650_749_CF_NC,C11_650_749_CF_Cu15DS_,C11_650_749_CF_CU15_NDS,C11_650_749_CF_NCU15_DS,C11_650_749_CF_NDCO,C11_650_749_CF_T,C11_750_849_CF_NC,C11_750_849_CF_Cu15DS_,C11_750_849_CF_CU15_NDS,C11_750_849_CF_NCU15_DS,C11_750_849_CF_NDCO,C11_750_849_CF_T,C11_850_949_CF_NC,C11_850_949_CF_Cu15DS_,C11_850_949_CF_CU15_NDS,C11_850_949_CF_NCU15_DS,C11_850_949_CF_NDCO,C11_850_949_CF_T,C11_950over_CF_NC,C11_950ov_CF_Cu15DS_,C11_950ov_CF_CU15_NDS,C11_950ov_CF_NCU15_DS,C11_950ov_CF_NDCO,C11_950ov_CF_T,C11_Rns_CF_NC,C11_Rns_CF_Cu15DS_,C11_Rns_CF_CU15_NDS,C11_Rns_CF_NCU15_DS,C11_Rns_CF_NDCO,C11_Rns_CF_T,C11_Tot_CF_NC,C11_Tot_CF_Cu15DS_,C11_Tot_CF_CU15_NDS,C11_Tot_CF_NCU15_DS,C11_Tot_CF_NDCO,C11_Tot_CF_T,C16_0_74_CF_NC,C16_0_74_CF_Cu15DS_,C16_0_74_CF_CU15_NDS,C16_0_74_CF_NCU15_DS,C16_0_74_CF_NDCO,C16_0_74_CF_T,C16_75_99_CF_NC,C16_75_99_CF_Cu15DS_
10102,62,3,43,3,3,108,19,0,9,0,3,23,110,8,82,13,3,218,187,15,256,11,19,489,80,5,100,11,23,227,137,9,112,11,16,283,154,12,165,19,18,363,70,19,102,9,11,206,13,6,37,5,3,57,3,3,4,0,0,12,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,16,0,21,0,0,48,862,79,933,81,98,2053,61,10,44,3,4,122,9,0,3,0,0,13,40,3,20,4,4,67,70,4,46,3,4,129,68,6,62,3,0,150,137,13,143,11,11,318,217,25,204,13,23,484,244,17,242,13,27,551,79,27,120,15,18,260,30,6,68,8,9,123,6,5,28,0,3,45,8,0,9,0,0,16,0,0,0,0,0,0,0,0,5,0,0,6,23,3,26,3,8,62,998,121,1031,78,110,2345,46,3,35,5,7,99,10,0
10103,45,6,56,0,3,117,7,0,7,0,0,17,69,7,54,0,5,134,63,11,71,4,10,155,18,6,17,0,0,46,21,3,25,6,0,55,16,0,16,0,0,31,7,0,14,0,0,17,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,3,15,0,0,27,261,32,275,16,22,608,41,3,42,6,0,97,7,0,6,0,0,11,36,8,19,0,0,53,67,7,37,0,8,113,38,0,39,3,4,88,40,7,60,0,0,105,28,6,49,3,0,87,18,9,23,3,0,46,0,0,3,0,0,3,3,0,0,0,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,6,12,0,16,0,0,31,290,35,298,20,17,662,48,10,35,9,6,97,0,0
10104,128,15,113,5,9,270,32,5,26,0,3,73,192,11,106,13,19,335,364,33,273,24,37,733,162,19,185,20,17,401,158,41,237,19,19,479,42,17,81,11,6,161,4,0,14,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,8,0,0,8,36,3,22,0,10,74,1125,149,1069,95,134,2568,115,9,69,8,7,205,12,0,5,0,3,24,103,5,55,3,14,188,192,16,91,10,9,319,160,9,118,11,26,320,290,40,235,17,45,632,193,32,299,35,29,589,77,25,93,18,8,223,8,3,10,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,8,0,6,0,3,16,29,3,31,3,6,73,1195,151,1017,97,152,2617,81,5,60,5,8,161,15,0
10105,80,5,68,3,3,161,43,0,13,0,10,62,115,8,73,3,10,214,165,23,175,11,27,392,39,9,71,8,5,134,25,7,52,7,5,97,4,0,10,0,3,23,7,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,23,3,18,7,0,46,509,59,483,31,71,1151,73,9,40,4,6,138,18,0,11,0,0,25,72,9,36,0,12,125,111,14,63,7,16,210,62,8,72,3,16,166,99,16,112,15,13,248,42,23,86,8,17,172,10,5,36,3,3,58,3,0,3,0,0,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,23,3,16,0,0,46,517,83,474,51,83,1212,66,4,35,7,4,119,7,0
10106,117,22,123,14,19,288,25,0,14,0,3,47,110,12,92,9,11,228,100,9,95,5,13,220,42,5,59,4,7,116,31,6,40,4,3,92,18,3,23,0,0,48,18,0,8,0,0,30,5,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,21,4,22,5,9,71,490,70,496,45,54,1157,105,11,88,7,6,221,7,0,9,3,0,25,56,7,33,5,3,102,93,10,66,3,6,177,49,3,66,4,10,131,62,14,86,3,6,164,46,12,88,3,15,164,26,8,43,8,6,92,18,0,16,3,3,45,5,0,11,0,3,14,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,7,17,0,20,0,3,41,480,71,530,50,56,1185,104,10,84,8,16,219,3,0
10201,135,9,70,7,21,245,49,3,11,3,3,68,233,9,82,11,24,362,355,16,187,10,42,613,408,25,339,22,60,857,720,67,792,59,105,1742,359,78,472,38,58,1004,122,42,211,32,25,430,24,17,49,11,4,103,14,3,3,4,3,32,3,0,7,0,0,9,3,0,3,0,0,12,0,0,0,0,0,0,8,4,7,3,3,21,63,3,31,3,5,108,2492,288,2259,201,361,5600,85,11,84,7,14,201,28,0,4,0,3,38,172,3,32,10,6,226,162,21,57,5,16,263,159,11,91,12,20,295,405,30,278,21,31,769,884,89,802,57,99,1925,510,136,767,79,128,1614,150,61,240,27,47,524,30,26,70,20,16,163,20,11,31,10,7,65,9,0,11,3,0,19,3,0,0,0,0,9,10,5,11,0,0,27,64,4,56,12,7,137,2697,403,2515,260,391,6269,96,8,51,10,10,186,9,0
10202,118,4,68,8,8,208,49,3,3,0,3,63,244,19,88,5,21,377,482,33,425,33,68,1040,458,45,490,33,68,1095,456,113,802,49,97,1510,219,67,368,47,48,752,39,14,76,12,17,155,4,0,3,3,3,14,3,0,8,0,0,11,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,3,0,0,14,45,3,41,4,10,98,2131,300,2365,186,350,5330,100,7,64,8,9,192,23,3,0,0,0,28,160,3,23,3,13,205,182,19,88,22,22,327,200,10,130,18,41,389,517,67,486,49,76,1199,778,149,953,55,149,2084,319,138,577,70,113,1216,53,35,99,5,21,206,16,9,34,3,3,66,3,3,8,0,3,16,3,0,3,0,0,9,0,0,0,0,0,0,7,3,9,0,3,21,72,10,42,9,9,142,2430,451,2516,238,465,6099,80,6,35,3,6,142,9,0
10301,60,7,68,7,3,147,22,0,9,3,0,35,112,5,60,3,15,195,184,20,153,11,25,390,98,14,107,10,10,235,77,18,109,7,8,215,30,16,72,4,5,132,4,3,8,0,0,24,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,10,22,0,7,4,4,38,613,82,608,46,65,1413,56,4,60,9,0,125,14,0,3,0,0,19,67,9,26,5,9,116,103,7,73,3,14,206,103,11,83,8,15,215,149,14,162,13,19,361,124,22,207,18,16,385,54,28,108,7,10,200,4,0,14,3,0,24,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,18,3,13,0,4,35,694,102,757,55,81,1693,43,7,41,0,4,92,12,0
10302,233,35,227,17,19,541,90,12,49,7,10,162,246,35,187,12,23,495,203,32,266,21,20,540,38,16,48,4,3,111,24,0,40,0,5,64,4,0,18,0,0,24,0,0,6,0,0,7,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,6,38,9,47,0,6,93,885,139,881,57,95,2051,181,25,190,18,11,426,27,4,27,0,3,58,192,20,117,9,20,353,249,41,218,13,28,549,78,10,99,6,9,199,71,6,96,8,12,194,39,9,60,4,3,118,7,3,20,3,0,31,4,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,16,40,9,42,0,3,95,888,124,873,71,92,2052,166,24,176,14,11,386,15,0
10303,94,9,96,5,15,222,15,0,16,3,3,42,193,24,150,13,25,408,173,27,233,15,21,475,54,15,80,5,7,165,33,19,68,0,3,118,15,0,34,4,0,46,0,0,3,0,0,3,4,0,4,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,12,22,4,24,6,5,63,612,105,711,57,78,1562,93,4,87,9,6,200,10,0,7,0,0,18,84,4,34,4,5,140,125,19,110,17,33,298,94,29,94,13,11,238,91,22,126,8,17,261,90,17,109,7,9,235,34,14,88,11,5,159,13,3,16,0,0,33,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,11,28,4,24,0,8,68,671,119,708,66,95,1648,83,10,73,4,11,174,0,0
