SA3_CODE_2016,C11_CF_LFns_N,C11_CF_LFns_1_149,C11_CF_LFns_150_299,C11_CF_LFns_300_399,C11_CF_LFns_400_499,C11_CF_LFns_500_649,C11_CF_LFns_650_799,C11_CF_LFns_800_999,C11_CF_LFns_1000_1499,C11_CF_LFns_1500_1999,C11_CF_LFns_2000_2499,C11_CF_LFns_2500_2999,C11_CF_LFns_3000_3999,C11_CF_LFns_4000_more,C11_CF_LFns_Ns,C11_CF_LFns_Tot,C11_C_f_c_T_Fi_N,C11_C_f_c_T_Fi_1_149,C11_C_f_c_T_Fi_150_299,C11_C_f_c_T_Fi_300_399,C11_C_f_c_T_Fi_400_499,C11_C_f_c_T_Fi_500_649,C11_CF_c_T_Fi_650_799,C11_CF_c_T_Fi_800_999,C11_CF_c_T_Fi_1000_1499,C11_CF_c_T_Fi_1500_1999,C11_CF_c_T_Fi_2000_2499,C11_CF_c_T_Fi_2500_2999,C11_CF_c_T_Fi_3000_3999,C11_CF_c_T_Fi_4000_more,C11_C_f_with_c_TFI_Ns,C11_C_f_with_c_T_T,C11_1PF_F_N,C11_1PF_F_1_149,C11_1PF_F_150_299,C11_1PF_F_300_399,C11_1PF_F_400_499,C11_1PF_F_500_649,C11_1PF_F_650_799,C11_1PF_F_800_999,C11_1PF_F_1000_1499,C11_1PF_F_1500_1999,C11_1PF_F_2000_2499,C11_1PF_F_2500_2999,C11_1PF_F_3000_3999,C11_1PF_F_4000_more,C11_1PF_F_Ns,C11_1PF_F_Tot,C11_1PF_P_N,C11_1PF_P_1_149,C11_1PF_P_150_299,C11_1PF_P_300_399,C11_1PF_P_400_499,C11_1PF_P_500_649,C11_1PF_P_650_799,C11_1PF_P_800_999,C11_1PF_P_1000_1499,C11_1PF_P_1500_1999,C11_1PF_P_2000_2499,C11_1PF_P_2500_2999,C11_1PF_P_3000_3999,C11_1PF_P_4000_more,C11_1PF_P_Ns,C11_1PF_P_Tot,C11_1PF_A_N,C11_1PF_A_1_149,C11_1PF_A_150_299,C11_1PF_A_300_399,C11_1PF_A_400_499,C11_1PF_A_500_649,C11_1PF_A_650_799,C11_1PF_A_800_999,C11_1PF_A_1000_1499,C11_1PF_A_1500_1999,C11_1PF_A_2000_2499,C11_1PF_A_2500_2999,C11_1PF_A_3000_3999,C11_1PF_A_4000_more,C11_1PF_A_Ns,C11_1PF_A_Tot,C11_1PF_U_N,C11_1PF_U_1_149,C11_1PF_U_150_299,C11_1PF_U_300_399,C11_1PF_U_400_499,C11_1PF_U_500_649,C11_1PF_U_650_799,C11_1PF_U_800_999,C11_1PF_U_1000_1499,C11_1PF_U_1500_1999,C11_1PF_U_2000_2499,C11_1PF_U_2500_2999,C11_1PF_U_3000_3999,C11_1PF_U_4000_more,C11_1PF_U_Ns,C11_1PF_U_To,C11_1PF_N_lf_Fi_N,C11_1PF_N_lf_Fi_1_149,C11_1PF_N_lf_Fi_150_299,C11_1PF_N_lf_Fi_300_399,C11_1PF_N_lf_Fi_400_499,C11_1PF_N_lf_Fi_500_649,C11_1PF_N_lf_Fi_650_799,C11_1PF_N_lf_Fi_800_999,C11_1PF_N_lf_Fi_1000_1499,C11_1PF_N_lf_Fi_1500_1999,C11_1PF_N_lf_Fi_2000_2499,C11_1PF_N_lf_Fi_2500_2999,C11_1PF_N_lf_Fi_3000_3999,C11_1PF_N_lf_Fi_4000_more,C11_1PF_N_lf_Fi_Ns,C11_1PF_N_the_lf_Tot,C11_1PF_LFns_N,C11_1PF_LFns_1_149,C11_1PF_LFns_150_299,C11_1PF_LFns_300_399,C11_1PF_LFns_400_499,C11_1PF_LFns_500_649,C11_1PF_lf_ns_Fi_650_799,C11_1PF_LFns_800_999,C11_1PF_LFns_1000_1499,C11_1PF_LFns_1500_1999,C11_1PF_LFns_2000_2499,C11_1PF_LFns_2500_2999,C11_1PF_lf_ns_Fi_3000_3999,C11_1PF_LFns_4000mo,C11_1PF_LFns_Ns,C11_1PF_LF_NS_T,C11_1PF_TFI_N,C11_1PF_TFI_1_149,C11_1PF_TFI_150_299,C11_1PF_TFI_300_399,C11_1PF_TFI_400_499,C11_1PF_TFI_500_649,C11_1PF_T_Fi_650_799,C11_1PF_T_Fi_800_999,C11_1PF_T_Fi_1000_1499,C11_1PF_T_Fi_1500_1999,C11_1PF_T_Fi_2000_2499,C11_1PF_T_Fi_2500_2999,C11_1PF_T_Fi_3000_3999,C11_1PF_TFI_4000_mr,C11_One_par_f_TFI_Ns,C11_One_parent_f_T_T,C11_TFI_N,C11_TFI_1_149,C11_TFI_150_299,C11_TFI_300_399,C11_TFI_400_499,C11_TFI_500_649,C11_TFI_650_799,C11_TFI_800_999,C11_TFI_1000_1499,C11_TFI_1500_1999,C11_TFI_2000_2499,C11_TFI_2500_2999,C11_TFI_3000_3999,C11_TFI_4000_more,C11_TFI_Ns,C11_T_T,C16_CFNC_BF_N,C16_CFNC_BF_1_149,C16_CFNC_BF_150_299,C16_CFNC_BF_300_399,C16_CFNC_BF_400_499,C16_CFNC_BF_500_649,C16_CFNC_BF_650_799,C16_CFNC_BF_800_999,C16_CFNC_BF_1000_1499,C16_CFNC_BF_1500_1999,C16_CFNC_BF_2000_2499,C16_CFNC_BF_2500_2999,C16_CFNC_BF_3000_3999,C16_CFNC_BF_4000_mr,C16_CFNC_BF_Ns,C16_CFNC_BF_Tot,C16_CFNC_BPT_N,C16_CFNC_BPT_1_149,C16_CFNC_BPT_150_299,C16_CFNC_BPT_300_399,C16_CFNC_BPT_400_499,C16_CFNC_BPT_500_649,C16_CFNC_BPT_650_799,C16_CFNC_BPT_800_999,C16_CFNC_BPT_1000_1499,C16_CFNC_BPT_1500_1999,C16_CFNC_BPT_2000_2499,C16_CFNC_BPT_2500_2999,C16_CFNC_BPT_3000_3999,C16_CFNC_BPT_4000mo,C16_CFNC_BPT_Ns,C16_CFNC_BPT_T,C16_CFNC_1F1P_N,C16_CFNC_1F1P_1_149,C16_CFNC_1F1P_150_299,C16_CFNC_1F1P_300_399,C16_CFNC_1F1P_400_499,C16_CFNC_1F1P_500_649,C16_CFNC_1F1P_650_799,C16_CFNC_1F1P_800_999
10102,0,0,0,0,0,0,0,0,0,3,0,0,3,0,383,393,22,9,15,17,29,42,116,142,672,875,982,857,1322,853,889,6842,3,0,0,3,9,10,55,75,234,175,74,98,51,3,100,876,3,7,8,20,54,7,58,47,76,31,14,9,9,0,28,374,0,0,3,7,4,0,0,11,13,16,4,0,0,0,6,71,3,0,6,10,13,7,7,5,0,3,3,0,0,0,6,61,14,12,51,75,85,21,68,36,77,30,37,17,9,0,79,596,0,0,0,0,0,0,3,3,0,3,0,0,0,0,28,41,21,23,66,107,172,43,191,173,403,254,128,127,65,5,250,2021,88,31,142,152,241,503,585,688,1740,1811,1804,1457,2057,1242,1538,14088,4,0,0,0,5,0,6,12,91,163,346,278,426,336,27,1698,0,0,0,0,10,4,8,15,48,25,26,8,10,18,4,188,3,4,0,0,4,4,13,24
10103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,126,9,5,13,10,7,56,71,126,373,292,259,158,140,42,313,1870,0,0,0,3,16,3,18,23,51,27,5,5,9,0,32,201,0,4,7,10,35,7,34,28,15,7,0,0,0,0,18,158,0,0,0,0,6,0,0,5,0,3,0,0,0,0,4,24,0,0,4,3,12,0,3,0,0,0,0,0,0,0,3,27,3,3,19,34,36,20,45,28,21,4,8,3,0,0,23,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,4,9,28,51,93,26,102,81,97,44,16,7,10,0,91,668,33,18,82,84,130,393,374,470,829,615,461,260,240,73,587,4648,7,0,0,0,6,7,8,12,95,108,114,79,58,39,9,536,0,0,0,0,10,3,12,10,49,15,15,8,5,3,0,132,0,0,3,0,3,0,12,18
10104,0,0,0,0,0,3,0,3,5,0,0,0,0,0,437,451,19,15,49,38,63,236,335,568,1416,946,662,339,293,84,1004,6057,0,0,5,8,42,24,82,74,163,64,26,20,6,0,83,597,0,16,25,64,180,62,185,89,83,21,0,8,0,0,82,817,3,0,3,5,16,6,15,8,8,3,3,0,0,0,12,91,0,4,25,27,58,11,16,12,3,0,0,0,0,0,20,161,16,30,87,146,235,92,182,124,97,25,7,7,0,0,141,1189,0,0,0,0,3,0,3,0,0,0,0,0,0,0,51,65,20,52,143,247,536,198,484,304,361,123,40,39,6,0,386,2927,138,83,406,409,758,2426,2000,2378,3462,1959,1243,637,520,149,2304,18860,7,3,3,0,12,8,11,28,177,204,242,139,118,49,21,1026,0,0,0,0,20,23,39,79,218,70,40,14,15,25,4,558,3,3,3,0,9,8,28,39
10105,0,0,0,0,0,0,0,0,4,4,0,0,0,0,195,207,13,7,18,14,35,75,127,197,647,644,538,312,266,96,510,3500,4,3,0,5,18,14,51,63,112,60,15,12,7,0,52,418,0,3,9,31,60,15,61,29,45,13,4,0,0,0,27,310,0,0,0,3,4,0,5,7,9,3,3,0,0,0,14,48,0,4,8,19,30,4,3,3,3,4,0,0,0,0,6,98,3,13,37,63,110,54,99,47,91,27,3,6,0,0,64,618,0,0,0,0,0,0,3,5,0,0,0,0,0,0,16,20,12,24,56,115,219,91,225,157,266,98,28,20,5,3,186,1511,52,47,155,170,301,815,677,772,1488,1172,904,502,448,144,1072,8727,5,0,0,0,8,0,10,19,80,132,173,115,109,49,18,725,0,0,0,0,8,6,14,17,49,22,26,3,0,8,3,160,3,0,0,0,5,8,17,28
10106,0,0,0,0,0,0,0,3,3,0,0,0,0,0,266,273,15,11,27,15,20,106,141,246,690,595,492,395,411,223,653,4034,0,4,0,3,13,6,39,49,86,55,18,20,14,0,33,347,0,3,6,20,52,13,70,34,36,13,5,0,3,0,26,298,0,0,0,0,8,0,6,4,6,4,0,0,0,0,4,29,0,0,3,12,13,7,5,3,0,0,0,0,0,0,3,51,12,0,33,61,106,41,75,57,58,16,4,7,0,0,52,522,0,0,0,0,3,0,0,3,0,0,0,0,0,0,8,15,12,12,52,94,190,60,187,149,192,87,31,35,16,3,132,1263,88,33,161,160,264,755,681,803,1471,1103,839,631,698,369,1176,9244,6,0,0,0,7,4,15,23,97,122,169,122,160,138,20,886,0,0,3,0,3,4,9,18,68,21,16,9,6,20,4,182,3,3,3,0,9,5,14,26
10201,3,0,0,0,0,0,5,3,18,12,0,5,3,0,1049,1100,54,24,69,65,95,268,501,807,3137,3221,2536,2269,2163,791,2737,18746,10,6,15,18,52,15,187,221,585,388,163,119,58,8,340,2191,6,14,45,93,308,84,355,247,322,97,37,28,8,0,228,1866,0,0,7,16,26,5,32,24,41,22,15,8,0,0,44,242,7,11,54,55,125,33,44,28,22,7,5,0,0,3,53,440,45,53,170,252,519,222,414,320,431,144,52,36,10,7,317,2989,0,0,0,3,5,3,9,3,6,0,0,0,0,0,93,122,75,86,286,436,1029,371,1037,846,1409,649,269,191,88,17,1080,7862,292,142,679,636,1299,3249,3265,3734,7161,5715,4360,3325,3191,1149,5213,43405,4,4,0,0,12,8,6,32,204,387,715,548,571,347,38,2876,0,0,5,0,22,14,49,77,219,114,88,36,39,48,14,724,3,0,0,0,3,6,26,52
10202,0,0,0,0,0,4,4,5,7,9,0,0,3,3,836,876,51,29,84,55,93,365,606,910,3293,2908,2366,1466,1327,371,2277,16196,9,4,9,17,77,21,227,273,552,315,135,87,35,8,281,2043,3,19,57,91,366,100,407,278,259,92,27,14,6,0,188,1913,5,0,6,11,42,10,39,40,44,22,6,5,0,0,42,271,8,13,55,79,180,38,64,40,26,10,0,3,0,0,60,578,41,37,213,360,762,292,611,369,420,106,62,19,11,5,374,3685,0,0,5,3,3,3,9,5,14,3,0,0,0,0,128,177,68,70,347,560,1430,456,1353,1008,1316,547,231,137,60,15,1070,8667,263,121,778,768,1686,4249,3605,3791,6802,4980,3803,2140,1897,553,4593,40023,0,4,0,0,7,3,4,17,213,457,709,476,390,164,44,2501,0,3,3,0,13,20,50,52,190,76,63,29,20,13,19,555,3,0,0,0,3,4,23,47
10301,0,0,0,0,0,0,0,3,3,3,0,0,0,0,300,313,10,6,20,13,23,92,133,258,803,804,707,484,507,171,668,4694,0,3,3,3,23,3,55,59,143,97,26,19,3,4,52,504,0,3,3,22,100,18,63,63,46,28,7,0,0,0,41,394,0,0,0,4,6,3,5,10,7,4,0,0,0,0,16,65,3,0,14,17,24,4,12,4,9,0,0,0,0,0,12,93,10,16,60,85,135,52,116,57,76,21,16,3,0,0,69,718,0,0,0,0,0,0,4,0,0,3,0,0,0,0,20,32,20,16,84,136,280,94,261,193,280,150,49,28,9,4,205,1806,69,34,162,186,352,823,787,924,1764,1519,1238,780,762,262,1242,10894,3,4,4,0,4,0,10,14,105,149,234,182,182,85,12,991,0,0,4,0,3,5,9,23,55,26,21,8,12,4,0,173,3,0,4,0,4,3,15,24
10302,3,0,0,0,0,0,0,3,10,0,0,0,0,0,368,390,45,18,42,38,56,212,294,437,1208,886,609,350,332,113,977,5621,3,7,9,6,26,5,69,64,147,56,19,13,3,0,65,486,0,8,17,60,85,24,74,71,51,15,7,0,0,0,42,455,3,0,0,6,11,3,9,5,15,0,0,0,0,0,9,63,3,4,22,38,45,13,11,0,3,0,0,0,0,0,17,156,21,20,74,146,202,76,174,119,97,17,11,8,0,0,112,1090,0,0,3,3,0,0,4,3,3,0,0,0,0,0,45,59,35,31,120,256,366,123,349,261,318,85,37,28,4,0,289,2315,196,65,356,372,519,1706,1288,1581,2504,1528,1060,577,530,200,1932,14408,10,6,5,3,13,3,35,35,186,230,265,143,148,85,21,1198,3,3,3,0,13,8,23,26,91,33,24,8,9,8,11,258,5,3,3,0,10,7,26,46
10303,0,0,0,0,0,3,3,0,4,0,0,0,0,0,268,287,15,5,24,29,32,151,186,276,752,700,493,550,506,145,715,4577,0,4,0,6,28,7,44,57,104,64,11,21,9,4,49,402,3,7,26,30,85,11,81,48,44,12,5,5,3,0,29,392,0,0,3,3,9,0,9,7,9,3,0,0,0,0,5,51,0,4,13,21,28,6,11,3,0,0,0,0,0,0,10,108,11,9,70,122,165,57,164,83,84,32,11,3,0,0,112,924,4,0,0,0,0,0,0,0,3,0,0,0,0,0,23,41,21,25,111,189,321,89,302,197,244,114,32,30,8,3,231,1909,90,42,249,274,419,1298,918,1058,1658,1270,880,833,814,222,1439,11480,7,4,3,0,10,3,17,21,105,124,174,106,134,85,14,810,8,3,0,0,7,3,30,23,85,32,20,8,3,6,6,233,8,4,0,3,12,9,13,28
