SA3_CODE_2016,C06_0_74_REA,C06_0_74_ST_HA,C06_0_74_Per_no_sa_ho,C06_0_74_Ho_co_op_c_c_g,C06_0_74_Oth_land_typ,C06_0_74_LLT_NS,C06_0_74_Tot,C06_75_99_REA,C06_75_99_ST_HA,C06_75_99_Pe_no_sa_ho,C06_75_99_H_c_op_c_c_gr,C06_75_99_Oth_lan_typ,C06_75_99_Lan_type_ns,C06_75_99_Tot,C06_100_149_REA,C06_100_149_ST_HA,C06_100_149_Pe_no_sa_ho,C06_100_149_H_c_o_c_c_g,C06_100_149_Ot_lan_ty,C06_100_149_Lan_typ_ns,C06_100_149_Tot,C06_150_199_REA,C06_150_199_ST_HA,C06_150_199_Pe_no_sa_ho,C06_150_199_H_c_o_c_c_g,C06_150_199_Ot_lan_ty,C06_150_199_Lan_ty_ns,C06_150_199_Tot,C06_200_224_REA,C06_200_224_ST_HA,C06_200_224_Pe_no_sa_ho,C06_200_224_H_c_o_c_c_g,C06_200_224_Ot_lan_ty,C06_200_224_Lan_ty_ns,C06_200_224_Tot,C06_225_274_REA,C06_225_274_ST_HA,C06_225_274_Pe_no_sa_ho,C06_225_274_H_c_o_c_c_g,C06_225_274_Ot_la_typ,C06_225_274_Lan_ty_ns,C06_225_274_Tot,C06_275_349_REA,C06_275_349_ST_HA,C06_275_349_Pe_no_sa_ho,C06_275_349_H_c_o_c_c_g,C06_275_349_Ot_lan_ty,C06_275_349_Lan_ty_ns,C06_275_349_Tot,C06_350_449_REA,C06_350_449_ST_HA,C06_350_449_Pe_no_sa_ho,C06_350_449_H_c_o_c_c_g,C06_350_449_Ot_lan_ty,C06_350_449_Lan_ty_ns,C06_350_449_Tot,C06_450_549_REA,C06_450_549_ST_HA,C06_450_549_Pe_no_sa_ho,C06_450_549_H_c_o_c_c_g,C06_450_549_Oth_lan_typ,C06_450_549_Lan_ty_ns,C06_450_549_Tot,C06_550_649_REA,C06_550_649_ST_HA,C06_550_649_Pe_no_sa_ho,C06_550_649_H_c_o_c_c_g,C06_550_649_Ot_lan_ty,C06_550_649_Lan_ty_ns,C06_550_649_Tot,C06_650_749_REA,C06_650_749_ST_HA,C06_650_749_Pe_no_sa_ho,C06_650_749_H_co_op_c_ch_gr,C06_650_749_Oth_lan_typ,C06_650_749_LLT_NS,C06_650_749_Tot,C06_750_849_REA,C06_750_849_ST_HA,C06_750_849_Pe_no_sa_ho,C06_750_849_H_co_op_c_ch_gr,C06_750_849_Oth_lan_typ,C06_750_849_LLT_NS,C06_750_849_Tot,C06_850_950_REA,C06_850_949_ST_HA,C06_850_949_Pe_no_sa_ho,C06_850_949_H_co_op_c_ch_gr,C06_850_949_Oth_lan_typ,C06_850_949_LLT_NS,C06_850_949_Tot,C06_950_over_REA,C06_950_over_ST_HA,C06_950over_Pe_no_sa_ho,C06_950ov_H_co_op_c_ch_gr,C06_950over_Oth_lan_typ,C06_950over_LLT_NS,C06_950_over_Tot,C06_R_NS_REA,C06_R_NS_ST_HA,C06_R_NS_Pe_no_sa_ho,C06_R_NS_H_co_op_c_ch_gr,C06_R_NS_Oth_lan_typ,C06_R_NS_Land_typ_ns,C06_Rent_not_statd_Tot,C06_Tot_REA,C06_Tot_ST_HA,C06_T_Pe_no_sa_ho,C06_Tot_Ho_co_op_co_ch_gr,C06_Tot_Oth_lan_typ,C06_Tot_LLT_NS,C06_T_T,C11_0_74_REA,C11_0_74_ST_HA,C11_0_74_Per_no_sa_ho,C11_0_74_Ho_co_op_c_c_g,C11_0_74_Oth_land_typ,C11_0_74_LLT_NS,C11_0_74_Tot,C11_75_99_REA,C11_75_99_ST_HA,C11_75_99_Pe_no_sa_ho,C11_75_99_H_c_op_c_c_gr,C11_75_99_Oth_lan_typ,C11_75_99_Lan_type_ns,C11_75_99_Tot,C11_100_149_REA,C11_100_149_ST_HA,C11_100_149_Pe_no_sa_ho,C11_100_149_H_c_o_c_c_g,C11_100_149_Ot_lan_ty,C11_100_149_Lan_typ_ns,C11_100_149_Tot,C11_150_199_REA,C11_150_199_ST_HA,C11_150_199_Pe_no_sa_ho,C11_150_199_H_c_o_c_c_g,C11_150_199_Ot_lan_ty,C11_150_199_Lan_ty_ns,C11_150_199_Tot,C11_200_224_REA,C11_200_224_ST_HA,C11_200_224_Pe_no_sa_ho,C11_200_224_H_c_o_c_c_g,C11_200_224_Ot_lan_ty,C11_200_224_Lan_ty_ns,C11_200_224_Tot,C11_225_274_REA,C11_225_274_ST_HA,C11_225_274_Pe_no_sa_ho,C11_225_274_H_c_o_c_c_g,C11_225_274_Ot_la_typ,C11_225_274_Lan_ty_ns,C11_225_274_Tot,C11_275_349_REA,C11_275_349_ST_HA,C11_275_349_Pe_no_sa_ho,C11_275_349_H_c_o_c_c_g,C11_275_349_Ot_lan_ty,C11_275_349_Lan_ty_ns,C11_275_349_Tot,C11_350_449_REA,C11_350_449_ST_HA,C11_350_449_Pe_no_sa_ho,C11_350_449_H_c_o_c_c_g,C11_350_449_Ot_lan_ty,C11_350_449_Lan_ty_ns,C11_350_449_Tot,C11_450_549_REA,C11_450_549_ST_HA,C11_450_549_Pe_no_sa_ho,C11_450_549_H_c_o_c_c_g,C11_450_549_Oth_lan_typ,C11_450_549_Lan_ty_ns,C11_450_549_Tot,C11_550_649_REA,C11_550_649_ST_HA,C11_550_649_Pe_no_sa_ho,C11_550_649_H_co_op_c_ch_gr,C11_550_649_Oth_lan_typ,C11_550_649_LLT_NS,C11_550_649_Tot,C11_650_749_REA,C11_650_749_ST_HA,C11_650_749_Pe_no_sa_ho,C11_650_749_H_co_op_c_ch_gr,C11_650_749_Oth_lan_typ,C11_650_749_LLT_NS,C11_650_749_Tot,C11_750_849_REA,C11_750_849_ST_HA,C11_750_849_Pe_no_sa_ho,C11_750_849_H_co_op_c_ch_gr,C11_750_849_Oth_lan_typ,C11_750_849_LLT_NS,C11_750_849_Tot,C11_850_950_REA,C11_850_949_ST_HA,C11_850_949_Pe_no_sa_ho,C11_850_949_H_co_op_c_ch_gr
10102,10,165,90,17,28,91,411,23,90,32,15,4,3,169,517,155,158,21,71,7,928,596,87,204,6,227,3,1128,225,83,139,3,34,0,487,450,35,129,0,15,4,632,451,13,137,0,19,0,626,219,0,67,0,12,0,294,65,0,10,0,3,0,76,9,0,7,0,0,0,20,4,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,3,0,3,0,35,45,29,22,5,31,5,136,2624,680,1003,82,443,118,4955,6,58,115,13,35,91,313,0,164,12,12,11,0,199,52,151,62,26,15,3,308,241,100,122,18,46,4,524,264,31,87,4,62,0,451,392,40,130,7,131,3,708,608,74,217,4,127,3,1037,681,35,254,0,48,3,1026,294,3,100,0,23,0,416,116,0,41,0,7,0,162,43,0,10,0,3,0,54,9,0,4,0,0,0,14,0,0,0,0
10103,9,56,115,4,56,94,343,45,13,36,6,12,0,105,151,37,153,9,39,4,386,191,24,96,0,21,3,331,58,4,41,0,6,0,110,47,0,34,0,10,0,91,37,0,19,0,4,0,63,24,0,12,0,0,0,33,4,0,4,0,0,0,12,9,0,6,0,8,0,19,5,0,0,0,3,0,8,9,0,3,0,0,0,19,0,0,3,0,0,0,3,33,7,18,0,6,0,63,10,4,33,0,20,0,75,626,140,579,23,187,110,1658,7,10,85,3,49,80,235,22,33,24,3,10,3,90,115,20,112,9,31,3,299,147,39,117,8,24,4,337,110,0,70,3,12,0,199,169,10,61,0,6,0,243,111,0,38,0,10,3,164,72,0,27,0,5,0,103,21,0,11,0,8,0,41,25,0,10,0,5,0,38,11,0,7,0,4,0,24,15,0,9,0,0,0,24,4,0,0,0
10104,21,208,197,96,100,241,858,41,145,82,54,20,0,341,374,183,471,68,63,20,1185,1187,100,548,22,54,15,1931,533,17,238,3,23,3,820,591,11,177,4,24,4,806,197,3,46,0,17,0,258,25,0,11,0,9,0,54,9,0,12,0,16,0,37,3,0,3,0,7,0,17,3,0,6,0,3,0,9,0,0,0,0,0,0,4,0,5,0,0,3,0,7,12,9,12,3,7,0,45,41,41,89,18,43,17,256,3035,728,1889,269,401,307,6620,8,55,194,20,83,183,547,12,181,33,34,27,5,294,136,223,236,92,52,9,746,630,109,431,36,58,18,1280,514,57,295,15,31,3,919,932,72,361,14,29,3,1410,789,18,227,6,23,5,1063,255,3,63,3,20,0,338,24,0,11,0,8,0,50,0,0,3,0,4,0,14,3,0,0,0,7,0,9,3,0,0,0,8,0,12,0,0,3,0
10105,14,198,116,41,66,129,564,79,132,61,24,24,3,320,408,128,196,7,34,3,783,586,72,224,3,45,3,949,153,11,76,0,7,0,251,132,0,35,0,0,0,169,26,0,4,0,0,0,32,3,0,3,0,0,0,9,0,0,6,0,0,0,6,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,8,4,0,0,0,22,23,56,28,6,18,3,143,1440,618,749,85,207,154,3250,11,61,95,14,68,94,338,20,161,32,23,15,0,248,167,156,131,23,41,5,522,385,104,185,14,38,3,722,236,46,124,0,9,0,421,372,4,123,3,25,3,529,256,4,70,0,8,0,335,61,0,15,0,4,0,82,6,0,9,0,0,0,18,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0
10106,15,89,165,38,141,209,651,40,53,60,13,18,0,189,287,85,235,13,47,4,677,335,43,147,0,20,0,553,163,4,64,0,6,0,233,92,0,47,0,4,0,143,34,0,29,0,3,0,64,22,0,22,0,0,0,48,9,0,5,0,3,0,16,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,4,3,0,20,20,15,46,3,53,6,145,1021,304,829,68,304,221,2750,6,22,146,28,116,142,462,10,31,37,12,5,0,92,133,60,139,26,34,6,401,313,55,190,17,36,3,610,192,16,101,0,13,3,331,242,15,75,3,9,3,342,191,0,82,0,4,3,275,62,0,60,0,15,0,137,35,0,29,0,6,0,64,15,0,6,0,0,0,22,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
10201,31,758,216,141,58,269,1470,33,235,34,59,35,10,406,420,438,306,80,109,18,1372,1559,200,570,34,90,20,2471,1625,107,509,3,28,21,2292,2966,51,553,7,43,11,3637,1522,6,267,0,10,8,1814,543,0,79,0,10,0,640,118,4,18,0,0,0,144,25,0,10,0,0,0,46,6,3,5,0,0,0,15,14,0,0,4,0,0,19,0,0,0,0,0,0,3,27,36,11,0,5,0,82,115,129,107,27,39,17,441,8995,1971,2692,359,431,386,14839,15,192,210,36,36,208,693,6,674,20,42,26,9,781,128,428,185,114,98,15,967,576,239,334,65,79,13,1302,523,76,355,32,63,13,1068,1692,123,539,30,38,12,2438,3396,115,747,6,54,18,4339,2300,13,468,3,26,4,2807,656,0,106,0,6,0,772,185,0,40,0,0,0,233,66,6,10,0,0,0,79,17,3,3,0,0,0,25,10,0,4,0
10202,24,600,200,60,40,231,1157,28,268,42,28,63,8,440,494,367,352,67,175,20,1484,2250,155,857,31,103,31,3415,1946,75,600,10,54,9,2686,2321,59,461,7,30,7,2890,1026,3,167,0,13,5,1212,167,0,37,0,3,0,208,13,5,10,0,3,0,30,9,4,0,3,0,0,19,0,0,3,0,0,0,3,0,0,0,0,0,0,9,3,3,0,0,0,0,3,19,34,13,10,5,4,77,105,86,86,25,38,22,360,8408,1659,2826,245,524,345,14004,18,164,187,41,34,192,633,8,551,23,32,8,4,624,136,388,189,54,175,11,957,634,281,410,83,157,21,1581,732,85,436,19,60,10,1333,2337,100,709,28,65,17,3257,3500,69,757,18,66,20,4435,1712,13,295,4,31,11,2055,253,3,51,0,10,5,320,66,0,20,0,4,0,96,11,0,5,0,3,0,22,3,6,6,0,3,0,19,0,0,3,0
10301,25,205,126,17,62,115,552,54,108,35,13,14,0,232,387,138,219,20,21,8,792,786,82,204,5,24,10,1116,403,12,99,0,9,3,521,408,0,60,0,4,3,476,208,0,18,0,0,3,238,34,0,4,0,4,0,43,3,0,0,0,0,0,3,0,4,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,8,3,3,4,0,28,32,42,32,9,22,11,145,2342,602,815,71,176,147,4160,13,71,109,23,54,102,359,12,149,22,14,14,0,213,197,150,122,17,34,7,521,433,122,174,15,11,6,756,355,50,165,5,15,0,591,675,11,159,5,11,3,862,590,5,116,4,4,5,720,284,0,50,0,0,0,335,34,0,9,0,0,0,38,5,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,0,0,0
10302,41,347,364,103,257,342,1449,132,198,170,27,44,7,588,634,257,490,45,132,16,1570,719,80,307,3,66,4,1173,107,4,60,0,18,0,188,60,3,14,0,16,0,98,23,0,8,0,12,3,40,5,0,3,0,9,0,16,0,0,3,0,3,0,6,4,5,3,0,3,0,9,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,12,0,0,0,46,35,59,95,19,56,17,276,1772,968,1525,199,610,396,5470,22,115,337,68,226,246,1010,52,223,102,40,26,8,446,524,253,420,92,111,25,1422,796,136,449,19,78,8,1485,245,11,141,4,17,0,417,246,7,75,0,31,0,364,119,6,31,0,17,0,172,27,4,11,0,6,0,54,4,0,4,0,7,0,14,0,0,0,0,0,0,4,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
10303,22,231,148,37,104,180,724,61,113,49,15,23,0,272,574,227,320,12,92,5,1231,711,105,232,3,39,10,1098,222,8,68,0,7,4,300,167,3,35,0,5,0,211,51,0,12,0,9,0,71,11,3,4,0,3,0,20,13,0,4,0,0,0,14,0,3,3,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,11,3,0,0,33,28,24,51,11,35,10,148,1859,728,938,78,320,207,4132,11,53,175,8,85,149,476,22,131,26,4,9,3,197,197,196,184,21,33,9,636,534,165,228,9,48,8,994,317,79,129,10,24,4,558,437,39,96,8,8,3,586,323,9,69,0,11,3,404,183,0,37,0,5,0,229,38,0,10,0,0,0,50,3,0,3,0,0,0,6,4,0,5,0,3,0,10,0,0,4,0,0,0,8,0,0,0,0
