STE_NAME16	Year	Age5yr	ChildrenEverBorn	females
New South Wales	2006	15-19		22952
New South Wales	2006	15-19	0	187038
New South Wales	2006	15-19	1	3464
New South Wales	2006	15-19	2	554
New South Wales	2006	15-19	3	127
New South Wales	2006	15-19	4	60
New South Wales	2006	15-19	5	32
New South Wales	2006	15-19	6	64
New South Wales	2006	20-24		18004
New South Wales	2006	20-24	0	167742
New South Wales	2006	20-24	1	17879
New South Wales	2006	20-24	2	7650
New South Wales	2006	20-24	3	1812
New South Wales	2006	20-24	4	413
New South Wales	2006	20-24	5	79
New South Wales	2006	20-24	6	96
New South Wales	2006	25-29		16474
New South Wales	2006	25-29	0	125127
New South Wales	2006	25-29	1	33892
New South Wales	2006	25-29	2	25333
New South Wales	2006	25-29	3	9191
New South Wales	2006	25-29	4	2632
New South Wales	2006	25-29	5	745
New South Wales	2006	25-29	6	348
New South Wales	2006	30-34		15651
New South Wales	2006	30-34	0	82018
New South Wales	2006	30-34	1	46122
New South Wales	2006	30-34	2	59019
New South Wales	2006	30-34	3	24791
New South Wales	2006	30-34	4	7684
New South Wales	2006	30-34	5	2254
New South Wales	2006	30-34	6	1164
New South Wales	2006	35-39		14205
New South Wales	2006	35-39	0	48974
New South Wales	2006	35-39	1	37214
New South Wales	2006	35-39	2	81676
New South Wales	2006	35-39	3	41463
New South Wales	2006	35-39	4	13780
New South Wales	2006	35-39	5	3948
New South Wales	2006	35-39	6	2349
New South Wales	2006	40-44		13428
New South Wales	2006	40-44	0	37058
New South Wales	2006	40-44	1	31864
New South Wales	2006	40-44	2	87748
New South Wales	2006	40-44	3	49365
New South Wales	2006	40-44	4	17525
New South Wales	2006	40-44	5	5116
New South Wales	2006	40-44	6	3126
New South Wales	2006	45-49		12626
New South Wales	2006	45-49	0	33492
New South Wales	2006	45-49	1	29271
New South Wales	2006	45-49	2	84801
New South Wales	2006	45-49	3	52390
New South Wales	2006	45-49	4	19795
New South Wales	2006	45-49	5	5612
New South Wales	2006	45-49	6	3309
New South Wales	2006	50-54		11588
New South Wales	2006	50-54	0	28145
New South Wales	2006	50-54	1	24236
New South Wales	2006	50-54	2	76210
New South Wales	2006	50-54	3	49613
New South Wales	2006	50-54	4	19017
New South Wales	2006	50-54	5	5472
New South Wales	2006	50-54	6	3139
New South Wales	2006	55-59		10843
New South Wales	2006	55-59	0	22973
New South Wales	2006	55-59	1	19820
New South Wales	2006	55-59	2	72402
New South Wales	2006	55-59	3	47360
New South Wales	2006	55-59	4	18714
New South Wales	2006	55-59	5	5502
New South Wales	2006	55-59	6	3328
New South Wales	2006	60-64		9206
New South Wales	2006	60-64	0	16655
New South Wales	2006	60-64	1	13726
New South Wales	2006	60-64	2	53335
New South Wales	2006	60-64	3	38666
New South Wales	2006	60-64	4	17264
New South Wales	2006	60-64	5	5658
New South Wales	2006	60-64	6	3939
New South Wales	2006	65-69		8514
New South Wales	2006	65-69	0	12299
New South Wales	2006	65-69	1	9761
New South Wales	2006	65-69	2	36585
New South Wales	2006	65-69	3	31956
New South Wales	2006	65-69	4	17471
New South Wales	2006	65-69	5	6990
New South Wales	2006	65-69	6	5882
New South Wales	2006	70-74		8653
New South Wales	2006	70-74	0	10272
New South Wales	2006	70-74	1	8609
New South Wales	2006	70-74	2	26728
New South Wales	2006	70-74	3	25299
New South Wales	2006	70-74	4	15825
New South Wales	2006	70-74	5	7404
New South Wales	2006	70-74	6	7557
New South Wales	2006	75-79		9366
New South Wales	2006	75-79	0	10342
New South Wales	2006	75-79	1	8984
New South Wales	2006	75-79	2	24463
New South Wales	2006	75-79	3	21474
New South Wales	2006	75-79	4	13817
New South Wales	2006	75-79	5	6898
New South Wales	2006	75-79	6	7627
New South Wales	2006	80-84		9569
New South Wales	2006	80-84	0	8966
New South Wales	2006	80-84	1	8810
New South Wales	2006	80-84	2	20296
New South Wales	2006	80-84	3	15952
New South Wales	2006	80-84	4	9587
New South Wales	2006	80-84	5	4802
New South Wales	2006	80-84	6	5632
New South Wales	2006	85+		11794
New South Wales	2006	85+	0	8882
New South Wales	2006	85+	1	9329
New South Wales	2006	85+	2	17855
New South Wales	2006	85+	3	12755
New South Wales	2006	85+	4	7298
New South Wales	2006	85+	5	3523
New South Wales	2006	85+	6	4188
New South Wales	2011	15-19		19426
New South Wales	2011	15-19	0	192139
New South Wales	2011	15-19	1	2976
New South Wales	2011	15-19	2	414
New South Wales	2011	15-19	3	99
New South Wales	2011	15-19	4	53
New South Wales	2011	15-19	5	15
