STE_NAME16	Year	EduInstitutionType	Sex	students
New South Wales	2006		F	298354
New South Wales	2006		M	302300
New South Wales	2006	Infants/Primary	F	266492
New South Wales	2006	Infants/Primary	M	280652
New South Wales	2006	Pre-school	F	54273
New South Wales	2006	Pre-school	M	59750
New South Wales	2006	Secondary	F	217837
New South Wales	2006	Secondary	M	220377
New South Wales	2006	Technical or Further Educational Institution	F	81541
New South Wales	2006	Technical or Further Educational Institution	M	79278
New South Wales	2006	University or other tertiary	F	133106
New South Wales	2006	University or other tertiary	M	105932
New South Wales	2011		F	266074
New South Wales	2011		M	271090
New South Wales	2011	Infants/Primary	F	266863
New South Wales	2011	Infants/Primary	M	282485
New South Wales	2011	Pre-school	F	60747
New South Wales	2011	Pre-school	M	65859
New South Wales	2011	Secondary	F	223848
New South Wales	2011	Secondary	M	228081
New South Wales	2011	Technical or Further Educational Institution	F	88303
New South Wales	2011	Technical or Further Educational Institution	M	79703
New South Wales	2011	University or other tertiary	F	170142
New South Wales	2011	University or other tertiary	M	132927
New South Wales	2016		F	304379
New South Wales	2016		M	294555
New South Wales	2016	Infants/Primary	F	295536
New South Wales	2016	Infants/Primary	M	311633
New South Wales	2016	Pre-school	F	62969
New South Wales	2016	Pre-school	M	69074
New South Wales	2016	Secondary	F	230771
New South Wales	2016	Secondary	M	236087
New South Wales	2016	Technical or Further Educational Institution	F	78196
New South Wales	2016	Technical or Further Educational Institution	M	65909
New South Wales	2016	University or other tertiary	F	208318
New South Wales	2016	University or other tertiary	M	167817
Victoria	2006		F	217927
Victoria	2006		M	210983
Victoria	2006	Infants/Primary	F	195168
Victoria	2006	Infants/Primary	M	205926
Victoria	2006	Pre-school	F	37622
Victoria	2006	Pre-school	M	40473
Victoria	2006	Secondary	F	166678
Victoria	2006	Secondary	M	166884
Victoria	2006	Technical or Further Educational Institution	F	50128
Victoria	2006	Technical or Further Educational Institution	M	52176
Victoria	2006	University or other tertiary	F	111178
Victoria	2006	University or other tertiary	M	87841
Victoria	2011		F	205318
Victoria	2011		M	201429
Victoria	2011	Infants/Primary	F	200345
Victoria	2011	Infants/Primary	M	210669
Victoria	2011	Pre-school	F	43215
Victoria	2011	Pre-school	M	46597
Victoria	2011	Secondary	F	171768
Victoria	2011	Secondary	M	173698
Victoria	2011	Technical or Further Educational Institution	F	58912
Victoria	2011	Technical or Further Educational Institution	M	59036
Victoria	2011	University or other tertiary	F	140404
Victoria	2011	University or other tertiary	M	106146
Victoria	2016		F	244152
Victoria	2016		M	228540
Victoria	2016	Infants/Primary	F	228296
Victoria	2016	Infants/Primary	M	240402
Victoria	2016	Pre-school	F	45587
Victoria	2016	Pre-school	M	49380
Victoria	2016	Secondary	F	180457
Victoria	2016	Secondary	M	183685
Victoria	2016	Technical or Further Educational Institution	F	52733
Victoria	2016	Technical or Further Educational Institution	M	50951
Victoria	2016	University or other tertiary	F	181094
Victoria	2016	University or other tertiary	M	143954
Queensland	2006		F	168890
Queensland	2006		M	177179
Queensland	2006	Infants/Primary	F	169763
Queensland	2006	Infants/Primary	M	178753
Queensland	2006	Pre-school	F	28119
Queensland	2006	Pre-school	M	30623
Queensland	2006	Secondary	F	118086
Queensland	2006	Secondary	M	118600
Queensland	2006	Technical or Further Educational Institution	F	38333
Queensland	2006	Technical or Further Educational Institution	M	29775
Queensland	2006	University or other tertiary	F	80715
