STE_NAME16	Year	CountryOfBirth	persons
New South Wales	2006		743910
New South Wales	2006	AUS	4521157
New South Wales	2006	CAN	10198
New South Wales	2006	CHN	114044
New South Wales	2006	DEU	31057
New South Wales	2006	EGY	17190
New South Wales	2006	FJI	28605
New South Wales	2006	GBR	265855
New South Wales	2006	GRC	35054
New South Wales	2006	HKG	38344
New South Wales	2006	HRV	18460
New South Wales	2006	IDN	21886
New South Wales	2006	IND	57155
New South Wales	2006	IRL	17267
New South Wales	2006	IRN	11941
New South Wales	2006	IRQ	20531
New South Wales	2006	ITA	55172
New South Wales	2006	JPN	11160
New South Wales	2006	KOR	33221
New South Wales	2006	LBN	55778
New South Wales	2006	LKA	19090
New South Wales	2006	MKD	17682
New South Wales	2006	MLT	16976
New South Wales	2006	MYS	23396
New South Wales	2006	NLD	18816
New South Wales	2006	NZL	106614
New South Wales	2006	PAK	8637
New South Wales	2006	PHL	57719
New South Wales	2006	POL	15228
New South Wales	2006	SGP	9674
New South Wales	2006	THA	12284
New South Wales	2006	TUR	12468
New South Wales	2006	USA	21750
New South Wales	2006	VNM	63791
New South Wales	2006	ZAF	32950
New South Wales	2006	ZWE	4115
New South Wales	2011		706522
New South Wales	2011	AUS	4747374
New South Wales	2011	CAN	11948
New South Wales	2011	CHN	156034
New South Wales	2011	DEU	31084
New South Wales	2011	EGY	18409
New South Wales	2011	FJI	32304
New South Wales	2011	GBR	274821
New South Wales	2011	GRC	31545
New South Wales	2011	HKG	38568
New South Wales	2011	HRV	17697
New South Wales	2011	IDN	26834
New South Wales	2011	IND	95387
New South Wales	2011	IRL	21919
New South Wales	2011	IRN	15463
New South Wales	2011	IRQ	29342
New South Wales	2011	ITA	51626
New South Wales	2011	JPN	12108
New South Wales	2011	KOR	41819
New South Wales	2011	LBN	56295
New South Wales	2011	LKA	23704
New South Wales	2011	MKD	17195
New South Wales	2011	MLT	15853
New South Wales	2011	MYS	27257
New South Wales	2011	NLD	18218
New South Wales	2011	NZL	114230
New South Wales	2011	PAK	13382
New South Wales	2011	PHL	70388
New South Wales	2011	POL	14331
New South Wales	2011	SGP	11226
New South Wales	2011	THA	17542
New South Wales	2011	TUR	12978
New South Wales	2011	USA	26530
New South Wales	2011	VNM	71838
New South Wales	2011	ZAF	40247
New South Wales	2011	ZWE	5640
New South Wales	2016		890318
New South Wales	2016	AUS	4899202
New South Wales	2016	CAN	13290
New South Wales	2016	CHN	234508
New South Wales	2016	DEU	29541
New South Wales	2016	EGY	19724
New South Wales	2016	FJI	33879
New South Wales	2016	GBR	270877
New South Wales	2016	GRC	29481
New South Wales	2016	HKG	42347
New South Wales	2016	HRV	15638
New South Wales	2016	IDN	31774
New South Wales	2016	IND	143459
New South Wales	2016	IRL	24038
New South Wales	2016	IRN	23048
New South Wales	2016	IRQ	40271
New South Wales	2016	ITA	49476
New South Wales	2016	JPN	14008
New South Wales	2016	KOR	51816
New South Wales	2016	LBN	57381
New South Wales	2016	LKA	28732
New South Wales	2016	MKD	16501
New South Wales	2016	MLT	14481
New South Wales	2016	MYS	31655
New South Wales	2016	NLD	16900
New South Wales	2016	NZL	117136
New South Wales	2016	PAK	24524
New South Wales	2016	PHL	86749
New South Wales	2016	POL	13451
New South Wales	2016	SGP	12730
New South Wales	2016	THA	26719
New South Wales	2016	TUR	12808
New South Wales	2016	USA	30081
New South Wales	2016	VNM	84130
New South Wales	2016	ZAF	43058
New South Wales	2016	ZWE	6495
Victoria	2006		528066
Victoria	2006	AUS	3434472
Victoria	2006	CAN	6213
Victoria	2006	CHN	56564
Victoria	2006	DEU	28123
Victoria	2006	EGY	11582
Victoria	2006	FJI	7907
Victoria	2006	GBR	204837
Victoria	2006	GRC	54324
Victoria	2006	HKG	17426
Victoria	2006	HRV	18191
Victoria	2006	IDN	12606
Victoria	2006	IND	52852
Victoria	2006	IRL	11505
Victoria	2006	IRN	4433
Victoria	2006	IRQ	8613
Victoria	2006	ITA	82851
Victoria	2006	JPN	5778
Victoria	2006	KOR	6313
Victoria	2006	LBN	14944
Victoria	2006	LKA	31480
Victoria	2006	MKD	18315
Victoria	2006	MLT	20849
Victoria	2006	MYS	30474
Victoria	2006	NLD	22832
Victoria	2006	NZL	63995
Victoria	2006	PAK	4706
Victoria	2006	PHL	27338
Victoria	2006	POL	18071
Victoria	2006	SGP	10477
Victoria	2006	THA	7056
Victoria	2006	TUR	15285
Victoria	2006	USA	13341
Victoria	2006	VNM	58873
Victoria	2006	ZAF	19348
Victoria	2006	ZWE	2369
Victoria	2011		518992
Victoria	2011	AUS	3670934
Victoria	2011	CAN	7775
Victoria	2011	CHN	93896
Victoria	2011	DEU	28021
Victoria	2011	EGY	12490
Victoria	2011	FJI	9715
Victoria	2011	GBR	213377
Victoria	2011	GRC	49991
Victoria	2011	HKG	18204
Victoria	2011	HRV	17248
Victoria	2011	IDN	15405
Victoria	2011	IND	111787
Victoria	2011	IRL	14588
Victoria	2011	IRN	7446
Victoria	2011	IRQ	12795
Victoria	2011	ITA	76908
Victoria	2011	JPN	6820
Victoria	2011	KOR	10192
Victoria	2011	LBN	15871
Victoria	2011	LKA	43991
Victoria	2011	MKD	18307
Victoria	2011	MLT	19730
Victoria	2011	MYS	39790
Victoria	2011	NLD	21635
Victoria	2011	NZL	80234
Victoria	2011	PAK	9187
Victoria	2011	PHL	38002
Victoria	2011	POL	16383
Victoria	2011	SGP	13696
Victoria	2011	THA	10767
Victoria	2011	TUR	16488
Victoria	2011	USA	16845
Victoria	2011	VNM	68296
Victoria	2011	ZAF	24446
Victoria	2011	ZWE	3780
Victoria	2016		696190
Victoria	2016	AUS	3845510
Victoria	2016	CAN	8967
Victoria	2016	CHN	160652
Victoria	2016	DEU	26308
Victoria	2016	EGY	13282
Victoria	2016	FJI	10825
Victoria	2016	GBR	209769
Victoria	2016	GRC	47240
Victoria	2016	HKG	21642
Victoria	2016	HRV	15486
Victoria	2016	IDN	17805
