STE_NAME16	Year	medianTotalPersonalIncomeWeekly
New South Wales	2006	461
Victoria	2006	456
Queensland	2006	476
South Australia	2006	433
Western Australia	2006	500
Tasmania	2006	398
Northern Territory	2006	549
Australian Capital Territory	2006	722
Other Territories	2006	525
New South Wales	2011	561
Victoria	2011	561
Queensland	2011	587
South Australia	2011	534
Western Australia	2011	662
Tasmania	2011	499
Northern Territory	2011	744
Australian Capital Territory	2011	917
Other Territories	2011	828
New South Wales	2016	664
Victoria	2016	644
Queensland	2016	660
South Australia	2016	600
Western Australia	2016	724
Tasmania	2016	573
Northern Territory	2016	871
Australian Capital Territory	2016	998
Other Territories	2016	712
