STE_NAME16	Year	medianAgeOfPersons
New South Wales	2006	37
Victoria	2006	37
Queensland	2006	36
South Australia	2006	39
Western Australia	2006	36
Tasmania	2006	39
Northern Territory	2006	31
Australian Capital Territory	2006	34
Other Territories	2006	36
New South Wales	2011	38
Victoria	2011	37
Queensland	2011	36
South Australia	2011	39
Western Australia	2011	36
Tasmania	2011	40
Northern Territory	2011	31
Australian Capital Territory	2011	34
Other Territories	2011	32
New South Wales	2016	38
Victoria	2016	37
Queensland	2016	37
South Australia	2016	40
Western Australia	2016	36
Tasmania	2016	42
Northern Territory	2016	32
Australian Capital Territory	2016	35
Other Territories	2016	42
