STE_NAME16	Year	Age	FOE	adults
New South Wales	2006	15-19	Agriculture environmental and related studies	892
New South Wales	2006	15-19	Architecture and building	1587
New South Wales	2006	15-19	Creative arts	1252
New South Wales	2006	15-19	Education	347
New South Wales	2006	15-19	Engineering and related technologies	2932
New South Wales	2006	15-19	Field of study not stated	54906
New South Wales	2006	15-19	Food hospitality and personal services	4796
New South Wales	2006	15-19	Health	994
New South Wales	2006	15-19	Information technology	1317
New South Wales	2006	15-19	Management and commerce	6962
New South Wales	2006	15-19	Mixed field programmes	452
New South Wales	2006	15-19	Natural and physical sciences	188
New South Wales	2006	15-19	Society and culture	2510
New South Wales	2006	20-24	Agriculture environmental and related studies	4623
New South Wales	2006	20-24	Architecture and building	10206
New South Wales	2006	20-24	Creative arts	12671
New South Wales	2006	20-24	Education	6649
New South Wales	2006	20-24	Engineering and related technologies	20638
New South Wales	2006	20-24	Field of study not stated	48375
New South Wales	2006	20-24	Food hospitality and personal services	16450
New South Wales	2006	20-24	Health	11063
New South Wales	2006	20-24	Information technology	12043
New South Wales	2006	20-24	Management and commerce	50000
New South Wales	2006	20-24	Mixed field programmes	676
New South Wales	2006	20-24	Natural and physical sciences	5264
New South Wales	2006	20-24	Society and culture	20581
New South Wales	2006	25-34	Agriculture environmental and related studies	13458
New South Wales	2006	25-34	Architecture and building	32354
New South Wales	2006	25-34	Creative arts	29365
New South Wales	2006	25-34	Education	34071
New South Wales	2006	25-34	Engineering and related technologies	75971
New South Wales	2006	25-34	Field of study not stated	97125
New South Wales	2006	25-34	Food hospitality and personal services	33599
New South Wales	2006	25-34	Health	43130
New South Wales	2006	25-34	Information technology	31316
New South Wales	2006	25-34	Management and commerce	137545
New South Wales	2006	25-34	Mixed field programmes	493
New South Wales	2006	25-34	Natural and physical sciences	17786
New South Wales	2006	25-34	Society and culture	64404
New South Wales	2006	35-44	Agriculture environmental and related studies	13317
New South Wales	2006	35-44	Architecture and building	35235
New South Wales	2006	35-44	Creative arts	20967
New South Wales	2006	35-44	Education	40084
New South Wales	2006	35-44	Engineering and related technologies	99585
New South Wales	2006	35-44	Field of study not stated	98121
New South Wales	2006	35-44	Food hospitality and personal services	27679
New South Wales	2006	35-44	Health	52103
New South Wales	2006	35-44	Information technology	20842
New South Wales	2006	35-44	Management and commerce	127374
New South Wales	2006	35-44	Mixed field programmes	658
New South Wales	2006	35-44	Natural and physical sciences	18240
New South Wales	2006	35-44	Society and culture	59278
New South Wales	2006	45-54	Agriculture environmental and related studies	10447
New South Wales	2006	45-54	Architecture and building	30342
New South Wales	2006	45-54	Creative arts	13774
New South Wales	2006	45-54	Education	56446
New South Wales	2006	45-54	Engineering and related technologies	95208
New South Wales	2006	45-54	Field of study not stated	88434
New South Wales	2006	45-54	Food hospitality and personal services	17836
New South Wales	2006	45-54	Health	57022
New South Wales	2006	45-54	Information technology	11357
New South Wales	2006	45-54	Management and commerce	98113
New South Wales	2006	45-54	Mixed field programmes	689
New South Wales	2006	45-54	Natural and physical sciences	15507
New South Wales	2006	45-54	Society and culture	50920
New South Wales	2006	55-64	Agriculture environmental and related studies	6426
New South Wales	2006	55-64	Architecture and building	21942
New South Wales	2006	55-64	Creative arts	8113
New South Wales	2006	55-64	Education	37204
New South Wales	2006	55-64	Engineering and related technologies	73402
New South Wales	2006	55-64	Field of study not stated	75322
New South Wales	2006	55-64	Food hospitality and personal services	12510
New South Wales	2006	55-64	Health	33610
New South Wales	2006	55-64	Information technology	3817
New South Wales	2006	55-64	Management and commerce	62847
New South Wales	2006	55-64	Mixed field programmes	504
New South Wales	2006	55-64	Natural and physical sciences	10335
New South Wales	2006	55-64	Society and culture	32505
New South Wales	2006	65-74	Agriculture environmental and related studies	3163
New South Wales	2006	65-74	Architecture and building	13704
New South Wales	2006	65-74	Creative arts	3661
New South Wales	2006	65-74	Education	16518
New South Wales	2006	65-74	Engineering and related technologies	44098
New South Wales	2006	65-74	Field of study not stated	68451
New South Wales	2006	65-74	Food hospitality and personal services	5108
New South Wales	2006	65-74	Health	17753
New South Wales	2006	65-74	Information technology	692
New South Wales	2006	65-74	Management and commerce	24612
New South Wales	2006	65-74	Mixed field programmes	330
New South Wales	2006	65-74	Natural and physical sciences	4104
New South Wales	2006	65-74	Society and culture	12149
New South Wales	2006	75-84	Agriculture environmental and related studies	1370
New South Wales	2006	75-84	Architecture and building	6758
New South Wales	2006	75-84	Creative arts	2044
New South Wales	2006	75-84	Education	7208
New South Wales	2006	75-84	Engineering and related technologies	25417
New South Wales	2006	75-84	Field of study not stated	72479
New South Wales	2006	75-84	Food hospitality and personal services	2795
New South Wales	2006	75-84	Health	9624
New South Wales	2006	75-84	Information technology	132
New South Wales	2006	75-84	Management and commerce	13944
New South Wales	2006	75-84	Mixed field programmes	263
New South Wales	2006	75-84	Natural and physical sciences	2016
New South Wales	2006	75-84	Society and culture	5446
New South Wales	2006	85+	Agriculture environmental and related studies	323
New South Wales	2006	85+	Architecture and building	1314
New South Wales	2006	85+	Creative arts	650
New South Wales	2006	85+	Education	2063
New South Wales	2006	85+	Engineering and related technologies	5179
New South Wales	2006	85+	Field of study not stated	31136
New South Wales	2006	85+	Food hospitality and personal services	776
New South Wales	2006	85+	Health	2651
New South Wales	2006	85+	Information technology	40
New South Wales	2006	85+	Management and commerce	3666
New South Wales	2006	85+	Mixed field programmes	110
New South Wales	2006	85+	Natural and physical sciences	392
New South Wales	2006	85+	Society and culture	1213
New South Wales	2011	15-19	Agriculture environmental and related studies	1042
New South Wales	2011	15-19	Architecture and building	1736
New South Wales	2011	15-19	Creative arts	1477
New South Wales	2011	15-19	Education	323
New South Wales	2011	15-19	Engineering and related technologies	2753
New South Wales	2011	15-19	Field of study not stated	44343
New South Wales	2011	15-19	Food hospitality and personal services	4285
New South Wales	2011	15-19	Health	1431
New South Wales	2011	15-19	Information technology	1138
New South Wales	2011	15-19	Management and commerce	6553
New South Wales	2011	15-19	Mixed field programmes	559
New South Wales	2011	15-19	Natural and physical sciences	170
New South Wales	2011	15-19	Society and culture	3522
New South Wales	2011	20-24	Agriculture environmental and related studies	4317
New South Wales	2011	20-24	Architecture and building	12231
New South Wales	2011	20-24	Creative arts	14234
New South Wales	2011	20-24	Education	7611
New South Wales	2011	20-24	Engineering and related technologies	23296
New South Wales	2011	20-24	Field of study not stated	40833
New South Wales	2011	20-24	Food hospitality and personal services	18377
New South Wales	2011	20-24	Health	14109
New South Wales	2011	20-24	Information technology	7326
New South Wales	2011	20-24	Management and commerce	50545
New South Wales	2011	20-24	Mixed field programmes	731
New South Wales	2011	20-24	Natural and physical sciences	5711
New South Wales	2011	20-24	Society and culture	25320
New South Wales	2011	25-34	Agriculture environmental and related studies	13357
New South Wales	2011	25-34	Architecture and building	34024
New South Wales	2011	25-34	Creative arts	37134
New South Wales	2011	25-34	Education	38087
New South Wales	2011	25-34	Engineering and related technologies	75803
New South Wales	2011	25-34	Field of study not stated	85239
New South Wales	2011	25-34	Food hospitality and personal services	39883
New South Wales	2011	25-34	Health	52366
New South Wales	2011	25-34	Information technology	40081
New South Wales	2011	25-34	Management and commerce	168776
New South Wales	2011	25-34	Mixed field programmes	587
New South Wales	2011	25-34	Natural and physical sciences	18943
New South Wales	2011	25-34	Society and culture	78733
New South Wales	2011	35-44	Agriculture environmental and related studies	14644
New South Wales	2011	35-44	Architecture and building	37219
New South Wales	2011	35-44	Creative arts	26571
New South Wales	2011	35-44	Education	44820
New South Wales	2011	35-44	Engineering and related technologies	92356
New South Wales	2011	35-44	Field of study not stated	83039
New South Wales	2011	35-44	Food hospitality and personal services	33407
New South Wales	2011	35-44	Health	57573
New South Wales	2011	35-44	Information technology	27708
New South Wales	2011	35-44	Management and commerce	156932
New South Wales	2011	35-44	Mixed field programmes	595
New South Wales	2011	35-44	Natural and physical sciences	20158
New South Wales	2011	35-44	Society and culture	77553
New South Wales	2011	45-54	Agriculture environmental and related studies	12778
New South Wales	2011	45-54	Architecture and building	33995
New South Wales	2011	45-54	Creative arts	17562
New South Wales	2011	45-54	Education	49226
New South Wales	2011	45-54	Engineering and related technologies	103472
New South Wales	2011	45-54	Field of study not stated	81078
New South Wales	2011	45-54	Food hospitality and personal services	22472
New South Wales	2011	45-54	Health	61060
New South Wales	2011	45-54	Information technology	15826
New South Wales	2011	45-54	Management and commerce	122519
New South Wales	2011	45-54	Mixed field programmes	710
New South Wales	2011	45-54	Natural and physical sciences	17569
New South Wales	2011	45-54	Society and culture	64413
New South Wales	2011	55-64	Agriculture environmental and related studies	8395
New South Wales	2011	55-64	Architecture and building	25911
New South Wales	2011	55-64	Creative arts	10845
New South Wales	2011	55-64	Education	51480
New South Wales	2011	55-64	Engineering and related technologies	83652
New South Wales	2011	55-64	Field of study not stated	71830
New South Wales	2011	55-64	Food hospitality and personal services	14747
New South Wales	2011	55-64	Health	45962
New South Wales	2011	55-64	Information technology	6592
New South Wales	2011	55-64	Management and commerce	83549
New South Wales	2011	55-64	Mixed field programmes	600
New South Wales	2011	55-64	Natural and physical sciences	13305
New South Wales	2011	55-64	Society and culture	47423
New South Wales	2011	65-74	Agriculture environmental and related studies	4341
New South Wales	2011	65-74	Architecture and building	15968
New South Wales	2011	65-74	Creative arts	5187
New South Wales	2011	65-74	Education	24098
New South Wales	2011	65-74	Engineering and related technologies	54261
New South Wales	2011	65-74	Field of study not stated	64775
New South Wales	2011	65-74	Food hospitality and personal services	7745
New South Wales	2011	65-74	Health	23456
New South Wales	2011	65-74	Information technology	1460
New South Wales	2011	65-74	Management and commerce	38035
New South Wales	2011	65-74	Mixed field programmes	367
New South Wales	2011	65-74	Natural and physical sciences	6935
New South Wales	2011	65-74	Society and culture	19540
New South Wales	2011	75-84	Agriculture environmental and related studies	1847
New South Wales	2011	75-84	Architecture and building	7983
New South Wales	2011	75-84	Creative arts	2359
New South Wales	2011	75-84	Education	10049
New South Wales	2011	75-84	Engineering and related technologies	27770
New South Wales	2011	75-84	Field of study not stated	61462
New South Wales	2011	75-84	Food hospitality and personal services	3196
New South Wales	2011	75-84	Health	11671
New South Wales	2011	75-84	Information technology	238
New South Wales	2011	75-84	Management and commerce	15352
New South Wales	2011	75-84	Mixed field programmes	254
New South Wales	2011	75-84	Natural and physical sciences	2512
New South Wales	2011	75-84	Society and culture	7070
New South Wales	2011	85+	Agriculture environmental and related studies	440
New South Wales	2011	85+	Architecture and building	2080
New South Wales	2011	85+	Creative arts	770
New South Wales	2011	85+	Education	2701
New South Wales	2011	85+	Engineering and related technologies	8373
New South Wales	2011	85+	Field of study not stated	35064
New South Wales	2011	85+	Food hospitality and personal services	943
New South Wales	2011	85+	Health	3779
New South Wales	2011	85+	Information technology	27
New South Wales	2011	85+	Management and commerce	5612
New South Wales	2011	85+	Mixed field programmes	117
New South Wales	2011	85+	Natural and physical sciences	726
New South Wales	2011	85+	Society and culture	1833
New South Wales	2016	15-19	Agriculture environmental and related studies	933
New South Wales	2016	15-19	Architecture and building	2154
New South Wales	2016	15-19	Creative arts	1726
New South Wales	2016	15-19	Education	789
New South Wales	2016	15-19	Engineering and related technologies	2303
New South Wales	2016	15-19	Field of study not stated	37227
New South Wales	2016	15-19	Food hospitality and personal services	4637
New South Wales	2016	15-19	Health	2072
New South Wales	2016	15-19	Information technology	902
New South Wales	2016	15-19	Management and commerce	5481
New South Wales	2016	15-19	Mixed field programmes	944
New South Wales	2016	15-19	Natural and physical sciences	251
New South Wales	2016	15-19	Society and culture	4016
New South Wales	2016	20-24	Agriculture environmental and related studies	4570
New South Wales	2016	20-24	Architecture and building	13535
New South Wales	2016	20-24	Creative arts	16034
New South Wales	2016	20-24	Education	9989
New South Wales	2016	20-24	Engineering and related technologies	24659
New South Wales	2016	20-24	Field of study not stated	42629
New South Wales	2016	20-24	Food hospitality and personal services	16577
New South Wales	2016	20-24	Health	17666
New South Wales	2016	20-24	Information technology	7913
New South Wales	2016	20-24	Management and commerce	51767
New South Wales	2016	20-24	Mixed field programmes	1287
New South Wales	2016	20-24	Natural and physical sciences	7590
New South Wales	2016	20-24	Society and culture	30495
New South Wales	2016	25-34	Agriculture environmental and related studies	13282
New South Wales	2016	25-34	Architecture and building	41510
New South Wales	2016	25-34	Creative arts	44142
New South Wales	2016	25-34	Education	47265
New South Wales	2016	25-34	Engineering and related technologies	89233
New South Wales	2016	25-34	Field of study not stated	100688
New South Wales	2016	25-34	Food hospitality and personal services	44362
New South Wales	2016	25-34	Health	72009
New South Wales	2016	25-34	Information technology	40832
New South Wales	2016	25-34	Management and commerce	199366
New South Wales	2016	25-34	Mixed field programmes	1275
New South Wales	2016	25-34	Natural and physical sciences	22363
New South Wales	2016	25-34	Society and culture	96188
New South Wales	2016	35-44	Agriculture environmental and related studies	15181
New South Wales	2016	35-44	Architecture and building	39682
New South Wales	2016	35-44	Creative arts	32430
New South Wales	2016	35-44	Education	48768
New South Wales	2016	35-44	Engineering and related technologies	89809
New South Wales	2016	35-44	Field of study not stated	88464
New South Wales	2016	35-44	Food hospitality and personal services	35773
New South Wales	2016	35-44	Health	62811
New South Wales	2016	35-44	Information technology	40798
New South Wales	2016	35-44	Management and commerce	183912
New South Wales	2016	35-44	Mixed field programmes	933
New South Wales	2016	35-44	Natural and physical sciences	21738
New South Wales	2016	35-44	Society and culture	91998
New South Wales	2016	45-54	Agriculture environmental and related studies	14017
New South Wales	2016	45-54	Architecture and building	37354
New South Wales	2016	45-54	Creative arts	21402
New South Wales	2016	45-54	Education	47457
New South Wales	2016	45-54	Engineering and related technologies	99717
New South Wales	2016	45-54	Field of study not stated	85761
New South Wales	2016	45-54	Food hospitality and personal services	27703
New South Wales	2016	45-54	Health	61015
New South Wales	2016	45-54	Information technology	20258
New South Wales	2016	45-54	Management and commerce	147457
New South Wales	2016	45-54	Mixed field programmes	1134
New South Wales	2016	45-54	Natural and physical sciences	19730
New South Wales	2016	45-54	Society and culture	80095
