STE_NAME16	Year	Age.min	persons
New South Wales	2006		252343
New South Wales	2006	0	87167
New South Wales	2006	1	83883
New South Wales	2006	2	82791
New South Wales	2006	3	83670
New South Wales	2006	4	82923
New South Wales	2006	5	85661
New South Wales	2006	6	87043
New South Wales	2006	7	85932
New South Wales	2006	8	86121
New South Wales	2006	9	87173
New South Wales	2006	10	87425
New South Wales	2006	11	89649
New South Wales	2006	12	89504
New South Wales	2006	13	89973
New South Wales	2006	14	90012
New South Wales	2006	15	90836
New South Wales	2006	16	90731
New South Wales	2006	17	88696
New South Wales	2006	18	84686
New South Wales	2006	19	84917
New South Wales	2006	20	85990
New South Wales	2006	21	86589
New South Wales	2006	22	85548
New South Wales	2006	23	87085
New South Wales	2006	24	86639
New South Wales	2006	25	86271
New South Wales	2006	26	84222
New South Wales	2006	27	84110
New South Wales	2006	28	83990
New South Wales	2006	29	85562
New South Wales	2006	30	86961
New South Wales	2006	31	89707
New South Wales	2006	32	92881
New South Wales	2006	33	96651
New South Wales	2006	34	100692
New South Wales	2006	35	102181
New South Wales	2006	36	95722
New South Wales	2006	37	94494
New South Wales	2006	38	91388
New South Wales	2006	39	90903
New South Wales	2006	40	91887
New South Wales	2006	41	93291
New South Wales	2006	42	97991
New South Wales	2006	43	99898
New South Wales	2006	44	100089
New South Wales	2006	45	99288
New South Wales	2006	46	96881
New South Wales	2006	47	94284
New South Wales	2006	48	93385
New South Wales	2006	49	91394
New South Wales	2006	50	89516
New South Wales	2006	51	87401
New South Wales	2006	52	85185
New South Wales	2006	53	85049
New South Wales	2006	54	81954
New South Wales	2006	55	81209
New South Wales	2006	56	81103
New South Wales	2006	57	77842
New South Wales	2006	58	78901
New South Wales	2006	59	82860
New South Wales	2006	60	70016
New South Wales	2006	61	67076
New South Wales	2006	62	65197
New South Wales	2006	63	58299
New South Wales	2006	64	57036
New South Wales	2006	65	54363
New South Wales	2006	66	52647
New South Wales	2006	67	50534
New South Wales	2006	68	48790
New South Wales	2006	69	48093
New South Wales	2006	70	46088
New South Wales	2006	71	43158
New South Wales	2006	72	41176
New South Wales	2006	73	40683
New South Wales	2006	74	39795
New South Wales	2006	75	40098
New South Wales	2006	76	39487
New South Wales	2006	77	37739
New South Wales	2006	78	36446
New South Wales	2006	79	34323
New South Wales	2011		290415
New South Wales	2011	0	89294
New South Wales	2011	1	92614
New South Wales	2011	2	91562
New South Wales	2011	3	92282
New South Wales	2011	4	92985
New South Wales	2011	5	90351
New South Wales	2011	6	87665
New South Wales	2011	7	85750
New South Wales	2011	8	85967
New South Wales	2011	9	84878
New South Wales	2011	10	87063
New South Wales	2011	11	87868
New South Wales	2011	12	87707
New South Wales	2011	13	87682
New South Wales	2011	14	88849
New South Wales	2011	15	88425
New South Wales	2011	16	90160
New South Wales	2011	17	89748
New South Wales	2011	18	87696
New South Wales	2011	19	87390
New South Wales	2011	20	89922
New South Wales	2011	21	90953
New South Wales	2011	22	89473
New South Wales	2011	23	89313
New South Wales	2011	24	90023
New South Wales	2011	25	91843
New South Wales	2011	26	94078
New South Wales	2011	27	94343
New South Wales	2011	28	96911
New South Wales	2011	29	95994
New South Wales	2011	30	96592
New South Wales	2011	31	93715
New South Wales	2011	32	93391
New South Wales	2011	33	92001
New South Wales	2011	34	92640
New South Wales	2011	35	92745
New South Wales	2011	36	94675
New South Wales	2011	37	97105
New South Wales	2011	38	99700
New South Wales	2011	39	103906
New South Wales	2011	40	104963
New South Wales	2011	41	97470
New South Wales	2011	42	96582
New South Wales	2011	43	92798
New South Wales	2011	44	91694
New South Wales	2011	45	92122
New South Wales	2011	46	93593
New South Wales	2011	47	97520
New South Wales	2011	48	99387
New South Wales	2011	49	98812
New South Wales	2011	50	98820
New South Wales	2011	51	95186
New South Wales	2011	52	93113
New South Wales	2011	53	92016
New South Wales	2011	54	89887
New South Wales	2011	55	87515
New South Wales	2011	56	86178
New South Wales	2011	57	83336
New South Wales	2011	58	82912
New South Wales	2011	59	79674
New South Wales	2011	60	79208
New South Wales	2011	61	78600
New South Wales	2011	62	75968
New South Wales	2011	63	76702
New South Wales	2011	64	80199
New South Wales	2011	65	67565
New South Wales	2011	66	64761
New South Wales	2011	67	62334
New South Wales	2011	68	55521
New South Wales	2011	69	54143
New South Wales	2011	70	51273
New South Wales	2011	71	49490
New South Wales	2011	72	47375
New South Wales	2011	73	45291
New South Wales	2011	74	43940
New South Wales	2011	75	41653
New South Wales	2011	76	38689
New South Wales	2011	77	36414
New South Wales	2011	78	35236
New South Wales	2011	79	34042
New South Wales	2016		323339
New South Wales	2016	0	87707
New South Wales	2016	1	92878
New South Wales	2016	2	93582
New South Wales	2016	3	95180
New South Wales	2016	4	95789
New South Wales	2016	5	95215
New South Wales	2016	6	96479
New South Wales	2016	7	95144
New South Wales	2016	8	95835
New South Wales	2016	9	95516
New South Wales	2016	10	92148
New South Wales	2016	11	89075
New South Wales	2016	12	87810
New South Wales	2016	13	87595
New South Wales	2016	14	86381
New South Wales	2016	15	88157
New South Wales	2016	16	89423
New South Wales	2016	17	89129
New South Wales	2016	18	89445
New South Wales	2016	19	92270
New South Wales	2016	20	94362
New South Wales	2016	21	96033
New South Wales	2016	22	96618
New South Wales	2016	23	100035
New South Wales	2016	24	102617
New South Wales	2016	25	104408
New South Wales	2016	26	106776
New South Wales	2016	27	105508
New South Wales	2016	28	105528
New South Wales	2016	29	104949
New South Wales	2016	30	107749
New South Wales	2016	31	107518
New South Wales	2016	32	108781
New South Wales	2016	33	109259
New South Wales	2016	34	107052
New South Wales	2016	35	105774
New South Wales	2016	36	101487
New South Wales	2016	37	98758
New South Wales	2016	38	97379
New South Wales	2016	39	96328
New South Wales	2016	40	97336
