STE_NAME16	Year	SameAddress5YearsAgo	persons
New South Wales	2006		858844
New South Wales	2006	0	2321297
New South Wales	2006	1	3369033
New South Wales	2011		845454
New South Wales	2011	0	2380679
New South Wales	2011	1	3691523
New South Wales	2016		969853
New South Wales	2016	0	2734848
New South Wales	2016	1	3775527
Victoria	2006		604877
Victoria	2006	0	1695771
Victoria	2006	1	2631774
Victoria	2011		615998
Victoria	2011	0	1853247
Victoria	2011	1	2884794
Victoria	2016		757486
Victoria	2016	0	2162553
Victoria	2016	1	3006585
Queensland	2006		525420
Queensland	2006	0	1734696
Queensland	2006	1	1644415
Queensland	2011		558691
Queensland	2011	0	1815134
Queensland	2011	1	1958912
Queensland	2016		642114
Queensland	2016	0	1942926
Queensland	2016	1	2118153
South Australia	2006		169473
South Australia	2006	0	516216
South Australia	2006	1	828651
South Australia	2011		171155
South Australia	2011	0	540598
South Australia	2011	1	884816
South Australia	2016		199870
South Australia	2016	0	566335
South Australia	2016	1	910448
Western Australia	2006		270934
Western Australia	2006	0	813957
Western Australia	2006	1	874196
Western Australia	2011		302141
Western Australia	2011	0	887428
Western Australia	2011	1	1049602
Western Australia	2016		346490
Western Australia	2016	0	990739
Western Australia	2016	1	1137181
Tasmania	2006		54789
Tasmania	2006	0	171432
Tasmania	2006	1	250260
Tasmania	2011		54348
Tasmania	2011	0	168568
Tasmania	2011	1	272435
Tasmania	2016		64816
Tasmania	2016	0	168282
Tasmania	2016	1	276867
Northern Territory	2006		36742
Northern Territory	2006	0	75043
Northern Territory	2006	1	81114
Northern Territory	2011		38734
Northern Territory	2011	0	81923
Northern Territory	2011	1	91286
Northern Territory	2016		45452
Northern Territory	2016	0	88928
Northern Territory	2016	1	94453
Australian Capital Territory	2006		37111
Australian Capital Territory	2006	0	126206
Australian Capital Territory	2006	1	160717
Australian Capital Territory	2011		39631
Australian Capital Territory	2011	0	142356
Australian Capital Territory	2011	1	175231
Australian Capital Territory	2016		49418
Australian Capital Territory	2016	0	166068
Australian Capital Territory	2016	1	181911
Other Territories	2006		320
Other Territories	2006	0	729
Other Territories	2006	1	1271
Other Territories	2011		1022
Other Territories	2011	0	765
Other Territories	2011	1	1242
Other Territories	2016		1027
Other Territories	2016	0	1144
Other Territories	2016	1	2416
